game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,year_published,average_rating,users_rated
97683,6,40,14,3,40,South African Railroads,40,2011,7.58116,69
38637,6,60,10,3,60,Age of Scheme: Routes to Riches,60,2008,5.97857,91
28308,8,20,25,2,20,Martinis & Men,20,2007,4.94662,74
5549,4,60,21,3,60,Das Wasser des Lebens,60,1997,7.57844,74
99655,5,60,21,2,60,Swinging Jivecat Voodoo Lounge,60,2016,6.68059,136
125493,6,20,21,3,20,DrunkQuest,20,2013,6.52351,251
151640,8,30,21,3,30,Iron & Ale,30,2014,6.1373,63
133,6,120,18,2,120,Frischfleisch,120,1999,6.12852,142
427,6,60,18,2,60,Grass,60,1980,5.93233,970
514,6,30,18,3,30,True Colors,30,1989,6.00105,381
920,0,60,18,0,60,Ultimate Outburst,60,1999,6.1733,221
1748,12,60,18,4,60,A Question of Scruples,60,1984,4.60384,612
1835,8,30,18,2,30,Scrutineyes,30,1992,6.42352,253
1865,6,60,18,3,60,Astrotime,60,1990,4.48871,62
2225,99,45,18,4,45,Bamboozle,45,1997,4.94357,70
2668,6,30,18,2,30,Picture Picture,30,1992,5.68095,105
2956,6,45,18,2,45,Dirty Minds: The Game of Naughty Clues,45,1990,3.94702,433
3515,0,60,18,4,60,"Men Are from Mars, Women Are from Venus",60,1998,3.79768,112
3623,8,60,18,4,60,Survivor,60,2000,4.05483,145
3636,0,30,18,3,30,SongBurst 50's & 60's Edition,30,1990,5.11774,93
3958,0,30,18,3,30,Songburst: 70's & 80's Edition,30,1992,5.60746,114
4604,6,60,18,2,60,Chez Greek,60,2002,5.96933,425
4659,8,20,18,3,20,Moods,20,2000,5.90538,340
4862,20,60,18,4,60,Outburst!,60,1986,5.77437,1367
4874,8,180,18,8,180,How to Host a Murder: The Chicago Caper,180,1985,6.4,65
4877,8,180,18,8,180,How to Host a Murder: The Watersdown Affair,180,1985,6.3,79
5272,6,45,18,3,45,Hilarium,45,2001,5.5096,125
5650,6,240,18,2,240,Pass-out,240,1962,3.7609,100
6749,2,10,18,2,10,Busen Memo,10,2003,4.84961,237
7336,4,120,18,2,120,Trivial Pursuit: The Lord of the Rings Movie Trilogy Collector's Edition,120,2003,5.44617,608
7422,6,60,18,2,60,Mid-Life Crisis,60,1982,3.79872,78
