Date,Open,High,Low,Close,Adjusted_close,Volume
2012-12-10,37,37,34.91,35,26.691,749378
2012-12-11,35.05,35.69,34.95,35.32,26.9349,1472086
2012-12-12,35.25,35.25,33.09,33.36,25.4402,2530442
2012-12-13,33.5,34.24,32.61,33.8,25.7757,4253303
2012-12-14,33.9,34.08,32.65,33,25.1657,4006673
2012-12-17,33.5,37.07,32.51,33.4,25.4708,5516963
2012-12-18,33.4,34.68,32.95,34.43,26.2561,3740536
2012-12-19,34.8,34.82,33.73,34.25,26.1189,1480328
2012-12-20,34.5,34.5,33.85,34.32,26.1723,1010326
2012-12-21,34.29,35.35,34.2,35.35,26.9578,1276538
2012-12-24,35.6,35.6,34.6,35.25,26.8817,286712
2012-12-26,35.27,35.51,34.85,34.9,26.6146,559872
2012-12-27,35.37,35.37,33.2,34.97,26.6679,915775
2012-12-28,34.67,34.96,34.36,34.52,26.3248,1085137
2012-12-31,34.04,35.05,34,34.16,26.0503,5740951
2013-01-02,34.92,35.4,34.1,35.12,26.7824,13767989
2013-01-03,35,35,34.16,34.83,26.5612,16739208
2013-01-04,34.62,34.89,34.25,34.3908,26.2261,21372638
2013-01-07,34.15,35.45,34.15,34.46,26.2791,17897117
2013-01-08,34.29,34.64,33.36,33.71,25.7071,17863398
2013-01-09,33.61,33.95,33.61,33.9,25.852,18800666
2013-01-10,33.66,34,33.33,34,25.9284,15660776
2013-01-11,33.59,33.9,33.35,33.85,26.1213,11191446
2013-01-14,34.01,34.25,33.8,34.09,26.3064,11584901
2013-01-15,33.71,34.72,33.71,34.6,26.7,13042596
2013-01-16,34.47,35.54,34.45,35.54,27.4252,16512683
2013-01-17,35.75,36.7,35.75,36.42,28.1044,14426261
2013-01-18,36.43,37.32,36.04,37.32,28.7988,17844118
2013-01-22,36.98,37.25,35.93,36.42,28.1044,15809670
2013-01-23,36.91,37.84,36.5,37.8,29.1693,10981870
2013-01-24,37.79,38.52,37.23,37.46,28.9071,11327544
2013-01-25,37.52,37.84,36.64,37.6,29.015,8938685
2013-01-28,37.65,37.87,36.71,36.89,28.4671,7140026
2013-01-29,36.71,37.46,36.25,37.31,28.7914,8839042
2013-01-30,36.81,37.525,36.81,36.93,28.4979,10842451
2013-01-31,36.84,36.93,36.27,36.69,28.3127,10720870
2013-02-01,36.84,37.2,36.52,37.18,28.6911,9528042
2013-02-04,36.64,37.3,36.55,37.28,28.7681,6347915
2013-02-05,37.42,37.73,37.18,37.2,28.7064,7284674
2013-02-06,36.96,37.28,36.86,37.14,28.6601,5738899
2013-02-07,37.57,37.57,35.8,36.42,28.1044,9874217
2013-02-08,36.37,36.42,35.825,36.25,27.9733,13859010
2013-02-11,36.13,36.18,35.75,35.85,27.6645,6032057
2013-02-12,35.77,35.9,35.2,35.42,27.3326,7473991
2013-02-13,35.42,35.57,35.15,35.27,27.2168,4860053
2013-02-14,35.05,36.73,35.01,36.57,28.2202,7570052
2013-02-15,36.93,37.81,36.93,37.58,28.9996,13296886
2013-02-19,37.54,38.33,37.11,38.19,29.4703,8292612
2013-02-20,38.16,39.13,37.61,38.61,29.7942,8096330
2013-02-21,38.49,39.025,38.19,38.78,29.9256,7261136
2013-02-22,38.79,38.85,38.14,38.46,29.6787,4490835
2013-02-25,38.54,38.61,37.37,37.37,28.8378,4665671
2013-02-26,37.6,37.6,36.96,37.09,28.6215,4462936
2013-02-27,36.97,36.98,36.4,36.73,28.3436,12238463
2013-02-28,36.66,37.14,36.5,36.92,28.4901,10322499
2013-03-01,36.8,38.07,36.551,37.81,29.1772,8929379
2013-03-04,37.53,38.25,37.53,38.24,29.5091,5420719
2013-03-05,38.45,38.57,37.29,37.51,28.9458,6650310
2013-03-06,37.56,37.86,37.37,37.74,29.1231,5489700
2013-03-07,37.65,38.01,37.44,37.49,28.9301,4442420
2013-03-08,37.64,37.65,37.16,37.34,28.8144,4114897
