Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,36,36.055,35.07,35.57,15.1966,1967743
2009-01-05,35.54,36.41,35.19,36.25,15.4873,1893080
2009-01-06,36.54,36.96,35.83,36.11,15.4274,1450843
2009-01-07,35.77,36.39,35.3,35.91,15.3421,1490811
2009-01-08,35.45,37.05,34.57,36.72,15.6879,2527751
2009-01-09,36.7,36.91,35.55,35.93,15.3504,1839173
2009-01-12,35.8,36.08,35.59,35.86,15.3207,1619752
2009-01-13,35.83,36.36,35.59,36.07,15.4104,1606422
2009-01-14,35.92,36.38,35.5,36.2,15.4657,1699474
2009-01-15,37.12,37.23,36.07,36.85,15.7436,2953197
2009-01-16,37.06,37.81,36.8,37.41,15.9827,1783643
2009-01-20,37.5,37.93,36.27,36.59,15.6325,3109623
2009-01-21,36.91,37.34,36.22,37.34,15.9529,3973341
2009-01-22,37.7,38.47,36.98,37.54,16.0383,4974057
2009-01-23,36.55,37.4,35.75,36.07,15.4104,3680908
2009-01-26,36.15,37.19,36.15,36.85,15.7436,2881646
2009-01-27,36.9,37.66,36.66,36.94,15.7822,3322230
2009-01-28,37.72,37.8,37.21,37.76,16.1324,2451100
2009-01-29,35.98,37.84,35.98,37.08,15.8419,1572968
2009-01-30,36.12,37.81,36.05,36.32,15.5172,1629692
2009-02-02,35.72,37.3,35.72,36.91,15.7693,1793484
2009-02-03,37.04,37.71,36.38,37.55,16.0428,3252070
2009-02-04,37.72,38.3034,37.34,37.92,16.2006,1861320
2009-02-05,37.92,38.79,37.62,38.4,16.4057,1893609
2009-02-06,38.35,39.09,38.21,38.76,16.5595,1600331
2009-02-09,38.75,38.76,38.11,38.68,16.5255,1107363
2009-02-10,38.31,38.71,37.49,37.64,16.0814,2083775
2009-02-11,37.67,37.92,37.25,37.37,15.9657,1880305
2009-02-12,36.72,37.88,36.43,37.84,16.21,1786400
2009-02-13,37.69,38.06,37.26,37.35,15.9999,1066839
2009-02-17,36.75,36.75,35.97,36.23,15.5203,1560272
2009-02-18,36.32,36.43,35.78,36.12,15.4732,1399866
2009-02-19,36.2,36.32,35.36,35.55,15.2287,2175005
2009-02-20,35.13,35.95,35.02,35.65,15.2718,2302040
2009-02-23,35.9,35.96,34.54,34.61,14.8261,1894741
2009-02-24,34.8,35.21,34.35,35.08,15.0274,2439455
2009-02-25,35.16,35.23,34,34.17,14.6377,1705946
2009-02-26,34.35,34.55,32.52,32.63,13.9781,3263295
2009-02-27,32.26,32.57,31.65,31.76,13.6054,3558921
2009-03-02,31.27,31.72,30.43,30.54,13.0828,2223194
2009-03-03,30.83,31.34,30.0275,30.36,13.0057,2595088
2009-03-04,30.6,31.45,30.15,31.04,13.2969,2424944
2009-03-05,30.68,31.21,30.31,30.98,13.2713,2756369
2009-03-06,30.97,31.58,30.24,30.71,13.1557,2959968
