Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,32.54,33.8,32.54,33.67,26.81,3787660
2009-01-05,33.45,34.17,32.74,33.82,26.9294,4469050
2009-01-06,32.91,33.95,32.81,33.4,26.595,4020101
2009-01-07,32.86,34.05,31.54,33.78,26.8978,5442038
2009-01-08,33.26,33.65,33.19,33.44,26.6271,3203721
2009-01-09,33.5,34.12,33.11,33.73,26.8577,4375756
2009-01-12,33.65,33.65,32.62,33.03,26.3004,4756303
2009-01-13,33.05,34.8,32.6,34.07,27.1286,8009774
2009-01-14,33.86,33.86,31.8,32.44,25.8308,7292640
2009-01-15,32.3,32.92,31.36,32.65,25.998,4892374
2009-01-16,33,33.19,32.06,32.68,26.0217,4162807
2009-01-20,32.48,32.7,31.74,31.88,25.3846,5273712
2009-01-21,32.5,33.45,31.9,32.98,26.2604,4841887
2009-01-22,32.81,32.81,31.55,31.66,25.2095,6358137
2009-01-23,30.91,31.84,30.91,31.38,24.9865,3644177
2009-01-26,31.68,32.3,31,32.02,25.4962,3890493
2009-01-27,32.01,32.74,31.8,32.38,25.7828,2971790
2009-01-28,32.45,33.45,31.95,33.17,26.4119,3492108
2009-01-29,32.64,32.74,31.5,32.17,25.6157,3337150
2009-01-30,32.34,32.34,31.29,31.56,25.1299,5184156
2009-02-02,31.22,31.9,30.93,31.81,25.3291,2680791
2009-02-03,31.69,32.99,31.42,32.88,26.1809,5120451
2009-02-04,32.88,33.44,32.78,33.11,26.3642,3291573
2009-02-05,32.87,32.87,31.87,32.61,25.9659,4022883
2009-02-06,32.7,33.3325,32.3201,33.12,26.372,2740086
2009-02-09,33.06,33.36,32.56,33,26.2766,2333604
2009-02-10,32.52,33.25,31.92,32.01,25.4882,3738599
2009-02-11,32.35,32.5,31.7,31.89,25.3925,3524864
2009-02-12,31.62,31.65,30.56,31.46,25.0502,4933527
2009-02-13,31.14,31.9,30.53,30.95,24.6441,4452924
2009-02-17,30.69,30.9,29.97,30.33,24.1506,4051644
2009-02-18,30.01,31.68,30.01,31.01,24.692,4896850
2009-02-19,31.19,31.64,30.71,30.81,24.5327,3429456
2009-02-20,29.59,30.64,29.5,29.98,23.8719,4982661
2009-02-23,30.35,30.35,28.87,28.89,23.004,3443854
2009-02-24,29.06,29.39,28.48,29.29,23.3222,3295135
2009-02-25,29.08,30.015,29.03,29.64,23.601,3430089
2009-02-26,30.01,30.21,28.79,28.98,23.0754,3634403
2009-02-27,28.53,29.69,28.06,29.19,23.2428,3819857
