Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,19,19.78,18.76,19.67,14.7223,3264854
2009-01-05,19.52,19.97,19.41,19.57,14.6472,4380036
2009-01-06,19.57,20.6,19.56,20.52,15.3584,5711746
2009-01-07,19.8,20.02,19.42,19.75,14.7823,4462819
2009-01-08,19.7,19.83,19.17,19.77,14.7969,3763155
2009-01-09,19.74,19.84,19.17,19.37,14.4977,3264683
2009-01-12,19.32,19.33,18.82,19.05,14.2583,3393424
2009-01-13,19.08,19.85,18.92,19.35,14.4826,4728911
2009-01-14,19,19.16,18.44,18.6,13.9214,5254668
2009-01-15,18.59,19.285,18.37,19.1,14.2956,6168822
2009-01-16,19.44,20.02,19.01,19.83,14.8421,6052894
2009-01-20,19.64,19.77,18.76,18.77,14.0486,5205203
2009-01-21,18.06,19.07,18.06,18.9,14.1462,6770017
2009-01-22,18.65,19.15,18.39,18.93,14.1682,6430344
2009-01-23,18.42,20.03,18.42,19.66,14.7147,6308800
2009-01-26,19.71,20.37,19.39,19.69,14.7371,5753889
2009-01-27,19.83,20.67,19.56,20.54,15.3737,5448087
2009-01-28,20.93,21.7,20.79,21.29,15.9347,8227425
2009-01-29,21.01,21.44,20.24,20.44,15.2984,5654476
2009-01-30,20.76,20.81,19.84,19.98,14.9544,6515321
2009-02-02,19.98,20.52,19.41,20.32,15.2088,5056543
2009-02-03,20.32,20.96,19.85,20.82,15.5829,6039705
2009-02-04,20.82,21.86,20.59,21.04,15.7479,5859968
2009-02-05,20.81,22.39,20.71,21.98,16.4512,9566400
2009-02-06,21.85,22.53,21.78,22.38,16.7505,5539531
2009-02-09,22.34,22.48,22,22.31,16.6981,3795967
2009-02-10,22.14,22.48,20.86,21.02,15.7325,7781443
2009-02-11,21.07,21.26,20.44,20.9,15.6427,6279752
2009-02-12,20.57,21.35,20.47,21.13,15.8147,7062745
2009-02-13,21.03,21.87,21.01,21.38,16.0021,6320185
2009-02-17,20.97,21,19.87,20,14.9691,7754087
2009-02-18,20.4,20.5,19.79,20.02,14.9841,9218236
2009-02-19,20.15,20.74,19.3603,19.4,14.52,7847007
2009-02-20,19.08,19.8,19.06,19.3,14.4451,9542564
2009-02-23,19.45,19.61,18.21,18.34,13.7266,8868355
2009-02-24,18.45,18.84,18.27,18.78,14.0563,6642285
2009-02-25,18.66,19.71,18.56,19.26,14.4152,8259826
2009-02-26,19.5,19.96,18.76,18.77,14.0486,7597492
2009-02-27,18.49,19.05,18.43,18.64,13.9515,7273542
2009-03-02,18.29,18.63,17.82,17.93,13.42,6575908
2009-03-03,18.19,18.59,17.91,18.24,13.6518,8783238
2009-03-04,18.28,19.22,18.27,18.92,14.318,9190468
2009-03-05,18.56,19.18,18.55,18.78,14.212,7300107
2009-03-06,18.93,19.38,18.11,18.48,13.9848,8559887
2009-03-09,18.55,18.9,18.01,18.05,13.6597,7075485
2009-03-10,18.4,19.21,18.2,19.17,14.507,6567332
2009-03-11,19.33,19.74,19.07,19.43,14.7038,6022881
2009-03-12,19.43,20.03,19.3,19.95,15.0972,7107536
2009-03-13,19.97,20.215,19.62,20.16,15.2562,7264327
2009-03-16,20.27,20.35,19.56,19.59,14.8248,7824814
2009-03-17,19.71,20.24,19.52,20.24,15.317,5394768
2009-03-18,20.16,20.75,19.97,20.61,15.5966,6603995
2009-03-19,20.88,20.91,20.06,20.28,15.3469,5734440
2009-03-20,20.29,20.47,19.48,19.59,14.8248,6233410
2009-03-23,20,20.71,19.74,20.32,15.3771,7027563
2009-03-24,20.07,20.3,19.83,20,15.1349,4575463
2009-03-25,20.35,20.63,19.42,19.83,15.0064,7193086
2009-03-26,20.1,20.41,19.87,20.2,15.2862,6851193
2009-03-27,19.91,20.14,19.8,19.98,15.12,4045092
2009-03-30,19.84,19.94,19.18,19.32,14.6205,3601958
2009-03-31,19.68,19.68,19.18,19.27,14.5829,4449024
2009-04-01,18.9,19.19,18.59,19,14.3782,9714659
2009-04-02,19.44,20.04,19.26,19.59,14.8248,4629608
2009-04-03,19.41,20.7,19.36,20.63,15.6121,8555076
2009-04-06,20.49,20.49,19.78,20.34,15.3924,5794647
2009-04-07,20.01,20.43,19.77,19.87,15.0369,3925292
2009-04-08,20.15,20.26,19.74,20.13,15.2335,4006862
2009-04-09,20.48,20.95,20.28,20.76,15.7101,4836165
2009-04-13,20.5,20.67,20.2,20.55,15.5514,7503635
2009-04-14,20.31,20.94,20.23,20.85,15.7786,4723050
2009-04-15,20.48,20.48,20.08,20.42,15.4528,5555053
2009-04-16,20.45,21.39,20.45,21.29,16.1116,5849716
2009-04-17,21.07,21.51,20.74,21.41,16.2022,5064382
2009-04-20,21.06,21.27,20.37,20.68,15.6498,4485383
2009-04-21,20.8,21.1,20.16,20.75,15.7029,6539010
2009-04-22,20.63,21.35,20.24,20.93,15.8388,5674870
2009-04-23,20.87,20.95,20.32,20.91,15.8237,5883965
2009-04-24,21.02,21.3,20.53,21.16,16.0133,4387818
2009-04-27,20.81,21.37,20.76,20.84,15.771,4282344
2009-04-28,20.66,20.92,20.34,20.55,15.5514,3181782
2009-04-29,20.8,21.03,20.5,20.78,15.7253,3388494
2009-04-30,20.75,21.81,20.75,21.28,16.1037,4859153
2009-05-01,21.04,21.61,20.85,21.15,16.0051,4972152
2009-05-04,21.41,22.115,21.15,22.06,16.6939,5724697
2009-05-05,22.05,22.15,21.63,22,16.6488,4190589
2009-05-06,22.2,22.84,21.875,22.62,17.1179,7191312
2009-05-07,22.9,22.9,21.18,21.56,16.3159,5504173
2009-05-08,21.88,21.88,20.53,20.67,15.6422,7735518
2009-05-11,20.44,21.33,20.1,20.81,15.7485,6008278
2009-05-12,20.91,20.97,20.22,20.61,15.5966,5658279
2009-05-13,20.31,20.7,20.01,20.12,15.226,4437768
2009-05-14,20.16,20.46,20.01,20.09,15.2028,7099414
2009-05-15,20.13,20.13,19.1399,19.46,14.7262,10767337
2009-05-18,19.64,20.01,19.51,19.9,15.0594,7544287
2009-05-19,19.93,20.79,19.73,20.58,15.5742,7499782
2009-05-20,23.43,24.32,23.3,23.8,18.0107,27694438
2009-05-21,23.59,23.79,23,23.57,17.8367,9543383
2009-05-22,23.71,23.8,23.2,23.59,17.8518,5595832
2009-05-26,23.5,23.87,23.36,23.66,17.905,6963486
2009-05-27,23.6,24.49,23.4299,23.94,18.2714,8398996
2009-05-28,24.08,24.19,23.38,24.15,18.4315,6439371
2009-05-29,24.15,24.46,23.62,24.41,18.6298,7812302
2009-06-01,24.84,25.32,24.78,25.03,19.1033,6267476
2009-06-02,24.97,24.97,24.23,24.48,18.6832,4862711
2009-06-03,24.13,24.36,23.79,24.35,18.5839,4741472
2009-06-04,24.37,24.87,23.98,24.56,18.7442,4576288
2009-06-05,24.86,24.88,24.095,24.43,18.6454,3396858
2009-06-08,24.33,24.64,23.98,24.43,18.6454,3098101
2009-06-09,24.94,26.05,24.78,25.73,19.6373,8905452
2009-06-10,25.85,25.85,25.25,25.71,19.6222,5917297
2009-06-11,25.76,25.94,25.59,25.74,19.6449,5723745
2009-06-12,25.77,25.82,25.2,25.4,19.3853,4751635
2009-06-15,25.12,25.3,24.41,25,19.0803,4723917
2009-06-16,25.07,25.13,24.17,24.41,18.6298,4609220
2009-06-17,24.45,24.97,24.14,24.64,18.8056,4625013
