Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,28.93,29.23,28.52,29.19,22.2637,5817692
2009-01-05,28.92,29.5,28.61,29.08,22.1798,8457661
2009-01-06,29.26,29.26,28.2,28.29,21.5775,13135467
2009-01-07,28.05,28.71,27.87,28.34,21.6156,13275868
2009-01-08,28.13,28.31,27.57,27.76,21.1733,7361123
2009-01-09,27.77,28.17,27.67,27.96,21.3256,7071093
2009-01-12,27.5,28,26.74,26.9,20.5169,7366298
2009-01-13,26.84,28.08,26.53,27.88,21.2649,8892444
2009-01-14,26.27,26.39,24.08,24.25,18.4959,15080421
2009-01-15,24.58,25.66,24.35,25.3,19.297,11835441
2009-01-16,25.79,25.8798,24.88,25.62,19.541,8184015
2009-01-20,25.38,26.1,25.04,25.12,19.1594,9942869
2009-01-21,25.62,27.18,25.51,27.12,20.6847,9023709
2009-01-22,26.65,27.64,26.39,26.86,20.4871,9289049
2009-01-23,26.31,27.24,25.68,26.93,20.5401,7875181
2009-01-26,27.05,27.845,26.94,27.5,20.9749,6900958
2009-01-27,27.65,27.93,27.26,27.79,21.196,10391303
2009-01-28,28.01,28.23,27.73,28.09,21.4249,8872136
2009-01-29,27.19,27.62,26.87,27.43,20.9216,10723513
2009-01-30,27.31,27.97,26.89,27.38,20.8835,10496506
2009-02-02,26.7,27.81,26.51,27.5,20.9749,11728482
2009-02-03,28.35,28.75,26.16,27.65,21.0895,12462031
2009-02-04,27,27.1,24.99,25.54,19.4802,15783796
2009-02-05,25.5,26.92,25.43,26.66,20.3343,10090672
2009-02-06,26.63,27.77,26.58,27.61,21.0588,7194636
2009-02-09,27.43,29.26,27.35,29.03,22.1417,12519990
2009-02-10,28.35,29.03,28.1,28.52,21.7527,13438437
2009-02-11,28.65,28.77,27.48,27.99,21.3485,7815302
2009-02-12,27.41,28.57,27.13,28.54,21.7679,7182653
2009-02-13,28.48,28.99,28.25,28.56,21.7833,4819596
2009-02-17,27.75,27.98,26.82,27.06,20.7463,8224786
2009-02-18,27.04,27.78,26.73,27.54,21.1148,7966305
2009-02-19,27.9,28.44,27.5,27.84,21.3447,5366760
2009-02-20,26.46,28.07,26.46,27.68,21.222,8139806
2009-02-23,27.84,28.17,27.25,27.37,20.9838,10438230
2009-02-24,27.7,28.46,27.39,27.98,21.4518,8899319
2009-02-25,27.85,28.21,27.28,27.54,21.1148,9862938
2009-02-26,27.93,28.17,27.06,27.11,20.7849,6216717
2009-02-27,26.75,27.5801,26.64,26.66,20.44,7929796
2009-03-02,26.31,26.45,25.16,25.24,19.3512,7366266
2009-03-03,25.59,26,24.96,25.48,19.5352,8859882
2009-03-04,25.89,26.99,25.68,26.42,20.2558,7353072
2009-03-05,25.81,26.64,25.43,25.91,19.8648,8452589
2009-03-06,26.15,27.1,25.29,25.96,19.9034,6760202
2009-03-09,25.52,26.78,25.23,25.83,19.8035,5190786
2009-03-10,26.25,28.53,26.09,27.5,21.0839,13940493
2009-03-11,27.78,28.22,27.11,27.45,21.0454,7251738
2009-03-12,27.43,28.14,27.1286,27.93,21.4136,7926263
2009-03-13,28.12,28.32,27.34,27.81,21.3217,4788885
2009-03-16,28.02,28.78,27.93,28.14,21.5745,5727201
2009-03-17,28.21,28.57,27.82,28.57,21.9045,4017281
2009-03-18,28.32,28.96,28.2,28.5,21.8507,7460021
2009-03-19,28.85,28.85,27.904,28.14,21.5745,4751879
2009-03-20,28.19,28.29,27.36,27.44,21.0381,5357859
2009-03-23,28.02,29.18,27.76,29.16,22.3565,6823663
2009-03-24,28.76,29.47,28.6,29.07,22.2875,4957686
2009-03-25,29.27,29.47,28.12,28.78,22.0655,5599717
2009-03-26,29.01,29.15,28.54,28.94,22.1881,4530130
2009-03-27,28.51,28.83,28.12,28.53,21.8738,3560174
2009-03-30,27.9,28.31,27,27.38,20.9919,5215211
2009-03-31,27.42,28.22,27.35,27.78,21.2985,5085301
2009-04-01,27.35,28.44,27.15,28.35,21.7357,4611054
2009-04-02,28.99,29.21,28.53,28.66,21.9733,4202316
2009-04-03,28.63,28.99,28.36,28.9,22.1571,3645347
2009-04-06,28.54,28.97,28.2,28.71,22.0117,3167059
2009-04-07,26.61,27.05,25.45,25.66,19.6733,9382745
2009-04-08,25.72,26.19,25.48,25.78,19.7652,5807704
2009-04-09,26.07,26.38,25.67,25.85,19.819,5211277
