Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,19.55,20.76,19.55,20.68,20.68,2845533
2009-01-05,20.6,20.92,20.05,20.88,20.88,3018583
2009-01-06,21.11,21.705,20.71,20.85,20.85,3883497
2009-01-07,20.55,20.58,19.89,20.07,20.07,3831353
2009-01-08,19.59,19.61,18.96,19.2,19.2,5436339
2009-01-09,19.41,19.55,18.4,18.47,18.47,4673951
2009-01-12,18.42,19.109,18.42,18.78,18.78,4674261
2009-01-13,18.78,19.05,18.18,18.46,18.46,4288166
2009-01-14,18.19,18.2,17.35,17.73,17.73,5476294
2009-01-15,15.85,16.18,14.98,15.48,15.48,12034411
2009-01-16,15.79,16.64,15.48,16.14,16.14,7731756
2009-01-20,16.135,16.31,15.71,15.72,15.72,6772494
2009-01-21,15.82,16.78,15.52,16.77,16.77,5039272
2009-01-22,16.31,16.44,15.7301,16.13,16.13,4109444
2009-01-23,15.61,16.5,15.51,16.26,16.26,3607922
2009-01-26,16.47,16.77,16.09,16.43,16.43,3531511
2009-01-27,16.34,17.28,16.25,16.91,16.91,4032003
2009-01-28,17.29,17.35,16.97,17.25,17.25,4172742
2009-01-29,17.01,17.32,16.74,16.93,16.93,3328370
2009-01-30,17.13,17.21,16.43,16.56,16.56,3643191
2009-02-02,16.4,16.75,16.22,16.53,16.53,3940675
2009-02-03,16.57,17.26,16.45,17.19,17.19,4174350
2009-02-04,17.21,17.81,17.2,17.41,17.41,3899209
2009-02-05,17.36,18.05,17.04,17.81,17.81,4519793
2009-02-06,17.81,18.72,17.61,18.54,18.54,3155988
2009-02-09,18.55,18.638,18,18.2,18.2,2984883
2009-02-10,18,18.31,17.1,17.2,17.2,3506121
2009-02-11,17.22,17.76,17.05,17.45,17.45,2305135
2009-02-12,17,17.71,16.86,17.55,17.55,3206780
2009-02-13,17.62,18.09,17.43,17.56,17.56,2079142
2009-02-17,16.78,16.96,16.46,16.57,16.57,2732068
2009-02-18,16.64,16.71,16.14,16.31,16.31,2670849
2009-02-19,16.55,17.05,15.85,15.85,15.85,5843197
2009-02-20,15.75,15.87,15.09,15.26,15.26,9833551
2009-02-23,15.4,15.62,14.35,14.39,14.39,7687412
2009-02-24,14.534,14.82,14.35,14.6,14.6,8544631
2009-02-25,14.5,14.64,14.1,14.3,14.3,10346407
2009-02-26,14.43,14.46,13.86,14.06,14.06,8463444
2009-02-27,12.72,13.2,12.53,12.69,12.69,13025252
2009-03-02,12.52,12.76,11.7,11.86,11.86,12876865
2009-03-03,11.84,12.19,11.74,11.79,11.79,7680653
2009-03-04,12.04,12.73,12.01,12.51,12.51,7582240
2009-03-05,12.38,12.38,11.81,12.05,12.05,7824793
2009-03-06,12.28,12.52,11.76,12.02,12.02,5355085
2009-03-09,12.18,12.26,11.75,11.78,11.78,4951693
2009-03-10,12.01,12.56,11.79,12.54,12.54,6452855
2009-03-11,12.03,12.61,12,12.31,12.31,6274698
2009-03-12,12.35,12.78,12.18,12.74,12.74,5425500
2009-03-13,12.76,12.83,12.45,12.83,12.83,5812197
2009-03-16,12.83,13.21,12.7,12.88,12.88,7227087
2009-03-17,12.67,13.21,12.62,13.21,13.21,3594407
2009-03-18,12.8,14.255,12.8,14,14,5531208
2009-03-19,13.7,14.53,13.7,13.87,13.87,4269876
2009-03-20,14.21,14.21,13.37,13.39,13.39,5047889
2009-03-23,13.68,14.6,13.43,14.59,14.59,3437685
2009-03-24,14.42,14.9325,14.15,14.85,14.85,5743636
2009-03-25,14.63,15.47,14.63,15.3,15.3,7981894
2009-03-26,15.64,16.18,15.47,16.16,16.16,5497807
2009-03-27,15.9,16.24,15.72,16.07,16.07,5962175
2009-03-30,15.97,15.97,14.91,15.23,15.23,6060850
2009-03-31,16.15,17.32,16.0322,16.81,16.81,10269299
2009-04-01,16.33,17.25,16.1,17.11,17.11,8038457
2009-04-02,17.5,18.7,17.32,17.98,17.98,9565916
2009-04-03,17.7,18.1,17.4,17.99,17.99,6034224
2009-04-06,17.95,18.39,17.58,18.27,18.27,6305006
2009-04-07,17.93,17.99,17.41,17.7,17.7,4295085
2009-04-08,17.7,18.5,17.67,18.44,18.44,4890832
2009-04-09,18.79,19.34,18.79,19.3,19.3,4458294
2009-04-13,19.18,19.18,18.61,18.76,18.76,4033077
2009-04-14,18.6,18.83,18.31,18.5,18.5,3424037
2009-04-15,18.38,18.49,18.01,18.39,18.39,3986043
2009-04-16,18.52,18.52,17.77,18.38,18.38,6960933
2009-04-17,18.39,18.61,18.01,18.51,18.51,4106708
2009-04-20,17.96,18.25,17.49,17.54,17.54,3539588
2009-04-21,17.36,18.26,17.25,18.15,18.15,3643858
2009-04-22,17.9,19.56,17.78,18.81,18.81,6847841
2009-04-23,18.81,19.08,18.04,18.52,18.52,5130578
2009-04-24,18.3,19.85,18.3,19.68,19.68,6392156
2009-04-27,19.14,19.55,18.93,19.01,19.01,3968194
2009-04-28,18.77,19.08,18.54,18.7,18.7,3220343
2009-04-29,18.84,19.66,18.62,19.45,19.45,3524902
2009-04-30,19.47,20.3,19.32,19.94,19.94,4286917
2009-05-01,19.95,19.98,19.47,19.63,19.63,2495274
2009-05-04,19.86,20.52,19.75,20.47,20.47,3159403
2009-05-05,20.3,20.65,20.08,20.44,20.44,3698764
2009-05-06,20.65,20.66,19.87,20.47,20.47,3074818
2009-05-07,20.33,20.57,19.25,19.47,19.47,4228803
2009-05-08,19.72,20.05,19.3286,19.7,19.7,4074302
2009-05-11,19.42,19.99,19,19.8,19.8,2084952
2009-05-12,19.88,19.95,19.1,19.4,19.4,2059658
2009-05-13,19.0102,19.2,18.5,18.5,18.5,2863487
2009-05-14,18.63,19.12,18.5758,18.84,18.84,2040514
2009-05-15,18.79,19.29,18.43,19,19,2986399
2009-05-18,19.05,19.48,18.5301,19.48,19.48,2487980
2009-05-19,19.54,19.86,19.25,19.42,19.42,4220836
2009-05-20,19.48,19.88,19,19.14,19.14,3886829
2009-05-21,18.78,19,18.54,18.83,18.83,5872610
2009-05-22,21.34,21.52,20.55,20.7,20.7,11798246
2009-05-26,20.1,21.22,20.1,21.12,21.12,5171121
2009-05-27,21.18,21.86,20.94,21.16,21.16,3602754
2009-05-28,21.31,21.68,20.75,21.19,21.19,3055195
2009-05-29,21.1,21.5,20.82,21.46,21.46,3544085
2009-06-01,21.46,22.75,21.46,22.66,22.66,5264722
2009-06-02,22.724,22.85,22.17,22.22,22.22,2991129
2009-06-03,22.06,22.35,21.63,22.08,22.08,2345135
2009-06-04,22.19,22.37,21.76,22.19,22.19,2771190
2009-06-05,22.38,22.6,21.83,22.17,22.17,3487876
2009-06-08,22.19,22.24,21.6327,22.03,22.03,2998355
2009-06-09,22.18,22.595,21.95,22.46,22.46,2859459
2009-06-10,22.51,22.65,21.88,22.3,22.3,2118382
2009-06-11,22.22,22.74,22.2,22.4,22.4,1903426
2009-06-12,22.12,22.33,21.82,22.24,22.24,2090230
2009-06-15,21.97,21.97,21.11,21.31,21.31,2757666
2009-06-16,21.13,21.62,20.95,20.98,20.98,2024073
2009-06-17,21.08,21.23,20.84,20.97,20.97,2686947
2009-06-18,20.99,21,20.51,20.72,20.72,2006933
2009-06-19,20.99,21.05,20.34,20.54,20.54,3646146
2009-06-22,20.25,20.4,19.77,19.8,19.8,3148477
2009-06-23,19.87,19.98,19.58,19.74,19.74,2831994
2009-06-24,19.565,20.12,19.565,19.84,19.84,3195531
2009-06-25,19.59,20.14,19.52,20.08,20.08,2540073
2009-06-26,19.678,20.1,19.678,19.75,19.75,3524470
2009-06-29,20.12,20.12,19.5,19.54,19.54,4133859
2009-06-30,19.54,19.65,18.93,18.98,18.98,4540012
2009-07-01,19.12,19.24,18.64,18.66,18.66,6695325
2009-07-02,18.63,18.74,18.05,18.11,18.11,4578238
