Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,33.49,34.15,33.13,34,21.6898,2239900
2009-01-05,34.16,34.34,33.29,33.69,21.492,3476800
2009-01-06,33.86,34.2,32.83,33.11,21.1217,3132800
2009-01-07,32.75,33.17,32.56,32.75,20.8923,2280200
2009-01-08,32.71,33.32,32.66,33.28,21.2305,2819900
2009-01-09,33.28,33.44,32.55,32.61,20.803,1980900
2009-01-12,32.71,33.01,32.45,32.79,20.9177,1860500
2009-01-13,32.7,32.92,31.76,32.13,20.4965,2650200
2009-01-14,31.63,31.69,30.88,31.57,20.1394,2620200
2009-01-15,31.82,31.82,31.14,31.76,20.2607,2946200
2009-01-16,32.11,32.65,31.94,32.5,20.7323,3623600
2009-01-20,32.43,32.85,31.76,31.83,20.3051,3074300
2009-01-21,32.29,32.44,31.56,32.34,20.6306,3416300
2009-01-22,31.93,32.61,31.6,31.85,20.3181,3489200
2009-01-23,31.39,32.07,31.2,31.94,20.3753,2759400
2009-01-26,31.93,32.89,31.93,32.51,20.7391,3550600
2009-01-27,32.73,32.76,31.97,32.2,20.5413,3058400
2009-01-28,31.89,32.08,31.28,31.76,20.2607,6495400
2009-01-29,31.5,33.29,31.5,32.7,20.8605,4337400
2009-01-30,32.85,32.93,31.21,31.35,19.999,4434000
2009-02-02,31.04,32.54,30.91,32.38,20.656,4695200
2009-02-03,32.49,32.72,31.82,32.53,20.752,3268000
2009-02-04,32.71,33.14,32.57,32.87,20.9689,2983000
2009-02-05,32.84,33.89,32.58,33.63,21.4534,3536100
2009-02-06,33.36,33.7,33,33.22,21.4534,3798100
2009-02-09,33.06,33.2,32.37,32.94,21.2728,2099600
2009-02-10,32.73,33.09,31.69,31.86,20.5753,2602100
2009-02-11,31.96,32.17,31.36,31.67,20.4524,1789600
2009-02-12,31.2,31.49,30.7,31.44,20.3043,2299200
2009-02-13,31.47,32.22,31.43,31.81,20.5433,2398200
2009-02-17,31.03,31.17,30.01,30.05,19.4065,2924400
2009-02-18,30.19,30.19,29.59,29.8,19.2448,2633400
2009-02-19,29.81,30.46,29.74,30.11,19.445,2496600
2009-02-20,29.66,30.33,29.01,29.46,19.0254,2883600
2009-02-23,29.56,29.69,28.3,28.4,18.3407,3190700
2009-02-24,28.58,29.73,28.43,29.58,19.1027,3016900
2009-02-25,29.32,29.69,29.11,29.34,18.9478,2431100
2009-02-26,29.69,29.95,28.71,28.77,18.5796,3071700
2009-02-27,28.59,28.96,27.7,28.05,18.1148,4360300
