Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,21.3,22.064,21.3,22.064,17.4011,400
2009-01-05,21.495,21.65,21.34,21.38,16.8617,10588
2009-01-06,22.21,22.21,22.21,22.21,17.5163,200
2009-01-07,21.874,21.874,21.544,21.544,16.9911,11875
2009-01-08,21.2,21.2,21.1,21.1,16.6408,11900
2009-01-09,20.7,20.7,20.6,20.6,16.2466,11400
2009-01-12,20.1,20.1,19.5,19.5,15.3791,9300
2009-01-13,19.67,19.92,19.67,19.92,15.7103,29009
2009-01-14,19.5,19.5,18.75,18.76,14.7955,19074
2009-01-15,19.35,19.52,19.32,19.52,15.3948,9100
2009-01-16,20.31,20.31,19.316,19.6268,15.4791,1345
2009-01-21,17.31,18.534,17.31,18.534,14.6171,200
2009-01-22,18.46,18.47,17.7601,17.7601,14.0068,600
2009-01-23,17.75,17.75,17.4,17.47,13.778,19200
2009-01-26,17.92,18.19,17.92,18.19,14.3458,2310
2009-01-27,18.484,18.484,18.484,18.484,14.5777,200
2009-01-28,18.42,18.42,18.37,18.37,14.4879,585
2009-01-29,18,18.03,17.81,17.88,14.1015,24225
2009-01-30,18.03,18.04,17.52,17.68,13.9436,20604
2009-02-02,17.0501,17.48,17.0501,17.48,13.786,300
2009-02-03,17.52,17.52,17.46,17.46,13.77,704
2009-02-04,18.01,18.01,17.81,17.81,14.0463,500
2009-02-05,18.2,18.2,18.0991,18.12,14.2908,500
2009-02-06,18.59,18.59,18.59,18.59,14.6613,100
2009-02-09,19.02,19.0699,19,19.0699,15.0396,500
2009-02-10,18.9507,18.9507,18.22,18.22,14.3695,21981
2009-02-11,18.87,18.87,18.39,18.53,14.6141,4619
2009-02-12,18.49,18.49,18.39,18.39,14.5037,200
2009-02-13,18.86,18.86,18.86,18.86,14.8743,100
2009-02-17,18.55,18.55,17.63,18.434,14.5383,640
2009-02-18,18.45,18.45,18.19,18.19,14.3458,430
2009-02-19,18.91,18.91,18.34,18.34,14.4641,300
2009-02-20,19.06,19.06,18.0504,18.46,14.5587,665
2009-02-23,18.7,18.7,18.0001,18.05,14.2354,810
2009-02-24,17.82,18.27,17.82,18.27,14.409,20680
2009-02-25,18.56,18.56,18.56,18.56,14.6377,100
2009-02-26,18.82,18.82,18.71,18.71,14.756,200
2009-02-27,18.56,18.56,18.02,18.02,14.2119,700
2009-03-02,18.08,18.08,17.44,17.49,13.7939,1556
2009-03-03,18.1999,18.1999,17.12,17.12,13.502,2019
2009-03-04,17.83,17.83,17.63,17.63,13.9041,200
2009-03-05,17.61,17.61,17.61,17.61,13.8885,100
2009-03-06,17.65,17.8,17.65,17.71,13.9674,1400
2009-03-09,17.52,17.78,17.47,17.4901,13.7939,1614
2009-03-10,18.18,18.18,17.99,17.99,14.1881,300
2009-03-11,18.24,18.31,18.23,18.31,14.4405,300
2009-03-12,18.35,18.69,18.35,18.69,14.7403,200
2009-03-13,18.7705,18.7705,18.65,18.6501,14.7087,500
2009-03-16,19.12,19.12,18.94,18.94,14.9375,601
2009-03-17,18.95,18.95,18.907,18.907,14.9114,200
2009-03-18,18.96,20.1,18.86,20.1,15.8522,1300
2009-03-19,19.99,20.09,19.84,19.84,15.6472,7300
2009-03-20,20.04,20.04,19.59,19.59,15.45,300
2009-03-23,20.54,21.19,20.27,20.6,16.2466,1400
2009-03-24,20,20.35,20,20.28,15.9942,144700
2009-03-25,20.23,20.3099,19.78,19.78,15.5998,9700
2009-03-26,21.28,21.28,20.35,20.55,16.2072,1300
2009-03-27,20.4,20.4,19.89,19.89,15.6867,5100
2009-03-30,19.29,19.39,19.29,19.39,15.2924,1700
2009-03-31,19.44,19.75,19.44,19.74,15.5683,900
2009-04-01,19.93,20.04,19.91,20.04,15.8049,800
2009-04-02,21.41,22.03,20.75,20.7947,16.4002,4900
2009-04-03,20.47,20.76,20.47,20.55,16.2072,4900
2009-04-06,20.48,20.535,20.29,20.535,16.1953,1109
2009-04-07,20.35,20.35,20.2399,20.2399,15.9626,400
2009-04-08,20.4,20.72,20.37,20.48,16.152,1679
2009-04-09,20.52,20.5414,20.5124,20.5414,16.2003,535
2009-04-13,20.68,20.74,20.68,20.74,16.3571,300
2009-04-14,20.73,20.73,20.02,20.1,15.8522,2451
2009-04-15,20.33,20.44,20.315,20.44,16.1203,1994
2009-04-16,20.62,21.06,20.6,21.06,16.6094,1150
2009-04-17,21.01,21.01,20.9388,20.9388,16.5138,600
