Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,46.35,46.72,45,46.28,17.6078,2510910
2009-01-05,45.99,46.57,45,45.66,17.3719,2785006
2009-01-06,46.03,46.96,45.07,45.65,17.368,3297872
2009-01-07,45.08,45.36,43.67,44.04,16.7556,3609393
2009-01-08,43.85,45.32,43.61,45.13,17.1704,2756996
2009-01-09,45.22,45.3,43.31,43.74,16.6413,3835183
2009-01-12,43.51,44.01,40.86,41.55,15.8082,5060530
2009-01-13,41,42.28,39.78,40.17,15.2831,5698317
2009-01-14,39.12,39.47,37.63,38.3,14.5718,4546335
2009-01-15,38.36,40.08,37.03,38.65,14.7048,4850556
2009-01-16,39.61,41.5,38.76,39.8,15.1423,5007871
2009-01-20,39.26,39.45,33.51,33.55,12.7646,8893684
2009-01-21,34.97,36.6,34.68,36.27,13.7994,8678273
2009-01-22,32.21,33.5,22.08,22.9,8.7127,46333321
2009-01-23,23.34,28.44,23.04,24.49,9.3176,35535729
2009-01-26,24.92,25.09,19.35,19.62,7.4646,26784530
2009-01-27,20.55,22.75,19.67,22.14,8.4235,24362852
2009-01-28,25.19,26.16,23.91,25.06,9.5344,20265332
2009-01-29,23.92,24.63,23.1,23.34,8.8799,9606109
2009-01-30,24.15,24.15,22.67,23.21,8.8306,7759168
2009-02-02,22.82,23.68,21.91,23.03,8.7621,9576509
2009-02-03,24.15,25.2,21.68,22.63,8.61,17975037
2009-02-04,22.75,23.42,20.91,21.05,8.0087,13898978
2009-02-05,21.11,23.86,20.66,23.11,8.7924,11320651
2009-02-06,23.2,23.75,20.28,21.8,8.2942,22668500
2009-02-09,22.66,24.02,22.33,23.69,9.0131,9965659
2009-02-10,23.37,24.17,22.02,22.13,8.4196,11509186
2009-02-11,22.79,23,21.89,22.34,8.4996,7342233
2009-02-12,21.41,22.35,21.05,22.09,8.4044,8984653
2009-02-13,22.12,22.12,20.2,20.51,7.9035,8746821
2009-02-17,19.55,19.97,17.35,17.64,6.7975,15922874
2009-02-18,18.2,18.62,17.52,18.17,7.0018,10726838
2009-02-19,18.62,18.72,16.06,16.32,6.2889,12273322
2009-02-20,16,17.66,15.12,17.01,6.5548,19889465
2009-02-23,17.58,17.75,15.72,15.8,6.0886,11000552
2009-02-24,15.73,16.75,15.04,16.64,6.4121,19761944
2009-02-25,16.63,16.75,15.07,16.11,6.2081,13911200
2009-02-26,18.03,20.08,17.81,18.96,7.3062,19578853
2009-02-27,17.09,17.78,16.23,16.76,6.4586,17424534
2009-03-02,15.71,16.52,15.57,16.01,6.1693,11340401
2009-03-03,16.65,16.65,13.95,14.18,5.4642,17286865
2009-03-04,15.27,15.48,13.66,14.99,5.7764,11887457
2009-03-05,14.5,14.54,13.14,13.63,5.2524,15296562
2009-03-06,14.11,14.18,12.65,13.44,5.1791,13613279
2009-03-09,11.14,12.49,10.83,11.49,4.4276,19084286
2009-03-10,11.79,13.23,11.33,13.22,5.0942,15667730
2009-03-11,13.43,13.82,12.82,13.62,5.2483,11724796
2009-03-12,13.61,15.13,12.57,14.92,5.7495,13913658
2009-03-13,15.19,15.92,13.5,14.58,5.6185,14191496
2009-03-16,15.13,16.56,14.9,14.98,5.7725,12014344
2009-03-17,15.42,16.18,14.33,16.15,6.2233,10816431
2009-03-18,16.1,21.09,15.72,21.04,8.1077,22184838
2009-03-19,21.33,21.85,19.62,19.86,7.653,17701658
2009-03-20,20.11,20.11,18.04,18.38,7.0827,11478760
2009-03-23,19.49,21.7,19.29,21.69,8.3582,13481538
2009-03-24,20.79,22.92,20.3,21.14,8.1463,12572764
2009-03-25,21.81,22.2,18.6,19.89,7.6646,15704492
2009-03-26,20.22,20.97,19.61,20.72,7.9844,10927077
2009-03-27,20.1,20.57,19.7,19.81,7.6337,9510638
2009-03-30,18.72,18.87,17.5,17.6,6.7822,9838424
2009-03-31,18.23,19.5,18,19.36,7.4604,9423766
2009-04-01,18.62,19.04,17.25,18.75,7.2253,12124692
2009-04-02,19.75,21,19.65,20.61,7.9419,11014609
2009-04-03,20.59,21.13,19.89,21.05,8.1115,8732968
2009-04-06,20.22,21.05,20,20.66,7.9613,6092551
2009-04-07,20.39,20.65,19.72,20.17,7.7725,7729463
2009-04-08,21.8,22.09,20.33,20.89,8.0498,8114827
2009-04-09,21.9,24.98,21.75,24.95,9.6142,14216985
2009-04-13,24.44,25.86,23.86,25.76,9.9266,11234512
2009-04-14,25.03,26.3,23.7,23.9,9.2098,12105739
2009-04-15,23.72,25.19,22.9,25.11,9.676,7321374
2009-04-16,25.34,27.32,24.69,26.71,10.2927,11991551
2009-04-17,26.25,29.28,26.25,28.7,11.0596,12359174
2009-04-20,27.24,27.46,24.88,24.97,9.6222,16939429
2009-04-21,23.92,29.38,23.58,29.23,11.2638,18478621
2009-04-22,27.49,29.63,26.91,27.66,10.6587,13755445
2009-04-23,28.12,28.94,27.23,28.66,11.0441,8637695
2009-04-24,28.56,29.25,27.8,28.62,11.0287,8979250
2009-04-27,27.97,28.66,27.49,28.05,10.809,8111838
2009-04-28,27.75,28.39,27.5,27.58,10.6278,7691113
2009-04-29,28.24,29.67,27.711,29.13,11.2251,9172770
2009-04-30,29.47,30.45,28.6,28.89,11.1327,12071130
2009-05-01,28.98,29.74,28.6,29.32,11.2983,6061994
2009-05-04,29.94,30.53,28.74,30.24,11.6527,9855163
2009-05-05,30.07,31.75,29.8,30.82,11.8764,7480974
2009-05-06,31.76,33.79,31.1,33.48,12.9013,12817968
2009-05-07,34.46,35.24,32.86,33.08,12.7472,10466178
2009-05-08,33.56,37.66,33.4,37.66,14.5121,10904418
2009-05-11,36.25,36.34,33.4,33.67,12.9747,9845171
2009-05-12,34.79,35.12,32.88,34.26,13.2021,8091521
2009-05-13,33.19,33.24,31.2336,31.65,12.1963,9628079
2009-05-14,31.58,34.33,31.03,33.75,13.0056,7819309
2009-05-15,33.39,33.4,32,32.14,12.3851,7049534
2009-05-18,32.82,35.73,32.5,35.52,13.7963,10091551
2009-05-19,35.34,35.82,34.02,34.08,13.237,8074247
2009-05-20,35.14,36.88,34.3,34.4,13.3613,9528684
2009-05-21,33.9,34.46,33.18,34.11,13.2486,6579654
2009-05-22,34.32,35.15,33.55,34.48,13.3924,5637308
2009-05-26,34.2,36.44,34.05,36.44,14.1537,6811461
2009-05-27,36.11,36.3,33.5,33.56,13.035,7776368
2009-05-28,34.13,36.1,34.02,36.07,14.0101,7493359
2009-05-29,36.09,36.09,34.4,35.5,13.7884,7654382
2009-06-01,36.17,37.62,35.83,36.26,14.0838,8120015
2009-06-02,36.47,37.73,36.3,36.5,14.1769,6241583
2009-06-03,36.46,36.46,33.63,34.18,13.2758,8493534
2009-06-04,34.88,35.32,33.88,34.29,13.3185,7968558
2009-06-05,35.25,35.25,33,33.52,13.0195,7197090
2009-06-08,33.28,34.16,32.82,33.8,13.1282,5364296
