Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,31.4,33.8,31,33.8,24.9868,1636200
2009-01-05,34,35,33.2,33.2,24.5433,1707300
2009-01-06,34,34.8,33.6,34.8,25.7261,1460400
2009-01-07,34.4,34.4,32.8,32.8,24.2476,1338300
2009-01-08,33,33.2,32.4,33,24.3954,994300
2009-01-09,33.4,33.6,32.4,32.4,23.9519,873400
2009-01-12,32.8,33,30.6,30.8,22.7691,1556600
2009-01-13,31,31.8,30.6,31.6,23.3605,1215000
2009-01-14,30.8,31,29.8,29.8,22.0298,1545900
2009-01-15,30.2,30.4,27.8,28.2,20.847,2399100
2009-01-16,29.6,30,28,28.4,20.9948,1729300
2009-01-20,28.8,30,27.4,27.4,20.2556,2627200
2009-01-21,28,29.2,27,29,21.4384,1960000
2009-01-22,28.2,28.6,26.2,26.2,19.3685,1749500
2009-01-23,25.6,27.4,25,27.4,20.2556,1674200
2009-01-26,26.8,27.6,25.2,25.2,18.6292,1322800
2009-01-27,25.6,27,25.2,27,19.9599,906400
2009-01-28,28,28.2,27.2,28.2,20.847,1777400
2009-01-29,27.2,27.2,25.8,25.8,19.0728,1086200
2009-01-30,26.4,26.8,25.4,25.6,18.9249,1410200
2009-02-02,25.4,25.4,24,24.6,18.1857,1593600
2009-02-03,24.6,24.8,20,21.6,15.9679,3445300
2009-02-04,22,22,20.4,20.6,15.2287,1911200
2009-02-05,20.4,20.8,19.8,20,14.7851,2603400
2009-02-06,20.2,20.8,18,20.8,15.3765,3038100
2009-02-09,21,21.4,20,20.8,15.3765,1439400
2009-02-10,21.2,21.4,18.4,18.4,13.6023,2965200
2009-02-11,19.8,19.8,17.8,19.2,14.1937,1846400
2009-02-12,18.2,18.8,17,18,13.3066,1869100
2009-02-13,18,18.2,17,17,12.5673,866800
2009-02-17,15.8,16.4,15,15.6,11.5324,1695500
2009-02-18,15.8,16,14.2,14.6,10.7931,1318800
2009-02-19,14.4,14.4,11,11.8,8.7232,2701600
2009-02-20,11.2,11.8,9.8,10.8,7.984,3683400
2009-02-23,11.8,12.6,9,10.6,7.8361,3900100
2009-02-24,9.2,9.4,7.6,8.2,6.0619,5250300
2009-02-25,8.6,9.4,8.2,9.2,6.8011,2998800
2009-02-26,11.4,11.6,9.6,10.4,7.6883,3983200
2009-02-27,9.2,9.8,8.2,8.4,6.2097,3329800
2009-03-02,10.4,10.4,8.4,8.4,6.2097,3450200
2009-03-03,10,10,8.6,8.6,6.3576,2909900
2009-03-04,10,10,8.2,8.6,6.3576,2601300
2009-03-05,8.4,8.8,7,7,5.1748,3132700
2009-03-06,7.4,7.4,6.6,7,5.1748,2601400
2009-03-09,7.6,7.6,6.6,7,5.1748,1906200
2009-03-10,7.8,8.4,7,8.4,6.2097,3022400
2009-03-11,8.6,8.8,7.8,8.2,6.0619,2194600
2009-03-12,8.2,8.4,7.4,8.2,6.0619,2337600
2009-03-13,8.4,10.2,8.4,10,7.3925,3542700
2009-03-16,12.2,20,11.4,16.6,12.2716,14289200
2009-03-17,18.8,20,16.6,19.2,14.1937,8738900
2009-03-18,20,29,19.6,27.6,20.4034,29134700
2009-03-19,39.8,40,27.8,32.4,23.9519,27918400
2009-03-20,28.8,29,21.2,25.2,18.6292,20180600
2009-03-23,30,30.8,28,29.6,21.8819,12014600
2009-03-24,28.4,30.8,26.4,27.8,20.5513,11326300
2009-03-25,29,29.2,23,24,17.7421,16034400
2009-03-26,25.6,25.6,22,22,16.2636,11401900
2009-03-27,20.6,21.6,18.4,20.4,15.0808,11188300
2009-03-30,19.6,21,18.6,19,14.0458,5709800
2009-03-31,20.8,21,19.2,20,14.7851,6350600
2009-04-01,19.6,21.4,19.4,21.4,15.8201,4199500
2009-04-02,24.4,24.6,22,22.8,16.855,7532300
2009-04-03,23,23,21.4,22.8,16.855,4270800
2009-04-06,22.4,22.4,21.6,22,16.2636,3171100
2009-04-07,21.6,21.6,21,21,15.5244,2464100
2009-04-08,21.6,22.4,21.2,21.6,15.9679,2534700
2009-04-09,23.2,23.2,22.2,23.2,17.1507,4608500
2009-04-13,23.4,28.6,23.2,28.4,20.9948,8969300
2009-04-14,30.6,35.6,30,30.4,22.4733,17604700
2009-04-15,32.4,32.8,31,32,23.6562,7526300
2009-04-16,34.6,34.8,33,33.8,24.9868,7183800
2009-04-17,34.6,34.6,30.6,32.4,23.9519,8119400
2009-04-20,30.4,30.6,25.8,25.8,19.0728,8303200
2009-04-21,24.8,29.8,23.4,29.2,21.5862,8554300
2009-04-22,29.8,31.4,27,28.6,21.1427,5998200
2009-04-23,29.6,30.8,29.2,30,22.1777,3674500
2009-04-24,30.6,30.6,28.6,29.2,21.5862,3964300
2009-04-27,28,28.8,27.2,28,20.6991,2879700
2009-04-28,27,29.6,26.6,26.8,19.812,2707000
2009-04-29,27.8,28.4,27.4,28.2,20.847,3070800
2009-04-30,29,29.2,27.2,27.6,20.4034,2994400
2009-05-01,27.6,28.2,27.4,27.6,20.4034,1568600
2009-05-04,28.6,30.2,28.2,29.2,21.5862,5272200
2009-05-05,32.6,35,31.2,34.6,25.5782,13009700
2009-05-06,35.2,38.8,35,36.8,27.2046,13651600
2009-05-07,42.4,43.8,37.2,39,28.8309,17483600
2009-05-08,41.8,42.4,39.4,40.2,29.7181,9489800
2009-05-11,39.2,39.8,36,38,28.0917,6228900
2009-05-12,38.8,39.6,36,36.2,26.761,6397700
2009-05-13,35,35.4,32,32,23.6562,6427400
2009-05-14,32.4,36.8,32.4,36.8,27.2046,6476300
2009-05-15,37.2,38.6,33.2,34.4,25.4304,5877000
2009-05-18,36.6,37,35.2,36.6,27.0567,4387300
2009-05-19,37.6,37.8,36,36.2,26.761,3438100
2009-05-20,36.6,37.6,35.4,35.6,26.3175,3234400
2009-05-21,35.2,36.6,34.6,36,26.6132,2588600
2009-05-22,33.8,36,32.2,34,25.1347,5426800
2009-05-26,33,34.2,32.4,34,25.1347,3369600
2009-05-27,34,34.4,33.2,33.2,24.5433,2327900
2009-05-28,33.4,33.8,32.6,33.4,24.6911,2539300
2009-05-29,34.2,34.2,33,33.8,24.9868,2130300
2009-06-01,34,34.2,33,33.2,24.5433,2368100
2009-06-02,32.8,33,31.2,31.2,23.0648,3923700
2009-06-03,31.2,31.2,29,29.4,21.7341,4988200
