Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,25.97,26,25.47,25.78,17.5459,490318
2009-01-05,25.62,25.87,25.3,25.62,17.4367,690095
2009-01-06,25.71,25.97,25.15,25.75,17.5256,703455
2009-01-07,25.51,26.02,25.45,25.54,17.3826,842463
2009-01-08,25.19,25.91,25.19,25.8,17.5592,830173
2009-01-09,25.66,25.8,25.25,25.31,17.2258,505956
2009-01-12,24.53,25.08,23.73,24.35,16.5723,1042247
2009-01-13,24.51,24.93,24.22,24.7,16.8106,735949
2009-01-14,24.36,24.52,23.65,23.65,16.0961,900000
2009-01-15,23.72,24.36,23.29,23.92,16.2798,963793
2009-01-16,24.14,24.59,24.04,24.35,16.5723,876527
2009-01-20,23.98,25.27,23.1,24.29,16.5316,1274118
2009-01-21,24.71,24.71,23.56,24.6,16.743,1152732
2009-01-22,23.65,24.62,23.65,24,16.3343,988379
2009-01-23,23.59,24.09,23.02,23.85,16.2324,954302
2009-01-26,23.94,24.14,23.4,23.62,16.0757,837466
2009-01-27,23.7,24.19,23.38,23.72,16.1436,764068
2009-01-28,24.23,24.46,23.74,24.38,16.5932,1047143
2009-01-29,24.17,24.38,23.77,23.84,16.225,802728
2009-01-30,24.02,24.31,23.5,23.57,16.0416,1040793
2009-02-02,23.29,24.09,23.17,24.03,16.3546,1356778
2009-02-03,24.02,24.16,23.62,23.76,16.1711,1355905
2009-02-04,20.99,21,18.309,18.45,12.5568,3851020
2009-02-05,18.61,18.85,17.78,18.73,12.7475,3544945
2009-02-06,18.87,18.87,17.61,17.95,12.2169,2956298
2009-02-09,18,18.07,17.58,17.9,12.1827,1628954
2009-02-10,17.87,18.33,17.41,17.5,11.9103,1952599
2009-02-11,17.52,17.99,16.99,17.99,12.2437,1897570
2009-02-12,18.32,18.89,17.69,18.34,12.4823,1954806
2009-02-13,18.28,18.6,17.36,17.53,11.9309,1589956
2009-02-17,17.11,17.81,16.88,17.54,11.9374,1833621
2009-02-18,17.31,17.81,17.01,17.57,11.958,1307040
2009-02-19,17.58,17.58,16.88,16.92,11.5159,1002872
2009-02-20,16.79,16.92,16.27,16.64,11.325,1435239
2009-02-23,16.77,16.96,16.01,16.01,10.8964,940730
2009-02-24,16.05,16.31,15.58,16.27,11.0734,1588208
2009-02-25,16.16,16.54,15.88,16.2,11.0254,974591
2009-02-26,16.35,16.48,15.51,15.78,10.7398,1245896
2009-02-27,15.57,16.28,15.57,15.87,10.801,1957568
2009-03-02,15.54,15.72,15.31,15.57,10.5969,1710006
2009-03-03,15.46,15.69,14.96,15.04,10.2361,1395530
2009-03-04,14.95,15.75,14.82,15.46,10.5222,1714911
2009-03-05,15.59,15.63,15.2,15.49,10.5422,2969457
2009-03-06,15.62,15.74,15.17,15.68,10.6717,1513625
2009-03-09,15.86,15.86,15.31,15.49,10.5422,1247529
2009-03-10,15.74,15.91,15.06,15.88,10.8077,1479201
2009-03-11,15.95,16.02,15.34,15.92,10.8351,1090389
2009-03-12,15.95,16.26,15.4,16.19,11.0187,1564594
2009-03-13,16.21,16.7,15.89,16.63,11.3183,1214801
2009-03-16,16.43,16.82,16.03,16.14,10.9846,1591452
2009-03-17,16.29,16.78,15.98,16.77,11.4135,987064
2009-03-18,16.69,17.57,16.43,17.56,11.9514,1437711
2009-03-19,17.56,17.59,16.99,17.07,11.6177,1375856
2009-03-20,17.05,17.47,16.99,17.03,11.5906,1073343
2009-03-23,17.31,17.73,16.94,17.7,12.0466,1385588
2009-03-24,17.5,17.85,17.2,17.44,11.8695,1560925
2009-03-25,17.57,17.96,17.34,17.89,12.1761,1935620
2009-03-26,17.95,18.33,17.76,18.2,12.3868,1362424
2009-03-27,17.87,17.87,17.23,17.25,11.9504,1365801
2009-03-30,16.99,17.12,16.63,16.67,11.5486,1342112
2009-03-31,16.81,17.15,16.44,17,11.7772,1351839
2009-04-01,16.86,17.02,16.51,16.86,11.6803,1170148
2009-04-02,17.08,17.25,16.67,16.86,11.6803,1380133
2009-04-03,16.91,17.53,16.52,17.51,12.1304,2329094
2009-04-06,17.38,17.57,17.22,17.32,11.9987,875283
2009-04-07,17.16,17.41,16.99,17.15,11.881,867412
2009-04-08,17.25,17.4,16.97,17.23,11.9365,621687
2009-04-09,17.51,18.09,17.11,18.08,12.5255,2260005
2009-04-13,17.88,18.04,17.56,18,12.47,873460
2009-04-14,18.03,18.08,17.58,17.6,12.1927,1217540
2009-04-15,17.73,18.46,17.58,18.45,12.7816,984945
2009-04-16,18.56,18.85,18.19,18.74,12.9826,927231
2009-04-17,18.72,18.94,18.44,18.78,13.0103,1236345
2009-04-20,18.49,18.95,18.18,18.19,12.6014,1204128
2009-04-21,18.03,18.65,16.86,18.62,12.8995,1490749
2009-04-22,18.38,18.66,17.74,18.15,12.5737,1398801
2009-04-23,18.34,18.34,17.45,18.04,12.4975,1184533
2009-04-24,18.13,18.51,17.7,18.38,12.7332,1440886
2009-04-27,18.28,19.19,18.28,19.02,13.1763,1896088
2009-04-28,18.6,19.22,18.5,19.05,13.1977,1515251
2009-04-29,22,22.55,21.44,22.45,15.5528,3520376
2009-04-30,22.5,23.25,22.46,22.48,15.5735,2021985
2009-05-01,22.49,22.49,21.3,21.39,14.8185,1880066
2009-05-04,21.15,21.61,21.04,21.45,14.8601,2555523
2009-05-05,21.42,21.87,21.34,21.7,15.0334,1410107
2009-05-06,21.84,21.84,21.23,21.53,14.9153,1776769
2009-05-07,21.77,21.9,21.1,21.14,14.6451,1649997
2009-05-08,21.55,22.07,21.09,22.07,15.2897,1196259
2009-05-11,21.43,21.95,21,21.45,14.8601,1154123
2009-05-12,21.58,21.95,21.18,21.28,14.7419,1169779
2009-05-13,21.16,21.55,20.67,20.67,14.3197,1252975
