Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,35.41,36.43,35.41,36.13,18.065,466705
2009-01-05,36.29,37.27,35.89,37,18.5,578628
2009-01-06,37.33,37.99,36.65,36.82,18.41,640628
2009-01-07,36.21,37.13,35.14,35.8,17.9,979132
2009-01-08,35.62,36.46,35.61,36.22,18.11,537088
2009-01-09,36.11,36.11,34.09,34.15,17.075,945495
2009-01-12,34.21,35.02,34.04,34.31,17.155,808504
2009-01-13,34.4,37.37,34.3075,37.01,18.505,1271393
2009-01-14,36.99,37.57,36.1,36.39,18.195,1091161
2009-01-15,36.35,37.1,35.44,37.04,18.52,710046
2009-01-16,37.27,37.55,36.72,37.5,18.75,702351
2009-01-20,37.05,37.485,35.74,35.79,17.895,963706
2009-01-21,36.1,37.5,35.75,37.35,18.675,3761998
2009-01-22,36.58,37.79,36.37,37.27,18.635,999749
2009-01-23,36.86,37,35.87,36.37,18.185,792727
2009-01-26,36.53,36.7,35.52,35.95,17.975,750401
2009-01-27,35.93,36.19,35,35.14,17.57,792297
2009-01-28,35.74,36.57,35.58,35.83,17.915,1037107
2009-01-29,35.65,37.38,35.52,36.37,18.185,590734
2009-01-30,36.78,37.65,36.38,36.87,18.435,757423
2009-02-02,36.48,37.27,36.29,36.86,18.43,623302
2009-02-03,36.95,37.52,36.44,37.3,18.65,742645
2009-02-04,37.19,38.78,37.05,37.82,18.91,858464
2009-02-05,37.48,39.55,37.25,39.18,19.59,1046644
2009-02-06,39.11,39.79,37.98,38.43,19.215,907329
2009-02-09,38.78,38.89,37.69,38.18,19.09,834341
2009-02-10,38.43,38.48,36.7402,36.94,18.47,1011787
2009-02-11,37.2,37.5,35.96,36.88,18.44,1283659
2009-02-12,36.86,40.38,35.91,40.17,20.085,3112471
2009-02-13,40.11,40.59,39.61,39.91,19.955,979999
2009-02-17,39.61,39.89,38.65,39.42,19.71,1254689
2009-02-18,40,40.01,38.952,39.57,19.785,990358
2009-02-19,39.57,39.98,38.25,38.42,19.21,843310
2009-02-20,37.77,38.36,36.98,37.98,18.99,936934
2009-02-23,38.18,38.61,36.12,36.15,18.075,921697
2009-02-24,36.58,38.1,36.07,37.88,18.94,935128
2009-02-25,37.71,38.85,37.29,37.68,18.84,774317
2009-02-26,38.1,39.63,36.7,36.98,18.49,1595232
2009-02-27,36,36.29,33.92,34.2,17.1,2035194
2009-03-02,34,34.305,31.95,32.06,16.03,1337474
2009-03-03,32.53,33.44,31.75,32.46,16.23,870641
2009-03-04,33.06,34.73,32.6,33.94,16.97,1189439
2009-03-05,33.57,33.68,31.94,32.04,16.02,778565
2009-03-06,32.37,32.795,31.56,32.28,16.14,754451
2009-03-09,32.11,33.21,31.38,31.65,15.825,1385364
2009-03-10,32.09,33.62,31.98,33.23,16.615,1142968
2009-03-11,33.31,34.54,30.78,31.67,15.835,1870786
2009-03-12,32.44,34.8,31.51,34.71,17.355,1410524
2009-03-13,34.76,35.76,34.33,35.37,17.685,807721
2009-03-16,35.55,35.55,34.34,34.55,17.275,568545
2009-03-17,34.5,36,34.24,36,18,712720
2009-03-18,35.97,37.92,35.76,36.5,18.25,1326946
2009-03-19,37.1,38.3,36.5,38.02,19.01,1326815
2009-03-20,38.37,38.5,37.0974,37.1,18.55,1294869
2009-03-23,37.65,39.29,37.41,38.79,19.395,1282341
2009-03-24,38.42,38.89,37.58,37.79,18.895,464325
2009-03-25,37.95,38.84,36.6,37.95,18.975,692983
2009-03-26,38.3,39.51,37.4301,39.4,19.7,947111
2009-03-27,38.72,39.22,38.04,38.4,19.2,667207
2009-03-30,37.9,38.37,36.87,38.25,19.125,590583
2009-03-31,38.77,39.19,37.44,37.66,18.83,1166153
2009-04-01,36.91,37.02,35.39,36.94,18.47,1795427
2009-04-02,37.65,38.32,37.23,37.51,18.755,1193210
2009-04-03,37.55,37.897,37.165,37.76,18.88,502638
2009-04-06,37.23,37.23,36.195,36.7,18.35,922531
2009-04-07,36.31,36.635,35.29,35.29,17.645,731872
2009-04-08,35.38,36.22,34.94,36.18,18.09,597209
2009-04-09,36.51,37.49,36.19,37.15,18.575,1281571
