Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,23.4,24.2089,22.43,24,18.6462,3214324
2009-01-05,23.82,24.44,23.09,24.14,18.7556,3226818
2009-01-06,24.36,25.61,24.08,25.1,19.5011,4051508
2009-01-07,24.34,24.58,22.8,23,17.8692,3699230
2009-01-08,22.76,23.82,22.48,23.8,18.491,2986278
2009-01-09,24.04,24.12,22.67,22.8,17.7142,3198546
2009-01-12,23.22,23.22,20.64,20.94,16.2691,3179335
2009-01-13,20.59,22.05,20.38,21.6,16.7816,2652064
2009-01-14,20.8,20.94,19.44,20.08,15.6008,3789873
2009-01-15,20.1,21.04,18.88,19.97,15.5151,4128299
2009-01-16,20.75,21.58,19.93,21.31,16.5562,5900009
2009-01-20,20.14,21.29,17.58,17.58,13.6584,5735317
2009-01-21,18.1,20.82,17.62,20.51,15.9347,6885284
2009-01-22,19.75,20.85,18.82,19.18,14.9016,4716571
2009-01-23,18.09,20.07,18.09,19.46,15.119,5137368
2009-01-26,19.64,21.1,19.27,19.92,15.4764,4036758
2009-01-27,20.35,20.7,19.5,20.48,15.9114,2946160
2009-01-28,21.59,22.8,21.23,22.12,17.1857,6231949
2009-01-29,21.28,22.13,20,21.24,16.5018,4245342
2009-01-30,21.6,21.84,19.8975,20.15,15.6549,3454811
2009-02-02,19.49,21.54,19.22,21.34,16.5801,3895365
2009-02-03,21.64,21.72,19.8,20.83,16.1833,3921201
2009-02-04,20.99,21.56,20.46,20.78,16.2775,3855871
2009-02-05,20.58,22.43,20.27,21.87,17.1313,4014967
2009-02-06,22.27,22.66,21.35,21.68,16.9825,6629295
2009-02-09,21.66,22.61,21.13,21.83,17.1001,4051481
2009-02-10,21.55,22.06,19.65,19.87,15.5644,5162248
2009-02-11,20.33,20.85,19.63,20.81,16.3009,2879174
2009-02-12,19.76,21.12,19.54,20.94,16.4026,3308330
2009-02-13,20.75,21.13,20.32,20.46,16.0265,2866423
2009-02-17,19.31,19.64,17.98,18.04,14.1312,4961296
2009-02-18,18.33,18.91,17.49,18.61,14.5775,5745473
2009-02-19,18.7,19,16.97,17.09,13.3872,4688131
2009-02-20,16.43,17.72,15.91,17.15,13.4339,6031375
2009-02-23,17.47,17.695,15.88,15.99,12.5254,4746311
2009-02-24,16.11,17.79,15.93,17.75,13.9037,4529484
2009-02-25,17.44,17.64,16.32,16.88,13.2226,5049864
2009-02-26,17.58,17.69,16.35,16.7,13.0813,3881875
2009-02-27,16.04,16.59,15.55,15.94,12.4858,3880349
2009-03-02,15.24,15.91,14.86,14.99,11.7416,4579883
2009-03-03,15.21,15.22,14.31,14.57,11.4126,4221689
2009-03-04,15.2,15.88,14.32,15.47,12.118,4287732
2009-03-05,15.02,15.4,13.84,14.21,11.1307,4978621
2009-03-06,14.45,14.72,13.5,14.2,11.1233,4953257
2009-03-09,14.24,14.72,13.53,13.8,10.8096,3871637
2009-03-10,14.26,15.71,14.01,15.69,12.2903,5233834
2009-03-11,15.79,16.97,15.25,16.67,13.0582,4642152
2009-03-12,16.33,17.87,16.02,17.74,13.8962,4289511
2009-03-13,17.94,18.44,17.17,17.91,14.0295,3380504
2009-03-16,18.35,18.75,16.76,16.87,13.2147,4591243
2009-03-17,17.02,18.31,16.84,18.28,14.3189,4812052
2009-03-18,17.7,20.3,17.6,20.17,15.7994,6902496
2009-03-19,20.55,20.55,19.22,19.39,15.1886,4788539
2009-03-20,19.21,19.69,18.57,18.73,14.6717,4339996
2009-03-23,19.59,21.89,19.43,21.86,17.1232,4805738
2009-03-24,20.69,21.82,20.14,20.16,15.7916,4233705
2009-03-25,20.62,21.52,19.91,21.3,16.6847,3550579
2009-03-26,21.7,21.77,20.82,21.5,16.8414,4201911
2009-03-27,20.78,21.36,20.6,20.71,16.2225,3022579
2009-03-30,19.21,20.35,18.76,18.89,14.797,3649978
2009-03-31,19.37,20.73,19.21,20.49,16.0503,4187230
2009-04-01,19.76,21.15,19.76,21,16.45,2829180
2009-04-02,21.78,22.26,21.36,21.77,17.0526,4404483
2009-04-03,21.92,22.89,21.52,22.84,17.8911,2788456
2009-04-06,22.36,22.62,21.61,22.11,17.3192,3071076
2009-04-07,21.39,21.39,20.63,20.63,16.1601,2786661
2009-04-08,21.32,22.08,21.32,22.01,17.2408,3203865
2009-04-09,22.99,24.26,22.5,24.18,18.9408,4115432
2009-04-13,22.95,24.68,22.94,24.31,19.0425,3054296
2009-04-14,23.61,23.96,21.99,22.15,17.3506,4245849
2009-04-15,21.47,23.59,21.41,23.51,18.4158,3345894
2009-04-16,23.69,24.84,23.11,24.62,19.2854,4572122
2009-04-17,24.78,25.26,23.95,24.86,19.4733,3980761
2009-04-20,25.51,25.56,23.72,23.77,18.6197,6104125
2009-04-21,23.03,24.23,22.21,24.2,18.9563,6733059
2009-04-22,24.37,26.45,23.82,25.35,19.8572,8391033
2009-04-23,25.3,26.36,24.66,26.17,20.4995,3807589
2009-04-24,26.18,26.88,25.37,26.44,20.7108,3844463
2009-04-27,25.66,26.55,25.65,25.88,20.2721,2868935
2009-04-28,25.12,26.23,24.72,24.86,19.4733,4098794
2009-04-29,25.1,26.44,24.96,26.32,20.6169,4339075
2009-04-30,26.44,26.89,25.98,26.35,20.7747,2907578
2009-05-01,26.34,26.46,25.83,26.45,20.8535,3387629
2009-05-04,25.93,26.9,25.26,26.86,21.1768,4851194
2009-05-05,26.35,26.69,26,26.23,20.6802,2903489
2009-05-06,26.93,27.91,26.11,27.6,21.76,3817029
2009-05-07,28.43,29.55,26.74,26.9,21.2084,4206102
2009-05-08,27.39,29.05,27.28,29.02,22.88,4867271
2009-05-11,27.87,28.15,25.97,26.11,20.5857,4334256
2009-05-12,26.29,26.62,24.91,25.66,20.2307,4236734
2009-05-13,25.29,25.54,24.29,24.46,19.2846,3665946
2009-05-14,24.39,25.48,24.14,25.06,19.7576,2676438
2009-05-15,25.11,26.08,24.56,25.4,20.0256,3024442
2009-05-18,25.94,27.61,25.46,27.44,21.6341,4330206
2009-05-19,27.3,29.48,26.89,28.94,22.8163,6921507
2009-05-20,29.42,29.84,27.58,28.06,22.1227,4554746
2009-05-21,27.6,28.43,27.26,28.37,22.3676,3011955
2009-05-22,28.48,29.08,28.17,28.73,22.6512,2911273
2009-05-26,28.46,29.79,28.06,29.72,23.4315,3589915
2009-05-27,29.8,30.08,28.5,28.65,22.5877,4094202
2009-05-28,29.04,29.5,28.42,29.48,23.2423,2790486
2009-05-29,29.35,30.25,28.59,30.2,23.8098,2991245
2009-06-01,30.55,31.16,30,30.93,24.3855,4380894
2009-06-02,30.77,31.13,29.88,29.97,23.6288,4823560
2009-06-03,29.42,29.88,28.96,29.39,23.1713,3839501
2009-06-04,29.67,30.65,29.33,30.55,24.0859,3749563
2009-06-05,30.96,30.97,29.3,29.65,23.3767,4173891
2009-06-08,29.34,29.52,28.27,28.54,22.5016,4702805
2009-06-09,28.69,29.11,28.32,28.39,22.3832,4114903
2009-06-10,27.02,27.54,25.65,26.33,20.7587,7788236
2009-06-11,26.19,26.53,25.62,25.69,20.2545,6102169
2009-06-12,24.99,25.01,24.25,24.32,19.1744,34679621
2009-06-15,24.24,24.8,24.075,24.78,19.537,9249183
2009-06-16,24.79,24.85,24.19,24.41,19.2452,5218833
2009-06-17,24.3,24.4,23.76,23.85,18.8036,5617358
2009-06-18,23.93,24.19,23.75,23.84,18.7957,4392330
2009-06-19,24.05,24.08,23.44,24,18.9221,6816253
2009-06-22,23.63,23.86,22.75,22.79,17.9678,6262025
2009-06-23,22.97,23.21,22.55,23.01,18.1414,4763756
2009-06-24,23.22,24.15,23.09,23.95,18.8823,4715401
2009-06-25,23.71,24.17,23.53,24.03,18.9456,3154981
2009-06-26,23.95,24.1,23.66,23.89,18.8349,2909224
2009-06-29,23.63,24.3,23.56,24.15,19.0403,3662581
2009-06-30,24.18,24.41,23.78,24.27,19.1348,5417762
2009-07-01,24.4,24.87,24,24.61,19.4028,3113978
2009-07-02,24.27,24.49,23.34,23.34,18.4014,3092249
2009-07-06,23.19,23.73,22.95,23.73,18.7091,3191843
2009-07-07,23.49,23.7,22.53,22.57,17.7945,2765368
2009-07-08,22.77,22.84,21.6,22.01,17.3529,3929447
2009-07-09,22.35,22.835,22.23,22.53,17.7633,2108290
2009-07-10,22.29,22.45,21.96,22.14,17.4553,2001373
2009-07-13,22.52,23.43,22.02,23.43,18.4726,2995907
2009-07-14,23.37,23.53,22.86,23.51,18.5357,1947239
2009-07-15,23.82,24.66,23.78,24.4,19.2372,2977761
2009-07-16,24.09,24.91,23.85,24.69,19.4658,2331270
2009-07-17,24.69,24.84,24.25,24.63,19.4189,1986124
2009-07-20,24.73,25.05,24.58,24.95,19.6711,2407738
2009-07-21,24.97,25.145,24.63,25.1,19.7891,3301693
2009-07-22,24.74,25.15,24.645,24.99,19.7026,2641101
2009-07-23,25.08,26.48,24.8601,26.17,20.6326,4818879
2009-07-24,24.66,26.29,24.09,25.77,20.3172,6799209
2009-07-27,25.81,27.29,25.78,27.22,21.4605,4364901
2009-07-28,26.91,27.22,26.27,26.69,21.043,4063565
2009-07-29,26.63,26.74,25.99,26.58,20.956,2565695
2009-07-30,26.72,28.29,26.59,28.04,22.2497,4241363
2009-07-31,27.97,28.25,27.73,27.8,22.0588,3983111
2009-08-03,28.51,28.51,27.52,27.72,21.9958,3531617
2009-08-04,27.6,28.34,27.35,28.31,22.4636,2570760
2009-08-05,28.19,28.98,27.59,28.79,22.8443,2793646
2009-08-06,29.16,29.41,27.8,28,22.2178,3938210
2009-08-07,28.43,29.925,28.19,29.6,23.4874,3962291
2009-08-10,29.55,29.74,28.73,29.12,23.106,1676377
2009-08-11,28.99,29.13,27.71,27.82,22.0749,2673799
2009-08-12,27.9,29.25,27.6,28.72,22.7889,2108152
2009-08-13,28.93,29.34,28.61,29.17,23.1461,1825696
2009-08-14,29,29.16,28.59,28.86,22.9,2389815
2009-08-17,28.24,28.5,27.33,27.36,21.7097,2147917
2009-08-18,27.53,28.1,27.52,28.04,22.2497,2003881
2009-08-19,27.6,28.11,27.4,28.03,22.2411,1397643
2009-08-20,28.09,29.18,28.05,29.15,23.1305,2451457
2009-08-21,29.25,29.87,29,29.82,23.6616,2318626
2009-08-24,29.98,30.45,29.46,29.66,23.535,2301895
2009-08-25,29.99,30.62,29.79,30.36,24.0902,2695896
2009-08-26,30.19,30.32,29.68,29.82,23.6616,2594492
2009-08-27,29.99,30.08,29.19,30.06,23.8521,1952632
2009-08-28,30.36,30.39,29.65,30.2,23.9632,1351854
2009-08-31,29.71,30.18,29.53,30.03,23.8285,2616281
2009-09-01,30,30.04,28.07,28.25,22.4163,3623657
2009-09-02,28.43,28.43,27.74,28.01,22.2254,2362309
2009-09-03,28.41,28.93,28.03,28.91,22.9397,2224807
2009-09-04,28.91,29.12,28.59,29,23.011,1770854
2009-09-08,29.39,29.6,28.88,29.57,23.4633,1986820
2009-09-09,29.55,30.12,29.19,30.1,23.8839,1907074
2009-09-10,30.03,31.03,29.39,31,24.5982,2625461
2009-09-11,31.08,31.14,30.23,30.25,24.0028,2617010
2009-09-14,29.86,31.66,29.83,31.63,25.0984,2966007
2009-09-15,31.75,31.98,31.39,31.72,25.1697,2571599
2009-09-16,31.85,33.31,31.69,33.06,26.2325,3723635
2009-09-17,33,33.66,32.59,32.63,25.8917,2322113
