Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,14.38,14.38,13.91,14.25,11.6524,2512139
2009-01-05,14.35,14.4,13.78,13.84,11.317,2528656
2009-01-06,14.12,14.25,13.75,14.16,11.5788,2713508
2009-01-07,13.94,14.03,13.44,13.48,11.0228,1974525
2009-01-08,12.6,13.64,12.49,13.4,10.9574,18525397
2009-01-09,13.3,13.54,12.89,13.06,10.6795,6094986
2009-01-12,13.1,13.24,12.81,12.91,10.5568,4127954
2009-01-13,12.97,13.05,12.61,12.89,10.54,4633257
2009-01-14,12.51,12.71,12.21,12.34,10.0907,3223161
2009-01-15,12.61,13.09,12.0801,12.63,10.3276,6690756
2009-01-16,13.01,13.09,12.41,12.65,10.3441,6316423
2009-01-20,12.24,12.6,11.33,11.35,9.2815,6931179
2009-01-21,11.38,12.08,11.02,12.02,9.8288,6432560
2009-01-22,11.75,12.23,11.07,11.65,9.5264,6299670
2009-01-23,11.36,12,11.25,11.97,9.7878,4978649
2009-01-26,12,12.3,11.24,11.46,9.3711,4417664
2009-01-27,11.86,11.9,11.51,11.77,9.6241,4392483
2009-01-28,12.17,12.68,11.98,12.6,10.3033,6133065
2009-01-29,12.34,12.51,11.63,11.65,9.5264,5660382
2009-01-30,11.86,11.86,11.12,11.24,9.1913,4582036
2009-02-02,11.09,11.45,10.99,11.4,9.3218,5226144
2009-02-03,11.48,11.95,11.2601,11.77,9.6241,4983564
2009-02-04,11.82,12.55,11.74,12.4,10.1395,5927948
2009-02-05,12.29,12.99,12.26,12.74,10.4176,6429594
2009-02-06,12.69,13.62,12.69,13.58,11.1046,5953103
2009-02-09,13.53,13.64,13.11,13.47,11.0149,5087002
2009-02-10,13.27,13.57,12.58,12.62,10.3197,6145280
2009-02-11,12.74,13.1,12.51,12.98,10.6142,4737466
2009-02-12,12.6,13.09,12.41,13.01,10.6384,4195700
2009-02-13,12.9,13.17,12.66,12.81,10.4751,5314677
2009-02-17,12.5,12.87,12.3601,12.56,10.2705,5514913
2009-02-18,12.51,12.79,12.32,12.6,10.3033,4271739
2009-02-19,12.59,12.87,12.25,12.27,10.0332,3416610
2009-02-20,11.89,13.14,11.86,12.81,10.4751,23238274
2009-02-23,12.97,12.97,11.93,11.93,9.7552,3622436
2009-02-24,11.95,12.68,11.84,12.63,10.3276,5933392
2009-02-25,12.41,12.95,12.14,12.54,10.2544,4812014
2009-02-26,12.96,12.97,12.33,12.4,10.1395,3792509
2009-02-27,12.17,12.47,11.86,11.87,9.7064,4895419
2009-03-02,11.72,11.84,11.34,11.41,9.3305,3879031
2009-03-03,12,12,11.18,11.35,9.2815,5675468
2009-03-04,11.67,11.77,11.36,11.55,9.4445,3834858
2009-03-05,11.59,11.59,10.97,11.04,9.0277,5130811
2009-03-06,11.05,11.16,10.09,10.7,8.7495,6182816
2009-03-09,10.44,10.91,10.44,10.63,8.6925,3761318
2009-03-10,10.71,11.83,10.63,11.83,9.6736,4580032
2009-03-11,11.84,12.23,11.65,12.15,9.9353,4217127
2009-03-12,12.05,12.8,11.82,12.79,10.4587,4663089
2009-03-13,12.88,12.99,12.64,12.88,10.5323,5199218
2009-03-16,12.93,13.02,12.19,12.27,10.0332,4120717
2009-03-17,12.13,13,12.06,13,10.6305,4654362
2009-03-18,12.86,14.01,12.51,13.97,11.4236,5372154
2009-03-19,14.02,14.09,12.63,12.63,10.3276,4823157
2009-03-20,12.44,13.01,12.43,12.67,10.3605,3576379
2009-03-23,13.2,13.98,12.93,13.86,11.3333,5616938
2009-03-24,13.56,14.27,13.27,13.51,11.0474,5423177
2009-03-25,13.66,14.13,13.35,14.09,11.5217,4326852
2009-03-26,14.25,14.88,13.99,14.72,12.0369,5791468
2009-03-27,14.23,14.545,13.86,13.88,11.3502,3820413
2009-03-30,13.58,13.77,12.96,13.11,10.7202,5292886
2009-03-31,13.25,13.92,13.25,13.81,11.2923,5093709
2009-04-01,13.57,13.8725,13.23,13.54,11.0718,5000874
2009-04-02,13.86,14.71,13.6,14.71,12.0285,7846121
2009-04-03,14.53,14.74,14.26,14.74,12.0535,3409202
2009-04-06,14.42,14.53,14.01,14.38,11.7587,3492423
2009-04-07,13.95,14.18,13.8,13.89,11.358,2854259
2009-04-08,13.95,14.41,13.89,14.23,11.6361,3889819
2009-04-09,14.72,15.86,14.47,15.86,12.9689,6464243
2009-04-13,15.8,16.14,15.45,15.97,13.059,5176200
2009-04-14,15.79,15.79,15.1555,15.16,12.3966,5367858
2009-04-15,15,16.38,14.83,16.31,13.3369,6433056
2009-04-16,16.5,16.74,15.87,16.61,13.5821,4733935
2009-04-17,16.91,16.91,16.23,16.34,13.3614,4921158
2009-04-20,16.32,16.34,15.1,15.15,12.3883,5393174
2009-04-21,15.06,17,14.89,16.86,13.7866,7033207
2009-04-22,16.55,16.85,16.06,16.14,13.1981,6112906
2009-04-23,16.2,17,16.18,16.8,13.7376,7144891
2009-04-24,16.84,16.89,15.85,16,13.0831,7987830
2009-04-27,15.9,16.11,15.62,15.92,13.0181,4564389
2009-04-28,15.5,16.28,15.5,16,13.0831,4560016
2009-04-29,16.2,16.81,15.91,16.69,13.6479,4031832
