Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,42.25,44.07,41.61,43.85,38.1109,3818270
2009-01-05,43.5,44.65,42.5,44.47,38.6498,4223816
2009-01-06,45,45.3,43.11,43.98,38.224,3667219
2009-01-07,43.45,44.41,42.76,44.05,38.2847,3214603
2009-01-08,43.89,44.43,43.2803,43.67,37.9546,2516430
2009-01-09,43.79,43.83,42.37,42.56,36.9898,2931433
2009-01-12,41.45,42.51,40.24,40.96,35.5991,4619476
2009-01-13,37.4,39.45,36.77,38.81,33.7305,12284311
2009-01-14,38.07,38.2,36.54,36.88,32.0534,5367752
2009-01-15,37.41,38.38,36.4,37.85,32.8962,5636765
2009-01-16,38.59,38.9,37.31,37.89,32.931,3654403
2009-01-20,37.82,38.43,36.3,36.38,31.6185,4665480
2009-01-21,36.45,37.82,36.13,37.73,32.7919,4753205
2009-01-22,37.4,39.65,37.01,39.23,34.0958,6231587
2009-01-23,38.16,40.71,37.1,40.13,34.8779,4222416
2009-01-26,40.3,41.66,40.16,41.21,35.8164,3968843
2009-01-27,41.57,43.16,41.21,42.62,37.042,5788572
2009-01-28,44.01,46.12,43.7,44.5,38.676,7385555
2009-01-29,44.15,44.2,42.53,42.69,37.1025,4267826
2009-01-30,42.45,42.76,41.08,41.45,36.0252,4300947
2009-02-02,41.03,43.56,40.75,42.84,37.2335,2997824
2009-02-03,42.75,44.5,41.8,44.27,38.4762,3905818
2009-02-04,44.47,44.52,42.99,43.44,37.7546,2806961
2009-02-05,43.1,44.9,43.07,44.71,38.8583,5185458
2009-02-06,44.42,46.03,44.4,45.71,39.7278,4113752
2009-02-09,45.16,46.49,45,46.1,40.0663,3941991
2009-02-10,45.69,46.1,43.12,43.44,37.7546,6046020
2009-02-11,42,44.1,41.85,43.79,38.0586,4324098
2009-02-12,43.14,43.94,42.17,43.59,37.8851,5194240
2009-02-13,43.47,44.18,43.05,43.75,38.0238,3692222
2009-02-17,42.4,43.3,41.36,41.89,36.4075,4336835
2009-02-18,41.96,41.96,40.42,40.79,35.4513,4542236
2009-02-19,41.12,42.47,41.12,41.26,35.8599,5643932
2009-02-20,40.85,41.61,39.71,41.45,36.0252,5668836
2009-02-23,40.4,40.61,38.12,39.32,34.1737,10412912
2009-02-24,39.11,41.13,39.11,40.84,35.4949,4708925
2009-02-25,41,41,38.77,39.12,34,8335579
2009-02-26,38.9,39.13,34.7,35.34,30.7151,13390789
2009-02-27,34.71,36.28,33.81,33.92,29.4808,9780244
2009-03-02,33.57,33.87,29.745,30.1,26.1605,18732911
2009-03-03,30.38,31.935,29.32,30.64,26.6298,10222652
2009-03-04,31.1,33.97,30.71,32.83,28.5331,9015437
2009-03-05,32.86,33.81,30.825,31.05,26.9864,8513077
