Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,12.01,12.785,11.915,12.74,5.767,2681552
2009-01-05,12.58,12.835,12.45,12.56,5.6853,2415370
2009-01-06,12.625,13.575,12.625,13.51,6.1154,4829448
2009-01-07,13.215,13.445,12.945,13.07,5.9161,3078808
2009-01-08,12.77,13.335,12.74,13.235,5.991,3674734
2009-01-09,13.225,13.31,12.905,13.025,5.8959,2910888
2009-01-12,12.905,12.945,12.21,12.355,5.5925,3254308
2009-01-13,11.735,11.86,11.27,11.375,5.1489,7027268
2009-01-14,11.01,11.215,10.775,10.95,4.9566,4796348
2009-01-15,11.875,12.735,11.635,12.575,5.6924,14159084
2009-01-16,12.96,13.195,12.41,12.765,5.778,5958730
2009-01-20,12.665,12.875,11.99,12.065,5.4613,3218086
2009-01-21,12.32,12.75,12.155,12.715,5.7555,4290642
2009-01-22,12.405,12.78,12.285,12.525,5.6696,7131440
2009-01-23,12.33,12.895,12.08,12.62,5.7126,4486066
2009-01-26,12.47,13.035,12.47,12.88,5.8303,5409256
2009-01-27,13,13.12,12.655,13.035,5.9003,3092392
2009-01-28,13.265,14,13.07,13.85,6.2693,5874228
2009-01-29,13.68,13.825,13.275,13.33,6.0339,3199168
2009-01-30,13.31,13.48,13.02,13.075,5.9185,4850966
2009-02-02,12.745,13.095,12.63,12.955,5.8642,3501544
2009-02-03,13.07,13.38,12.81,13.285,6.0135,2627908
2009-02-04,13.325,14.385,13.3,14.255,6.4528,8405638
2009-02-05,13.98,14.49,13.595,14.28,6.464,4854162
2009-02-06,14.42,14.875,14.295,14.855,6.7241,5521680
2009-02-09,14.825,14.895,14.175,14.325,6.4843,3371240
2009-02-10,14.08,14.415,13.525,13.76,6.2286,4292926
2009-02-11,13.775,14,13.725,13.895,6.2897,2312190
2009-02-12,13.88,14.18,13.595,14.155,6.4075,2856296
2009-02-13,14.155,14.3,13.885,13.93,6.3056,2638110
2009-02-17,12.71,13.53,12.71,13.22,5.984,3839200
2009-02-18,13.31,13.435,12.895,13.205,5.9774,2944222
2009-02-19,13.32,13.365,12.55,12.59,5.6989,3025738
2009-02-20,12.37,13.085,12.25,12.905,5.8415,4884342
2009-02-23,13.01,13.09,12.475,12.5,5.6581,6219416
2009-02-24,12.43,13.19,12.43,13.125,5.9412,3539570
2009-02-25,12.92,13.435,12.79,13.135,5.9456,3259118
2009-02-26,13.34,13.505,13.015,13.08,5.9208,4141266
2009-02-27,12.68,13.16,12.63,12.71,5.7534,5597560
2009-03-02,12.41,12.53,12,12.03,5.4454,2897108
2009-03-03,12.205,12.255,11.825,12,5.4319,3072556
2009-03-04,12.09,12.845,12.09,12.65,5.7261,2617174
