Date,Open,High,Low,Close,Adjusted_close,Volume
2011-03-30,18.7,19,18.15,18.2,11.5527,30086905
2011-03-31,18.05,18.5897,17.91,18,11.4258,9582766
2011-04-01,18.01,18.23,17.89,18,11.4258,3199328
2011-04-04,18.07,18.16,17.8,17.88,11.3494,1846532
2011-04-05,17.88,18.034,17.65,17.98,11.4131,2353205
2011-04-06,18.01,18.15,17.88,18.1,11.4892,474839
2011-04-07,18.34,18.35,18,18.01,11.4319,702042
2011-04-08,18.01,18.15,17.88,18,11.4258,304446
2011-04-11,17.94,18.1,17.9,18.06,11.4635,485980
2011-04-12,18.1,18.34,17.87,18.19,11.5462,624587
2011-04-13,18.37,18.37,18.01,18.1,11.4892,199533
2011-04-14,18.01,18.27,18,18.25,11.5842,407912
2011-04-15,18.28,18.69,18.21,18.5,11.7432,962976
2011-04-18,18.5,18.59,17.96,18.18,11.54,720672
2011-04-19,18.25,18.32,18.08,18.2,11.5527,404998
2011-04-20,18.39,18.39,18.1,18.23,11.5718,498167
2011-04-21,18.3,18.35,17.83,18.11,11.4955,1196020
2011-04-25,18.04,18.25,18.04,18.06,11.4635,280722
2011-04-26,18.21,18.24,17.9,18.18,11.54,622648
2011-04-27,18.1,18.2,18.04,18.18,11.54,275362
2011-04-28,18.11,18.27,17.86,18.11,11.4955,539383
2011-04-29,18.18,18.19,17.93,18.08,11.4764,195891
2011-05-02,18.07,18.3,17.93,18.1893,11.5459,555667
2011-05-03,18.03,18.35,18.02,18.27,11.5971,377383
2011-05-04,18.23,18.34,17.75,17.98,11.4131,613914
2011-05-05,17.88,18.09,17.7,17.94,11.3877,412159
2011-05-06,18.17,18.17,17.91,17.97,11.4065,405600
2011-05-09,18.34,18.56,18.295,18.5,11.7432,965393
2011-05-10,18.6,18.76,18.48,18.71,11.8766,666332
2011-05-11,18.76,18.76,18.38,18.48,11.7303,370906
2011-05-12,18.8,18.91,18.04,18.42,11.6924,731652
2011-05-13,18.65,18.65,18.06,18.27,11.5971,810449
2011-05-16,18.42,18.5,17.59,17.83,11.3179,988745
2011-05-17,17.86,17.9,16.8,17.18,10.9053,980847
2011-05-18,17.37,18.18,17.18,17.85,11.3308,823871
2011-05-19,17.73,18,17.39,17.77,11.324,369319
2011-05-20,17.76,18.08,17.76,17.85,11.3751,508160
2011-05-23,17.41,17.99,17.38,17.6,11.2158,309140
2011-05-24,17.68,17.97,17.53,17.57,11.1966,205896
2011-05-25,17.6,17.71,17.26,17.37,11.0695,284999
2011-05-26,17.32,17.97,17.32,17.75,11.3115,430609
2011-05-27,17.84,18.49,17.8,18.19,11.5919,622742
2011-05-31,18.05,18.18,17.9,18.02,11.4835,329060
2011-06-01,17.87,18.1,17.69,17.93,11.4262,770081
2011-06-02,17.95,17.95,17.71,17.86,11.3815,70042
2011-06-03,17.56,17.9712,17.56,17.85,11.3751,75725
2011-06-06,17.85,17.89,17.33,17.4,11.0883,183577
2011-06-07,17.45,17.47,16.85,16.92,10.7825,220008
2011-06-08,16.94,17.05,16.74,16.75,10.6742,180580
2011-06-09,16.65,16.95,16.21,16.29,10.381,250855
2011-06-10,16.43,16.47,15.48,15.64,9.9666,335264
2011-06-13,15.59,15.79,15.27,15.51,9.8841,560435
2011-06-14,15.62,16.03,15.62,16,10.1964,114607
2011-06-15,15.85,16.25,15.8,15.97,10.1768,210724
2011-06-16,15.79,16.0491,15.63,15.87,10.1133,187547
2011-06-17,15.97,16.01,15.81,15.95,10.1644,200234
2011-06-20,15.93,15.99,15.62,15.7,10.0051,44952
2011-06-21,15.82,16.3,15.76,16,10.1964,244881
2011-06-22,15.97,16.46,15.97,16.32,10.4,295180
2011-06-23,16.22,16.29,16,16.1,10.2601,146734
2011-06-24,16.01,16.19,15.99,16,10.1964,174032
2011-06-27,16.02,16.25,15.99,16.12,10.2729,24542
2011-06-28,16.42,17.06,16.25,16.59,10.5722,378438
2011-06-29,16.42,17.68,16.28,17.13,10.9162,515179
2011-06-30,17.2,17.27,17.05,17.2,10.9611,227726
2011-07-01,17.12,17.23,16.88,17.14,10.9226,150337
2011-07-05,17.08,17.25,16.91,16.99,10.8269,158625
2011-07-06,16.91,17,16.7,16.88,10.7572,141788
2011-07-07,17.17,17.17,16.76,16.87,10.7507,164867
2011-07-08,17.28,17.28,16.7,17,10.8333,139402
2011-07-11,16.85,16.99,16.36,16.54,10.5401,50661
2011-07-12,16.75,16.9,16.26,16.65,10.6104,75892
2011-07-13,16.79,16.79,16.05,16.39,10.4445,102094
2011-07-14,16.25,16.75,16.02,16.26,10.3619,131491
2011-07-15,16.38,16.8,16.22,16.5,10.5149,162745
2011-07-18,16.31,16.53,15.77,15.9,10.1324,160092
2011-07-19,16.13,16.24,15.83,16,10.1964,320218
2011-07-20,16.03,16.37,15.9599,16.34,10.4127,146492
2011-07-21,16.63,16.94,16.42,16.75,10.6742,309025
2011-07-22,16.79,17,16.55,16.94,10.7953,193999
2011-07-25,17.25,17.43,16.9,17.2,10.9611,287537
2011-07-26,17.21,17.45,17.1,17.28,11.0119,280210
2011-07-27,17.35,17.38,16.67,16.81,10.7121,98227
2011-07-28,16.76,16.99,16.57,16.87,10.7507,101001
2011-07-29,16.74,17.38,16.331,17.31,11.031,153523
2011-08-01,17.45,17.94,16.97,17.5,11.1519,250537
2011-08-02,17.63,17.63,16.37,16.82,10.7187,226493
2011-08-03,16.75,17.38,16.23,16.73,10.6613,349602
2011-08-04,16.63,16.97,14.8,14.93,9.5142,347336
2011-08-05,15.01,15.38,12.95,14.05,8.9535,326211
2011-08-08,13.55,14.14,12.81,13.24,8.4373,817509
2011-08-09,12.95,15.24,12.75,14.14,9.0108,837395
2011-08-10,14,14.2,13.02,13.61,8.6732,397606
2011-08-11,13.31,13.64,13,13.61,8.6732,393143
2011-08-12,13.97,13.97,13.1,13.28,8.4627,675195
2011-08-15,13.16,13.8,13.14,13.33,8.4948,292340
2011-08-16,13.33,14.21,13.32,14.17,9.0301,419124
2011-08-17,14.02,14.67,14.02,14.44,9.2023,154760
2011-08-18,13.62,14.09,13.4,13.98,9.0595,165979
2011-08-19,13.82,14.08,13.65,13.85,8.9754,298731
2011-08-22,13.95,14,12.8,13.22,8.567,191588
2011-08-23,13.37,13.44,13.03,13.35,8.6514,397303
2011-08-24,13.4,13.4,13.06,13.18,8.5411,458964
2011-08-25,13.35,13.36,12.85,13,8.4246,117267
2011-08-26,13,13,12.22,12.51,8.107,375567
2011-08-29,12.69,12.93,12.38,12.61,8.1714,453231
2011-08-30,12.56,12.9,12.48,12.8,8.2947,305791
2011-08-31,12.97,13.25,12.885,12.97,8.405,405678
2011-09-01,13,13,12.81,12.91,8.366,374872
2011-09-02,12.66,12.72,12.02,12.12,7.8541,176643
2011-09-06,12.02,12.26,12.01,12.19,7.8999,110596
2011-09-07,12.37,12.61,11.67,11.92,7.7244,241801
2011-09-08,11.86,11.86,11.16,11.22,7.2707,118579
2011-09-09,11.13,11.75,11.09,11.5,7.4523,288796
2011-09-12,11.36,11.36,10.68,10.85,7.0314,296687
2011-09-13,11.22,11.53,11,11.33,7.3423,642704
2011-09-14,11.43,11.99,11.31,11.83,7.6662,751111
2011-09-15,11.89,11.93,11.72,11.84,7.673,207837
2011-09-16,11.9,12,11.7992,12,7.7763,164602
2011-09-19,11.73,11.9,11.5,11.86,7.6856,76291
2011-09-20,11.91,11.99,11.52,11.61,7.524,110823
2011-09-21,11.59,11.79,11.06,11.11,7.1997,94610
2011-09-22,11,11.17,10.29,10.35,6.7071,384773
2011-09-23,10.36,10.36,9.83,10.05,6.5127,374836
2011-09-26,10.63,10.83,9.92,10,6.4803,318199
2011-09-27,10.16,10.8,10.07,10.15,6.5776,412117
2011-09-28,10.18,10.22,9.86,9.97,6.461,199157
2011-09-29,10.08,10.26,9.9,10.25,6.6424,192182
2011-09-30,10.25,10.47,10.11,10.24,6.6361,169434
2011-10-03,10.26,10.51,9.5,9.61,6.2273,539131
2011-10-04,9.5,10.02,8.85,9.9,6.4155,464398
2011-10-05,9.85,10.49,9.66,10.3,6.6746,932676
2011-10-06,10.15,10.41,9.95,10.34,6.7004,433438
2011-10-07,10.4,10.4,10.21,10.25,6.6424,78758
2011-10-10,10.45,10.78,10.26,10.45,6.772,120246
2011-10-11,10.36,10.74,10.35,10.52,6.8173,222658
2011-10-12,10.65,10.95,10.47,10.84,7.0246,238171
2011-10-13,10.77,10.81,10.5,10.73,6.9536,241245
2011-10-14,10.83,10.99,10.61,10.77,6.9793,218140
2011-10-17,10.9,10.92,10.71,10.77,6.9793,274971
2011-10-18,10.83,10.93,10.6,10.73,6.9536,345753
2011-10-19,10.77,11.07,10.45,10.54,6.8303,524724
2011-10-20,10.61,11.05,10.51,10.9,7.0636,267728
2011-10-21,11.03,11.368,10.94,11.27,7.3033,227620
2011-10-24,11.35,11.8101,11.18,11.77,7.6275,411943
2011-10-25,11.72,11.7603,11.54,11.69,7.5756,87981
2011-10-26,11.87,12.36,11.78,12.14,7.867,191795
2011-10-27,12.63,13.3,12.63,13.29,8.612,317514
2011-10-28,13.19,13.33,13.06,13.28,8.6059,133181
2011-10-31,13.05,13.39,13.05,13.25,8.5864,139928
2011-11-01,12.7,12.97,12.61,12.82,8.3077,176099
2011-11-02,13.07,13.18,12.75,13.09,8.4827,220673
2011-11-03,12.25,13.38,12.18,13.04,8.4503,191687
2011-11-04,12.97,13.25,12.91,13.22,8.567,127916
2011-11-07,13.19,13.95,13.19,13.91,9.0142,354894
2011-11-08,13.97,14.04,13.66,13.81,8.9493,188298
2011-11-09,13.56,13.89,13.39,13.81,8.9493,308975
2011-11-10,13.96,14.01,12.88,13.22,8.567,329775
2011-11-11,13.39,13.59,12.93,13.14,8.5153,316435
2011-11-14,13.16,13.16,12.89,12.97,8.405,132501
2011-11-15,12.65,12.89,12.27,12.74,8.256,272685
2011-11-16,12.64,13.07,12.64,12.97,8.405,98491
2011-11-17,12.87,12.99,12.05,12.1,7.8411,160981
2011-11-18,12.2,12.59,12.16,12.3,7.9707,58903
2011-11-21,12.1,12.1,11.25,11.72,7.5949,226591
2011-11-22,11.48,11.71,11.13,11.58,7.5491,128516
2011-11-23,11.51,11.56,11.17,11.33,7.3864,193735
2011-11-25,11.26,11.31,11.1,11.12,7.2495,31806
2011-11-28,11.51,11.87,11.45,11.6,7.5624,229973
2011-11-29,11.75,12.3565,11.74,12.08,7.8754,135941
2011-11-30,12.23,12.69,12.11,12.52,8.1623,171616
2011-12-01,12.52,12.67,12.42,12.65,8.247,191700
2011-12-02,12.77,13.16,12.77,13,8.4751,105393
2011-12-05,13.22,14.21,13.22,13.82,9.0095,380983
2011-12-06,13.8,14.04,13.67,13.97,9.1072,90787
2011-12-07,13.98,13.98,13.39,13.59,8.8598,283871
2011-12-08,13.43,13.58,12.87,13.17,8.5858,380141
2011-12-09,13.25,13.74,13.14,13.56,8.8402,305125
