Date,Open,High,Low,Close,Adjusted_close,Volume
2011-11-17,21.25,21.92,21.25,21.33,16.336,17557455
2011-11-18,21.35,21.53,20.75,21,16.0834,2718534
2011-11-21,21,21.23,20.02,20.3,15.5472,2366386
2011-11-22,20.3,20.71,19.65,19.9,15.2408,2988699
2011-11-23,19.7,19.75,19.22,19.63,15.0342,1061402
2011-11-25,19.55,19.82,19.5,19.65,15.0495,279587
2011-11-28,19.86,20.32,19.67,20.04,15.3481,700339
2011-11-29,20,20,19.7,19.99,15.3097,533922
2011-11-30,20.15,21.46,20.1216,20.84,15.9609,569672
2011-12-01,20.95,21.05,20.35,20.81,15.9379,479860
2011-12-02,20.95,21.45,20.9,21.37,16.3666,584430
2011-12-05,21.45,21.91,21.4,21.77,16.6731,2067749
2011-12-06,21.64,22.25,21.61,22.13,16.949,524093
2011-12-07,21.93,22.1,21.82,22,16.8494,165822
2011-12-08,21.72,21.94,21.62,21.69,16.6122,377863
2011-12-09,21.62,21.98,21.25,21.75,16.6578,492604
2011-12-12,21.4,21.59,21.25,21.51,16.474,431409
2011-12-13,21.65,21.82,21.21,21.31,16.3208,558659
2011-12-14,21.08,21.19,20.55,20.64,15.8079,1052559
2011-12-15,20.98,21.88,20.79,20.96,16.0527,712851
2011-12-16,20.96,21.5,20.74,20.97,16.0604,210671
2011-12-19,21.07,21.17,20.76,20.99,16.0759,148987
2011-12-20,21.43,21.69,21.17,21.5,16.4665,320145
2011-12-21,21.37,21.68,21.29,21.4,16.3898,268566
2011-12-22,21.43,21.85,21.43,21.79,16.6887,374423
2011-12-23,21.82,22.45,21.63,21.94,16.8034,542458
2011-12-27,22.89,22.89,21.38,21.65,16.5813,443056
2011-12-28,21.77,21.82,21.09,21.19,16.2292,144723
2011-12-29,21.22,21.43,21.02,21.42,16.4053,289009
2011-12-30,21.46,21.64,21.09,21.54,16.4968,127922
2012-01-03,22.11,22.93,21.7601,22.24,17.0329,980223
2012-01-04,23.23,23.23,21.85,22.54,17.2631,393645
2012-01-05,22.44,22.44,21.76,22.14,16.9566,672457
2012-01-06,22.14,22.825,22,22.55,17.2703,578891
2012-01-09,22.61,22.71,22.48,22.71,17.393,418721
2012-01-10,22.92,24,22.92,23.83,18.2508,948750
2012-01-11,23.8,24.02,23.59,23.95,18.3428,229414
2012-01-12,24.1,25,23.85,24.69,18.9096,1013331
2012-01-13,24.53,25.3241,24.28,24.8,18.9938,540809
2012-01-17,24.95,25.13,24.27,24.36,18.6571,887716
2012-01-18,24.21,25,24.21,24.5,18.7641,569633
2012-01-19,24.68,25.17,24.59,25.07,19.2004,956462
2012-01-20,25.02,25.195,24.94,25.1,19.2236,531921
2012-01-23,25.18,25.83,25.08,25.48,19.5145,489508
2012-01-24,25.3,25.87,25.18,25.81,19.7673,408024
2012-01-25,25.81,25.89,25.47,25.76,19.7292,603646
2012-01-26,25.85,26.64,25.1645,25.95,19.8744,801528
