Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,23.71,24.26,23.71,24.16,16.8931,277417
2009-01-05,24.17,24.17,23.61,23.95,16.7462,541849
2009-01-06,24.19,24.47,23.8518,24.04,16.8092,535183
2009-01-07,24,24.33,23.695,23.82,16.6555,469391
2009-01-08,23.36,23.89,23.36,23.65,16.537,558109
2009-01-09,23.64,24.1425,23.2,23.95,16.7462,637458
2009-01-12,23.94,24.17,23.76,24.12,16.8651,387869
2009-01-13,24,24.22,23.75,23.98,16.7671,561280
2009-01-14,23.92,24.02,23.52,23.77,16.6204,333926
2009-01-15,23.81,23.91,23.29,23.91,16.7185,634416
2009-01-16,23.92,24.57,23.92,24.43,17.0821,747634
2009-01-20,24.3,24.5,23.51,23.57,16.4807,440855
2009-01-21,23.55,24.17,23.35,24.13,16.8722,626996
2009-01-22,23.94,24.19,23.38,23.83,16.6624,586153
2009-01-23,23.48,24.05,23.42,23.92,16.7255,536060
2009-01-26,23.94,24.53,23.94,24.32,17.0053,490080
2009-01-27,24.51,24.91,24.13,24.69,17.2636,375956
2009-01-28,24.79,24.99,24.54,24.84,17.3685,556878
2009-01-29,24.55,25.08,24.53,24.79,17.3338,518051
2009-01-30,25.01,25.22,24.5,24.55,17.1657,706779
2009-02-02,24.43,25.3,24.24,25.05,17.515,640380
2009-02-03,25.2,25.26,24.7,24.89,17.4037,551159
2009-02-04,24.9,25.11,24.13,24.63,17.2218,687562
2009-02-05,24.43,25.58,24.36,25.4,17.7598,810809
2009-02-06,25.34,26,25.19,25.95,18.1443,542403
2009-02-09,25.98,25.98,25.48,25.9,18.1095,374075
2009-02-10,25.81,26.17,25.56,25.67,17.9489,707366
2009-02-11,25.69,25.75,25.08,25.24,17.6482,494318
2009-02-12,25.31,25.4996,24.67,25.4,17.7598,510155
2009-02-13,25.24,25.5,25.09,25.19,17.6131,403540
2009-02-17,25.1,25.13,24.27,24.35,17.026,694914
2009-02-18,24.27,24.45,23.8,23.92,16.7255,505223
2009-02-19,23.85,24.23,23.85,23.96,16.7532,412660
2009-02-20,23.53,24,22.82,23.31,16.299,595832
2009-02-23,23.38,23.43,22.54,22.62,16.0506,479901
2009-02-24,22.66,22.835,22.23,22.51,15.9722,756315
2009-02-25,22.42,22.93,22.04,22.52,15.9796,921575
2009-02-26,22.81,22.93,22.17,22.19,15.7453,548527
2009-02-27,21.99,22.3,21.54,21.83,15.4897,1028062
2009-03-02,21.49,21.85,21.01,21.1,14.9719,518659
2009-03-03,21.37,21.37,20.16,20.24,14.3618,958407
2009-03-04,20.33,21.39,20.22,20.99,14.8938,721598
2009-03-05,20.84,20.92,20.11,20.2,14.3331,600225
2009-03-06,20.36,20.95,20.13,20.73,14.7092,994679
2009-03-09,20.5,20.65,20.07,20.24,14.3618,862615
2009-03-10,20.65,21.44,20.55,21.16,15.0146,965094
2009-03-11,21.26,21.45,20.83,20.88,14.8156,562569
2009-03-12,20.72,21.16,20.55,21.11,14.979,521065
2009-03-13,21.15,21.654,21.12,21.55,15.2914,372995
2009-03-16,21.57,22.17,21.55,21.7,15.3978,448441
2009-03-17,21.8,22.53,21.6,22.53,15.9867,502281
2009-03-18,22.43,23.09,22.28,22.93,16.2701,453217
2009-03-19,23.15,23.43,22.87,23.29,16.5254,349502
2009-03-20,23.3,23.72,23.11,23.11,16.3977,357212
2009-03-23,23.47,23.59,23.02,23.59,16.739,400332
2009-03-24,23.59,23.59,22.84,23.08,16.3767,652979
2009-03-25,23.1,23.68,22.91,23.39,16.597,527887
2009-03-26,23.41,23.94,23.19,23.93,16.98,530754
2009-03-27,23.6,23.93,23.55,23.62,16.7601,297649
2009-03-30,23.49,23.54,23.17,23.41,16.6111,565949
2009-03-31,23.66,23.66,22.96,23.12,16.4056,761579
2009-04-01,22.83,23.46,22.72,22.95,16.2848,865566
2009-04-02,23.26,23.48,22.89,23.09,16.3843,671891
2009-04-03,23.21,23.21,22.88,23.17,16.4408,364509
2009-04-06,22.93,23.33,22.77,22.98,16.306,317109
2009-04-07,22.66,23,22.58,22.81,16.185,355587
2009-04-08,22.97,23.05,22.62,22.83,16.1994,409729
2009-04-09,22.91,23.15,22.56,23.08,16.3767,466386
2009-04-13,23.09,23.09,22.6224,22.97,16.2991,319175
2009-04-14,22.92,22.96,22.66,22.83,16.1994,448665
2009-04-15,22.76,22.93,22.52,22.83,16.1994,392195
2009-04-16,22.96,23.45,22.76,23.36,16.5753,535665
2009-04-17,23.37,23.56,23.26,23.49,16.6678,657094
2009-04-20,23.47,23.52,23.24,23.32,16.5471,674930
2009-04-21,23.26,23.61,23.25,23.47,16.6535,598322
2009-04-22,23.4,23.78,23.15,23.47,16.6535,793066
2009-04-23,23.56,23.59,23.15,23.43,16.6252,946290
2009-04-24,23.44,23.63,23.12,23.31,16.5401,765325
2009-04-27,23.2,23.96,23.2,23.82,16.9016,592397
2009-04-28,23.73,24.4,23.73,24.22,17.186,545051
2009-04-29,24.39,24.93,24.11,24.84,17.626,722326
2009-04-30,24.87,25.3,24.63,24.71,17.5334,847541
2009-05-01,24.84,26,24.72,25.64,18.1932,1330647
2009-05-04,25.02,26.43,24.92,26.37,18.7114,1250042
2009-05-05,26.15,26.41,25.72,25.83,18.3285,454150
2009-05-06,25.88,26.02,25.61,25.72,18.2502,568650
2009-05-07,25.89,25.99,25.55,25.87,18.3564,413551
2009-05-08,25.93,26.19,25.52,25.65,18.2005,703993
2009-05-11,25.56,26.18,25.56,25.84,18.3354,539381
2009-05-12,25.98,26.09,25.63,25.8,18.3071,609528
2009-05-13,25.76,25.83,24.9,24.99,17.7325,833228
2009-05-14,24.92,25.115,24.37,24.53,17.4061,672520
2009-05-15,24.49,24.64,24.02,24.13,17.1219,459698
2009-05-18,24.21,24.65,24.1,24.51,17.3916,533803
2009-05-19,24.55,24.88,24.475,24.65,17.4909,403846
2009-05-20,24.88,24.94,24.57,24.62,17.4698,672198
2009-05-21,24.17,24.36,23.98,24.06,17.304,379145
2009-05-22,24.08,24.25,23.85,23.91,17.1959,290909
2009-05-26,24,24.47,23.82,24.46,17.5921,409230
2009-05-27,24.44,24.58,23.59,23.65,17.0091,859814
2009-05-28,23.66,24.01,23.52,23.81,17.1245,592035
2009-05-29,23.98,24.01,23.44,24,17.2611,682301
2009-06-01,24.29,24.67,24.2,24.39,17.5414,641001
2009-06-02,24.38,24.8,24.25,24.76,17.8079,661058
2009-06-03,24.7,24.93,24.46,24.64,17.7213,360801
2009-06-04,24.61,24.61,24.28,24.49,17.6132,398046
2009-06-05,24.53,24.76,24.41,24.61,17.7001,483033
2009-06-08,24.66,24.9,24.47,24.82,17.8507,559586
2009-06-09,24.78,24.86,24.4,24.68,17.7504,377662
2009-06-10,24.75,25.03,24.5,24.62,17.7068,372654
2009-06-11,24.58,25.12,24.58,24.95,17.9444,340708
2009-06-12,24.91,25.34,24.58,25.34,18.225,422396
2009-06-15,25.06,25.31,24.72,24.84,17.8652,280982
2009-06-16,24.85,24.97,24.6,24.72,17.7788,267179
2009-06-17,24.69,25.08,24.61,24.79,17.8291,224756
2009-06-18,24.88,25.35,24.8,25.31,18.2033,259830
2009-06-19,25.4,25.51,25,25.15,18.0883,379443
2009-06-22,25.02,25.41,25.02,25.16,18.0949,203876
2009-06-23,25.25,25.37,24.76,24.87,17.887,259188
2009-06-24,24.88,25.14,24.72,24.79,17.8291,323464
2009-06-25,24.8,25.28,24.58,25.11,18.0593,314523
2009-06-26,25.16,25.37,24.82,25.1,18.0524,593275
2009-06-29,25.13,25.36,24.91,25.31,18.2033,405195
2009-06-30,25.38,25.4,24.8,25.04,18.0091,434653
2009-07-01,25.26,25.81,25.2014,25.74,18.5124,377744
2009-07-02,25.52,25.54,25,25,17.9801,301743
2009-07-06,25.01,25.48,24.95,25.35,18.232,268074
2009-07-07,25.3,25.5,24.88,24.88,17.894,276565
2009-07-08,24.9,25.09,24.5,24.78,17.822,308823
2009-07-09,24.83,24.91,24.47,24.81,17.8438,273972
2009-07-10,24.84,24.91,24.5,24.65,17.7287,179594
2009-07-13,24.65,24.97,24.41,24.94,17.9373,297488
2009-07-14,25,25.15,24.72,24.97,17.9588,254180
2009-07-15,25.02,25.4412,24.88,25.35,18.232,304024
2009-07-16,25.19,26,25.08,25.86,18.5989,1117942
2009-07-17,25.92,25.93,25.53,25.79,18.5484,314765
2009-07-20,25.75,26.07,25.47,26.02,18.7138,372084
2009-07-21,26.08,26.33,25.84,26.29,18.908,435068
2009-07-22,26.28,26.33,26.08,26.18,18.8292,236965
2009-07-23,26.12,26.955,25.99,26.57,19.1096,313030
2009-07-24,26.56,27,26.26,26.99,19.4116,358889
2009-07-27,27,27,26.56,26.93,19.3684,299905
2009-07-28,26.89,27.18,26.809,27.16,19.5336,465576
2009-07-29,26.97,27.18,26.76,26.94,19.3754,370785
2009-07-30,27.04,27.28,26.69,27.18,19.548,432248
2009-07-31,26.99,27.39,26.99,27.16,19.5336,419647
2009-08-03,27.39,27.66,27.08,27.61,19.8574,538267
2009-08-04,27.43,27.81,27.43,27.69,19.915,465341
2009-08-05,28.56,28.58,27.42,27.6,19.8503,401719
2009-08-06,27.85,27.85,27.28,27.36,19.6778,674771
