Date,Open,High,Low,Close,Adjusted_close,Volume
2017-06-21,30,30,30,30,26.9627,0
2017-06-22,31.6,32.74,31.52,32.71,29.3983,31458347
2017-06-23,32.68,35.29,32.6,34.3,30.8273,5375450
2017-06-26,35.08,35.19,33.53,33.9,30.4678,1792781
2017-06-27,33.89,34.055,32.66,32.86,29.5331,2619488
2017-06-28,32.97,33.19,32.63,32.91,29.5781,4455129
2017-06-29,32.83,32.86,32.4101,32.68,29.3714,2115511
2017-06-30,32.62,32.79,32.01,32.3,29.0298,2491148
2017-07-03,32.34,32.44,31.9,31.9,28.6703,917007
2017-07-05,31.79,32.08,31.11,31.2,28.0412,1762885
2017-07-06,31.12,32.51,30.66,31.88,28.6523,1430730
2017-07-07,31.96,32.69,31.58,32.45,29.1646,1409377
2017-07-10,32.48,32.73,31.51,32.27,29.0029,972874
2017-07-11,32.24,32.24,31.275,31.75,28.5355,709384
2017-07-12,32.22,32.37,31.48,31.9,28.6703,747556
2017-07-13,31.92,32.06,31.5,31.55,28.3558,916078
2017-07-14,31.4,32,31.4,31.79,28.5715,193149
2017-07-17,31.53,32.215,31.53,31.91,28.6793,1521137
2017-07-18,32.15,32.19,31.67,32.01,28.7692,1033878
2017-07-19,32.01,32.1,31.33,31.64,28.4366,677695
2017-07-20,31.59,31.737,30.78,31.44,28.2569,660577
2017-07-21,31.31,31.44,31.03,31.1,27.9513,583011
2017-07-24,31.15,31.3,30.88,30.96,27.8255,503926
2017-07-25,30.87,31.2,30.73,31.08,27.9333,397160
2017-07-26,31,31.9,30.97,31.6,28.4007,408045
2017-07-27,31.75,34.06,31.684,33.88,30.4499,1944034
2017-07-28,33.76,33.94,32.17,32.57,29.2725,780391
2017-07-31,32.82,34.86,32.82,33.44,30.0544,1901061
2017-08-01,33.29,34.4,32.85,33.81,30.3869,1030601
2017-08-02,33.46,34,32.48,32.62,29.3174,2013425
2017-08-03,32.5,32.78,32.07,32.35,29.0748,310719
2017-08-04,32.48,32.48,32.48,32.48,29.1916,167120
