Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,8.78,9.16,8.51,9.12,8.2223,8077016
2009-01-05,9,9.07,8.62,8.75,7.8887,8074779
2009-01-06,8.81,8.89,8.14,8.18,7.3749,24159180
2009-01-07,8.2,9.42,8.18,9.08,8.1862,44055651
2009-01-08,9.25,9.62,8.86,9.26,8.3486,22458733
2009-01-09,9.25,9.46,9.06,9.26,8.3486,11596152
2009-01-12,9.54,9.55,9,9.1,8.2044,7049805
2009-01-13,9.1,9.27,8.82,9.16,8.2584,13059140
2009-01-14,9.19,9.25,8.8,9.06,8.1682,13515074
2009-01-15,9.06,9.33,8.96,9.16,8.2584,15714284
2009-01-16,9.46,9.7,9.18,9.57,8.6281,18770984
2009-01-20,9.38,9.44,8.97,9.04,8.15,13715070
2009-01-21,9.13,9.59,9.09,9.54,8.6009,10937959
2009-01-22,9.1,9.62,9.05,9.36,8.4387,12125668
2009-01-23,9.16,9.69,9.02,9.37,8.4476,12031095
2009-01-26,9.56,9.59,9.19,9.35,8.4296,7541594
2009-01-27,9.3049,9.48,9.1888,9.41,8.4838,4923790
2009-01-28,9.52,9.54,9.11,9.42,8.4928,10958912
2009-01-29,9.16,9.35,8.95,9,8.114,20895646
2009-01-30,9.02,9.09,8.69,8.76,7.8978,19263492
2009-02-02,8.6701,9.02,8.6701,8.96,8.078,15885660
2009-02-03,9,9.27,8.71,9.17,8.2673,11547919
2009-02-04,9.23,9.61,8.99,9.51,8.5738,25821404
2009-02-05,9.38,9.91,9.3,9.73,8.7723,16807239
2009-02-06,9.72,10.03,9.7,9.96,8.9795,8866881
2009-02-09,10,10.18,9.79,9.84,8.8713,10025043
2009-02-10,9.83,10,9.51,9.62,8.6731,11762777
2009-02-11,9.8,9.92,9.23,9.48,8.5469,22852361
2009-02-12,8.92,9.56,8.83,9.26,8.3486,46314070
2009-02-13,9.21,9.79,9.21,9.7,8.7452,17829376
2009-02-17,9.37,9.73,9.31,9.4,8.4746,23451854
2009-02-18,9.47,9.81,9.31,9.59,8.646,14200186
2009-02-19,9.8,9.92,9.37,9.38,8.4567,13151091
2009-02-20,9.3,9.55,9.25,9.4,8.4746,11861362
2009-02-23,9.41,9.57,9.32,9.43,8.5018,18724468
