Date,Open,High,Low,Close,Adjusted_close,Volume
2009-08-06,16.5,16.91,15.56,16.18,13.5708,24198410
2009-08-07,16.15,16.76,16.03,16.43,13.7803,2454272
2009-08-10,16.63,16.63,15.61,15.97,13.3944,2420915
2009-08-11,15.98,16,15.5,15.67,13.1429,2305371
2009-08-12,16.15,16.2,15.66,16,13.4198,1451293
2009-08-13,16,16.72,16,16.55,13.8807,1150559
2009-08-14,16.5,17,16.25,16.6,13.9228,637782
2009-08-17,16.27,16.37,16.2,16.22,13.6041,254388
2009-08-18,16.48,17.2,16.35,17.07,14.3169,1446616
2009-08-19,16.84,17.94,16.8,17.89,15.0049,2070763
2009-08-20,17.95,17.95,17.29,17.76,14.8959,1882077
2009-08-21,17.79,17.97,17.58,17.82,14.9459,863511
2009-08-24,17.52,17.85,17.3,17.5,14.6778,1021584
2009-08-25,17.65,17.9,17.55,17.85,14.9711,530724
2009-08-26,17.69,17.85,17.15,17.85,14.9711,708574
2009-08-27,17.85,18.21,17.55,18.16,15.2311,1161100
2009-08-28,18.1,19,18,18.47,15.4915,1294949
2009-08-31,18.35,18.4,17.81,18.2,15.2648,1004719
2009-09-01,18.25,18.44,16.94,17.85,14.9711,1383480
2009-09-02,17.76,18.25,17.48,17.68,14.8288,1293388
2009-09-03,17.97,17.97,17,17.45,14.6359,3657607
2009-09-04,17.75,17.9989,17.49,17.76,14.8959,1158584
2009-09-08,17.76,17.93,17.45,17.7,14.8457,574890
2009-09-09,17.85,17.85,17.22,17.26,14.4762,551181
2009-09-10,17.01,17.46,16.95,17.05,14.3002,415199
2009-09-11,17,17.33,16.54,16.88,14.1577,620281
2009-09-14,16.64,16.8999,16.31,16.65,13.9649,1614491
2009-09-15,17.25,17.35,16.63,17.18,14.4098,1987187
2009-09-16,17.4,17.75,17.11,17.58,14.7448,2022369
2009-09-17,17.66,17.9,16.53,16.64,13.9566,1446351
2009-09-18,16.57,17.02,16.18,16.2,13.5873,899815
2009-09-21,16.28,16.63,15.87,16.61,13.9312,552956
2009-09-22,16.96,17.37,16.82,17.25,14.4679,1114012
2009-09-23,17.62,17.79,17.3,17.4,14.594,530281
2009-09-24,17.33,17.8488,16.75,17.49,14.6694,778713
2009-09-25,17.48,17.48,17.1,17.13,14.3674,468435
2009-09-28,17.32,17.85,17.03,17.65,14.8037,233528
2009-09-29,17.55,17.84,16.95,17.03,14.2835,356673
2009-09-30,17,17.33,16.96,17.07,14.3169,512589
2009-10-01,17,17.09,16.21,16.31,13.6796,660488
2009-10-02,16.2,16.36,15.9002,16.09,13.4952,629503
