Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,33.37,33.7,32.61,33.61,25.0852,702903
2009-01-05,33.11,33.33,32.48,32.9,24.5554,896312
2009-01-06,33.08,33.83,32.54,32.84,24.5106,1349645
2009-01-07,32.4,32.76,31.77,31.91,23.8162,696354
2009-01-08,31.3,32.18,31.195,32.14,23.988,1061626
2009-01-09,32.19,32.19,31.27,31.39,23.4286,745639
2009-01-12,31.19,31.36,30.34,30.56,22.809,833299
2009-01-13,30.52,30.84,30.13,30.56,22.809,963117
2009-01-14,30.19,30.4,29.4,29.62,22.1071,1186293
2009-01-15,29.68,30.26,28.83,30.1,22.4655,1578991
2009-01-16,30.61,30.89,29.66,30.25,22.5772,1108572
2009-01-20,29.73,30.27,28.25,28.33,21.1445,1148524
2009-01-21,28.83,29.36,27.97,29.34,21.8981,1165441
2009-01-22,28.73,28.79,27.76,28.38,21.1817,1603710
2009-01-23,27.7,28.71,27.29,28.15,21.0102,1044562
2009-01-26,28.18,28.38,27.35,27.84,20.779,1572299
2009-01-27,26.91,27.25,24.2,25.72,19.1964,3526083
2009-01-28,25.96,26.49,25.51,25.92,19.3457,1764053
2009-01-29,25.71,25.88,25.21,25.28,18.8677,1575976
2009-01-30,25.16,25.53,24.04,24.23,18.084,1684914
2009-02-02,23.97,24.28,23.59,24.07,17.9649,1430131
2009-02-03,24.05,24.45,23.61,24.35,18.1739,1752468
2009-02-04,24.3,24.65,24,24.13,18.0097,1392415
2009-02-05,23.82,24.6,23.52,24.26,18.1066,1085702
2009-02-06,24.26,24.9225,24.18,24.77,18.4874,1085596
2009-02-09,24.65,25.13,24.37,24.72,18.4502,1016877
2009-02-10,24.54,24.72,23.22,23.34,17.4203,1319599
2009-02-11,23.41,23.76,23.25,23.57,17.5916,961644
2009-02-12,23.2,23.26,22.34,23.23,17.3377,1433589
2009-02-13,23.4,23.4,22.45,22.75,16.9797,1208798
2009-02-17,22.21,22.21,21.24,21.33,15.9198,1576717
2009-02-18,21.45,21.6,20.8,21.36,15.9424,1266762
2009-02-19,21.51,21.84,21.14,21.27,15.8752,1276079
2009-02-20,20.04,21.39,20.04,21.09,15.7408,1726065
2009-02-23,21.51,21.51,20.12,20.16,15.0463,1334016
2009-02-24,20.33,21.1,20.13,20.96,15.6437,1360134
2009-02-25,20.93,20.96,20.11,20.39,15.2184,1956451
2009-02-26,20.83,20.98,20.3,20.42,15.2407,1495875
2009-02-27,20.01,20.64,19.835,20.15,15.0392,1952417
2009-03-02,19.4,19.68,18.72,18.73,14.2922,1988421
2009-03-03,18.95,19.12,18.13,18.21,13.8956,1683392
2009-03-04,18.31,19.4,18.31,19.03,14.5212,1884048
2009-03-05,18.68,18.68,17.61,17.75,13.5441,1541039
2009-03-06,17.86,18.2,17.04,17.4,13.2773,2078662
2009-03-09,17.17,17.75,17.02,17.26,13.1705,1694046
2009-03-10,17.62,18.72,17.6,18.68,14.2538,2073644
2009-03-11,18.7,19.08,18.285,18.58,14.1777,2068564
2009-03-12,18.59,19.35,18.13,19.29,14.7194,1214324
2009-03-13,19.43,19.44,19.1,19.25,14.6888,1743132
2009-03-16,19.56,20.57,19.5,19.82,15.1239,1580636
2009-03-17,19.84,20.52,19.68,20.52,15.6581,925026
2009-03-18,20.17,21.71,20.17,21.47,16.3829,1550986
2009-03-19,21.47,22.01,21.47,21.61,16.4899,1203694
2009-03-20,21.63,21.77,21.02,21.15,16.1386,2678208
2009-03-23,21.93,22.99,21.36,22.99,17.5427,1123125
2009-03-24,22.81,23.19,22.54,22.61,17.253,1090898
2009-03-25,22.72,23.69,22.1,22.95,17.5123,1525574
2009-03-26,23.23,24.03,23.12,24,18.3134,1254226
2009-03-27,23.34,23.91,23,23.19,17.6954,738970
2009-03-30,22.84,22.84,21.68,22.04,16.8177,1223404
2009-03-31,22.31,22.7,22.01,22.34,17.047,1325102
2009-04-01,22.09,22.83,21.61,22.75,17.3596,1366408
2009-04-02,23.31,24.52,23.11,24.4,18.619,2083584
2009-04-03,24.46,24.75,24.2,24.68,18.8325,1146250
2009-04-06,24.37,24.58,23.94,24.38,18.6037,878721
2009-04-07,24.02,24.21,23.58,23.94,18.2679,1460730
2009-04-08,24.06,24.73,23.94,24.71,18.8552,993299
2009-04-09,25.19,26.21,25.1104,26.21,20.0002,882292
2009-04-13,25.93,26.12,25.41,25.94,19.7936,678511
2009-04-14,25.51,25.69,25.13,25.4,19.3817,1016050
2009-04-15,25.24,27.09,25.24,27.06,20.6484,1797188
2009-04-16,27.18,27.52,26.5,27.42,20.9232,1406181
2009-04-17,27.52,27.97,27.18,27.84,21.2437,1402834
2009-04-20,27.43,27.66,26.75,26.79,20.4425,1508726
2009-04-21,26.68,27.91,26.65,27.87,21.2665,1059959
2009-04-22,27.66,29.1,27.44,28.35,21.6331,1252592
2009-04-23,28.39,28.72,27.87,28.66,21.8693,1089354
2009-04-24,28.98,30,28.64,29.76,22.7091,1229200
2009-04-27,29.45,30.07,29.3,29.45,22.4723,1251257
2009-04-28,26.55,28.63,26.55,28.03,21.3887,1921214
2009-04-29,28.33,28.92,28.0775,28.39,21.6634,1147393
2009-04-30,28.78,29.48,28.515,28.74,21.9303,1174585
2009-05-01,28.59,28.91,28.21,28.48,21.732,948317
2009-05-04,28.48,28.6,28.05,28.42,21.6861,1595438
2009-05-05,28.36,28.58,28.03,28.25,21.5564,753105
2009-05-06,28.56,28.71,27.79,28.35,21.6331,1178959
2009-05-07,28.93,28.93,27.3499,27.61,21.0679,1652100
2009-05-08,27.94,29.09,27.77,29.09,22.1976,977998
2009-05-11,28.72,28.82,27.99,28.06,21.4113,1270950
2009-05-12,28.06,28.07,27.32,27.73,21.1596,1230554
2009-05-13,27.15,27.23,26.27,26.42,20.1603,925949
2009-05-14,26.47,27.36,26.14,27.14,20.7093,885950
2009-05-15,27.13,27.73,26.57,26.68,20.3586,876902
2009-05-18,26.99,27.59,26.69,27.58,21.0452,1206865
2009-05-19,27.25,27.83,27.22,27.45,20.9461,916772
2009-05-20,27.52,28.28,27.15,27.23,20.7784,823375
2009-05-21,26.95,27.03,26.18,26.45,20.1831,743600
2009-05-22,26.57,27.01,26.17,26.61,20.3052,711937
2009-05-26,26.47,27.81,26.21,27.73,21.1596,1203353
2009-05-27,27.84,27.85,26.85,26.94,20.5572,803801
2009-05-28,27.35,27.35,26.38,27.29,20.8239,1032924
2009-05-29,27.27,27.63,27.05,27.56,21.0299,1498851
2009-06-01,27.56,28.53,27.35,28.18,21.8206,1696642
2009-06-02,28.06,28.3,27.75,27.87,21.5804,1172353
2009-06-03,27.67,27.94,27.09,27.35,21.1777,752559
2009-06-04,27.5,28.09,27.3,27.99,21.6734,942063
2009-06-05,28.46,28.55,27.67,28.21,21.8439,1154350
2009-06-08,28.14,28.16,27.43,27.94,21.6349,852227
2009-06-09,27.99,28.42,27.91,28.1,21.7585,839560
2009-06-10,28.32,28.4,27.38,27.67,21.4256,1063530
2009-06-11,27.8,28.225,27.72,27.94,21.6349,1001696
2009-06-12,27.51,28.01,27.36,27.94,21.6349,568803
2009-06-15,27.5,27.5,26.74,27.02,20.9223,664258
2009-06-16,27.12,27.14,25.7,25.75,19.9391,1204101
2009-06-17,25.65,25.91,25.16,25.41,19.6757,1227780
2009-06-18,25.6,26.0776,25.35,25.88,20.0398,756997
2009-06-19,26.16,26.41,25.85,25.94,20.086,1281454
2009-06-22,25.62,25.91,24.9,24.91,19.2888,688134
2009-06-23,24.97,25.11,24.57,24.65,19.0872,900409
2009-06-24,24.86,25.27,24.74,24.89,19.2731,780520
2009-06-25,24.78,25.54,24.67,25.54,19.7765,753512
2009-06-26,25.4,25.5,25.17,25.39,19.6602,930967
2009-06-29,25.31,25.8,25.13,25.7,19.9005,617893
2009-06-30,25.68,25.83,25.29,25.68,19.8849,813345
2009-07-01,25.85,26.38,25.7505,26.19,20.28,652841
2009-07-02,25.8,26.19,24.9,24.9,19.2806,681344
2009-07-06,24.75,25.57,24.58,25.38,19.6523,792000
2009-07-07,25.11,25.32,24.59,24.6,19.0484,502198
2009-07-08,24.52,24.79,24,24.33,18.8393,889198
2009-07-09,24.46,24.64,24.17,24.42,18.9091,786101
2009-07-10,24.44,24.63,23.98,24.23,18.7618,1619013
2009-07-13,24.18,24.45,23.75,24.45,18.9324,1268786
2009-07-14,24.45,24.77,24.1,24.77,19.1802,1041959
2009-07-15,25.25,25.69,25,25.61,19.8305,1673088
2009-07-16,25.63,26.38,25.44,26.22,20.3026,931366
2009-07-17,26.13,26.46,26.01,26.3,20.3645,790948
2009-07-20,26.49,26.98,26.25,26.96,20.8761,720344
2009-07-21,27.22,27.46,26.32,26.68,20.6593,992094
2009-07-22,26.58,26.81,26.46,26.7,20.6745,1383045
2009-07-23,26.66,28,26.61,27.98,21.6657,1562869
2009-07-24,27.9,28.68,27.72,28.55,22.107,900628
2009-07-27,28.5,29.12,28.3,29.11,22.5408,964800
2009-07-28,28.85,29.69,28.75,29.59,22.9124,1036995
2009-07-29,29.46,29.9,28.67,29.81,23.0828,1588479
2009-07-30,28.91,30.01,26.5,26.65,20.6359,4819812
2009-07-31,26.66,26.98,26.4,26.73,20.698,2921073
2009-08-03,27.13,27.35,26.71,27.19,21.0542,1952748
2009-08-04,27.09,27.38,26.857,27.23,21.085,2553753
2009-08-05,27.44,27.53,26.84,27.13,21.0074,2027287
2009-08-06,27.27,27.44,26.82,27.12,20.9999,1705694
2009-08-07,27.31,27.76,27.23,27.48,21.2783,2488828
2009-08-10,27.3,27.53,27.13,27.47,21.2709,1619089
2009-08-11,27.45,27.53,26.87,27.2,21.0619,2047206
2009-08-12,27.12,27.8,27.12,27.57,21.3483,2247771
2009-08-13,27.56,27.96,27.08,27.43,21.24,3638455
2009-08-14,28.66,29.17,27.77,28.41,21.9984,4334938
2009-08-17,27.82,28.535,27.71,28.23,21.8593,1764261
2009-08-18,28.3,29.3,28.26,29.19,22.6026,1833189
2009-08-19,28.73,29.88,28.73,29.71,23.0053,1530829
2009-08-20,29.69,30.69,29.5,30.35,23.5008,1873430
2009-08-21,30.75,31.72,30.37,31.3,24.2364,1407944
2009-08-24,31.49,31.59,31.06,31.2,24.1588,721144
2009-08-25,31.19,31.69,30.9,31.37,24.2907,1113162
2009-08-26,31.34,31.58,30.79,31.44,24.3453,924848
2009-08-27,31.55,31.7,30.8,31.59,24.4611,721823
2009-08-28,31.77,31.84,31.05,31.48,24.376,861840
2009-08-31,30.98,31.1,30.49,30.9,24.0826,1678075
