Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,35.36,35.45,33.83,34.79,32.2709,513932
2009-01-05,34.76,36,34.54,35.36,32.7993,1041205
2009-01-06,35.58,35.8,31.27,35.1,32.5578,2193579
2009-01-07,34.55,35.65,34.2,34.42,31.9272,1308695
2009-01-08,34.19,34.32,32.88,33.89,31.4354,1155476
2009-01-09,33.99,33.99,32.69,32.91,30.5266,686917
2009-01-12,33.02,33.02,30.82,31.37,29.0984,710271
2009-01-13,31.36,31.65,30.19,31,28.755,673478
2009-01-14,30.44,30.58,28.83,29.27,27.1501,720585
2009-01-15,29.28,30.08,27.85,29.77,27.7376,868548
2009-01-16,30.06,30.79,29.06,30.35,28.2776,768731
2009-01-20,30.15,30.22,27.97,28.06,26.144,615229
2009-01-21,28.47,29.03,27.68,28.91,26.9362,732325
2009-01-22,28.36,28.92,27.35,27.85,25.9486,681734
2009-01-23,27.34,28.84,27,28.12,26.1999,430752
2009-01-26,28.25,29.15,27.54,28.24,26.312,558407
2009-01-27,28.37,29.17,28.14,28.62,26.6658,646041
2009-01-28,29.2,29.66,28.62,29.3,27.2994,524666
2009-01-29,28.92,29.05,27.51,27.7,25.8085,444610
2009-01-30,27.97,28.04,26.6,26.87,25.0351,500599
2009-02-02,26.5,26.82,26.2,26.54,24.7281,598745
2009-02-03,26.84,27.05,26.19,26.58,24.7649,1124976
2009-02-04,26.62,28.09,26.3,27.39,25.5201,590452
2009-02-05,27.14,28.05,26.91,27.75,25.8554,650409
2009-02-06,27.69,28.89,27.59,28.61,26.6565,484126
2009-02-09,28.57,28.82,27.82,28.41,26.4702,544193
2009-02-10,28.13,28.56,26.32,26.68,24.8586,1246929
2009-02-11,26.74,26.9,25.8,26.49,24.6814,848355
2009-02-12,26.12,26.44,25.22,26.42,24.6159,682066
2009-02-13,26.37,26.78,25.9,26.04,24.262,629944
2009-02-17,25.51,25.79,25,25.35,23.6195,721266
2009-02-18,25.61,25.61,24.16,24.34,22.6781,831259
2009-02-19,24.69,24.81,23.71,23.97,22.3335,522338
2009-02-20,23.82,23.99,22.76,23.51,21.9046,727301
2009-02-23,23.44,23.95,22.54,22.6,21.0566,728536
2009-02-24,22.89,23.95,22.62,23.67,22.054,597647
2009-02-25,23.42,23.58,22.41,23,21.4297,802125
2009-02-26,23.12,23.25,22.56,22.64,21.0943,729748
2009-02-27,22.09,23.55,22,22.92,21.355,665598
2009-03-02,22.46,22.64,22,22.08,20.5722,863938
2009-03-03,22.27,22.69,22,22.2,20.6841,1008893
2009-03-04,22.81,23.72,22.51,23.27,21.6813,731447
2009-03-05,22.71,23,21.62,21.73,20.2462,782799
2009-03-06,21.93,22.08,20.31,20.82,19.3984,1299070
2009-03-09,20.56,21.34,20.02,20.23,18.8488,646900
2009-03-10,20.69,21.82,20.41,21.67,20.1908,578363
2009-03-11,21.75,22.24,21.53,21.88,20.3863,340967
2009-03-12,21.83,22.7,21.26,22.5,20.9636,739622
2009-03-13,22.7,22.93,22.13,22.81,21.2525,402192
2009-03-16,22.97,23.53,22.47,22.56,21.0193,438347
2009-03-17,22.58,23.26,22,23.26,21.6716,319599
2009-03-18,22.91,23.53,22.06,22.94,21.3735,1095002
2009-03-19,22.96,23.45,22.63,22.79,21.234,843864
2009-03-20,22.89,22.9,21.33,21.47,20.0042,693196
2009-03-23,22.07,23.69,21.91,23.69,22.0728,599931
2009-03-24,23.2,23.86,22.7,23.13,21.5508,768469
2009-03-25,23.45,24.84,23.12,24,22.3614,790996
2009-03-26,24.3,24.67,23.84,24.66,22.9762,928792
2009-03-27,24.54,24.56,23.31,23.61,21.9982,597158
2009-03-30,22.96,23.21,21.89,22.35,20.824,422318
2009-03-31,22.66,23.24,22.21,22.54,21.0011,494065
2009-04-01,21.5,22.75,20.76,22.69,21.141,797479
2009-04-02,22.18,23.91,21.53,22.65,21.1036,1196117
2009-04-03,22.57,23.33,22.06,23.25,21.6624,850442
2009-04-06,23.03,23.2,22.6,22.86,21.2994,732642
2009-04-07,22.6,22.6,21.36,21.6,20.1251,659807
2009-04-08,21.83,22.03,21.2,21.54,20.0691,533425
2009-04-09,22.03,22.86,21.88,22.57,21.0288,1208260
2009-04-13,22.34,22.71,21.69,22.55,21.0099,680745
2009-04-14,22.17,24.11,21.99,23.7,22.0818,1373135
2009-04-15,23.48,25.26,23.38,24.58,23.0278,1415861
2009-04-16,24.76,25.79,24.27,25.52,23.9087,953255
2009-04-17,25.43,26.41,25.43,26.11,24.4615,877530
2009-04-20,25.47,25.7,24.68,25.03,23.4496,890047
2009-04-21,24.86,25.49,24.76,25,23.4214,844578
2009-04-22,24.63,26.3,24.55,25.56,23.9465,1164843
2009-04-23,25.55,26.04,24.57,25.08,23.4969,801055
2009-04-24,25.41,27.26,25.4,27.06,25.3515,933611
2009-04-27,26.51,27.1,26.26,26.9,25.2017,937975
2009-04-28,26.55,27.69,26.29,27.17,25.4545,770107
2009-04-29,27.44,29.35,27.44,28.92,27.0939,837522
2009-04-30,29.17,29.58,28.49,28.74,26.9255,714993
2009-05-01,28.76,29.74,28.37,29.19,27.3466,881772
2009-05-04,29.27,31.19,29.27,31.17,29.2019,1102840
2009-05-05,30.92,31.335,29.72,30.29,28.3776,716197
2009-05-06,30.66,30.66,29.18,30.07,28.1713,300568
2009-05-07,30.38,30.69,29.155,29.41,27.553,367265
2009-05-08,29.81,31.02,29.8,30.95,28.996,689929
2009-05-11,30.43,30.64,29.41,29.65,27.7779,420578
2009-05-12,29.74,30.23,28.25,28.92,27.0939,408003
2009-05-13,28.36,28.51,27.12,27.46,25.7262,396526
2009-05-14,27.51,27.86,26.39,27.03,25.3235,543838
2009-05-15,27,27.48,26.61,26.8,25.1077,449315
2009-05-18,27.08,28.7999,27.07,28.26,26.4757,751829
2009-05-19,28.12,28.28,27.33,27.83,26.0728,407828
2009-05-20,28.14,29.01,27.65,27.76,26.007,286391
2009-05-21,27.31,27.93,26.81,27.35,25.6228,206191
2009-05-22,27.6,27.84,26.475,26.53,24.8553,226905
2009-05-26,26.31,27.88,26.03,27.5,25.7637,415902
2009-05-27,27.37,27.82,26.44,26.89,25.1923,353190
2009-05-28,26.89,27.11,25.74,26.49,24.8178,261400
2009-05-29,26.5,27.26,26.5,27.18,25.464,480386
2009-06-01,27.63,28.1,27.11,27.96,26.1948,519209
2009-06-02,28.08,28.76,27.42,28.29,26.5033,333544
2009-06-03,27.96,28.28,27.66,28.08,26.307,227847
2009-06-04,28.17,28.86,27.63,28.86,27.0377,212447
2009-06-05,29.01,29.26,28.57,29,27.1688,225441
2009-06-08,28.88,29.47,28.62,29.07,27.2344,213444
2009-06-09,29.15,29.39,28.99,29.1,27.2624,132207
2009-06-10,29.45,29.59,28.73,29.15,27.3095,311284
2009-06-11,29.26,29.68,29.11,29.13,27.2908,166294
2009-06-12,28.9,29.19,28.6,29.03,27.1969,251339
2009-06-15,28.45,28.51,27.81,27.98,26.2132,431101
2009-06-16,28.29,28.45,27.16,27.28,25.5577,214676
2009-06-17,27.21,27.28,26.46,26.8,25.1077,323007
2009-06-18,27.6,28.85,26.86,28.72,26.9065,652734
2009-06-19,29.13,29.66,29.04,29.45,27.5907,683256
2009-06-22,29.14,29.16,27.92,28.11,26.3353,643924
2009-06-23,28.34,28.73,28.01,28.04,26.2696,287156
2009-06-24,28.28,28.96,27.88,28.11,26.3353,411673
2009-06-25,28.11,29.2,27.77,29.02,27.188,373242
2009-06-26,28.93,29.46,28.611,29.28,27.4313,597354
2009-06-29,29.28,29.28,28.46,28.65,26.8411,301832
2009-06-30,28.72,28.81,27.74,28.05,26.2793,367508
2009-07-01,28.29,29.01,28.15,28.87,27.0469,611028
2009-07-02,27.7,27.7,26.15,26.75,25.0611,848765
2009-07-06,26.69,26.7,25.74,26.39,24.7239,581443
2009-07-07,26.67,26.75,25.73,25.8,24.1707,582069
2009-07-08,25.84,26.02,24.95,25.14,23.5523,679384
2009-07-09,25.23,25.83,25.0305,25.63,24.0115,273542
2009-07-10,25.53,26.01,25.36,25.56,23.9465,379077
2009-07-13,25.59,25.96,24.8404,25.91,24.2742,292082
2009-07-14,25.91,26.43,25.67,26.38,24.7145,236238
2009-07-15,26.73,28.3,26.48,28.3,26.6442,609177
2009-07-16,28.15,29.16,27.94,29.1,27.3976,503161
2009-07-17,29.18,29.41,28.68,28.72,27.0397,275452
2009-07-20,28.79,29.19,28.71,29.03,27.3316,402198
2009-07-21,29.16,29.26,28.335,28.56,26.8892,245384
2009-07-22,28.34,29,27.98,28.53,26.8611,870203
2009-07-23,28.43,29.65,28.3,29.6,27.8684,452968
2009-07-24,29.45,29.82,29.375,29.67,27.9342,304304
2009-07-27,29.68,29.69,29.14,29.58,27.8497,217077
2009-07-28,29.46,29.87,29.11,29.87,28.1223,257152
2009-07-29,29.68,29.75,29.24,29.45,27.727,175605
2009-07-30,29.88,30.35,29.49,29.88,28.132,250898
2009-07-31,29.69,30.07,29.48,29.51,27.7838,546644
2009-08-03,29.69,30.57,29.55,30.56,28.7722,393300
2009-08-04,30.34,31,30.34,30.98,29.1677,236889
2009-08-05,30.98,31.14,30.17,30.48,28.6968,320178
2009-08-06,30.77,31.08,30.31,30.7,28.9041,210445
2009-08-07,31.23,31.79,31.02,31.66,29.8079,234394
2009-08-10,31.26,31.9,31.25,31.82,29.9586,237700
2009-08-11,31.45,31.64,31.29,31.39,29.5534,333495
2009-08-12,31.52,32.73,31.5,32.26,30.3727,417130
2009-08-13,32.46,32.53,31.36,31.68,29.8269,312700
2009-08-14,31.59,31.75,31.2,31.72,29.8644,308025
2009-08-17,30.85,31.08,30.43,30.52,28.7345,359084
2009-08-18,30.79,31.24,30.13,31.2,29.375,501547
2009-08-19,30.82,31.5,30.702,31.26,29.4312,155476
2009-08-20,31.27,31.95,31.22,31.92,30.0526,214168
2009-08-21,32.51,32.76,31.97,32.18,30.2974,334870
2009-08-24,32.29,32.45,31.79,31.94,30.0716,381954
2009-08-25,32.19,32.46,31.55,31.63,29.7794,305568
2009-08-26,31.6,32.16,31.44,31.95,30.0811,392891
2009-08-27,32.08,32.34,31.65,32.32,30.4293,279638
2009-08-28,32.5,33.28,32.27,32.92,30.9941,505427
2009-08-31,32.52,32.98,31.85,32.11,30.2319,399920
2009-09-01,31.75,32.4,31.33,31.43,29.591,512550
2009-09-02,31.34,31.84,31.1,31.61,29.761,275739
2009-09-03,31.75,32.17,31.63,32.15,30.2693,500916
2009-09-04,32.15,32.83,31.9,32.62,30.7118,258172
2009-09-08,32.79,33.58,32.79,33.46,31.5028,349514
2009-09-09,32.93,33.5,32.82,33.28,31.3333,845446
2009-09-10,33.17,34.16,32.89,34.14,32.1431,269248
2009-09-11,34.09,34.48,33.8,34.02,32.0296,282069
2009-09-14,33.83,34.14,33.45,34.01,32.0205,163157
2009-09-15,34.03,34.55,34.03,34.54,32.5193,131177
2009-09-16,34.55,34.89,34.25,34.74,32.7077,232879
2009-09-17,34.79,35.3,34.5,34.57,32.5474,328291
2009-09-18,34.81,35.03,34.6,34.74,32.7077,337713
2009-09-21,34.32,34.56,33.87,33.96,31.9737,241774
2009-09-22,34.24,34.36,33.86,34.05,32.058,136337
2009-09-23,34.01,34.3,33.52,33.68,31.7095,392296
2009-09-24,33.8,33.83,32.431,32.8,30.8815,355790
2009-09-25,32.61,32.97,32.37,32.46,30.5609,203624
2009-09-28,32.47,33.25,32.42,32.99,31.06,131390
2009-09-29,32.97,33.18,32.63,32.87,30.9472,144606
2009-09-30,32.84,33.02,31.7,32.21,30.3256,310576
2009-10-01,32.13,32.3,31.12,31.16,29.337,438575
2009-10-02,30.77,31.29,30.56,30.98,29.1677,227060
2009-10-05,31.22,31.45,30.65,31.41,29.5724,471886
2009-10-06,31.88,33.39,31.87,32.49,30.5891,595645
2009-10-07,33.9,36.93,33.9,34.99,32.9431,1572774
2009-10-08,36.09,36.26,35.04,35.22,33.1597,1012467
2009-10-09,35.22,35.6,34.7,34.8,32.7642,709557
2009-10-12,35.2,35.2,34.51,34.59,32.5664,596723
2009-10-13,34.64,34.88,34.2,34.46,32.4439,544899
2009-10-14,34.72,35.13,34.09,34.2,32.3211,818856
2009-10-15,34.04,34.47,33.87,34.34,32.4536,504128
2009-10-16,34.17,34.91,33.95,34.79,32.8793,547061
2009-10-19,34.96,35.83,34.89,35.35,33.408,320835
2009-10-20,35.37,35.42,34.57,34.99,33.068,281079
2009-10-21,34.82,35.895,34.68,34.7,32.7936,259479
2009-10-22,34.55,35.59,34.13,35.37,33.4269,290428
2009-10-23,35.38,35.38,33.96,34.04,32.1701,429202
2009-10-26,33.97,34.68,33.3,33.49,31.6503,239287
2009-10-27,33.66,34.09,33.25,33.36,31.5273,210260
2009-10-28,33.12,33.41,31.92,31.96,30.2042,370737
2009-10-29,32.19,33.08,32,32.9,31.0924,296029
2009-10-30,32.56,32.56,31.39,31.66,29.9205,378670
2009-11-02,31.96,32.53,31.01,31.63,29.8923,432650
2009-11-03,31.33,32.11,31.24,32.02,30.2609,387391
2009-11-04,32.1,32.27,31.21,31.25,29.5333,485646
2009-11-05,31.49,32.62,31.44,32.54,30.7522,367263
2009-11-06,32.1,32.89,31.95,32.42,30.6392,300212
2009-11-09,32.72,33.2,32.63,32.93,31.1208,213136
2009-11-10,32.73,33.24,32.52,32.92,31.1114,311277
2009-11-11,33.25,33.25,32.6,32.72,30.9223,514231
2009-11-12,32.6,32.67,31.22,31.28,29.5617,443693
2009-11-13,31.49,31.51,30.85,31.19,29.4764,481682
2009-11-16,31.5,31.91,31.3,31.53,29.7977,394596
2009-11-17,31.34,31.4,30.89,31.16,29.4483,364384
2009-11-18,31.06,31.25,30.46,31.23,29.5146,535861
2009-11-19,31.04,31.26,30.65,31.17,29.4579,582989
2009-11-20,30.95,31.94,30.9,31.9,30.1475,442684
2009-11-23,32.36,33.38,32.36,32.9,31.0924,730707
2009-11-24,35.19,35.19,32.95,33.07,31.2533,949533
2009-11-25,33.13,33.3,32.8,33,31.1872,316399
2009-11-27,32.48,32.915,32.03,32.31,30.5351,189607
2009-11-30,32.16,32.39,31.78,32.28,30.5069,450683
2009-12-01,32.99,33,32.17,32.78,30.9793,642675
2009-12-02,32.71,34.01,32.71,33.41,31.5746,499906
2009-12-03,33.61,33.89,32.99,33.03,31.2153,364165
2009-12-04,33.89,34.11,32.85,33.52,31.6785,231630
2009-12-07,33.61,34,33.42,33.72,31.8678,246277
2009-12-08,33.39,33.8,32.88,33.15,31.3289,3662167
2009-12-09,33.58,34.46,33.49,33.92,32.0566,383365
2009-12-10,34,34.22,33.45,33.69,31.8398,246413
2009-12-11,33.92,34.34,33.79,34.12,32.2459,339777
2009-12-14,34.26,34.51,34.181,34.44,32.5478,357093
2009-12-15,34.28,34.58,34.03,34.24,32.3589,370392
2009-12-16,34.42,34.76,34.16,34.76,32.8508,256193
2009-12-17,34.43,34.92,34.23,34.83,32.9164,292329
2009-12-18,35.17,35.17,34.4,34.85,32.9355,707538
2009-12-21,35.14,35.81,35.07,35.34,33.3985,406365
2009-12-22,35.47,35.7,35.19,35.36,33.4176,181727
2009-12-23,35.58,36.17,35.4,36.07,34.0884,205316
2009-12-24,36.24,36.37,36,36.11,34.1262,140135
2009-12-28,36.11,36.37,36.011,36.35,34.3534,151019
2009-12-29,36.34,36.7,36.17,36.43,34.4284,219686
2009-12-30,36.55,36.59,35.48,36.05,34.0695,327063
2009-12-31,36.14,36.14,35.58,35.64,33.6821,421945
2010-01-04,35.88,36.36,35.77,36.03,34.0508,829126
2010-01-05,35.86,36.5,35.83,36.33,34.3343,699990
2010-01-06,36.99,37.96,36.58,36.85,34.8259,1084242
2010-01-07,36.89,38.26,36.75,38,35.9121,689219
2010-01-08,37.75,38.14,37.68,38.14,36.0448,326231
2010-01-11,38.37,38.49,38.1,38.26,36.1585,249302
2010-01-12,37.83,38.51,37.83,38.5,36.3852,326501
2010-01-13,38.54,38.99,38.13,38.92,36.7817,683375
2010-01-14,38.9,38.96,38.52,38.69,36.6871,142479
2010-01-15,39.41,39.41,37.79,37.99,36.0236,261633
2010-01-19,37.98,38.38,37.865,38.37,36.3838,250810
2010-01-20,37.93,38.1,37.39,37.97,36.0044,251093
2010-01-21,37.97,38.17,37.28,37.49,35.5493,372052
2010-01-22,37.38,37.7,36.65,36.84,34.933,408939
2010-01-25,37.18,37.18,36.48,36.83,34.9235,282205
2010-01-26,36.59,37.25,36.43,36.47,34.582,214247
2010-01-27,36.31,36.55,35.88,36.51,34.62,162077
2010-01-28,36.51,36.51,35.28,36.06,34.1935,228978
2010-01-29,36.14,36.55,35.58,35.78,33.9273,392532
2010-02-01,36.02,36.62,35.83,36.5,34.6104,292788
2010-02-02,36.64,37,36.47,36.89,34.9801,281438
2010-02-03,36.67,37.16,36.48,36.95,35.0371,202496
2010-02-04,36.62,36.73,35.37,35.41,33.5769,222012
2010-02-05,35.38,35.71,34.75,35.67,33.8237,241328
2010-02-08,35.6,35.95,35.22,35.25,33.4251,179462
2010-02-09,35.75,36.2095,34.95,35.8,33.9465,338536
2010-02-10,35.54,35.95,34.8,35.87,34.0129,274267
2010-02-11,35.86,36.43,35.44,36.37,34.4872,244576
2010-02-12,36.04,36.76,36,36.72,34.8192,245219
2010-02-16,36.97,37.17,36.76,36.93,35.0182,187111
2010-02-17,37.17,37.48,36.98,37.47,35.5303,343239
2010-02-18,37.34,38.47,37.34,38.39,36.4027,255081
2010-02-19,38.39,39.2,38.34,39,36.981,413139
2010-02-22,39.01,39.08,38.68,38.93,36.9147,190957
