Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,42.8,45.56,42.78,45.25,34.3426,7010200
2009-01-05,45.5,46.81,44.8,46.17,35.0401,6917400
2009-01-06,46.85,47,45.5,46.31,35.1469,7180300
2009-01-07,45.1,45.61,44.17,44.76,33.9703,6586200
2009-01-08,44.5,44.9,43.88,44.79,33.9933,5477000
2009-01-09,44.8,45.15,43.93,44.45,33.7352,5645100
2009-01-12,44.28,44.45,43.19,43.74,33.1964,4989200
2009-01-13,43.38,43.62,41.8,42.46,32.2246,6359400
2009-01-14,41.88,41.98,40.87,41.2,31.2684,7354900
2009-01-15,41.07,41.6,39.51,40.96,31.0866,8464900
2009-01-16,41.45,43.05,41.04,42.46,32.2246,9310800
2009-01-20,42.08,42.74,40.2,40.36,30.631,9636800
2009-01-21,40.75,42.4,40,42.27,32.0805,6933100
2009-01-22,41.73,42.75,41.17,42.26,32.0733,6590800
2009-01-23,40.91,42.84,40.91,41.98,31.8606,5755600
2009-01-26,42.46,43.77,42.06,43.01,32.6423,4659200
2009-01-27,43.29,43.96,42.88,43.22,32.8015,5218900
2009-01-28,43.47,44.4,42.76,43.24,32.8168,8071100
2009-01-29,42.76,42.76,40.37,40.71,30.8967,8446500
2009-01-30,40.76,42.49,40.63,42.31,32.1111,9098000
2009-02-02,41.73,41.73,40.11,40.8,30.9651,8107400
2009-02-03,41.45,42.43,40.76,42.09,31.944,7220800
2009-02-04,42.12,42.97,41.69,41.97,32.1737,6729000
2009-02-05,41.75,43.11,40.62,42.72,32.749,9021100
2009-02-06,42.52,43.67,42.25,42.92,32.9023,6334200
2009-02-09,42.8,43.42,42.44,42.8,32.8103,5088300
2009-02-10,41.29,42.23,40.02,40.21,30.825,9999200
2009-02-11,40.51,40.76,39.86,40.33,30.9168,6519300
2009-02-12,39.58,39.99,38.58,39.86,30.5565,6028900
2009-02-13,39.89,41.19,39.89,40.48,31.0317,5483500
2009-02-17,39.49,39.74,38.3,38.43,29.4604,6949100
2009-02-18,38.77,38.77,37.76,37.98,29.1152,6324500
2009-02-19,38.24,38.7,37.42,37.57,28.8009,5466700
2009-02-20,36.73,37.2,35.32,36.31,27.8349,10598900
2009-02-23,36.73,36.79,34.35,34.46,26.417,9519200
2009-02-24,34.44,35.83,33.89,35.44,27.1681,10815100
2009-02-25,35.27,35.27,33.22,33.91,25.9951,11683900
2009-02-26,34.5,34.62,32.64,32.71,25.0752,8771600
2009-02-27,32.3,32.37,31.4,31.44,24.1019,11789000
2009-03-02,30.96,31,29.32,29.51,22.6224,13956800
2009-03-03,29.7,30.11,29.05,29.36,22.5071,10433300
2009-03-04,29.86,30.78,29.11,30.31,23.2356,11627500
2009-03-05,29.22,30.02,29.07,29.39,22.5303,11675700
2009-03-06,29.61,30.2,29.39,30.1,23.0747,13134300
2009-03-09,29.98,31.46,29.96,31,23.7646,12407200
2009-03-10,31.42,33.02,31.32,33.01,25.3052,11501700
2009-03-11,32.59,33.7,32.39,33.27,25.5048,10823100
2009-03-12,33.01,33.75,32.39,33.63,25.7804,6133200
2009-03-13,33.72,34.1,32.93,33.4,25.6043,7434000
2009-03-16,33.74,34.96,33.38,33.83,25.934,7157200
2009-03-17,33.92,34.44,33.26,34.44,26.4016,5270900
2009-03-18,34.29,34.75,32.5,33.75,25.8727,15879900
2009-03-19,33.86,34.12,32.97,33.19,25.4432,10427300
2009-03-20,33.22,33.5,32.54,32.55,24.9526,11323000
2009-03-23,33.2,35.5,33.05,35.5,27.2143,8223900
2009-03-24,34.88,36.72,34.82,36.1,27.6739,8468300
2009-03-25,36.03,37.79,35.97,37.06,28.4099,12446200
2009-03-26,37.32,38.68,36.91,38.66,29.6365,9544600
2009-03-27,38.23,38.47,37.07,37.53,28.7705,7329000
2009-03-30,36.63,36.98,35.11,35.52,27.2298,10833800
2009-03-31,35.9,36.24,35.05,35.58,27.2753,11549200
2009-04-01,34.52,35.6,34.21,35.44,27.1681,9288800
2009-04-02,36.16,37.98,36.16,37.2,28.5175,9449300
2009-04-03,37.23,38.12,36.39,37.69,28.8927,8591300
2009-04-06,37.48,38.22,36.54,38.16,29.2534,7390300
2009-04-07,37.51,37.69,36.51,36.64,28.0879,6015900
2009-04-08,36.5,37.16,36.24,36.87,28.2641,4477300
2009-04-09,37.68,39.18,37.68,39.15,30.0123,9065400
2009-04-13,36.97,37.48,35.81,37.15,28.4787,9531300
2009-04-14,36.51,37.5,36.3,37.04,28.3944,5845300
2009-04-15,36.63,38.04,36.61,37.57,28.8009,5452200
2009-04-16,37.62,38.75,37,38.39,29.4295,6423900
2009-04-17,38.55,38.78,38.18,38.32,29.3759,6152300
2009-04-20,37.65,37.86,36.36,36.48,27.9655,7017000
2009-04-21,36.66,36.66,35.94,36.65,28.0958,7352500
2009-04-22,37.85,38.32,36.54,37.3,28.594,11626000
2009-04-23,37.29,38.12,36.6,37.93,29.0774,6400400
2009-04-24,38.1,39.01,37.75,38.72,29.6827,8351000
2009-04-27,37.99,39.85,37.72,39.47,30.2576,8546500
2009-04-28,39.11,39.42,38.32,38.85,29.782,6627200
2009-04-29,39.09,40.73,39.02,40.55,31.0856,7775900
2009-04-30,41.07,41.74,39.9,40.05,30.7023,7028100
2009-05-01,40.31,41.37,40.09,41.21,31.5914,5508800
2009-05-04,41.9,42.18,41.51,42.18,32.3347,5269800
2009-05-05,41.92,43.25,41.92,43.15,33.0786,7683900
2009-05-06,43.3,44.21,43.08,44.2,34.2162,7930300
2009-05-07,44.47,44.62,42.75,43.53,33.6976,7106700
2009-05-08,43.96,45.84,43.77,45.83,35.4787,7491100
2009-05-11,45.26,45.6,44.53,44.72,34.619,9595700
2009-05-12,44.54,45.07,43.29,44.1,34.1393,7068700
2009-05-13,43.18,43.42,42.38,42.95,33.2487,6323700
2009-05-14,42.94,43.81,42.72,43.44,33.6282,5251600
2009-05-15,43.27,43.99,42.71,43,33.2877,5189300
2009-05-18,44.25,44.53,43.81,44.37,34.3483,7288000
2009-05-19,44.36,45.06,43.9,44.62,34.5416,4792100
2009-05-20,45.05,45.74,44.54,44.58,34.511,4734200
2009-05-21,43.99,44,42.7,43.29,33.5121,5785000
2009-05-22,43.47,43.61,42.86,42.94,33.2411,2951600
2009-05-26,42.61,44.33,42.52,44.16,34.1858,4718300
2009-05-27,43.89,44.33,43.45,43.57,33.7289,4622300
2009-05-28,43.99,44.45,43.19,44.32,34.3095,4559600
2009-05-29,44.61,45.08,43.95,44.85,34.7195,5417400
2009-06-01,45.54,47.81,45.54,47.7,36.926,6920500
2009-06-02,47.7,49.43,47.31,49.2,38.0872,7453200
2009-06-03,48.71,49.2,47.79,48.37,37.4445,4700000
2009-06-04,48.63,50.91,48.57,50.57,39.1478,7324600
2009-06-05,52.16,53.26,52.16,52.65,40.7583,13724100
2009-06-08,52.49,53.33,51.13,52.83,40.8974,7957400
2009-06-09,53.39,53.39,51.31,52.35,40.5258,7723800
2009-06-10,52.82,53.2,51.1,52.3,40.4869,6556200
2009-06-11,51.83,52.57,50.48,50.66,39.2175,11852300
2009-06-12,50.76,51.56,50.11,51.44,39.8211,5476700
2009-06-15,50.9,51.09,49.02,49.52,38.335,6363200
2009-06-16,49.57,50.15,48.7,48.83,37.8009,5725700
2009-06-17,48.55,49.16,48.05,48.55,37.5837,4870800
2009-06-18,48.43,49.28,48.15,48.96,37.9013,3098700
2009-06-19,49.18,49.53,48.11,48.44,37.4987,7032600
2009-06-22,47.83,48.03,46.53,46.9,36.3067,5198500
2009-06-23,44.39,44.5,42.52,43.87,33.9611,27281100
2009-06-24,43.14,43.55,41.09,41.32,31.9873,21282800
2009-06-25,41.4,42.6,41.11,42.53,32.924,14005100
2009-06-26,42.11,42.78,41.5,41.88,32.4207,15578800
2009-06-29,42.15,43.02,42.08,42.65,33.0164,5514600
2009-06-30,43.63,43.79,42.1,42.5,32.9005,8321200
2009-07-01,42.63,42.95,42.15,42.23,32.6915,6346700
2009-07-02,41.81,41.81,40.62,40.83,31.6078,7201500
2009-07-06,40.38,40.76,39.92,40.56,31.3989,7132800
2009-07-07,40.5,40.69,38.94,39.04,30.222,7701600
2009-07-08,39.12,39.83,38.92,39.55,30.6168,8800400
2009-07-09,39.75,40,39.02,39.3,30.4234,5432600
2009-07-10,39.2,39.71,38.92,39.65,30.6942,5833500
2009-07-13,39.68,40.83,39.26,40.44,31.3055,6549000
2009-07-14,40.39,40.9,40.11,40.41,31.2827,5748500
2009-07-15,40.77,41.46,40.51,41.36,32.0178,7867100
2009-07-16,41.01,42.22,41.01,42.05,32.552,5356800
2009-07-17,42.25,42.4,41.1,41.36,32.0178,5691600
2009-07-20,41.71,42.26,41.16,42.2,32.6681,5535200
2009-07-21,42.82,43.71,42.5,43.02,33.303,9161800
2009-07-22,42.4,43.46,41.95,42,32.5136,12052300
2009-07-23,42,42.19,40.78,41.95,32.4749,13617700
2009-07-24,41.95,42.49,41.72,42.37,32.7997,5068000
2009-07-27,42,42.37,41.43,42.24,32.6994,5671700
2009-07-28,41.99,43.35,41.8,43.25,33.4809,7831200
2009-07-29,43,43.5,42.64,43.37,33.5739,5078100
2009-07-30,43.94,44.5,43.13,43.24,33.4731,8279800
2009-07-31,43.32,43.49,42.8,42.91,33.2181,6029200
2009-08-03,43.18,44.02,42.51,43.79,33.899,6064800
2009-08-04,43.64,44.44,43.35,44.16,34.1858,5964600
2009-08-05,43.63,44.21,43.4,44.03,34.4125,7129800
2009-08-06,44.29,45.73,44.03,45.52,35.5769,10207000
2009-08-07,45.89,47.21,45.38,46.69,36.4912,6689100
2009-08-10,46.41,46.41,45.19,45.77,35.7724,5620600
2009-08-11,45.56,45.83,44.84,45.39,35.4751,5121500
2009-08-12,45.33,46.78,45.31,46.34,36.2174,4682100
2009-08-13,46.45,46.87,45.75,46.62,36.4364,3484300
2009-08-14,45.82,46.24,44.21,44.87,35.0688,10505300
2009-08-17,44.16,44.28,43.7,44.16,34.514,5211100
2009-08-18,44,44.53,43.69,43.78,34.2166,5444200
2009-08-19,43.5,43.91,43.1,43.52,34.0139,6578900
2009-08-20,43.54,44.83,43.49,44.74,34.9671,5192100
2009-08-21,45.18,46.02,44.92,45.87,35.8503,5529800
2009-08-24,46.51,47.79,45.97,47.13,36.835,6157100
2009-08-25,47.5,48.77,47.28,48.25,37.7105,8247900
2009-08-26,48.07,48.38,47.44,47.82,37.3745,3956000
2009-08-27,51.37,52.38,51,51.82,40.5007,17771800
2009-08-28,51.68,52.53,50.7,51.04,39.8909,11455800
2009-08-31,50.17,50.25,49.02,49.67,38.82,9297900
2009-09-01,49.21,50.38,48.47,48.77,38.1168,8242400
2009-09-02,48.59,48.98,48.16,48.4,37.8279,3835700
2009-09-03,48.67,48.83,47.76,48.46,37.8747,5466500
2009-09-04,48.74,49.26,48.05,49.15,38.4137,5711400
2009-09-08,49.73,49.88,48.81,49.5,38.6874,4583900
2009-09-09,49.7,51.15,49.7,50.53,39.4926,5895800
2009-09-10,50.42,50.72,49.79,50.49,39.4612,3847200
2009-09-11,50.64,51.44,50.48,51.35,40.1333,5880500
2009-09-14,50.99,51.26,50.44,50.97,39.8362,4392700
2009-09-15,51.26,52.34,50.88,52.07,40.6961,6584400
2009-09-16,52.44,52.76,51.79,52.36,40.9226,5101400
2009-09-17,52.25,53.16,52.2,52.88,41.3292,4676800
2009-09-18,53.02,53.29,52.1,53.02,41.4385,6532900
2009-09-21,52.6,53.36,52.42,52.86,41.3134,3076100
2009-09-22,52.96,53.31,52.13,53.14,41.5321,3898300
2009-09-23,53.35,53.4,52.26,52.37,40.9303,4609100
2009-09-24,52.23,52.52,51.52,51.79,40.4772,5351900
2009-09-25,51.86,52.4,51.3,51.52,40.2661,3638600
2009-09-28,51.82,53.34,51.76,53.07,41.4777,4921900
2009-09-29,53.28,55.48,53.28,54.62,42.6888,7266000
2009-09-30,54.86,55.25,53.46,54.15,42.3217,5939600
2009-10-01,53.85,53.9,52.03,52.11,40.7274,6606000
2009-10-02,51.19,51.76,50.1,51.4,40.1725,6041200
2009-10-05,51.75,52.52,51.38,52.28,40.8599,3083000
2009-10-06,51.54,52.57,51.15,52.29,40.8683,6244300
2009-10-07,52.18,52.25,51.25,51.79,40.4772,3659300
2009-10-08,52.3,52.6,51.86,52.3,40.8756,3190600
2009-10-09,52.49,52.75,51.96,52.69,41.1806,2589700
2009-10-12,52.66,52.73,51.38,51.66,40.3757,3974100
2009-10-13,51.64,51.98,51.36,51.9,40.5631,3023600
2009-10-14,52.31,52.55,51.57,52.51,41.0398,4646100
2009-10-15,52.03,52.53,50.94,51.76,40.4535,5684300
2009-10-16,51.19,53.72,50.85,53.19,41.5712,7431400
2009-10-19,53.32,53.75,52.59,53.45,41.7746,3841200
2009-10-20,51.71,52.3,51.07,51.89,40.5552,8189400
2009-10-21,51.07,52,50.5,50.63,39.5706,8115500
2009-10-22,50.33,51.23,49.75,51.07,39.9144,6375000
2009-10-23,51.06,51.06,49.5,49.89,38.9922,5856700
2009-10-26,49.85,49.98,48,48.29,37.7414,7427700
2009-10-27,48.3,48.53,47.55,47.75,37.3196,7044700
2009-10-28,47.72,47.8,47.18,47.22,36.9057,6909800
2009-10-29,48.31,49.13,47.81,48.81,38.148,8301100
2009-10-30,48.7,48.81,47.66,47.8,37.3588,8702600
