Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,53.83,55.31,52.88,55.08,24.1569,2936046
2009-01-05,54.91,54.91,53.75,54.24,23.7884,3974118
2009-01-06,54.65,55.28,53.68,53.96,23.6657,6939734
2009-01-07,53.31,54.3,53.08,53.84,23.6131,2831019
2009-01-08,53.72,54.42,53.07,53.98,23.6745,4095354
2009-01-09,54.19,54.95,53.82,53.98,23.6745,3525659
2009-01-12,53.76,54.25,52.78,53.02,23.2534,4071818
2009-01-13,52.99,53.49,52.52,52.91,23.2051,4246889
2009-01-14,52.19,53.83,52.19,53.45,23.442,7073891
2009-01-15,53.58,53.78,52.36,53.56,23.4903,5573820
2009-01-16,54.22,55.2,53.86,54.95,24.0999,4778494
2009-01-20,54.88,55.23,53.7,53.83,23.6086,4860543
2009-01-21,54.36,55.8,53.5,55.47,24.3279,5656879
2009-01-22,54.74,57.35,54.74,56.77,24.898,7554949
2009-01-23,56.42,57.64,55.68,57.47,25.2052,5983342
2009-01-26,57.78,58.34,57.42,57.79,25.3453,4297679
2009-01-27,57.62,58.75,57.56,58.49,25.6524,4085196
2009-01-28,59.36,59.36,57.7,58.17,25.512,5002050
2009-01-29,57.71,58.59,57.48,58.25,25.5473,5013113
2009-01-30,58.38,59.14,58.08,58.65,25.7227,3904844
2009-02-02,58.1,59.05,57.95,58.65,25.7227,3141311
2009-02-03,58.78,60.64,58.47,60.5,26.5341,4467797
2009-02-04,60.55,60.99,59.35,59.46,26.0778,4074102
2009-02-05,59.27,60.75,59.27,60.46,26.5166,3876887
2009-02-06,60.55,60.62,59.66,60.2,26.4024,3908847
2009-02-09,60.24,60.24,58.07,58.92,25.8411,4034598
2009-02-10,58.55,58.92,57.06,57.59,25.258,4731284
2009-02-11,57.95,58.89,57.59,58.7,25.7446,3309313
2009-02-12,57.91,59.22,57.32,59.17,25.9506,3244512
2009-02-13,58.87,59.16,58.43,58.74,25.762,2244290
2009-02-17,57.98,58.77,57,57.94,25.4111,3422021
2009-02-18,58.35,58.67,57.53,58.16,25.508,3189842
2009-02-19,58.66,58.66,57.85,57.99,25.4332,2533826
2009-02-20,57.22,58.4,57.03,58.05,25.4594,4265811
2009-02-23,57.45,58.39,57.24,57.34,25.1481,3108455
2009-02-24,57.71,58.43,57,58.27,25.556,3552854
2009-02-25,57.99,58,56.83,56.91,24.9597,4731365
2009-02-26,57.52,57.79,54.85,54.87,24.0648,4540685
2009-02-27,53.33,53.99,50.78,50.91,22.3281,9350178
2009-03-02,50.76,52.63,50.3,51.15,22.4333,6955320
2009-03-03,51.75,53.37,51.5,51.92,22.771,5323598
2009-03-04,52.5,53.25,51.55,52.5,23.0252,4302465
2009-03-05,51.53,52.02,50.94,51.52,22.5956,4887682
2009-03-06,51.87,52.79,50.58,51.92,22.8865,5056661
2009-03-09,51.32,52.7,50.38,51.05,22.503,3957753
2009-03-10,51.8,51.8,50.37,51.34,22.631,5782680
2009-03-11,50.61,50.89,48.15,48.57,21.4098,10838612
2009-03-12,48.57,50.82,48.07,50.56,22.2869,7429618
2009-03-13,50.86,51.225,50.18,51.16,22.5514,4178254
2009-03-16,51.49,52.1,50.94,51.07,22.5118,3227881
2009-03-17,50.95,52.11,50.95,52.11,22.9703,2523736
2009-03-18,52,52.83,51.26,51.85,22.8558,3312722
2009-03-19,52.44,52.44,49.86,50.21,22.1329,4956507
2009-03-20,49.93,50.63,49.02,49.57,21.8505,6765325
2009-03-23,50.39,51.24,49.79,51.24,22.5866,3867030
2009-03-24,50.7,51.07,50.07,50.51,22.265,5880478
2009-03-25,50.47,50.71,48.88,50.02,22.049,5290893
2009-03-26,49.87,49.98,47.61,49.4,21.7757,10276624
2009-03-27,48.73,51,48.73,50.49,22.2561,5749619
2009-03-30,50.29,50.76,49.82,50.61,22.309,5050442
2009-03-31,50.9,52.3,50.42,51.22,22.5778,5796123
2009-04-01,50.77,51.22,49.66,50.67,22.3354,5353816
2009-04-02,51.68,52.15,50.31,50.46,22.2431,4804422
2009-04-03,50.59,51.08,48.31,48.61,21.4275,6714249
2009-04-06,48.19,49.0034,46.85,47.21,20.8103,9223725
2009-04-07,46.63,48.77,46.63,48.32,21.2997,5091656
2009-04-08,48.4,49.355,48.35,49.2,21.6876,3947661
2009-04-09,50.14,50.56,48.99,49.23,21.7009,4658096
2009-04-13,48.95,50.6,48.95,49.66,21.8904,5180456
2009-04-14,49.37,50.7,48.43,49.11,21.6478,4863005
2009-04-15,49.37,49.47,48.24,49.25,21.7095,5076460
2009-04-16,51.03,51.95,50.4,50.95,22.459,9462374
2009-04-17,51.25,52.3,51,51.85,22.8558,6238160
2009-04-20,51.65,52.43,50.64,50.66,22.3312,4823053
2009-04-21,50.6,51.5,49.85,50.44,22.2338,3885949
2009-04-22,49.84,50.3,48.5,48.65,21.4452,5257640
2009-04-23,48.64,49.42,47.77,48.99,21.5951,3960076
2009-04-24,49.24,49.24,47.75,48.07,21.1894,4114394
2009-04-27,48.93,49.89,48.5,49.23,21.7009,5601021
2009-04-28,49.23,50.43,49.23,49.68,21.8991,3255589
2009-04-29,49.82,50.17,49.23,49.64,21.8816,5100363
2009-04-30,50.21,50.35,48.25,48.5,21.379,6136922
2009-05-01,48.41,49.14,48.04,49.06,21.6257,2879604
2009-05-04,49.16,50.11,49.07,50.08,22.0754,3835941
2009-05-05,49.43,50.02,49.19,49.73,21.9211,2959135
2009-05-06,49.81,49.95,48.185,48.79,21.5068,3505378
2009-05-07,48.69,49.88,48.4,49.74,21.9255,5084900
2009-05-08,49.69,51.08,48.81,50.26,22.1545,5181247
2009-05-11,50,51.05,49.38,50.36,22.1988,4304095
2009-05-12,50.68,51.96,50.53,51.23,22.5825,5431897
2009-05-13,50.72,51.75,50.72,50.98,22.4722,3812445
2009-05-14,50.95,51.53,50.36,50.64,22.3222,2719326
2009-05-15,50.63,50.63,49.67,49.78,21.943,4338332
2009-05-18,49.91,49.92,49.02,49.35,21.7536,3445541
2009-05-19,49.3,49.83,49,49.12,21.6523,3235077
2009-05-20,49.35,49.62,48.66,48.69,21.4628,3972152
2009-05-21,48.37,49.19,48.22,48.88,21.5464,3594521
2009-05-22,48.87,50.2,48.87,49.8,21.952,3478984
2009-05-26,49.75,50.9,49.02,50.59,22.3002,4241529
2009-05-27,50.65,50.9,49.79,49.89,21.9916,3119855
2009-05-28,49.71,50.29,49.41,49.82,21.9608,2803326
2009-05-29,49.91,51.3,49.68,51.19,22.5647,4216659
2009-06-01,51.48,51.5,49.15,49.23,21.7009,7862211
2009-06-02,49.32,49.48,48.07,48.19,21.2424,11456885
2009-06-03,48.32,49.97,47.72,49.28,21.7228,9698716
2009-06-04,49.46,49.46,45.46,47.38,20.8852,20251162
2009-06-05,47.57,47.99,46.91,47.56,20.9644,9129466
2009-06-08,46.53,47.61,46.38,46.52,20.6213,6548093
2009-06-09,46.83,47.45,46.35,46.8,20.7455,6233356
