Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,68.59,70.04,67.7,69.86,57.4532,1115352
2009-01-05,69.68,69.98,68.46,69.11,56.8363,1042591
2009-01-06,69.31,70.59,68.1,68.38,56.2362,1503389
2009-01-07,67.62,68.45,67.27,67.66,55.644,1853618
2009-01-08,67.3,69.29,66.91,69.11,56.8363,1540104
2009-01-09,70.45,72.99,70.45,71.28,58.6212,2288697
2009-01-12,71.01,72.43,70.53,71,58.3905,1760834
2009-01-13,71,72.86,70.8,72.04,59.246,1807594
2009-01-14,71.17,71.64,70.34,71.02,58.4072,1748473
2009-01-15,70.6,71.41,69.52,71.35,58.6784,1912655
2009-01-16,72,72.89,71.57,72.52,59.6405,1589500
2009-01-20,72.47,73.39,70.84,70.96,58.3579,1620889
2009-01-21,71.86,72.48,70.2,72.28,59.4435,1988207
2009-01-22,71.46,73.87,71.35,73.65,60.57,1815336
2009-01-23,72.96,72.96,70.74,71.43,58.7441,2467933
2009-01-26,71.8,73.49,71.56,72.49,59.6161,2115124
2009-01-27,73.49,74.62,72.75,74.15,60.9811,1847339
2009-01-28,76.98,77.11,69.21,70.05,57.6097,5897840
2009-01-29,69.57,72.17,69.27,71.33,58.6623,3392005
2009-01-30,71.48,73.23,71.12,72.67,59.764,2388985
2009-02-02,72.09,73.54,71.55,72.82,59.8875,1937305
2009-02-03,72.63,74.06,72.39,73.8,60.6934,1866535
2009-02-04,74,75.61,73.28,73.87,60.7511,1713326
2009-02-05,73.55,74.614,73.41,74.05,60.8992,1510233
2009-02-06,74.52,74.81,73.58,74.09,60.9321,1303165
2009-02-09,74.2,74.23,71.8,72.82,59.8875,1563868
2009-02-10,72.15,72.82,70.27,70.69,58.1355,1758928
2009-02-11,70.5,71.315,70.08,70.89,58.3005,1503124
2009-02-12,70.17,71.27,69.6,71.27,58.6131,1547574
2009-02-13,71.35,71.44,70.35,70.64,58.0946,1203956
2009-02-17,69.9,70.45,69.01,69.59,57.2312,1483298
2009-02-18,70.13,70.19,69.12,69.53,57.1816,1026414
2009-02-19,68.64,70.58,68.64,69.78,57.3874,1258119
2009-02-20,69.33,70.32,69.07,69.61,57.2474,2235084
2009-02-23,70.31,70.31,68.27,68.65,56.4582,1816166
2009-02-24,68.16,69.98,67.51,68.64,56.4499,2036385
2009-02-25,68.8,68.8,66.85,67.63,55.619,1824213
2009-02-26,67.67,68.37,65.06,65.1,53.5385,1287944
2009-02-27,64.19,64.92,61.82,61.89,50.8986,2937757
2009-03-02,63.42,64.7,62.06,63.71,52.3953,3705041
2009-03-03,64.3,65.89,63.66,64.65,53.1684,2616932
2009-03-04,65.16,66.07,64.34,65.01,53.4646,1836551
2009-03-05,64.04,64.71,63.43,63.95,52.593,2347088
2009-03-06,63.67,65.04,62.95,64.15,53.0308,2157906
2009-03-09,63.69,64.07,61.94,62.34,51.535,2439291
2009-03-10,63.31,63.34,62.13,62.78,51.8981,2021630
2009-03-11,63.47,63.47,61.5,61.57,50.8981,1693632
2009-03-12,61.94,64.05,61.17,63.95,52.8653,1965513
2009-03-13,64.05,65.49,63.69,65.18,53.8821,1893529
2009-03-16,65.49,66.57,65.01,65.07,53.7914,1169240
2009-03-17,65.24,65.68,64.48,65.66,54.2791,1266715
2009-03-18,65.46,66.74,64.64,65.77,54.3701,1183775
2009-03-19,66.32,66.32,63,63.9,52.8244,2035644
2009-03-20,64.18,66.19,63.6,64.57,53.378,2385380
2009-03-23,65.58,66.48,64.29,66.42,54.9073,1435801
2009-03-24,65.9,67.03,65.9,66.05,54.6014,1223272
2009-03-25,66.6,67.6028,65.56,66.41,54.8994,1635334
