Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,32.18,34.77,32,34.33,29.1778,3435219
2009-01-05,34.23,36.385,33.7,35.77,30.4015,7518872
2009-01-06,36.35,38.95,36.35,38.08,32.3652,7772677
2009-01-07,37.2,37.25,35.42,35.92,30.5292,4612228
2009-01-08,35.48,37.19,34.92,37.12,31.5489,4424613
2009-01-09,37.22,37.29,34,34.39,29.2287,4291823
2009-01-12,33.96,34.26,32.08,32.55,27.665,3761783
2009-01-13,32.53,34.08,32.01,33.89,28.8037,4759968
2009-01-14,32.55,33.4,31.19,31.7,26.9424,4526409
2009-01-15,31.62,32.71,30.62,32.46,27.5883,4441411
2009-01-16,33.3,33.3,31.09,31.88,27.0956,4581822
2009-01-20,30.5,31.88,28.95,29.18,24.8005,5169704
2009-01-21,29.46,31.93,29.44,31.74,26.9768,6195285
2009-01-22,31.18,31.79,29.96,30.6,26.0079,4046291
2009-01-23,29.68,32.64,29.25,32.19,27.3594,7278276
2009-01-26,32.83,34.74,31.97,32.51,27.6313,5648640
2009-01-27,32.55,33.49,31.4,32.77,27.8521,5195922
2009-01-28,34.35,36.25,33.5,35.51,30.1808,7602199
2009-01-29,34.71,35.505,34.08,34.48,29.4296,5226141
2009-01-30,35.47,35.54,33.06,33.32,28.4396,5050051
2009-02-02,32.7,33.54,32.2,32.75,27.9532,4531478
2009-02-03,32.96,33.72,32.33,33.28,28.4054,4279427
2009-02-04,33.59,35.27,33.59,34.38,29.3444,4130266
2009-02-05,34.09,35.82,33.19,35.61,30.3943,4650767
2009-02-06,34.92,36.9,34.9,36.44,31.1028,3876782
2009-02-09,36.53,37.55,35.38,35.93,30.6673,4585279
2009-02-10,35.99,36.76,34.08,34.53,29.4722,6537796
2009-02-11,34.99,35.49,33.11,34.27,29.2508,3820342
2009-02-12,33.72,34,32.27,33.23,28.3625,6444221
2009-02-13,33.32,34.1,32.67,33.26,28.3885,5644298
2009-02-17,32.24,32.38,30.45,30.64,26.1518,6015855
2009-02-18,31.37,31.61,30.07,31.2,26.6301,5404522
2009-02-19,31.97,32.53,31.37,31.54,26.9203,5739605
2009-02-20,30.76,31.5,29.13,30.15,25.7341,7314978
2009-02-23,29.87,30.85,28.2,28.31,24.1632,6392429
2009-02-24,28.59,30.54,28.4,30.36,25.9134,6617221
2009-02-25,30.2,30.52,28.73,29.13,24.8634,9317324
2009-02-26,29.51,30.6,29.51,29.57,25.2388,8809284
2009-02-27,28.69,30.355,28.35,29.31,25.0168,7648951
2009-03-02,28.5,29.1,26.63,26.8,22.8745,7141627
2009-03-03,27.38,28.17,26.74,27.06,23.0967,6279066
2009-03-04,28.36,29.39,28,28.58,24.394,6713069
2009-03-05,27.76,28.33,26.75,27.03,23.0712,6290303
2009-03-06,27.37,27.62,25.69,26.58,22.6867,8261756
2009-03-09,26.13,28.37,25.97,27.17,23.1905,5811707
2009-03-10,27.7,29.66,27.62,29.26,24.9741,5729514
2009-03-11,29.12,29.6,28.1,28.71,24.5051,4304928
2009-03-12,28.69,29.99,28.08,29.82,25.4523,5273911
2009-03-13,29.44,29.9,28.72,29.33,25.0341,4711098
2009-03-16,29.46,31.22,28.53,30.11,25.6996,4935847
2009-03-17,30.24,31.06,29.36,30.79,26.2801,4876861
2009-03-18,30.48,32.32,29.6,31.78,27.1253,5412028
2009-03-19,33,34.31,32.4,33.26,28.3885,7088626
2009-03-20,33.26,33.59,30.93,31.03,26.485,5856213
2009-03-23,32,34.3,31.61,34.3,29.2762,5543694
2009-03-24,33.64,34.21,32.83,33.42,28.5253,4540278
2009-03-25,33.33,33.98,31.46,32.73,27.9361,5766686
2009-03-26,33.09,34.11,32.47,32.78,27.9789,6877775
2009-03-27,32.07,32.25,30.87,31.31,26.7242,4916534
2009-03-30,30.36,30.78,29.22,29.59,25.2561,5102452
2009-03-31,30.22,30.22,28.41,28.55,24.3682,6212838
2009-04-01,28.05,28.96,27.35,28.73,24.5219,5385303
2009-04-02,30.26,31.1,29.74,29.93,25.5463,5656710
2009-04-03,29.85,31.87,29.81,31.5,26.8862,6272544
2009-04-06,30.82,31.05,29.795,30.37,25.9213,5116684
2009-04-07,29.74,29.98,29.03,29.22,24.94,3297835
2009-04-08,29.26,29.9,28.15,29.75,25.3924,4554545
2009-04-09,30.75,30.97,29.99,30.97,26.434,4256646
2009-04-13,30.26,31.05,29.41,30.75,26.246,3768090
2009-04-14,30.44,31.75,29.9,30.78,26.2716,6073729
2009-04-15,30.61,31.61,30.6,31.31,26.7242,3487747
2009-04-16,31.57,33.35,31.17,32.97,28.1406,5137331
2009-04-17,33.11,33.51,32.39,33.24,28.3716,4194775
2009-04-20,32.22,32.59,30.96,31.09,26.5365,3605417
2009-04-21,30.71,32.73,30.46,32.72,27.9274,5037820
2009-04-22,32.35,34.69,31.93,33.52,28.6106,5402302
2009-04-23,33.66,34.31,32.61,33.58,28.6614,4537466
2009-04-24,34.37,35.68,34.25,35.46,30.266,5032524
2009-04-27,34.58,35.25,33.9,34.49,29.4382,4222143
2009-04-28,34.1,34.61,33.43,33.94,28.9688,3289541
2009-04-29,35,37.56,34.53,36.95,31.538,6930499
2009-04-30,37.06,37.08,35.04,35.58,30.4925,6220069
2009-05-01,35.96,37.33,35.43,36.91,31.6323,5041344
2009-05-04,37.25,38.5,37.16,38.38,32.8914,5309081
2009-05-05,38.55,39.5,37.43,38.25,32.7807,4858157
2009-05-06,39.7,40,38.61,39.36,33.7318,4200175
2009-05-07,40.3,40.65,37.39,38.12,32.6693,5107914
2009-05-08,38.63,39.28,38.05,39.2,33.5948,5681538
2009-05-11,38.64,38.65,37.24,37.61,32.2321,3218333
2009-05-12,38.29,38.29,36.78,37.7,32.3093,4173649
2009-05-13,37.09,37.59,36.15,36.42,31.2126,6022565
2009-05-14,35.79,36.4998,35.66,35.95,30.8095,4443605
2009-05-15,35.72,36.54,35.05,35.32,30.2694,4385639
2009-05-18,35.95,37.27,35.9,37.2,31.8806,3857926
2009-05-19,37.13,37.39,36.11,36.89,31.6151,4559633
2009-05-20,37.41,38.62,37.06,37.21,31.8893,4454790
2009-05-21,36.28,36.29,34.86,35.46,30.3898,4041900
2009-05-22,36.1,36.54,35.46,35.86,30.7323,2687953
2009-05-26,35.44,37.06,34.839,36.88,31.6066,4080482
2009-05-27,37.13,37.55,36.27,36.32,31.1264,3211722
2009-05-28,36.89,37.98,36.01,37.54,32.172,4656562
2009-05-29,38.09,39.12,38,39.06,33.4747,5520460
2009-06-01,40.12,41.42,39.95,40.93,35.0773,5601921
2009-06-02,40.95,41.07,39.97,40.66,34.8458,4878388
2009-06-03,39.82,40.01,38.17,38.94,33.3718,4022560
2009-06-04,39.51,40.31,39.27,40.07,34.3403,3534742
2009-06-05,40.61,40.91,38.54,39.13,33.5351,4165731
2009-06-08,38.7,38.99,37.59,38.67,33.1404,4280880
2009-06-09,39.92,40.27,39.06,39.64,33.9718,3973092
2009-06-10,40.44,40.99,39.94,40.65,34.8375,4694513
2009-06-11,40.88,43,40.84,42.33,36.2774,5000394
2009-06-12,41.75,41.88,41.17,41.72,35.7545,3882310
2009-06-15,41.11,41.11,39.8,40.34,34.5718,3160000
2009-06-16,41.19,41.48,39.31,39.59,33.9291,5287028
2009-06-17,39.25,39.35,37.8303,38.15,32.6949,5726456
2009-06-18,38.25,38.93,37.68,37.92,32.4977,3684655
2009-06-19,38.51,38.55,37.12,37.69,32.3005,5547300
2009-06-22,36.75,36.78,35.71,35.74,30.6296,6602559
2009-06-23,36.17,36.89,35.68,36.4,31.1952,4551663
2009-06-24,36.82,36.99,35.8,35.96,30.8179,4863083
2009-06-25,36.18,36.85,35.64,36.56,31.3318,5603438
2009-06-26,36.18,37.19,36.18,36.88,31.6066,7746197
2009-06-29,37.54,37.65,36.63,36.78,31.5209,3747735
2009-06-30,36.78,37.5,35.97,36.44,31.2292,4425994
2009-07-01,36.97,37.37,36.31,36.45,31.2381,4927698
2009-07-02,35.66,35.66,34.47,34.72,29.7552,4038361
2009-07-06,33.8,34.63,33.59,34.57,29.6267,4910231
2009-07-07,34.5,34.62,33.11,33.41,28.6326,7065662
2009-07-08,33.46,34.61,33.13,34.51,29.5754,10239451
2009-07-09,34.83,35.45,34.12,34.8,29.8238,5615883
2009-07-10,34.21,34.77,33.68,34.53,29.5923,4018521
2009-07-13,34.55,35.23,33.42,35.17,30.141,3708457
2009-07-14,35.53,36.16,35.385,36.06,30.904,4084921
2009-07-15,36.71,37.63,36.68,37.44,32.0864,3665879
2009-07-16,37.21,38.21,36.87,38.06,32.6177,3056517
2009-07-17,38.09,38.82,37.64,38.55,33.0376,3945487
2009-07-20,39.1,39.5,38.19,39.43,33.7919,3661327
2009-07-21,39.9,40.15,38.8,39.52,33.8688,3928418
2009-07-22,38.92,39.7,38.4,39,33.4236,3504624
2009-07-23,38.75,40.93,38.55,40.86,35.0173,4691598
2009-07-24,39.96,41.5,39.93,41.46,35.5315,4159156
2009-07-27,41.47,41.73,40.59,41.15,35.2659,2930255
2009-07-28,40.62,40.78,39.08,40.07,34.3403,3723888
2009-07-29,39.42,39.5,38.17,38.93,33.3633,4442277
2009-07-30,39.7,40.49,39.16,40.01,34.4213,2848309
2009-07-31,39.7,40.53,39.32,40.5,34.8432,4725078
2009-08-03,41.36,42.75,41.24,42.27,36.3659,5944726
2009-08-04,41.96,42.41,41.12,41.97,36.1075,7097335
2009-08-05,39.87,40,38.6,38.68,33.2773,13075922
2009-08-06,38.38,38.38,36.82,38.05,32.7354,10045151
2009-08-07,38.46,38.73,37.12,37.37,32.1502,6951347
2009-08-10,37.48,37.75,36.85,37.21,32.0124,5797506
2009-08-11,37.21,37.21,36.42,36.75,31.6167,6347961
2009-08-12,36.68,37.155,36.4,36.81,31.6684,7637826
2009-08-13,37.18,37.945,36.86,37.9,32.6065,7449103
2009-08-14,37.99,37.99,36.62,36.97,31.8061,4848253
2009-08-17,35.99,36.1,35.21,35.48,30.5244,3212302
2009-08-18,35.59,36.78,35.32,36.61,31.4962,4145477
2009-08-19,36.25,37.5,35.66,37.1,31.9181,3823486
2009-08-20,37.15,37.92,37.07,37.61,32.3571,3846023
2009-08-21,38.1,38.9,37.9,38.71,33.303,5037095
2009-08-24,39.04,39.69,38.95,39.18,33.7077,3372299
2009-08-25,39.52,39.74,38.05,38.3,32.9504,3794794
2009-08-26,38.06,38.44,37.79,38.34,32.9848,2565011
2009-08-27,38.07,38.23,37.14,38.09,32.7695,2614484
2009-08-28,38.41,38.7,37.79,38.09,32.7695,2194209
2009-08-31,36.28,36.34,34.17,34.45,29.6383,21837095
2009-09-01,34.72,35.7,34.51,35.43,30.481,17636341
2009-09-02,35.17,35.88,35.01,35.01,30.1199,12016980
2009-09-03,35.44,35.64,35.3,35.63,30.653,7875579
2009-09-04,35.49,35.8,35.29,35.62,30.6447,6905224
2009-09-08,36.37,36.8,35.97,36.12,31.0747,15009444
2009-09-09,36.42,36.45,35.55,35.76,30.7654,10547905
2009-09-10,35.84,36.38,35.57,36.34,31.2643,10128409
2009-09-11,36.51,37.64,36.5,37.58,32.331,11793915
2009-09-14,36.95,38.37,36.75,38.3,32.9504,7587309
2009-09-15,38.28,38.88,37.84,38.76,33.3462,7789878
2009-09-16,39,40.4,38.75,39.87,34.3013,8253491
2009-09-17,40.06,41.11,39.66,40.78,35.0839,12303670
2009-09-18,41.45,44.25,41.16,44.01,37.863,22821854
2009-09-21,43.15,44.35,42.9,43.1,37.0796,12914764
2009-09-22,43.87,44.61,43.73,43.94,37.8023,6029492
2009-09-23,43.89,44.42,42.7132,43.36,37.3037,7816404
2009-09-24,43.22,43.29,41.86,42.24,36.3403,5432921
2009-09-25,41.81,42.71,41.72,42.37,36.452,6905142
2009-09-28,42.42,43.31,42.3,43.3,37.252,5139707
2009-09-29,42.52,43.16,42.29,43.03,37.0197,6227649
2009-09-30,43.37,43.5,42,42.66,36.7014,5938194
2009-10-01,43.08,43.54,41.55,41.65,35.8324,6975117
2009-10-02,40.89,41.34,40.18,40.66,34.9807,5168961
2009-10-05,40.5,41.8,40.46,41.76,35.9274,4461145
2009-10-06,42.64,43.5,42.46,42.68,36.7186,6092684
2009-10-07,42.63,43.74,42.49,43.67,37.5704,4724233
2009-10-08,43.94,45.23,43.14,44.98,38.6975,6838418
2009-10-09,44.55,45.25,44.42,44.88,38.6111,4127423
2009-10-12,45.25,46.1,45.035,45.36,39.0243,3477610
2009-10-13,45.53,45.63,44.04,45.03,38.7405,4800424
2009-10-14,45.785,46.28,45.655,46.21,39.7557,4921006
2009-10-15,45.24,47.67,45.08,47.67,41.0117,7974477
2009-10-16,47.25,47.5399,46.25,47.03,40.461,5513565
2009-10-19,47.31,47.55,46.56,47.34,40.7281,4726400
2009-10-20,47.34,47.4,45.43,46.48,39.9879,4403266
2009-10-21,45.84,48.19,45.82,46.58,40.0739,5197262
2009-10-22,46.58,47.16,45.44,46.9,40.349,4103683
2009-10-23,47.03,47.39,44.9,45.36,39.0243,4477155
2009-10-26,45.44,46.66,44.15,44.22,38.0435,5314623
2009-10-27,44.87,44.87,43.5,44.08,37.9232,5658861
2009-10-28,43.91,43.99,42.07,42.12,36.2367,5698786
2009-10-29,42.48,44.38,42.47,44.25,38.2055,5334234
2009-10-30,43.9,43.91,41.52,42.07,36.3232,6341514
2009-11-02,42.31,43.27,41.25,42.21,36.4439,5002078
2009-11-03,41.6,43.75,41.35,43.43,37.4975,4774158
2009-11-04,42.76,42.87,40.53,40.89,35.3045,12561747
2009-11-05,41.26,42.17,41.07,42.12,36.3664,5792718
2009-11-06,41.4,41.95,40.75,41.18,35.5547,6674650
2009-11-09,41.89,43.21,41.89,43.06,37.1776,4736645
2009-11-10,42.9,43.16,41.76,42.5,36.6946,4597349
2009-11-11,42.93,43.55,42.7505,43.22,37.3161,4376251
2009-11-12,42.77,43.12,41.09,41.43,35.7704,5901600
2009-11-13,41.38,41.9,40.78,41.45,35.7878,4275128
2009-11-16,41.89,43.9,41.63,43.34,37.4196,5594808
2009-11-17,43.31,43.49,42.39,43.06,37.1776,5234848
2009-11-18,43.26,43.38,41.56,42.21,36.4439,7512294
2009-11-19,41.78,41.99,40.91,41.18,35.5547,7428506
2009-11-20,40.91,41.49,40.31,40.49,34.959,4614570
2009-11-23,41.52,42.19,40.68,40.97,35.3732,5606396
2009-11-24,40.9,41.17,40.18,41,35.3993,3332360
2009-11-25,40.81,41.75,40.51,41.59,35.9086,3448605
2009-11-27,41.13,41.13,39.85,40.36,34.8467,2253199
2009-11-30,39.78,40.84,39.3,40.74,35.175,5485544
2009-12-01,41.34,41.71,40.97,41.06,35.4512,5245907
2009-12-02,40.78,41.18,40.135,40.48,34.9503,3636244
2009-12-03,40.4,40.52,39.28,39.35,33.9746,4461346
2009-12-04,40,40.55,38.72,39.09,33.7502,6015350
2009-12-07,38.99,39.69,38.76,38.92,33.6035,4230577
2009-12-08,38.37,38.62,37.74,38.04,32.8437,3821777
2009-12-09,38.16,38.65,37.66,38.32,33.0854,4699547
2009-12-10,38.58,39.28,38.23,38.96,33.6382,3813190
2009-12-11,39.12,39.46,38.57,39.3,33.9318,4514831
2009-12-14,39.96,40.36,39.8,39.85,34.4066,4952673
2009-12-15,39.81,41.09,39.71,40.78,35.2091,5863118
2009-12-16,41.1,41.5,40.82,40.94,35.3473,5929655
2009-12-17,40.88,41.22,40.37,41.08,35.4683,4727812
2009-12-18,41.5,41.52,40.16,40.51,34.9765,5950431
2009-12-21,41.03,41.46,40.6394,40.86,35.2785,3510486
2009-12-22,40.83,41.2,40.42,40.59,35.0453,4408114
2009-12-23,40.94,41.23,40.61,40.83,35.2526,3225900
2009-12-24,40.94,41.27,40.94,41.02,35.4166,1171676
2009-12-28,41.6,41.84,40.91,41.11,35.4941,1886799
2009-12-29,41.34,41.37,40.48,40.72,35.1576,2188175
2009-12-30,40.59,40.92,40.27,40.87,35.287,2145813
2009-12-31,40.97,41.09,40.42,40.48,34.9503,1541891
2010-01-04,41.22,41.5,41,41.24,35.6064,5888308
2010-01-05,41.43,43.82,41.24,43.66,37.6959,10663312
2010-01-06,43.37,46.03,43.37,45.84,39.5781,10315898
2010-01-07,45.7,46.22,45.21,46.17,39.863,5608866
2010-01-08,45.85,47.18,45.65,47.1,40.6661,4875940
2010-01-11,47.47,47.98,46.26,46.6,40.2343,6026273
2010-01-12,46.1,46.62,45.43,45.71,39.4659,5533251
2010-01-13,45.93,46.75,44.95,46.55,40.191,3961801
2010-01-14,46.25,47.75,46.25,47.53,41.0374,4990506
2010-01-15,47.67,47.95,46.55,47.28,40.8213,6627628
2010-01-19,46.97,48.11,46.78,48.05,41.4865,3592583
2010-01-20,47.41,47.63,46.05,47.14,40.7007,4840037
2010-01-21,46.94,48.08,46.59,46.63,40.2603,8282236
2010-01-22,46.39,46.39,44.21,44.27,38.2223,7313761
2010-01-25,44.17,45.64,43.86,44.59,38.4987,6932413
2010-01-26,46.37,48.74,45.55,46.89,40.4847,14179214
2010-01-27,46.91,47.96,46.25,47.6,41.0975,9708181
2010-01-28,47.87,48.09,45.46,46.47,40.2488,5358579
2010-01-29,47.02,48.39,45.01,45.28,39.2182,7383291
2010-02-01,46.15,47.45,45.84,47.33,40.9936,5406864
2010-02-02,47.64,49,46.93,47.26,40.9333,5542531
2010-02-03,47.14,47.95,46.86,47.32,40.9851,4127596
2010-02-04,46.71,46.71,45.05,45.22,39.1663,7603479
2010-02-05,45.16,45.6,43.15,44.73,38.7419,8597547
2010-02-08,45.01,45.64,44.5,44.55,38.5859,4549741
2010-02-09,45.37,46.09,45,45.55,39.4521,6075701
2010-02-10,45.37,45.79,44.7,45.26,39.2008,5894766
2010-02-11,45.09,46.77,44.89,46.68,40.431,5286554
2010-02-12,45.78,46.81,45.6,46.5,40.2748,4814212
2010-02-16,47.21,48.09,47.08,47.94,41.522,4892299
2010-02-17,48.17,48.27,47.6,48.05,41.6174,3699333
2010-02-18,48.12,48.85,47.87,48.65,42.1371,4124485
2010-02-19,48.59,49.17,48.35,48.86,42.319,6560493
