Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,28.35,28.75,27.06,28.52,23.2082,7264305
2009-01-05,27.72,28.51,27.51,27.73,22.5651,6225153
2009-01-06,28.05,28.49,27.335,27.69,22.5326,8299693
2009-01-07,27.05,27.9,26.56,26.78,21.7922,7407312
2009-01-08,26.4,27.01,25.98,26.38,21.4668,7910025
2009-01-09,26.53,27.1,25.41,25.59,20.8237,6854875
2009-01-12,25.43,25.84,24.75,25.05,20.3843,8722951
2009-01-13,24.73,25.48,24.51,25.26,20.5551,8785470
2009-01-14,24.37,24.63,23.3,23.38,19.0256,10652322
2009-01-15,23.41,24.02,22.33,23.27,18.936,14092475
2009-01-16,23.77,24.35,22.06,22.96,18.6837,13975283
2009-01-20,19.14,19.75,15.44,19,15.4612,49278476
2009-01-21,20.76,23.77,20.76,23,18.9555,32959757
2009-01-22,22.51,24.24,21.86,22.08,18.1973,18734827
2009-01-23,21.13,24.25,20.73,23.88,19.6808,12981485
2009-01-26,24.35,24.7,23.14,23.84,19.6481,12229138
2009-01-27,24.34,24.78,23.49,24.69,20.3485,9913303
2009-01-28,26.2,28.4,25.51,28.06,23.1261,19229586
2009-01-29,27.06,27.75,25.78,25.9,21.3456,12181743
2009-01-30,26.35,27.24,25.32,25.74,21.2137,10957507
2009-02-02,25.11,27.23,25.11,27.18,22.4006,11073717
2009-02-03,27.57,27.6,25.35,27.15,22.3759,14297116
2009-02-04,27.39,28.19,26.7,27.49,22.6564,10872271
2009-02-05,27.08,28.49,26.51,27.49,22.6564,13940127
2009-02-06,28.05,29.28,27.49,28.41,23.4146,14958933
2009-02-09,28.65,28.89,27.61,28.26,23.2907,7397284
2009-02-10,27.71,28.26,25.7,25.96,21.3953,14569931
2009-02-11,26.27,27.75,25.8,27.65,22.7879,9779059
2009-02-12,26.42,26.95,25,26.93,22.1943,13182162
2009-02-13,26.01,26.29,25.21,25.26,20.8182,11041211
2009-02-17,23.52,24.72,23.01,23.13,19.0628,17417184
2009-02-18,23.74,24.91,22.67,23.68,19.5162,13533427
2009-02-19,24.14,24.58,23.2,23.34,19.2357,9855778
2009-02-20,22.34,23.32,21.53,22.83,18.8155,18665739
2009-02-23,23.12,23.43,21.66,21.68,17.8679,14042494
2009-02-24,21.83,24.48,21.68,24.37,20.0843,19256945
2009-02-25,24.07,24.66,22.78,23.79,19.6065,16331748
2009-02-26,24.53,25.17,22.81,23.29,19.1946,16398274
2009-02-27,21.89,23.24,21.89,22.17,18.2715,15385209
2009-03-02,21.56,22.74,21.3,21.39,17.629,16790344
2009-03-03,22.72,23.15,21.57,22.21,18.3047,17868549
2009-03-04,22.9,23.06,21.39,21.97,18.1071,16677711
2009-03-05,21.15,21.82,19.28,19.65,16.1948,19044786
2009-03-06,19.97,20.28,15.67,18.25,15.0411,29965365
2009-03-09,18,18.86,17.46,18.02,14.8514,17491734
2009-03-10,19,20.56,18.06,20.56,16.9449,26104821
2009-03-11,20.86,23.19,20.54,22.53,18.5687,25355008
2009-03-12,22.76,24.89,21.99,24.66,20.3238,26535888
