Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,133,140,129.21,139.12,104.2868,687711
2009-01-05,138,143.32,137.46,138.78,104.032,692864
2009-01-06,140,142,137.98,139.84,104.8265,776350
2009-01-07,138.99,139,129.98,130.79,98.0424,963614
2009-01-08,130.1,134.16,126.58,133.13,99.7968,704579
2009-01-09,134,134,126.47,127.3,95.4263,494603
2009-01-12,127.02,127.64,121.6,123.53,92.6003,492479
2009-01-13,123.15,128.89,122.411,126.99,95.1938,515523
2009-01-14,123.97,124.13,118.28,119.6,89.6541,483444
2009-01-15,118.95,120.8,112.49,116.67,87.4581,606012
2009-01-16,119,120.27,113.32,117.16,87.8252,699397
2009-01-20,113.92,114.32,102.75,103.44,77.5406,1896914
2009-01-21,98.25,109.35,96.19,108.5,81.3335,3231560
2009-01-22,104.59,109.23,99.92,107.27,80.4118,1462736
2009-01-23,103.2,112.74,103.08,111.85,83.8447,678446
2009-01-26,114.2,115.44,105.67,107.05,80.2465,674398
2009-01-27,108.14,109.32,103.15,108.39,81.251,594359
2009-01-28,110.73,120.09,110.73,119.5,89.5796,878838
2009-01-29,116,117.92,107.84,108.33,81.2059,787288
2009-01-30,109,110.87,106.9,108.8,81.5588,749248
2009-02-02,106.64,111.88,105.53,110.46,82.8028,465743
2009-02-03,111.17,112.36,106.92,109.26,81.9031,594214
2009-02-04,107.42,115.74,106.25,113.81,85.3141,838356
2009-02-05,111,118.27,110.97,116.28,87.1655,758917
2009-02-06,115.6,123.27,115.55,122.49,91.8205,691371
2009-02-09,121.47,121.63,117.79,118.82,89.0695,551305
2009-02-10,117.03,121.19,112.93,113.95,85.4187,851458
2009-02-11,111.5,115.99,110.72,114.06,85.5017,791455
2009-02-12,112.72,114.56,109.09,113.98,85.4415,547696
2009-02-13,112.98,114.52,110.63,111.61,83.6647,398827
2009-02-17,109.8,109.8,105.01,105.4,79.0096,477782
2009-02-18,109.3,109.3,102.91,106.55,79.8721,463846
2009-02-19,103.9,108.68,102.28,102.94,77.1656,637684
2009-02-20,100.26,105.15,98.63,103.07,77.2632,1572286
2009-02-23,104.2,104.61,97,97.87,73.3652,897450
2009-02-24,99.9,107.64,98.3,107.05,80.2465,944390
2009-02-25,106.05,108.54,101.61,105.57,79.1372,805073
2009-02-26,107.26,109.209,100,100.74,75.5163,760528
2009-02-27,99.38,102.38,96.6,96.81,72.5707,1370759
2009-03-02,95.8,97.9,91.57,92.32,69.2048,1166846
2009-03-03,94.37,95.22,89.81,90.57,67.8928,1400806
2009-03-04,92.94,99.16,91.6,96.34,72.2183,1516999
2009-03-05,92.48,96.23,90.29,91.42,69.0895,754063
2009-03-06,95.02,95.02,88.91,92.4,69.8299,785967
2009-03-09,90.5,93.63,89.5,90.9,68.6964,538994
2009-03-10,92.82,100.52,92.25,100.5,75.9517,807423
2009-03-11,100.98,106.5,99.02,105.31,79.5867,886751
2009-03-12,105,111.7,102.8,111.2,84.038,758500
2009-03-13,109.26,111.25,105.55,108,81.6197,710328
2009-03-16,108.9,110.4,103.45,103.9,78.5209,735858
2009-03-17,104.32,109.69,102.73,109.69,82.8967,534899
2009-03-18,107.5,122.46,106.638,121.99,92.1924,1301246
2009-03-19,120.58,121.99,113.36,113.79,85.9953,1146729
2009-03-20,114.71,116.54,112.77,113.96,86.1238,779603
2009-03-23,117.81,134.07,115.92,133.96,101.2384,1516422
2009-03-24,128.9,139,128.14,128.44,97.0668,1223577
2009-03-25,130.05,134.43,125.38,132.55,100.1728,879616
2009-03-26,132.55,136.83,127.67,136.69,103.3018,1220568
2009-03-27,133.75,133.75,127.18,127.49,96.3487,1154733
2009-03-30,123.54,129.45,123.38,124.89,94.3838,1179257
2009-03-31,126.5,130.9,123.43,130.04,98.276,970689
2009-04-01,128.86,132.41,128.2,130.69,98.7674,1303100
2009-04-02,133,138.86,130.82,136.41,103.0898,1203704
2009-04-03,134.88,138.16,134.23,138,104.2916,711630
2009-04-06,135.45,138.51,133.31,136.37,103.0598,830743
2009-04-07,132.8,134.47,128.03,128.58,97.1728,817425
2009-04-08,128.61,131.86,125.69,129.02,97.5051,1228780
2009-04-09,135.5,138.83,132,138.04,104.3219,844671
2009-04-13,135.76,140.96,134.45,139.37,105.3267,959784
2009-04-14,138.37,139.37,131.93,132.19,99.9006,755180
2009-04-15,131.64,139.41,129.99,139,105.0476,673029
2009-04-16,137.2,142.5,132.49,136.6,103.2336,701960
2009-04-17,131.18,137.8,129.69,135.92,102.7194,855287
2009-04-20,134.95,134.95,123.39,123.59,93.4016,1123441
2009-04-21,120,138.89,119.12,138.79,104.8887,1560375
2009-04-22,136.5,142.5,133.87,136.18,102.9161,1693698
2009-04-23,139.43,148.05,136.44,147.72,111.6375,1468754
2009-04-24,145.39,152.72,143.06,151.16,114.237,1273228
2009-04-27,149.99,153.26,148.02,149.46,112.952,687543
2009-04-28,148.79,149.47,146.54,146.84,110.9725,515951
2009-04-29,150.6,151.93,147.5872,151.03,114.1387,639461
2009-04-30,151,152.97,146.46,146.52,110.7307,674913
2009-05-01,147.75,149.425,144.5,148.42,112.1663,1159624
2009-05-04,150.18,158.25,150.15,157.99,119.3986,801930
2009-05-05,156.25,160.6,155.54,157.69,119.1722,1020324
2009-05-06,158,160.3799,153.51,155.64,117.6229,1084493
2009-05-07,158.6,158.61,143.66,144.48,109.189,1634042
2009-05-08,148.13,149.48,143.01,148.35,112.1134,1207326
2009-05-11,145.3,147.33,141.74,142.05,107.3524,620625
2009-05-12,142.05,146.49,139.15,143.03,108.0926,803367
2009-05-13,140.6,142.67,137.74,138.06,104.3368,861199
2009-05-14,138.53,142.2,137.23,140.03,105.8254,617003
2009-05-15,140.02,144.25,136.82,140.81,106.4154,942620
2009-05-18,143.25,145.0281,140.25,144.31,109.0604,991801
2009-05-19,145.52,145.52,138.64,139.68,105.5614,842016
2009-05-20,141.79,143.08,136.48,137.16,103.6567,522931
2009-05-21,135.38,141.89,134.5,141.75,107.1258,1386557
2009-05-22,143.15,149.25,141.48,147.72,111.6375,884429
2009-05-26,145.69,154.93,145.33,154.93,117.0864,1014321
2009-05-27,154.96,157,148.5,149.11,112.688,588702
2009-05-28,149.43,153.9,148.84,153.33,115.8771,476738
2009-05-29,153.97,159.5,151.34,159.5,120.5399,1063242
2009-06-01,162.92,165.75,157.98,164.99,124.689,802456
2009-06-02,165.84,168.307,163.08,167.45,126.5485,745363
2009-06-03,166.23,167.73,162.37,164.53,124.3411,806958
2009-06-04,165.25,166.7,162.36,165.15,125.4043,763302
2009-06-05,167.82,169.75,163.2,163.74,124.3337,1061638
2009-06-08,169,170.56,164.7,169.36,128.6013,899424
2009-06-09,172.95,183.8,169.41,182.14,138.3052,1840007
2009-06-10,180,182.51,176.565,178.52,135.5567,975698
2009-06-11,180.2,183.76,178.55,182.6,138.655,742664
2009-06-12,179.6,180,170.21,176.56,134.0682,1602935
2009-06-15,172.85,174.62,166.15,169.64,128.814,1236540
2009-06-16,170.24,172.5,168.32,169.45,128.6697,1168012
2009-06-17,170.1,172.54,165.74,167.25,126.9995,708235
2009-06-18,168.25,172.81,167.5501,170.36,129.361,478226
2009-06-19,172.53,175.49,171.43,174.96,132.8535,530919
2009-06-22,173.43,174.5,167.26,167.29,127.0298,560462
2009-06-23,168.1,170.89,167.46,167.81,127.4242,502062
2009-06-24,167.65,174.869,167.65,173.47,131.7222,558125
2009-06-25,173.73,177.92,172.4,175.3,133.1118,685466
2009-06-26,176.7,177.98,175.45,177.88,135.0707,886162
2009-06-29,176.5,177.95,175.1,175.95,133.6053,391349
2009-06-30,177.9,177.9,173.65,175.42,133.2028,276480
2009-07-01,176.1,176.22,172.52,172.85,131.2514,422962
2009-07-02,172.05,172.05,167.65,167.65,127.303,317567
2009-07-06,167.75,168.28,164.75,166.23,126.2243,597640
2009-07-07,167.92,167.92,162.07,162.17,123.1415,585134
2009-07-08,165.25,165.25,159.45,161.39,122.5495,709434
2009-07-09,160.56,167.38,160.55,166.29,126.2702,454745
2009-07-10,166.5,167.37,164,166.16,126.1715,331021
2009-07-13,168.63,172.12,165.56,172.1,130.6817,524194
2009-07-14,172.52,173.19,169.5,172.71,131.1451,600073
2009-07-15,174.45,180.32,173.19,180.07,136.7338,463201
2009-07-16,179.99,180.15,175.47,179.12,136.0124,359793
2009-07-17,177.69,180.09,177.69,179.79,136.5212,307976
2009-07-20,181.49,185.3,180.07,184.82,140.3405,544982
2009-07-21,181.52,184.93,178.4,184.14,139.8241,859294
2009-07-22,181.15,185.83,179.48,185.51,140.8644,767171
2009-07-23,186,199.63,185.68,197.9,150.2727,1371092
2009-07-24,196.35,197.83,189.65,192.18,145.9291,685464
2009-07-27,191.31,193.5,189.37,190,144.274,568715
2009-07-28,189.49,192.81,187.63,190.16,144.3955,526458
2009-07-29,189,190.5,188.39,189.24,143.6966,327746
2009-07-30,189.8,195.37,189.8,191.36,145.3067,466562
2009-07-31,192.74,192.74,189.25,190.54,144.6839,276599
2009-08-03,192.1,195.62,192.1,195.62,148.5417,411481
2009-08-04,194.37,198.99,192.87,198.6,150.8041,517424
2009-08-05,197.77,201.27,196.5901,200.63,152.3457,461745
2009-08-06,200.37,203.5899,196.2,197.89,150.2653,547277
2009-08-07,198.28,203.45,198.05,202.46,153.7353,315342
2009-08-10,203.5,203.5,197,198.77,150.9332,210210
2009-08-11,198.77,200.37,195.6,198.76,150.9258,467458
2009-08-12,198.5,203.98,198.04,201.08,152.6876,432687
2009-08-13,201.61,203.79,197.44,198.59,150.7967,326312
2009-08-14,199.85,200.95,196.6,197.77,150.1742,310442
2009-08-17,192.73,196.79,188.5,188.96,143.4842,686816
2009-08-18,191.42,197.31,189.35,196.17,148.9593,383908
2009-08-19,193.33,197.82,193.05,196.64,149.3159,279868
2009-08-20,195.58,207,195.58,206.23,156.5981,612042
2009-08-21,208.58,210.02,206.27,207.5,157.5623,382981
2009-08-24,209.5,210.53,204.1,204.8,155.5121,446422
2009-08-25,203.6,204.42,200.68,202.36,153.6591,536594
2009-08-26,201.99,204.52,198.82,199.2,151.2599,431211
2009-08-27,199.3,200.66,196.36,200.25,152.0572,419871
2009-08-28,200.96,203.78,200.15,201.55,153.0444,434881
2009-08-31,197.3,200.01,196.82,199.57,152.1352,290556
2009-09-01,199.8,202.859,193.45,194.12,147.9806,524835
2009-09-02,191.94,195.32,191.68,192.38,146.6541,238398
2009-09-03,193.1,197.14,193.1,197.14,150.283,267798
2009-09-04,197.14,197.95,194.16,195.45,148.9948,268028
2009-09-08,198.84,199.73,197.1,199.36,151.9752,243240
2009-09-09,199.36,202.73,198.46,202.01,153.9954,224403
2009-09-10,201.84,202.6,199.25,201.68,153.744,236140
2009-09-11,202.22,203,200.06,201.77,153.8126,282753
2009-09-14,199.41,201.29,197.61,201.23,153.4008,216094
2009-09-15,201.23,202.31,199.57,200.67,152.9743,290543
2009-09-16,202.95,207,201.78,206.96,157.7687,387247
2009-09-17,204.01,207.65,202.2878,202.43,154.3157,323724
2009-09-18,202.32,207.28,202.32,207.19,157.9444,413668
2009-09-21,205.82,207,203.67,204.32,155.7564,278122
2009-09-22,205.55,208.74,205.55,208.2,158.7144,204110
2009-09-23,213.66,220.17,210.5,211.03,160.8717,740189
2009-09-24,212.19,214.04,203.81,206.25,157.2277,446217
2009-09-25,206.27,206.27,203,203.75,155.3218,262492
2009-09-28,205.39,213.92,205.25,213.92,163.0743,406315
2009-09-29,213.94,216.66,213.2675,214.12,163.2269,416961
2009-09-30,216.35,218.61,212.64,216.82,165.2851,410075
2009-10-01,214.87,217.69,208.73,208.8,159.1717,393639
2009-10-02,207.24,212.03,206,206.93,157.7459,364248
