Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,42.24,42.98,41.49,42.79,9.7435,737263
2009-01-05,42.32,43.14,42.02,42.68,9.7185,990284
2009-01-06,43.1,43.47,42.43,42.72,9.7276,830778
2009-01-07,42.43,42.43,40.95,41.37,9.4202,991241
2009-01-08,41.17,42.23,40.9975,42.17,9.6023,797789
2009-01-09,42.14,42.15,40.84,40.99,9.3336,744909
2009-01-12,40.81,40.99,40.01,40.67,9.2608,1269806
2009-01-13,40.45,41.27,39.98,40.32,9.1811,952957
2009-01-14,39.71,40.2,38.47,38.63,8.7963,1236674
2009-01-15,38.58,39.25,37.44,38.99,8.8783,1313317
2009-01-16,39.53,39.61,38.24,39.24,8.9352,1386048
2009-01-20,39.04,39.2,36.71,36.93,8.4093,1727323
2009-01-21,36.98,38.92,36.76,38.75,8.8237,1414028
2009-01-22,38.48,39.1,37.71,38.55,8.7781,1164938
2009-01-23,37.46,39.25,37.42,38.57,8.7827,940927
2009-01-26,38.73,39.56,38.08,38.66,8.8032,1108684
2009-01-27,38.82,39.42,38.29,39.21,8.9284,720623
2009-01-28,40.01,40.73,39.47,40.08,9.1265,1274843
2009-01-29,39.55,40.93,39.24,40.18,9.1492,1306160
2009-01-30,40.25,40.25,37.8,38.34,8.7303,2213826
2009-02-02,37.93,39.05,37.65,38.87,8.851,1863610
2009-02-03,39.01,39.4,38.62,38.95,8.8692,2370317
2009-02-04,39.2,40.42,39.13,39.8,9.0627,1374155
2009-02-05,39.5,40.73,38.92,40.22,9.1584,1160604
2009-02-06,40.39,41.63,40.39,41.23,9.3883,1544495
2009-02-09,41,42.04,40.6,41.81,9.5204,1054725
2009-02-10,41.22,42.06,39.84,40.5,9.2221,1380085
2009-02-11,40.82,41.3,40.03,40.61,9.2471,1563127
2009-02-12,39.72,41.92,39.67,41.8,9.5182,1795253
2009-02-13,41.82,42.53,41.66,41.75,9.5067,1105335
2009-02-17,40.5,40.82,40.04,40.16,9.1447,1555954
2009-02-18,40.41,40.67,39.41,39.75,9.0513,1613214
2009-02-19,40.4,40.46,39.42,39.71,9.0422,1706274
2009-02-20,39.05,40.53,38.99,40.04,9.1173,1651084
2009-02-23,40.39,40.72,38.09,38.24,8.7075,1665096
2009-02-24,38.81,40.29,38.39,39.96,9.0992,1219360
2009-02-25,39.64,40.84,39.37,39.93,9.0923,1246871
2009-02-26,40.47,40.96,39.83,39.93,9.1151,1246740
2009-02-27,39.46,41,38.44,40.29,9.1973,1776193
2009-03-02,39.54,40.449,38.53,38.87,8.8732,1327657
2009-03-03,39.44,39.44,37.52,37.76,8.6198,2012563
2009-03-04,37.27,38.86,37.27,38.27,8.7362,1491687
2009-03-05,37.42,38.34,37.31,38.1,8.6973,1702305
2009-03-06,38.73,38.88,36.5,37.24,8.5011,1688483
2009-03-09,36.94,37.93,36.65,36.89,8.4212,1244431
2009-03-10,37.29,38.01,36.79,37.98,8.67,1874393
2009-03-11,38.34,39.27,37.74,38.36,8.7568,1027137
2009-03-12,38.2,39.44,37.68,39.29,8.9691,1060217
2009-03-13,39.41,40,38.85,39.81,9.0878,1055357
2009-03-16,40,40.58,39.54,39.66,9.0534,1180369
2009-03-17,39.95,40.83,39.48,40.75,9.3023,1683305
2009-03-18,39.61,42.33,39.61,41.94,9.574,1246952
2009-03-19,42.07,42.55,41.44,41.54,9.4826,1120243
2009-03-20,42,42.08,41.08,41.39,9.4485,1403485
2009-03-23,42.12,43.42,41.91,43.38,9.9027,1089856
2009-03-24,42.94,43.89,42.7909,43.24,9.8707,1004386
2009-03-25,43.76,44.45,42.52,43.78,9.994,1245239
2009-03-26,44.1,44.42,43.54,44.26,10.1036,1163128
2009-03-27,43.86,43.8697,43.01,43.37,9.9005,796440
2009-03-30,42.56,43.3,42.38,43.29,9.8821,1004166
2009-03-31,43.75,44.22,42.98,43.4,9.9073,909771
2009-04-01,43.08,44.03,42.65,43.85,10.01,1244625
2009-04-02,44.48,45.12,44.15,44.31,10.115,1373277
2009-04-03,44.19,44.34,43.4,44.18,10.0854,1016902
2009-04-06,43.83,44.06,42.71,43.28,9.8799,876949
2009-04-07,42.56,43.05,41.93,42.2,9.6333,694723
2009-04-08,42.37,42.58,41.92,42.43,9.6859,799019
2009-04-09,44.85,44.85,42.71,43.23,9.8685,546100
2009-04-13,42.95,43.33,42.39,42.61,9.7269,1504104
2009-04-14,42.31,42.87,42.05,42.17,9.6265,1023968
2009-04-15,41.96,42.52,41.75,42.47,9.695,745108
2009-04-16,42.81,43.52,42.25,43.03,9.8229,1069705
2009-04-17,43.19,43.48,42.83,43.15,9.8502,1065631
2009-04-20,42.59,42.82,41.78,42.04,9.5969,1014985
2009-04-21,41.69,42.71,41.68,42.58,9.7201,1217480
2009-04-22,42.17,43.79,41.97,42.7,9.7475,1082555
