Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,23.25,23.98,23.08,23.88,16.4098,9881661
2009-01-05,23.84,23.93,23.12,23.23,15.963,16995418
2009-01-06,23.37,23.75,22.17,22.35,15.3583,21022627
2009-01-07,22.25,22.62,22.1,22.18,15.2416,15707905
2009-01-08,22.13,22.6,22.05,22.51,15.4682,14314914
2009-01-09,22.67,22.89,22.28,22.35,15.3583,16701237
2009-01-12,22.51,22.51,22.06,22.15,15.2209,13192922
2009-01-13,22.26,22.47,21.81,22.01,15.1245,13311890
2009-01-14,21.96,22.27,21.83,22.21,15.2622,17137535
2009-01-15,22.18,22.19,21.58,22.09,15.1798,17025648
2009-01-16,22.59,22.65,21.71,22.07,15.1662,15254553
2009-01-20,21.99,22.43,21.65,21.74,14.939,17178004
2009-01-21,21.96,22.55,21.85,22.47,15.4405,21277170
2009-01-22,22.19,22.57,21.81,22.35,15.3583,13827899
2009-01-23,22.25,22.64,21.87,22.39,15.386,21536680
2009-01-26,22.83,22.87,22.05,22.25,15.2895,18465327
2009-01-27,22.92,23.61,22.72,23.13,15.8945,26666115
2009-01-28,23.6,23.72,22.21,22.37,15.372,22345315
2009-01-29,22.5,22.5,21.61,21.82,14.994,15050607
2009-01-30,21.78,21.95,21.25,21.41,14.7122,14638959
2009-02-02,21.5,22.79,21.33,21.99,15.1108,24793757
2009-02-03,22.55,23.24,22.05,22.9,15.7362,21303604
2009-02-04,23.11,23.4,22.61,22.73,15.6193,14400286
2009-02-05,22.61,22.84,22.46,22.76,15.6399,19131896
2009-02-06,23.4,23.78,22.67,23.07,15.8528,12528303
2009-02-09,23.09,23.22,22.62,23.08,15.8601,8520544
2009-02-10,22.95,23.14,22.19,22.27,15.3033,14250525
2009-02-11,22.44,22.71,22.22,22.63,15.5505,13303398
2009-02-12,22.53,22.55,21.78,22.52,15.4751,13258768
2009-02-13,22.17,22.7,21.57,21.75,14.946,15016289
2009-02-17,21.45,21.54,21.14,21.25,14.6022,16138384
2009-02-18,21.34,21.4,20.69,20.92,14.3755,14453991
2009-02-19,21.1,21.13,20.44,20.51,14.0939,14164475
2009-02-20,20.24,20.61,20.11,20.37,13.9978,13831703
2009-02-23,19.89,20.57,19.81,19.88,13.661,12388391
2009-02-24,20.01,20.44,19.91,20.36,13.9909,13902083
2009-02-25,20.4,20.86,20.01,20.47,14.0662,16409337
2009-02-26,20.7,20.84,19.39,19.4,13.3313,20909300
2009-02-27,18.8,19.04,18.38,18.41,12.651,26812971
2009-03-02,18.08,18.4,17.72,17.74,12.1905,20138669
2009-03-03,17.81,18.08,17.23,17.51,12.0324,19333650
2009-03-04,17.87,18.74,17.5,18.49,12.7058,23196790
2009-03-05,18.18,18.18,17.53,17.69,12.1562,16745290
2009-03-06,17.81,18.52,17.74,18.35,12.6096,20216587
2009-03-09,18.77,19.2,18.41,19.01,13.063,26391023
2009-03-10,19.42,20.24,19.26,20.23,13.9015,28046967
2009-03-11,20.4,20.62,19.42,19.48,13.3861,19552603
2009-03-12,19.48,20.87,19.33,20.78,14.2797,22968185
2009-03-13,21,21,20.47,20.95,14.3961,16457173
2009-03-16,21.15,21.47,20.51,20.52,14.1005,14740623
2009-03-17,20.51,21.06,20.34,21.06,14.4717,11449844
2009-03-18,21.13,21.64,20.73,21.18,14.5544,15478135
2009-03-19,21.34,21.41,20.51,20.83,14.3139,12369669
2009-03-20,20.84,20.97,20.27,20.49,14.0802,17759320
2009-03-23,20.8,21.24,20.57,21.22,14.5816,14158052
2009-03-24,21.05,21.1,20.73,20.82,14.307,19573397
2009-03-25,21.02,21.45,20.75,21.06,14.4717,13139053
2009-03-26,21.13,21.31,20.7625,21.09,14.4925,13881428
2009-03-27,21.09,21.17,20.59,20.66,14.197,15934408
2009-03-30,20.34,21.46,20.34,21.02,14.4442,21172201
2009-03-31,21.61,22.18,21.01,21.92,15.0626,24487656
2009-04-01,21.48,22.05,21.11,21.97,15.3139,25371207
2009-04-02,22.32,22.32,21.23,21.33,14.8677,20906720
