Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,32.67,35.17,32.67,34.92,15.7319,160251
2009-01-05,35.04,38.17,34.85,37.05,16.6915,223413
2009-01-06,37.2,38.23,36.76,36.8,16.5787,186933
2009-01-07,35.38,36.99,35.38,35.8,16.1283,112400
2009-01-08,35.32,36.64,35.28,36.35,16.3759,80691
2009-01-09,37,37.08,35.71,36.5,16.4437,72313
2009-01-12,36.51,37,35.71,36.44,16.4167,201687
2009-01-13,36.73,37.6,36.28,37.37,16.8357,211467
2009-01-14,37.24,37.29,35.88,36.69,16.5291,124281
2009-01-15,36.9,37.1502,35.44,36.9,16.6237,118270
2009-01-16,36.9,37.68,35.75,37.06,16.6958,101766
2009-01-20,36.99,37.77,36.11,36.14,16.2814,116546
2009-01-21,36.15,37.9,36.15,37.9,17.0743,100946
2009-01-22,37.78,38.09,36.33,37,16.6689,105672
2009-01-23,36.3,38.76,36.3,37.84,17.0473,103957
2009-01-26,38.33,40.548,38.33,39.24,17.6779,130249
2009-01-27,39.5,40.4,38.9,39.99,18.0158,104854
2009-01-28,40,40.54,39.68,40.5,18.2454,103392
2009-01-29,39.93,40.98,39.93,40.34,18.1734,135058
2009-01-30,40.5,40.7,39.63,40.1,18.0653,82966
2009-02-02,40,40.6,39.52,39.93,17.9889,98856
2009-02-03,41,41.5,40.04,41.2,18.5609,185611
2009-02-04,41.67,41.79,40.5,41.05,18.4934,106789
2009-02-05,40.74,42.95,40.74,42.95,19.3494,124313
2009-02-06,42.6,43.23,42.16,42.9,19.3268,129739
2009-02-09,43.07,43.25,42.386,42.94,19.345,126059
2009-02-10,41.56,41.94,40.33,40.45,18.6078,125667
2009-02-11,40.8,41.24,40.12,40.95,18.8381,70119
2009-02-12,40.08,41.6,40.08,41.56,19.119,54627
2009-02-13,41.13,41.83,40.72,41.37,19.031,70098
2009-02-17,40.4,40.99,40.12,40.16,18.4745,80828
2009-02-18,40.9,40.9,38.84,39.04,17.9592,86806
2009-02-19,39.01,39.59,38.01,38.21,17.5777,125116
2009-02-20,38.11,38.11,34.78,37.54,17.2692,354058
2009-02-23,37.96,37.96,34.79,34.9,16.0548,182659
2009-02-24,34.83,36.2737,33.74,35.96,16.5424,236015
2009-02-25,36.11,38.13,35.9168,37.39,17.2005,141858
2009-02-26,38.19,39.35,37.85,39.04,17.9592,154595
2009-02-27,38.99,39.5,38.01,39.5,18.171,150532
