Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,12.59,14.39,12.5536,14.21,11.1442,1479557
2009-01-05,14.21,14.21,13.37,13.95,10.9403,1283378
2009-01-06,14.09,14.48,13.74,14.26,11.1835,1147384
2009-01-07,14.11,14.11,13.6,13.71,10.7522,1096996
2009-01-08,13.76,13.91,13.52,13.77,10.7987,722460
2009-01-09,13.73,13.77,13.08,13.58,10.6501,862458
2009-01-12,13.34,13.62,13.13,13.25,10.3913,793969
2009-01-13,13.27,13.81,13.07,13.71,10.7522,982435
2009-01-14,13.54,13.77,13.04,13.24,10.383,905928
2009-01-15,13.24,13.48,12.66,13.31,10.4383,1049099
2009-01-16,13.55,13.67,13.28,13.61,10.6736,1044848
2009-01-20,13.45,13.72,12.81,12.84,10.0696,1123542
2009-01-21,12.99,13.26,12.74,13.24,10.383,1338164
2009-01-22,12.97,13.47,12.57,13.19,10.344,1193193
2009-01-23,12.93,13.36,12.85,13.14,10.305,1351363
2009-01-26,13.19,13.47,13.13,13.33,10.4541,1126511
2009-01-27,13.35,13.65,13.05,13.49,10.5795,1001783
2009-01-28,13.68,14.12,13.59,14.06,11.0265,1168505
2009-01-29,13.98,13.98,13.48,13.72,10.7598,777619
2009-01-30,13.74,13.97,13.36,13.49,10.5795,1189666
2009-02-02,13.27,13.85,13,13.79,10.815,1579471
2009-02-03,14.15,15.08,14.08,14.85,11.6462,2572197
2009-02-04,14.9,15.37,14.42,14.7,11.5285,2028814
2009-02-05,14.64,15.36,14.58,15.11,11.8498,1670921
2009-02-06,15.18,15.85,15.12,15.76,12.3597,1850579
2009-02-09,15.8,16.2,15.41,16.05,12.5869,1494726
2009-02-10,15.85,16.74,15.73,15.89,12.4617,2157568
2009-02-11,16,16.24,15.77,16.11,12.6342,935339
2009-02-12,15.81,16.56,15.6,16.51,12.9482,1642718
2009-02-13,16.5,17.27,16.24,16.89,13.2458,1861139
2009-02-17,16.52,16.85,16.02,16.54,12.9716,1727677
2009-02-18,16.57,16.63,16.15,16.27,12.7596,1325487
2009-02-19,16.47,16.91,16.22,16.29,12.7756,1659265
2009-02-20,15.84,16.36,15.75,15.95,12.5088,1621828
2009-02-23,16.26,16.67,15.57,15.68,12.2972,1790307
2009-02-24,15.78,15.96,15.25,15.9,12.4696,1992350
2009-02-25,15.88,16.08,15.54,15.76,12.3597,2307630
2009-02-26,16.13,16.48,15.64,15.75,12.3522,1900188
2009-02-27,15.5,16.59,15.43,15.98,12.5323,2265123
2009-03-02,15.65,15.8999,15.13,15.17,11.897,1998152
2009-03-03,15.4,15.95,15.28,15.82,12.4068,2004469
2009-03-04,15.84,16.79,15.77,16.39,12.8538,2428105
2009-03-05,16.2,16.55,15.93,16.04,12.5795,2055734
2009-03-06,16.13,16.35,15.4,16.03,12.5715,2004246
2009-03-09,15.94,16.1,15.54,15.82,12.4068,1441833
2009-03-10,15.96,16.42,15.92,16.42,12.8774,1859856
2009-03-11,16.54,17.01,16.06,16.87,13.2303,2087606
2009-03-12,16.85,17.62,16.63,17.59,13.7948,2502714
2009-03-13,17.66,18,17.33,17.9,14.0942,2100154
2009-03-16,18,18.15,17.3798,17.49,13.7711,2671820
2009-03-17,17.53,18.1,17.48,18,14.1726,2157084
2009-03-18,17.89,18.25,17.73,18.24,14.3618,1873856
2009-03-19,18.42,18.42,17.95,18.09,14.2436,1275776
2009-03-20,18.23,18.47,17.64,17.78,13.9995,1488592
2009-03-23,18.2,19.03,18.08,18.96,14.9288,2240114
2009-03-24,18.77,18.88,18.42,18.68,14.7083,2179560
2009-03-25,18.63,19.27,18.63,19.27,15.173,2207831
2009-03-26,19.4,19.44,18.65,19.07,15.0153,2782110
2009-03-27,18.91,19.16,18.5,18.58,14.6296,1458407
2009-03-30,18.45,18.51,17.7,18.29,14.4011,1923908
2009-03-31,18.39,18.95,18.22,18.61,14.653,2615415
2009-04-01,18.36,18.64,18,18.5,14.5668,2440960
2009-04-02,19.01,19.5,18.78,19.22,15.1337,2648816
2009-04-03,19.24,19.37,18.94,19.37,15.2511,1379637
2009-04-06,19.17,19.41,18.8,19.35,15.2358,1437710
2009-04-07,19.03,19.44,18.99,19.2,15.1177,1676418
2009-04-08,19.25,19.63,18.945,19.44,15.3064,1406533
2009-04-09,19.75,19.86,19.41,19.82,15.606,1905648
2009-04-13,19.7,19.7,19.28,19.5,15.3535,1126633
2009-04-14,19.47,19.62,19.14,19.15,15.0785,1336162
2009-04-15,18.99,19.19,18.76,19.17,15.0939,1383431
2009-04-16,19.42,20,19.355,19.67,15.488,1882363
2009-04-17,19.64,19.855,19.45,19.61,15.4406,2028928
2009-04-20,19.33,19.33,18.85,18.89,14.8738,1591445
2009-04-21,18.93,19.41,18.89,19.36,15.2436,1404867
2009-04-22,19.12,19.85,19.08,19.36,15.2436,1775274
2009-04-23,19.39,19.41,18.64,18.95,14.9212,1067155
2009-04-24,19.01,19.24,18.71,19.09,15.031,1252670
2009-04-27,18.73,19.62,18.73,19.33,15.2203,1239683
2009-04-28,19.11,19.86,19.11,19.39,15.2673,1473418
2009-04-29,19.47,19.87,19.33,19.58,15.4169,1109180
2009-04-30,19.69,19.89,19.33,19.35,15.2358,873675
2009-05-01,19.25,19.3,18.69,19.1,15.039,985526
2009-05-04,19.35,19.43,18.36,18.67,14.7003,1816899
2009-05-05,18.63,18.94,18.49,18.86,14.8499,1029113
2009-05-06,19.01,19.19,18.51,19.08,15.023,1566855
2009-05-07,19.16,19.25,18.78,18.91,14.8891,1475256
2009-05-08,19.06,19.65,18.91,19.65,15.4718,1292856
2009-05-11,19.25,19.3,17.6,17.74,13.9682,2790343
2009-05-12,17.91,17.93,16.85,17.51,13.787,2279039
2009-05-13,17.23,17.86,17.23,17.66,13.9051,2029091
2009-05-14,17.67,17.67,17.39,17.58,13.8422,1964475
2009-05-15,17.55,17.75,17.3,17.62,13.8735,1168114
