Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,3205,3336,3180,3323,66.46,27061
2009-01-05,3343,3404.9,3291,3349,66.98,28655
2009-01-06,3385,3415.99,3317,3333,66.66,21996
2009-01-07,3332.9,3332.9,3111.01,3190,63.8,26387
2009-01-08,3189,3274,3100,3267,65.34,27464
2009-01-09,3275,3275,3118,3141,62.82,22535
2009-01-12,3250,3250,3120,3139,62.78,21706
2009-01-13,3120,3225,3115.01,3198,63.96,23791
2009-01-14,3150,3165,3100,3100,62,20994
2009-01-15,3100,3101.45,3000.2,3093,61.86,47108
2009-01-16,3140,3152.33,3002.12,3025,60.5,24821
2009-01-20,3005,3018,2810.02,2883,57.66,56692
2009-01-21,2995,3071,2842,2939,58.78,31981
2009-01-22,2889,2968,2852,2958,59.16,32769
2009-01-23,2889,2911.98,2840.8,2849,56.98,48173
2009-01-26,2849,2934,2790,2800,56,31718
2009-01-27,2835,2905,2805.01,2855.5,57.11,20353
2009-01-28,2925,3050,2909.99,2994,59.88,34055
2009-01-29,2904,2974,2501,2900,58,32278
2009-01-30,2915,3006,2837,2989,59.78,33250
2009-02-02,2890,2958,2885,2954,59.08,19775
2009-02-03,2945,3420,2926,2980,59.6,20828
2009-02-04,2980,3027,2957,2994,59.88,17994
2009-02-05,2967,3100,2841.31,2871,57.42,46233
2009-02-06,2885,2938,2885,2910,58.2,31324
2009-02-09,2907,2959,2902,2926.05,58.521,20655
2009-02-10,2910,2977,2790,2832.9,56.658,43017
2009-02-11,2855.9,2919,2808,2895,57.9,24804
2009-02-12,2885,2943,2838.01,2896.5,57.93,23973
2009-02-13,2876,2959,2843.01,2860.02,57.2004,17136
2009-02-17,2802,2819.76,2761,2769.99,55.3998,40290
2009-02-18,2770,2770,2590,2615,52.3,75406
2009-02-19,2606,2677,2500,2516.5,50.33,74719
2009-02-20,2500.1,2505.01,2241,2387,47.74,175962
2009-02-23,2401,2479,2302.04,2360,47.2,87623
2009-02-24,2303,2568,2303,2552.5,51.05,62009
2009-02-25,2505,2633,2461.83,2567,51.34,59030
2009-02-26,2565,2627,2528.15,2564,51.28,42492
2009-02-27,2410,2599,2365,2564,51.28,96323
2009-03-02,2385,2483.88,2351.03,2444,48.88,93903
2009-03-03,2448.1,2489,2332,2370,47.4,70019
2009-03-04,2433,2490,2340,2450.06,49.0012,61951
2009-03-05,2370,2389,2271,2300,46,92149
2009-03-06,2305,2385,2279.89,2327,46.54,40091
2009-03-09,2254,2390,2251,2310.05,46.201,50265
2009-03-10,2325,2755,2325,2755,55.1,100545
2009-03-11,2773,2829,2666,2740,54.8,77328
2009-03-12,2720,2890,2625.07,2780.5,55.61,55756
2009-03-13,2825,2827.99,2661,2741.5,54.83,37357
2009-03-16,2844.94,2844.94,2631,2642,52.84,33850
2009-03-17,2615,2705,2610.99,2704,54.08,24189
2009-03-18,2700,2792.98,2678,2737,54.74,36670
2009-03-19,2798,2816.98,2753.01,2775,55.5,29375
2009-03-20,2775,2807,2753,2753,55.06,29021
2009-03-23,2815,2989,2815,2941.07,58.8214,60929
2009-03-24,2957,2989,2905,2922,58.44,49695
2009-03-25,2938,2984,2855,2900,58,50637
2009-03-26,2910,2980,2870,2958,59.16,37107
2009-03-27,2925,2978,2910.05,2920,58.4,28263
2009-03-30,2845,2848,2753.05,2810,56.2,31942
2009-03-31,2888,2916,2800,2820,56.4,35845
2009-04-01,2765,2843,2755,2819,56.38,46926
2009-04-02,2890,2963.97,2878,2906,58.12,41755
2009-04-03,2915,3015,2897.98,3004,60.08,32421
2009-04-06,3000,3023,2955.33,2997,59.94,44228
2009-04-07,3000,3000,2879,2920,58.4,30144
2009-04-08,2925,2935,2872.01,2915,58.3,20403
2009-04-09,3015,3065,2985,3051,61.02,56819
2009-04-13,3000,3073,2955,3072,61.44,39479
2009-04-14,3040,3057.88,2960,2994,59.88,26620
2009-04-15,2982,3019,2961,2983,59.66,14699
2009-04-16,3010,3044.03,2994.98,3025,60.5,26294
2009-04-17,3025,3071.64,2987,3012,60.24,27797
2009-04-20,2979,2990,2905,2929.99,58.5998,28916
2009-04-21,2880,2922,2861.035,2900,58,48453
2009-04-22,2845,2908,2801,2801,56.02,45487
2009-04-23,2811,2907.52,2757,2813,56.26,32105
2009-04-24,2845,2930,2809,2910,58.2,53992
2009-04-27,2840,2989.9,2821,2931,58.62,37625
2009-04-28,2900,2949,2885,2911.5,58.23,30857
2009-04-29,2950,3073.5,2930.3,3073.5,61.47,52197
2009-04-30,3099.97,3155,3041,3065,61.3,42525
2009-05-01,3055,3081,3015,3043.95,60.879,26148
2009-05-04,3075,3114.9,3045,3114.9,62.298,30380
2009-05-05,3100,3123.17,3017.18,3096.91,61.9382,24436
2009-05-06,3110,3110,3043,3090,61.8,37378
2009-05-07,3132,3141,3043.01,3052,61.04,47798
2009-05-08,3100,3132,3084.01,3132,62.64,55820
2009-05-11,3066,3068,2960,2960,59.2,46020
2009-05-12,2977,2994,2921.01,2939,58.78,27136
2009-05-13,2915,2915,2852,2870.5,57.41,27456
2009-05-14,2852,2938,2846,2919.5,58.39,27036
2009-05-15,2892,2947,2892,2899.8,57.996,25783
2009-05-18,2925,2959,2921,2943,58.86,26450
2009-05-19,2933,3012,2933,3000,60,30993
2009-05-20,3059,3059,2980,2980,59.6,26655
2009-05-21,2952,2963.1,2910.1,2929,58.58,27701
2009-05-22,2926,2932,2882,2908,58.16,18590
2009-05-26,2901,2998,2890.63,2989,59.78,48255
2009-05-27,2948.3,3008.5,2911,2932.99,58.6598,30087
