Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,21.84,23.09,21.19,22.96,10.5138,852636
2009-01-05,22.82,24.12,22.52,23.99,10.9853,1908988
2009-01-06,24.29,25.65,23.65,25.03,11.4618,1883445
2009-01-07,24.58,24.59,23.18,23.65,10.8296,1170896
2009-01-08,23.53,23.62,22.49,23.38,10.7062,1590739
2009-01-09,23.28,23.52,22.28,22.87,10.4727,2038199
2009-01-12,22.86,22.86,21.73,22.09,10.1154,1577478
2009-01-13,21.98,22.32,20.42,21.14,9.6804,2117531
2009-01-14,20.68,21.41,19.03,19.23,8.8057,3005880
2009-01-15,19.26,19.66,18.26,19.2,8.7919,3176623
2009-01-16,19.52,19.71,17.56,18.89,8.65,2425105
2009-01-20,18.89,19.04,17.15,17.25,7.8992,1845386
2009-01-21,17.87,17.95,16.77,17.87,8.183,1972396
2009-01-22,17.68,17.68,16.79,17.04,7.8031,2531253
2009-01-23,16.79,18,16.5,17.62,8.0685,1747172
2009-01-26,17.64,17.94,16.98,17.36,7.9495,1032242
2009-01-27,17.37,17.96,17.2,17.54,8.0319,1091562
2009-01-28,17.63,19.21,17.63,18.83,8.6226,2656913
2009-01-29,18.54,18.8,17.67,18.01,8.3001,1740626
2009-01-30,17.88,18.24,16.72,16.88,7.7793,1602604
2009-02-02,16.61,17.66,16.45,17.49,8.0605,2130311
2009-02-03,17.5,17.95,17.18,17.67,8.1434,2033705
2009-02-04,17.75,19.13,17.65,18.36,8.4613,2753559
2009-02-05,18.26,19.03,17.97,18.92,8.7194,2475827
2009-02-06,18.82,21.6385,18.82,21.05,9.7011,3641878
2009-02-09,21.06,21.06,20.17,20.69,9.5351,2232555
2009-02-10,20.48,21.15,19.51,19.68,9.0697,1773501
2009-02-11,19.89,20.33,18.32,18.89,8.7056,3203360
2009-02-12,18.51,22.24,18.51,21.99,10.1343,6697937
2009-02-13,20.78,21.72,20.51,21.37,9.8486,5206738
2009-02-17,20.42,20.81,19.91,20.14,9.2816,3922776
2009-02-18,20.34,20.56,19.42,20.06,9.2448,3732563
2009-02-19,20.27,20.51,18.33,18.42,8.4889,2387815
2009-02-20,17.91,18.36,17.43,17.77,8.1894,3652833
2009-02-23,18,18.17,16.91,16.95,7.8115,2485450
2009-02-24,17.2,18.34,16.7,18.22,8.3967,3025458
2009-02-25,18.03,18.26,17.22,17.7,8.1571,3010350
2009-02-26,18,18,17.06,17.36,8.0004,2127857
2009-02-27,17.35,17.74,16.77,17.25,7.9497,2252319
2009-03-02,16.8,16.95,16.02,16.21,7.4706,2199770
2009-03-03,16.42,16.63,15.79,16.06,7.4013,1810610
2009-03-04,15.99,17.24,15.99,16.96,7.8162,1638762
2009-03-05,16.4,16.4,15.62,15.93,7.3415,2497557
2009-03-06,16.17,17.98,14.62,15.18,6.9959,3661717
2009-03-09,14.79,15.74,14.79,15.27,7.0374,4198580
2009-03-10,15.8,16.3,15.41,15.88,7.3184,3152470
2009-03-11,15.88,17.11,15.71,16.42,7.5672,2812501
2009-03-12,16.33,17.7,16.01,17.53,8.0789,2251158
2009-03-13,17.82,18.44,17.63,18.3,8.4337,2757022
2009-03-16,18.86,19.1299,18.22,18.44,8.4983,3652886
2009-03-17,18.48,18.7,17.66,18.7,8.618,2109348
2009-03-18,18.68,20.79,18.33,20.3,9.3554,3079394
2009-03-19,20.61,20.61,19.45,19.85,9.148,4478734
2009-03-20,20.03,20.03,18.29,18.61,8.5765,2095847
2009-03-23,19.14,20.62,18.9,20.57,9.4799,2912178
2009-03-24,20.25,21.65,19.92,20.89,9.6272,3295302
2009-03-25,21.09,23.03,20.47,21.09,9.7196,6123955
2009-03-26,21.45,22.12,20.93,21.7,10.0005,3321098
2009-03-27,21.54,22.14,20.97,21.76,10.0281,2368262
2009-03-30,21.09,21.09,19.43,20.86,9.6135,3329868
2009-03-31,21.03,21.4,19.82,20.3,9.3554,2336031
2009-04-01,19.9,20.99,19.4,20.95,9.6549,2831516
2009-04-02,21.84,24.6,21.13,24.26,11.1805,4651166
2009-04-03,24.19,24.94,23.71,24.63,11.3509,2597094
2009-04-06,23.63,25.8,23.48,25.74,11.8625,5549262
2009-04-07,24.79,25,22.87,23.76,10.9499,8090203
2009-04-08,24,24.8,22.98,23.58,10.8671,2802658
2009-04-09,24.65,26.2,24.42,25.88,11.927,3901009
2009-04-13,25.38,25.91,24.26,25.75,11.867,2885057
2009-04-14,25.44,25.88,24.85,25.15,11.5906,2053324
2009-04-15,24.99,25.55,24.75,25.28,11.6504,2066987
2009-04-16,25.44,26.1,25.17,25.84,11.9086,2517253
2009-04-17,25.1,26.45,24.38,26.25,12.0975,1939134
2009-04-20,25.58,25.6,24.03,24.16,11.1342,2584490
