Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,6.59,7.14,6.5,7.14,3.575,1466514
2009-01-05,7.14,7.83,6.91,7.5,3.7551,1907380
2009-01-06,7.72,8.16,7.6,8.1,4.0558,1213844
2009-01-07,8,8,7.27,7.41,3.7104,1796775
2009-01-08,7.37,7.59,7.21,7.5,3.7551,892854
2009-01-09,7.62,7.65,7.26,7.28,3.6451,581073
2009-01-12,7.26,7.28,6.3,6.44,3.2246,1860848
2009-01-13,6.25,6.42,6.05,6.12,3.0643,1626024
2009-01-14,5.93,5.93,5.5,5.67,2.8389,1935788
2009-01-15,5.67,5.68,5.18,5.34,2.6735,2372490
2009-01-16,5.77,5.77,5.14,5.2,2.6036,1820462
2009-01-20,5.19,5.19,4.4,4.62,2.313,3507489
2009-01-21,5.03,5.03,4.29,4.4,2.2031,3171831
2009-01-22,4.58,4.58,4.16,4.2,2.1028,2810582
2009-01-23,4.21,4.52,4.05,4.51,2.2581,2723004
2009-01-26,4.48,4.81,4.48,4.56,2.283,1508169
2009-01-27,4.66,4.73,4.4,4.47,2.2382,910712
2009-01-28,4.88,5.1,4.76,5.1,2.5536,2985285
2009-01-29,4.93,5.09,4.5,4.5,2.2531,2142908
2009-01-30,4.59,4.69,4.3,4.51,2.2581,3501161
2009-02-02,4.43,4.43,4.09,4.29,2.1479,2165867
2009-02-03,4.24,4.535,4.18,4.43,2.218,1679094
2009-02-04,4.47,4.87,4.4,4.8,2.4034,2237376
2009-02-05,4.61,4.97,4.51,4.8,2.4034,1536611
2009-02-06,4.9,5.51,4.85,5.37,2.6888,2521162
2009-02-09,5.46,5.46,4.92,4.94,2.4733,2097400
2009-02-10,5.02,5.02,4.36,4.45,2.2282,2458964
2009-02-11,4.54,4.71,4.25,4.61,2.3081,3204336
2009-02-12,4.6,5.08,4.46,4.88,2.4433,2141451
2009-02-13,4.88,5.25,4.78,5.03,2.5184,1444073
2009-02-17,4.74,4.84,4.5,4.55,2.2781,1343453
2009-02-18,4.64,4.75,4.21,4.23,2.1183,1983200
2009-02-19,4.25,4.53,4.05,4.05,2.0277,2418392
2009-02-20,4.03,4.2599,3.9,3.96,1.9827,2514043
2009-02-23,4.19,4.19,3.85,3.89,1.9478,1750390
2009-02-24,3.9,4.33,3.75,4.29,2.1479,1805241
2009-02-25,4.26,4.36,4.02,4.12,2.0629,1096224
2009-02-26,4.2,4.35,3.83,3.87,1.9379,1327592
2009-02-27,3.75,4.88,3.55,4.87,2.4385,4506038
2009-03-02,4.55,4.92,4.32,4.77,2.3883,2677176
2009-03-03,4.9,6.25,4.61,5.69,2.8489,6571140
2009-03-04,6.2,6.5,5.81,6.13,3.0692,7111646
2009-03-05,5.9,6.21,5.4,5.44,2.7237,4538481
2009-03-06,5.49,6.1,5.4,5.93,2.9693,4384789
2009-03-09,5.89,6.12,5.6,5.61,2.809,2715267
2009-03-10,5.88,6.15,5.56,5.98,2.9941,3647658
2009-03-11,6.05,6.3,5.83,6.1,3.0542,2569474
2009-03-12,6.05,6.18,5.76,6.1,3.0542,2123175
2009-03-13,6.11,6.19,5.81,5.96,2.9839,1984301
2009-03-16,6.075,6.5,5.98,6.06,3.0342,2768618
2009-03-17,6.03,6.15,5.61,5.97,2.9892,1960829
2009-03-18,5.945,6.2,5.76,6.07,3.0393,2313993
2009-03-19,6.19,6.9,6.12,6.5,3.2543,2790601
2009-03-20,6.6,6.72,6.13,6.3,3.1544,1800515
2009-03-23,6.81,8.54,6.75,7.81,3.9104,10184431
2009-03-24,8.14,9.19,8.05,8.1,4.0558,10695109
2009-03-25,8.71,8.82,7.45,7.79,3.9005,8905299
2009-03-26,8.11,8.22,7.45,7.9,3.9551,5092172
2009-03-27,7.51,7.88,7.45,7.75,3.8803,2234044
2009-03-30,7.21,7.3,6.7,6.84,3.4248,5446530
2009-03-31,6.95,7.45,6.95,7.25,3.63,3465922
2009-04-01,7.11,7.5518,6.89,7.33,3.6702,2689732
2009-04-02,7.85,8.2,7.67,7.83,3.9203,5185190
2009-04-03,7.81,8.16,7.53,8.07,4.0404,2382294
2009-04-06,7.76,7.89,7.62,7.79,3.9005,1186633
2009-04-07,7.57,7.57,7.13,7.24,3.6249,2128720
2009-04-08,7.25,7.4,7.01,7.27,3.6402,1851999
2009-04-09,7.75,8.15,7.6,7.63,3.8203,3415081
2009-04-13,7.65,7.88,7.36,7.8,3.9056,2565409
2009-04-14,7.85,8.7,7.68,8.37,4.1906,5458879
2009-04-15,8.16,9,8.07,8.86,4.4361,3504951
2009-04-16,9,9.18,8.5,8.9,4.4563,3054948
2009-04-17,8.97,9.06,8.5499,8.67,4.3408,2154058
2009-04-20,8.39,8.53,7.52,7.55,3.7802,3427073
