Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,55.3,56.78,54.3,55.13,39.138,2790844
2009-01-05,55,55,52.2,52.6,37.3421,3181387
2009-01-06,53.1,56.07,51.74,55.55,39.4361,3433210
2009-01-07,54.4,55.65,52.87,53.36,37.8816,2292150
2009-01-08,52.87,55.09,51.45,54.7,38.8326,2426015
2009-01-09,54.66,55.48,51.99,52.31,37.1359,2904585
2009-01-12,50.77,51.46,47.85,48.6,34.5021,2625067
2009-01-13,49.11,51.31,48.34,49.87,35.4036,3680285
2009-01-14,48.38,48.59,45.39,46.43,32.9618,4538618
2009-01-15,46.25,46.81,42.76,46.31,32.8764,5852967
2009-01-16,47.49,48.33,44.76,48.05,34.1112,3904680
2009-01-20,46.13,47.01,40.69,40.96,29.0784,5564317
2009-01-21,41.75,43.81,40.49,43.15,30.633,7090939
2009-01-22,41.84,43.86,40.69,41.34,29.3483,4789784
2009-01-23,39.95,44.05,39.5,43.38,30.7963,4093839
2009-01-26,43.86,45.32,42.32,43.7,31.0233,3216536
2009-01-27,44.48,45.3,43,43.85,31.1299,2594072
2009-01-28,46.24,47.73,44.91,47.29,33.572,4593150
2009-01-29,46.99,48.67,43.85,44.26,31.4211,5228352
2009-01-30,44.88,46.3,42.24,43.3,30.7396,4682376
2009-02-02,42.19,44.03,41.4,43.8,31.0945,3735950
2009-02-03,43.9,44.22,42.07,42.71,30.3207,2972657
2009-02-04,42.97,44.13,41.97,42.4,30.1003,2737270
2009-02-05,42.02,44.32,40.01,42.84,30.4128,4086263
2009-02-06,43.49,47.24,43.34,46.93,33.3167,4625742
2009-02-09,45.25,47.9,45.14,47.71,33.8705,3421682
2009-02-10,46.75,46.75,42.58,43.13,30.6184,4721993
2009-02-11,43.78,44.43,41.41,44.23,31.3995,4551946
2009-02-12,42.95,44.31,40.49,43.88,31.1514,4764122
2009-02-13,42.99,43.72,41.15,41.22,29.2631,4189206
2009-02-17,39.71,40.07,36.73,37.45,26.5865,5976953
2009-02-18,38.23,39.24,36.42,38.52,27.3463,4039180
2009-02-19,39.76,40.12,36.5,36.88,26.1819,3653476
2009-02-20,35.8,39.34,35.75,38.88,27.6016,5533965
2009-02-23,39.61,39.61,35.44,35.73,25.3655,4352166
2009-02-24,35.83,40.4,35.51,40.03,28.418,7592404
2009-02-25,39.5,42.24,37.56,40,28.3969,6007748
2009-02-26,41.15,41.33,37.12,37.27,26.4588,4161817
2009-02-27,35.91,38.95,35.91,37.09,26.331,6319464
2009-03-02,35.45,36.5,33.45,33.85,24.0308,6407375
2009-03-03,34.54,35.02,32.17,33.59,23.8463,5280563
2009-03-04,34.59,35.32,32.76,34.04,24.1656,4283272
2009-03-05,32.66,33.42,31.12,31.49,22.3552,5208223
2009-03-06,31.94,32.87,29.3,31.73,22.5255,6287252
2009-03-09,31.23,32.71,30.8,32.5,23.0726,4817818
2009-03-10,33.05,37.66,32.74,37.66,26.7356,7643850
2009-03-11,37.9,37.91,35.72,36.65,26.0183,5484208
2009-03-12,37.12,39.54,36.11,39.1,27.7577,6460011
2009-03-13,39.31,39.56,36.03,37.64,26.7214,4469104
2009-03-16,39.2,39.3,34.86,35,24.8471,5139055
2009-03-17,34.83,38.5,34.4,38.36,27.2327,5761177
2009-03-18,37.52,41.58,36.71,41.25,29.2842,6262517
2009-03-19,42.26,42.8,39,39.42,27.9849,4829680
2009-03-20,39.36,39.36,34.83,34.9,24.7764,6278955
2009-03-23,36.7,40.63,35.92,40.28,28.5955,7666755
2009-03-24,38.96,40.38,36.34,36.64,26.0117,5374727
2009-03-25,37.17,38.33,33.74,36.78,26.1109,6031858
2009-03-26,38.23,38.48,34.8,37.56,26.6644,5687893
2009-03-27,35.02,35.71,34.37,34.54,24.9727,4336181
2009-03-30,33.39,33.67,31.69,31.92,23.0784,5132446
2009-03-31,32.6,35.2,32.15,35.03,25.3269,6784980
2009-04-01,34.68,35.62,33.79,34.74,25.1175,4236476
2009-04-02,36,37.68,35.5,37.1,26.8234,6499375
2009-04-03,36.82,41.79,36.15,41.69,30.1425,7014981
2009-04-06,40.92,41.47,38.78,40.18,29.0505,5645323
2009-04-07,38.97,39.41,36.53,36.57,26.4405,5049875
2009-04-08,37.23,37.64,36.26,37.33,26.9901,4524385
2009-04-09,39.49,44.44,38.28,44.08,31.8701,7715378
2009-04-13,43.01,44.9,42.13,43.77,31.6461,5621936
2009-04-14,42.81,43.49,39.02,39.3,28.4142,6188789
2009-04-15,39.37,43.21,38.81,42.87,30.9954,6274280
2009-04-16,42.69,47.03,41.04,44.88,32.4486,5703174
2009-04-17,45.04,48.53,44.26,47.17,34.1046,7090126
2009-04-20,45.2,46.57,41.38,41.54,30.0337,5429143
2009-04-21,40.47,46.36,40.21,45.87,33.1645,7012061
2009-04-22,44.2,46.76,43.32,43.96,31.7839,6554544
2009-04-23,44.39,46.32,42.84,46.06,33.3019,4576697
2009-04-24,45.88,51.14,45.24,49.84,36.0349,6347011
2009-04-27,48.57,49.21,44.21,45.8,33.1139,5053109
2009-04-28,44.69,48.32,44.45,46.71,33.7718,3523034
2009-04-29,47.26,49.37,46.79,48.49,35.0588,4109242
2009-04-30,49.15,51.31,48.65,49.42,35.7313,5493857
2009-05-01,48.66,49.06,46.03,46.53,33.6414,3860601
2009-05-04,47.71,50.32,46.67,50.29,36.3602,5639667
2009-05-05,50.04,50.22,48.13,48.56,35.1093,3861941
2009-05-06,49.14,51.75,48.98,51.27,37.0688,3882891
2009-05-07,51.27,51.92,47.59,48.77,35.2611,5157120
2009-05-08,48.97,52.73,48.05,52.42,37.8999,4545148
2009-05-11,51.07,51.5,49.76,50.05,36.1865,3698431
2009-05-12,50.42,50.82,47.515,49.7,35.9336,2696819
2009-05-13,48.69,49.04,45.14,45.54,32.9256,4468165
2009-05-14,45.4,47.7,44.61,47.05,34.0175,4219016
2009-05-15,46.07,46.77,44.32,44.97,32.5137,3822624
2009-05-18,45.53,48.77,45.07,48.67,35.189,5353489
2009-05-19,48.27,49.08,46.88,47.23,34.1477,2959047
2009-05-20,48.84,49.44,46.51,46.74,33.7936,3682431
2009-05-21,45.65,47.69,45.31,46.59,33.685,3514735
2009-05-22,46.74,47.6999,45.3,45.38,32.8102,2509396
2009-05-26,45.19,48.46,44.36,48.15,34.8125,3993141
2009-05-27,47.11,47.94,45.5,45.78,33.0994,4126013
2009-05-28,46.29,47.37,45.03,47.19,34.119,3374711
2009-05-29,47.4,48.38,46.28,48.32,34.9358,3306094
2009-06-01,49.36,51.4,48.44,49.88,36.0638,4036960
2009-06-02,49.18,50.24,48.44,49.26,35.6152,3546826
2009-06-03,48.82,50.53,48.82,50.31,36.3743,3191659
