Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,6.87,7.16,6.75,7.14,66.205,104792287
2009-01-05,7.12,7.5,7.03,7.08,65.649,128290358
2009-01-06,7.29,7.585,7.28,7.46,69.174,112570853
2009-01-07,7.22,7.44,7.08,7.15,66.296,105330160
2009-01-08,7.1,7.34,6.98,7.16,66.389,105325241
2009-01-09,7.27,7.29,6.66,6.75,62.589,140491774
2009-01-12,6.54,6.55,5.37,5.6,51.923,295187189
2009-01-13,5.18,5.96,5.06,5.9,54.706,274168184
2009-01-14,5.02,5.2,4.44,4.53,42.004,513925729
2009-01-15,4.64,4.64,3.36,3.83,35.515,635477223
2009-01-16,4.22,4.48,3.44,3.5,32.453,426844291
2009-01-20,3.45,3.58,2.8,2.8,25.965,384927961
2009-01-21,3.12,3.67,2.97,3.67,34.026,312820063
2009-01-22,3.42,3.52,3.01,3.11,28.838,293627213
2009-01-23,3,3.58,2.98,3.47,32.175,266447555
2009-01-26,3.67,3.75,3.3,3.33,30.878,213057604
2009-01-27,3.49,3.64,3.33,3.55,32.92,178804205
2009-01-28,4.29,4.33,4.0399,4.21,39.039,376548515
2009-01-29,3.99,4.09,3.9,3.9,36.249,166906346
2009-01-30,3.99,3.99,3.55,3.55,32.997,197541557
2009-02-02,3.39,3.72,3.32,3.65,33.923,170211663
2009-02-03,3.85,3.85,3.1214,3.46,32.159,166696084
2009-02-04,3.55,3.82,3.45,3.49,32.437,184938350
2009-02-05,3.46,3.72,3.2,3.53,32.811,218414309
2009-02-06,3.18,4.07,3.18,3.91,36.343,261483534
2009-02-09,4.06,4.1,3.87,3.95,36.715,174482813
2009-02-10,4.01,4.03,3.26,3.35,31.138,296574661
2009-02-11,3.57,3.69,3.38,3.69,34.297,157154714
2009-02-12,3.51,3.66,3.41,3.61,33.554,132357470
2009-02-13,3.52,3.72,3.49,3.49,32.437,136066943
2009-02-17,3.25,3.31,3.06,3.06,28.442,192499941
2009-02-18,3.18,3.2,2.85,2.91,27.048,186355822
2009-02-19,3,3.01,2.4999,2.51,23.33,231144601
2009-02-20,2.2,2.33,1.61,1.95,18.126,617710575
2009-02-23,2.36,2.48,2.06,2.14,19.89,388268093
2009-02-24,2.28,2.6,2.06,2.6,24.166,362771736
2009-02-25,2.69,2.95,2.16,2.52,23.422,437579693
2009-02-26,2.73,2.83,2.35,2.46,22.865,261641133
2009-02-27,1.56,1.93,1.4,1.5,13.94,1868217856
2009-03-02,1.5,1.6,1.15,1.2,11.155,1077996208
2009-03-03,1.32,1.39,1.21,1.22,11.337,516185318
2009-03-04,1.3,1.31,1.11,1.13,10.504,481756176
2009-03-05,1.1,1.11,0.97,1.02,9.48,579085280
2009-03-06,1.06,1.08,1,1.03,9.574,415218610
2009-03-09,1.02,1.07,0.99,1.05,9.76,240617398
2009-03-10,1.24,1.45,1.05,1.45,13.478,1115130550
2009-03-11,1.67,1.72,1.46,1.54,14.314,865146236
2009-03-12,1.54,1.67,1.48,1.67,15.523,523088805
2009-03-13,1.83,1.89,1.64,1.78,16.543,726758680
2009-03-16,1.96,2.68,1.92,2.33,21.658,1475848438
2009-03-17,2.58,2.66,2.3099,2.51,23.33,697901944
2009-03-18,2.6,3.36,2.52,3.08,28.629,1304792459
2009-03-19,3.61,3.89,2.6,2.6,24.166,1247149239
2009-03-20,2.81,2.82,2.4,2.62,24.353,609058094
2009-03-23,3.31,3.35,2.83,3.13,29.092,815125761
2009-03-24,3.05,3.13,2.86,3.02,28.072,523984663
2009-03-25,3.08,3.16,2.67,2.95,27.418,641606615
2009-03-26,3.03,3.09,2.75,2.81,26.119,432104901
2009-03-27,2.64,2.73,2.54,2.62,24.353,431506374
2009-03-30,2.37,2.43,2.25,2.31,21.471,448573576
2009-03-31,2.55,2.57,2.44,2.53,23.515,306790978
2009-04-01,2.48,2.75,2.43,2.68,24.91,385121263
