Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,34.93,35.39,33.87,35.22,19.4774,1756432
2009-01-05,35.08,36,34.89,35.73,19.7597,2190531
2009-01-06,35.87,36.82,35.16,35.63,19.7043,2666907
2009-01-07,34.93,36,34.92,35.94,19.8759,3814836
2009-01-08,34.08,36.96,33.25,36.71,20.3018,4680130
2009-01-09,36.9,37.4,36.1,36.87,20.3901,3196968
2009-01-12,36.65,36.9,36.42,36.89,20.4012,2273078
2009-01-13,36.77,38.3,36.58,37.91,20.9651,3155164
2009-01-14,37.22,37.67,36.94,37.36,20.6608,4034243
2009-01-15,37.46,38.21,36.68,37.91,20.9651,3400903
2009-01-16,38.2,38.38,37.51,38.09,21.065,3010570
2009-01-20,37.91,38.81,36.89,37.08,20.5062,3783948
2009-01-21,37.77,37.79,36.32,36.76,20.3296,4989895
2009-01-22,36.26,37.27,36.2,36.82,20.3625,3559179
2009-01-23,36.27,36.34,35.58,35.96,19.8869,2776034
2009-01-26,35.94,37.12,35.94,36.57,20.2242,2988001
2009-01-27,36.73,37.98,36.73,37.5,20.7387,2902942
2009-01-28,38.3,39.4,38.08,39.28,21.7229,2902614
2009-01-29,38.63,39.335,37.74,37.83,20.9207,2224477
2009-01-30,37.75,38,37.16,37.65,20.8215,2309588
2009-02-02,36.16,37.07,35.93,36.62,20.2519,3622195
2009-02-03,36.75,37.44,35.97,37.27,20.6112,2503936
2009-02-04,37.5,38.11,37.42,37.61,20.7993,1972391
2009-02-05,37.43,39.8,36.81,39,21.5682,4097834
2009-02-06,38.71,39.87,38.71,39.53,21.8611,2488139
2009-02-09,39.02,39.52,38.49,39.11,21.6288,1421634
2009-02-10,38.74,39.11,37.34,37.68,20.8381,2694149
2009-02-11,38.01,38.08,37.365,37.96,20.9928,2311413
2009-02-12,37.22,38.44,37.02,38.39,21.2307,1931269
2009-02-13,38.34,38.62,37.71,38.1,21.0703,1369679
2009-02-17,37,37.19,36.4,36.65,20.2685,2050886
2009-02-18,36.81,36.95,36.14,36.68,20.285,1728077
2009-02-19,36.68,37,36.09,36.15,19.9919,2643014
2009-02-20,36,36.22,35.73,35.92,19.8645,3429307
2009-02-23,36.18,36.46,35.48,35.56,19.6653,2411082
2009-02-24,35.53,36.12,35.41,35.75,19.7705,2883358
2009-02-25,35.69,35.82,34.38,35.2,19.4666,3207687
2009-02-26,35.29,35.48,32.73,32.77,18.1228,3899616
2009-02-27,32.14,32.93,31.58,32.45,17.9458,3855429
2009-03-02,32.14,32.42,30.79,30.92,17.0999,3628425
2009-03-03,31.23,31.75,30.48,30.74,16.9999,3735525
2009-03-04,31.1,31.93,30.61,31.54,17.4425,2701098
2009-03-05,30.99,31.03,30.08,30.26,16.7348,2619376
2009-03-06,30.46,30.94,29.16,29.82,16.4912,3387847
2009-03-09,29.41,30.6,29.31,29.71,16.4302,2600713
2009-03-10,30.15,31.76,29.68,31.7,17.5309,3088987
2009-03-11,31.84,31.99,27.75,28.59,15.8116,8168899
2009-03-12,28.59,30.15,28.41,29.96,16.5687,3978455
2009-03-13,30.13,31.595,29.85,31.54,17.4425,3214672
2009-03-16,31.74,32.17,31.05,31.05,17.1715,2735249
2009-03-17,31.01,31.72,30.83,31.72,17.5422,2866685
2009-03-18,31.6,32.9,31.43,32.15,17.7797,2903289
2009-03-19,32.05,32.44,31.3,31.42,17.3762,2622522
2009-03-20,31.61,32.07,30.76,31.01,17.1495,2774801
2009-03-23,31.51,32.71,31.21,32.71,18.0895,1859776
2009-03-24,32.3,32.9,32.29,32.38,17.9069,2189360
2009-03-25,32.66,33,32,32.63,18.0453,1863720
2009-03-26,32.82,33.39,32.38,33.36,18.4487,2351870
2009-03-27,32.95,33.07,32.34,32.43,17.9348,2661288
2009-03-30,31.69,31.95,31.06,31.42,17.4538,2538042
2009-03-31,31.44,31.94,31.24,31.48,17.4873,4408251
2009-04-01,31.12,31.37,30.69,31.16,17.3095,3474282
2009-04-02,31.62,33.1,31.39,32.49,18.0482,3405352
2009-04-03,32.08,32.72,31.89,32.46,18.0315,2501824
2009-04-06,32.18,33.13,32.18,32.95,18.3038,1803988
2009-04-07,32.42,32.95,32.17,32.44,18.0206,1482854
2009-04-08,32.5,32.92,31.81,32.05,17.804,1751166
2009-04-09,32.65,33.14,32.63,32.96,18.3095,1929909
2009-04-13,32.75,33.73,32.75,33.61,18.6705,1859064
2009-04-14,33.35,34.27,33.13,33.87,18.8147,1908571
2009-04-15,33.34,34.03,33.34,33.89,18.8263,1915126
2009-04-16,34.07,34.35,33.42,33.85,18.8037,2280386
2009-04-17,33.88,34.48,33.76,34.26,19.0316,2052940
2009-04-20,33.94,34.49,33.51,33.74,18.7424,1825658
2009-04-21,33.32,34.48,32.93,33.52,18.6203,1600465
2009-04-22,33.1,34,32.85,33.68,18.7094,1730843
2009-04-23,33.85,34.07,32.93,33.79,18.7705,1764494
2009-04-24,33.85,34.09,33.4,33.84,18.798,1367903
2009-04-27,33.08,34.59,33.06,34,18.8868,2378575
2009-04-28,33.94,33.94,33.23,33.48,18.5982,1604730
2009-04-29,33.71,34.62,33.5,34.49,19.1594,1639570
2009-04-30,34.88,35,33.45,33.79,18.7705,2354415
2009-05-01,33.86,34.08,33.63,33.83,18.793,1695345
2009-05-04,34.06,35.08,33.72,35.02,19.4542,1397572
2009-05-05,35.33,36.04,35.02,35.76,19.8645,1626635
2009-05-06,35.87,36.5,35.03,35.38,19.6537,1405873
2009-05-07,35.57,36.96,35,36.4,20.2201,1705784
