Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,4.43,4.56,4.2,4.48,4.48,3971519
2009-01-05,4.43,4.43,4.15,4.35,4.35,4643542
2009-01-06,4.43,5.11,4.29,5,5,6759116
2009-01-07,4.96,5.4,4.77,4.94,4.94,7261487
2009-01-08,4.92,5.38,4.8,5.15,5.15,4489019
2009-01-09,5.12,5.27,4.76,4.77,4.77,4000337
2009-01-12,4.65,4.68,4.16,4.21,4.21,5075691
2009-01-13,4.14,4.55,4.03,4.52,4.52,4686227
2009-01-14,4.22,4.54,4.01,4.07,4.07,4962036
2009-01-15,4.05,4.18,3.72,4.01,4.01,6844252
2009-01-16,4.17,4.31,4.01,4.26,4.26,6725012
2009-01-20,4.1,4.32,3.5,3.5,3.5,7659234
2009-01-21,3.73,3.85,3.47,3.78,3.78,5833817
2009-01-22,3.62,3.88,3.5,3.71,3.71,5268716
2009-01-23,3.55,3.9,3.45,3.82,3.82,4107709
2009-01-26,4,4.2,3.75,3.87,3.87,4091105
2009-01-27,3.98,4.07,3.78,3.93,3.93,2890108
2009-01-28,4.05,4.49,4.05,4.48,4.48,6025233
2009-01-29,4.43,4.43,3.81,3.82,3.82,4830071
2009-01-30,3.96,3.98,3.52,3.6,3.6,4028392
2009-02-02,3.55,3.57,3.37,3.51,3.51,3551103
2009-02-03,3.65,3.66,3.4,3.54,3.54,3068068
2009-02-04,3.58,4.42,3.48,3.95,3.95,8231034
2009-02-05,3.9,4.07,3.76,3.91,3.91,4325213
2009-02-06,4.01,4.43,3.88,4.36,4.36,4755955
2009-02-09,4.22,4.5,4.19,4.37,4.37,3212304
2009-02-10,4.23,4.51,3.76,3.77,3.77,7799434
2009-02-11,4.115,4.89,3.76,4.21,4.21,13111605
2009-02-12,4.02,4.15,3.76,4.05,4.05,9135880
2009-02-13,4,4,3.73,3.76,3.76,5838932
2009-02-17,3.51,3.99,3.41,3.43,3.43,6098494
2009-02-18,3.49,3.67,3.34,3.58,3.58,5187216
2009-02-19,3.63,3.73,3.2,3.26,3.26,4791257
2009-02-20,3.2,3.41,3.05,3.33,3.33,8799340
2009-02-23,3.48,3.54,3.17,3.18,3.18,7760643
2009-02-24,3.21,3.47,2.97,3.47,3.47,7742714
2009-02-25,3.42,3.42,3.06,3.24,3.24,5442413
2009-02-26,3.27,3.39,3.04,3.05,3.05,4610735
2009-02-27,3.08,3.16,2.84,2.89,2.89,4607363
2009-03-02,2.8,2.99,2.53,2.53,2.53,8551092
2009-03-03,2.61,2.93,2.42,2.66,2.66,6889886
2009-03-04,2.82,2.9,2.68,2.78,2.78,5342390
2009-03-05,2.76,3.05,2.385,2.57,2.57,7143270
2009-03-06,2.6,2.69,2.43,2.52,2.52,7658469
2009-03-09,2.53,2.8,2.39,2.71,2.71,4999727
2009-03-10,2.71,3.39,2.71,3.39,3.39,14890015
2009-03-11,3.45,3.45,2.87,2.99,2.99,8156328
2009-03-12,2.96,3.31,2.84,3.28,3.28,7987999
2009-03-13,3.32,3.32,2.91,3.06,3.06,6807617
2009-03-16,3.18,3.2,2.61,2.61,2.61,8583792
2009-03-17,2.67,2.8,2.5,2.78,2.78,7974951
2009-03-18,2.74,3.05,2.52,3.05,3.05,12266623
2009-03-19,3.2,3.2,2.69,2.7,2.7,7745882
2009-03-20,2.74,2.79,2.34,2.36,2.36,7390512
2009-03-23,2.63,3.2,2.43,2.95,2.95,14765009
2009-03-24,2.76,3.22,2.62,2.93,2.93,11363011
2009-03-25,4.09,4.95,4,4.92,4.92,22615112
2009-03-26,4.83,5.11,4.5,5.01,5.01,10715007
2009-03-27,4.59,4.89,4.24,4.25,4.25,9034862
2009-03-30,4.12,4.19,3.7,3.77,3.77,9200134
2009-03-31,3.84,4.07,3.66,4.03,4.03,11011976
2009-04-01,3.92,4.1,3.75,3.99,3.99,8230320
2009-04-02,4.1,4.73,4.05,4.66,4.66,15950382
2009-04-03,4.58,5.06,4.43,5.02,5.02,9051358
2009-04-06,4.89,4.91,4.5,4.82,4.82,6483547
2009-04-07,4.59,4.69,4.37,4.38,4.38,7352048
2009-04-08,4.72,4.72,4.3,4.57,4.57,5817064
2009-04-09,4.85,5.37,4.61,5.31,5.31,11014669
2009-04-13,5.19,5.97,5,5.8,5.8,10257521
2009-04-14,5.65,5.83,5.07,5.13,5.13,12226245
2009-04-15,5.11,5.56,5.02,5.5,5.5,9357567
2009-04-16,5.62,5.9,5.3,5.7,5.7,7347686
2009-04-17,5.68,6.13,5.37,5.97,5.97,9574112
2009-04-20,5.64,5.85,5.11,5.14,5.14,10346282
2009-04-21,5.01,5.87,4.8,5.79,5.79,11692756
2009-04-22,5.53,6.2,5.45,5.91,5.91,10862020
2009-04-23,5.9,6.24,5.655,6.22,6.22,8299432
2009-04-24,6.32,7.25,6.2,7.13,7.13,15141691
2009-04-27,6.91,6.91,6.28,6.4,6.4,8369860
2009-04-28,6.21,6.5,6.07,6.24,6.24,5607149
2009-04-29,6.32,6.95,6.12,6.57,6.57,13362225
2009-04-30,6.69,7.7,6.69,7.5,7.5,11728151
