Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,8.19,8.93,8.15,8.91,7.6673,6197215
2009-01-05,8.85,9,8.62,8.7,7.4868,8665282
2009-01-06,8.83,9.19,8.71,8.92,7.6759,13714939
2009-01-07,8.75,8.8,8.37,8.51,7.3234,10367246
2009-01-08,8.45,8.83,8.29,8.71,7.4951,9377401
2009-01-09,8.6,8.7701,8.36,8.4,7.2284,6402590
2009-01-12,8.5,8.5,7.74,7.82,6.7296,7797048
2009-01-13,7.84,7.84,7.42,7.59,6.5316,9576347
2009-01-14,7.43,7.55,7.04,7.22,6.213,7732630
2009-01-15,7.21,7.36,6.6399,7.1,6.1102,11894475
2009-01-16,7.23,7.41,6.89,7.2,6.1956,7592872
2009-01-20,7.19,7.28,6.45,6.48,5.5758,8156295
2009-01-21,6.6,7.15,6.55,7.14,6.1445,11501295
2009-01-22,6.7,6.88,6.37,6.44,5.5418,11825055
2009-01-23,6.26,6.63,6,6.5,5.5936,14897261
2009-01-26,6.29,6.59,5.93,6.12,5.2664,10073439
2009-01-27,6.15,6.4,6.08,6.13,5.2751,8204179
2009-01-28,6.29,6.65,6.07,6.51,5.6019,8305823
2009-01-29,6.43,6.43,5.93,6.02,5.1804,8387598
2009-01-30,6.13,6.16,5.68,5.72,4.9218,9872055
2009-02-02,5.63,5.88,5.49,5.8,4.9908,8346133
2009-02-03,5.8,5.94,5.52,5.85,5.0339,9847998
2009-02-04,5.79,6.16,5.7,5.76,4.9566,14912342
2009-02-05,5.75,6.2,5.6,5.99,5.1548,12318238
2009-02-06,6.01,6.67,5.93,6.4,5.5074,12639146
2009-02-09,6.4,6.46,6.15,6.22,5.3527,10068880
2009-02-10,6.13,6.22,5.62,5.67,4.8794,9810161
2009-02-11,5.75,6.07,5.66,5.88,5.06,9523461
2009-02-12,5.67,5.9,5.5,5.85,5.0339,9980758
2009-02-13,5.87,5.92,5.55,5.81,4.9997,11534161
2009-02-17,5.51,5.64,5.2,5.25,4.5179,10193090
2009-02-18,5.31,5.31,4.91,5.13,4.4145,23730204
2009-02-19,5.66,6.15,4.96,4.97,4.277,23081618
2009-02-20,4.85,5.15,4.73,4.89,4.2079,18315751
2009-02-23,5.06,5.06,4.795,4.9,4.2167,13761428
2009-02-24,4.81,5.3,4.69,5.2,4.4747,14509792
2009-02-25,5.17,5.24,4.77,4.98,4.285,13103125
2009-02-26,5.11,5.2,4.49,4.55,3.9153,14955619
2009-02-27,4.89,4.89,4.25,4.27,3.6743,15803270
2009-03-02,4.16,4.16,3.85,3.99,3.4334,16494359
2009-03-03,4.06,4.07,3.53,3.6,3.0976,22792702
2009-03-04,3.85,4.049,3.62,3.85,3.3133,22167969
2009-03-05,3.72,3.75,3.31,3.43,2.9515,16578464
2009-03-06,3.55,3.55,3.25,3.36,2.8915,11229744
2009-03-09,3.38,3.38,3.06,3.09,2.7029,9770603
2009-03-10,3.17,3.73,3.08,3.56,3.114,22482534
2009-03-11,3.6,3.93,3.41,3.75,3.2802,13153612
2009-03-12,3.75,4.07,3.525,4.02,3.516,17027279
2009-03-13,4.05,4.09,3.76,3.88,3.3938,11481494
2009-03-16,4,4.13,3.81,3.83,3.3503,9697506
2009-03-17,4,4.17,3.86,4.15,3.6299,11234514
2009-03-18,4.12,4.58,4.01,4.34,3.7962,16410257
2009-03-19,4.49,4.49,4.25,4.32,3.7784,9806439
2009-03-20,4.33,4.34,3.755,4.05,3.5426,12426591
2009-03-23,4.3,4.44,4.09,4.42,3.8662,9350419
2009-03-24,4.35,4.84,4.33,4.46,3.901,11683958
2009-03-25,4.6,4.8,4.23,4.39,3.84,10028815
2009-03-26,4.46,4.79,4.45,4.71,4.1196,10469130
2009-03-27,4.63,4.75,4.52,4.61,4.0324,6656840
2009-03-30,4.2,4.47,3.76,3.79,3.3154,16198629
2009-03-31,3.85,3.95,3.65,3.84,3.3588,9403812
2009-04-01,3.78,3.9,3.65,3.88,3.3938,8257805
2009-04-02,4.02,4.71,4,4.68,4.0933,19168079
2009-04-03,4.73,5.07,4.51,4.85,4.2421,13745790
2009-04-06,4.8,4.98,4.72,4.89,4.2773,9209389
2009-04-07,4.78,4.99,4.69,4.85,4.2421,7704553
2009-04-08,4.85,5.12,4.5,5.03,4.3995,11347293
2009-04-09,5.22,5.65,5.15,5.36,4.6882,14143011
2009-04-13,5.3,5.54,5.2,5.47,4.7842,6004728
2009-04-14,5.41,5.55,5.03,5.17,4.5224,11556871
2009-04-15,5.12,5.35,5.04,5.34,4.6709,5303805
2009-04-16,5.41,5.71,5.3,5.59,4.8892,6532731
2009-04-17,5.59,6.84,5.45,6.7,5.8602,29260319
2009-04-20,6.5,6.5,5.61,5.75,5.0295,18215024
2009-04-21,5.75,6.31,5.65,6.18,5.4057,10987719
2009-04-22,5.92,6.24,5.66,5.92,5.1783,11369423
2009-04-23,6,6.02,5.65,5.8,5.0733,8882043
2009-04-24,5.89,6.2725,5.81,6.22,5.4401,9019758
2009-04-27,6.12,6.24,5.94,6.01,5.2569,9994295
2009-04-28,5.92,6.02,5.79,5.86,5.1255,8400661
2009-04-29,5.93,6.47,5.88,6.35,5.5542,11413087
2009-04-30,6.61,7.65,6.47,7.04,6.1577,19597106
2009-05-01,7.08,7.39,6.85,7.19,6.2887,9633304
2009-05-04,7.22,7.38,7.07,7.2,6.2976,9496842
2009-05-05,7.19,7.5,7.11,7.33,6.4117,13406782
2009-05-06,7.35,8.2,7.35,7.98,6.9801,19231134
2009-05-07,8.26,8.63,7.73,8.06,7.0501,20309238
2009-05-08,7.84,8.795,7.46,8.55,7.4784,24692322
2009-05-11,8.12,8.21,7.57,7.62,6.665,13965219
2009-05-12,7.73,7.73,6.53,7.05,6.1664,22820776
2009-05-13,6.73,6.75,6.32,6.52,5.7029,17795327
2009-05-14,6.53,6.9903,6.47,6.84,5.983,12953524
2009-05-15,6.8,7.31,6.67,6.7,5.8602,15437498
2009-05-18,6.79,7.38,6.76,7.32,6.4026,12597605
2009-05-19,7.25,7.43,6.99,7.22,6.3155,13141340
2009-05-20,7.3,7.71,7.15,7.28,6.3678,12420349
2009-05-21,7.14,7.2,6.78,6.92,6.053,11868558
2009-05-22,7.04,7.21,6.78,7.01,6.1313,7690387
2009-05-26,7,7.29,6.83,7.19,6.2887,7863029
2009-05-27,7.18,7.37,6.97,6.98,6.1052,8732996
2009-05-28,7.13,7.14,6.77,6.99,6.114,9094120
2009-05-29,7.44,7.44,7.12,7.38,6.4552,11440498
2009-06-01,7.51,8.78,7.51,8.74,7.645,21356347
2009-06-02,8.69,8.69,8.24,8.65,7.566,12980582
2009-06-03,8.61,8.83,8.31,8.77,7.671,17786076
2009-06-04,8.89,9.15,8.71,8.92,7.802,13866236
2009-06-05,9.08,9.12,8.59,8.78,7.6797,12604528
2009-06-08,8.53,8.79,8.29,8.68,7.6366,8792657
2009-06-09,8.67,8.73,8.33,8.68,7.6366,8280084
2009-06-10,8.74,8.84,8.24,8.33,7.3283,11077224
2009-06-11,7.97,8.32,7.84,8.16,7.1788,18885167
2009-06-12,8.07,8.15,7.76,8.14,7.1613,7792668
2009-06-15,7.98,8.1,7.74,7.81,6.8707,7770378
2009-06-16,7.85,7.9,7.39,7.39,6.5016,8872141
2009-06-17,7.38,7.53,7.19,7.35,6.4663,6998036
2009-06-18,7.32,7.49,7.18,7.38,6.4923,6855624
2009-06-19,7.49,7.63,7.26,7.34,6.4571,7864841
2009-06-22,7.24,7.26,6.84,6.84,6.0173,7363659
2009-06-23,6.85,6.95,6.67,6.79,5.9735,10182448
2009-06-24,6.94,7.31,6.81,7.02,6.176,9170800
2009-06-25,6.93,7.24,6.93,7.21,6.3432,8179956
2009-06-26,7.17,7.2,6.69,7.07,6.2201,12866071
2009-06-29,6.93,7.32,6.92,7.22,6.3519,6217282
2009-06-30,7.15,7.28,6.79,6.92,6.088,8484042
2009-07-01,6.95,7.1,6.88,6.94,6.1054,4509205
2009-07-02,6.81,6.87,6.46,6.59,5.7975,7543139
2009-07-06,6.51,6.56,6,6.11,5.3754,17747296
2009-07-07,6.22,6.23,5.79,5.8,5.1026,7704389
2009-07-08,5.93,5.965,5.65,5.78,5.0849,15547959
2009-07-09,5.85,6.05,5.79,5.96,5.2434,9686502
2009-07-10,5.89,5.99,5.77,5.97,5.252,6823966
2009-07-13,6.02,6.06,5.75,5.98,5.2608,9045823
2009-07-14,6.05,6.26,5.94,6.23,5.4809,8440092
2009-07-15,6.46,6.63,6.34,6.56,5.7711,7999467
2009-07-16,6.55,6.77,6.51,6.75,5.9386,6329245
2009-07-17,6.64,6.82,6.53,6.75,5.9386,10547571
2009-07-20,7.07,7.43,7.02,7.43,6.5367,12366700
2009-07-21,7.46,7.64,7.14,7.23,6.3602,8009853
2009-07-22,7.17,7.47,7.09,7.29,6.4135,5640210
2009-07-23,7.29,7.88,7.24,7.8,6.8622,11083561
2009-07-24,7.72,7.86,7.55,7.83,6.8887,5934546
2009-07-27,7.83,8.07,7.715,8.05,7.0822,8194263
2009-07-28,7.78,8.26,7.69,7.99,7.0293,9251886
2009-07-29,7.82,7.95,7.58,7.72,6.7918,6824498
2009-07-30,7.7,8.14,7.7,8,7.038,8290026
2009-07-31,7.87,8.23,7.77,8.19,7.205,9961717
2009-08-03,8.14,9.15,8.12,8.91,7.8385,17355534
2009-08-04,8.63,9.02,8.52,8.93,7.8565,11750342
2009-08-05,8.96,8.99,8.53,8.86,7.7946,15097000
2009-08-06,8.91,9.14,8.46,8.54,7.5132,12176749
2009-08-07,9.56,11.23,9.56,10.81,9.5101,49699484
2009-08-10,10.47,11.65,10.32,11.13,9.7914,23749354
2009-08-11,10.98,11.02,10.46,10.59,9.3165,15069702
2009-08-12,10.55,11.0306,10.45,10.72,9.4312,13925850
2009-08-13,10.25,10.61,10.14,10.29,9.0528,13808596
2009-08-14,10.44,10.44,9.975,10.23,9.0001,8527549
2009-08-17,9.74,10.04,9.57,9.89,8.701,14857163
2009-08-18,9.94,10.15,9.85,9.87,8.6832,9013670
2009-08-19,9.7,10.48,9.57,10.36,9.1143,12706427
2009-08-20,10.45,10.66,10.35,10.55,9.2813,8236893
2009-08-21,10.7,10.935,10.555,10.74,9.4486,7963937
2009-08-24,10.74,11.17,10.73,11.01,9.686,9042680
2009-08-25,11.12,11.23,10.92,11.15,9.8093,10246120
2009-08-26,11.05,11.16,10.71,10.88,9.5718,9900070
2009-08-27,10.83,11.08,10.51,10.99,9.6685,8759933
2009-08-28,11.11,11.23,10.7,10.78,9.4837,8775549
2009-08-31,10.57,10.74,10.29,10.35,9.1054,8531341
2009-09-01,10.27,10.59,9.84,9.88,8.6918,9327662
2009-09-02,9.89,10.12,9.74,10.03,8.824,10196081
2009-09-03,10.14,10.29,9.99,10.27,9.0352,8099348
2009-09-04,10.27,10.62,10.16,10.6,9.3255,7258596
2009-09-08,10.73,10.91,10.66,10.83,9.572,8775848
2009-09-09,10.82,11.1,10.6,11.02,9.7398,9256565
2009-09-10,10.92,11.96,10.91,11.95,10.5616,16131396
2009-09-11,11.71,12.12,11.52,11.76,10.3938,16390612
2009-09-14,11.6,11.94,11.49,11.86,10.4822,9797244
2009-09-15,12.28,12.6,12.14,12.43,10.9863,21567057
2009-09-16,12.46,13.09,12.23,12.74,11.2596,27889839
2009-09-17,12.67,13.16,12.27,12.44,10.9948,14712515
2009-09-18,12.53,12.71,12.25,12.6,11.136,11167789
2009-09-21,12.42,12.5,11.96,12.38,10.9421,13095982
2009-09-22,12.52,12.76,12.42,12.65,11.1806,7702645
2009-09-23,12.71,12.78,12.08,12.09,10.6853,8671845
