Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,19.28,19.44,18.71,19.36,19.36,1507626
2009-01-05,19.19,19.85,18.82,19.34,19.34,1593762
2009-01-06,19.59,20.07,19.05,19.21,19.21,1739810
2009-01-07,19.11,19.11,18.63,18.84,18.84,1670675
2009-01-08,18.88,19.22,18.59,19.21,19.21,1369877
2009-01-09,19.24,19.33,18.39,18.8,18.8,1490529
2009-01-12,19.02,19.02,18.4,18.56,18.56,1703557
2009-01-13,18.64,19.04,18.28,18.79,18.79,1864583
2009-01-14,18.21,18.52,18.03,18.15,18.15,2117676
2009-01-15,18.01,18.89,17.48,18.49,18.49,2545264
2009-01-16,18.7,19.2,18.6,18.87,18.87,2610606
2009-01-20,18.84,18.92,17.66,17.89,17.89,2311962
2009-01-21,18.09,18.48,17.72,18.47,18.47,1678136
2009-01-22,18.14,18.4,17.61,17.87,17.87,3337137
2009-01-23,17.4,18.47,17.35,18.23,18.23,2115908
2009-01-26,18.36,18.66,18,18.24,18.24,1744339
2009-01-27,18.52,18.55,18.04,18.5,18.5,1106218
2009-01-28,18.82,19.06,18.55,18.96,18.96,1933057
2009-01-29,18.92,19.13,18.59,18.84,18.84,1443424
2009-01-30,18.84,19.16,18.65,18.75,18.75,2559531
2009-02-02,18.67,19.01,18.36,18.55,18.55,3123078
2009-02-03,19.75,20.37,19.31,20,20,5446211
2009-02-04,20.24,21.19,20.01,20.73,20.73,4458607
2009-02-05,20.6,21.67,20.37,20.88,20.88,4643327
2009-02-06,20.94,21.68,20.91,21.46,21.46,2877839
2009-02-09,21.55,21.86,21.25,21.5,21.5,1754407
2009-02-10,21.3,21.69,20.66,20.86,20.86,2728778
2009-02-11,21.02,21.47,20.78,21.12,21.12,2228285
2009-02-12,21.01,22,20.67,21.95,21.95,1973362
2009-02-13,21.76,22.18,21.64,21.68,21.68,1942868
2009-02-17,21.16,21.4,20.85,20.91,20.91,1841279
2009-02-18,21.21,21.28,20.6,20.99,20.99,2469342
2009-02-19,21.1,21.15,20.74,20.94,20.94,2054679
2009-02-20,20.49,20.92,20.31,20.75,20.75,2140782
2009-02-23,20.96,21.17,19.89,19.99,19.99,1797835
2009-02-24,20.37,21.03,20,20.82,20.82,2079236
2009-02-25,20.95,21.48,20.58,21,21,2457780
2009-02-26,21.29,21.7,20.85,21.02,21.02,1913543
2009-02-27,20.47,21.61,20.38,21.08,21.08,2438630
2009-03-02,20.54,21.13,20.02,20.16,20.16,2172945
2009-03-03,20.56,20.6,19.72,20,20,1848904
2009-03-04,21.03,21.57,20.9,21.18,21.18,4544665
2009-03-05,20.66,21.44,20.66,21.14,21.14,3533843
2009-03-06,21.14,21.37,20.11,20.66,20.66,2214846
2009-03-09,20.32,20.76,19.74,19.95,19.95,2057094
2009-03-10,20.27,20.77,20.06,20.77,20.77,2384455
2009-03-11,20.99,21.21,20.61,20.93,20.93,1980079
2009-03-12,20.86,21.6,20.78,21.52,21.52,1131486
2009-03-13,21.73,22.33,21.48,22.19,22.19,1815923
2009-03-16,22.16,22.51,21.23,21.32,21.32,2895464
2009-03-17,21.4,21.8,21.17,21.59,21.59,2375875
2009-03-18,21.28,22.26,21.15,22.09,22.09,2025519
2009-03-19,22.18,22.5,21.77,21.88,21.88,1292967
2009-03-20,22,22,21.11,21.33,21.33,1015875
2009-03-23,21.83,21.86,20.71,21.15,21.15,2533706
2009-03-24,21.01,21.46,20.8,20.98,20.98,1638586
2009-03-25,21.03,21.58,20.59,21.58,21.58,2809794
2009-03-26,21.6,22.16,21.27,22.08,22.08,2603176
2009-03-27,21.7,22.19,21.42,21.61,21.61,1707228
2009-03-30,21.16,22.25,21.0351,22.15,22.15,1984037
2009-03-31,22.58,23.15,22.33,22.73,22.73,2349076
2009-04-01,22.54,22.96,22.14,22.52,22.52,2970714
2009-04-02,23.01,23.24,22.6,22.76,22.76,2742544
2009-04-03,22.82,23.14,22.12,22.64,22.64,2374261
2009-04-06,22.55,22.76,22.17,22.34,22.34,1878796
2009-04-07,22.18,22.31,21.89,21.93,21.93,1562074
2009-04-08,22.12,22.3,21.85,22.21,22.21,2209720
2009-04-09,22.7,22.87,21.97,22.2,22.2,2206787
2009-04-13,21.98,22.19,21.585,21.93,21.93,3738098
2009-04-14,21.79,22.31,21.59,21.89,21.89,2170922
2009-04-15,21.91,22.75,21.79,22.47,22.47,3336623
2009-04-16,23.4,24.59,23.21,24.15,24.15,6977241
2009-04-17,24.39,24.39,23.84,23.93,23.93,2567494
2009-04-20,23.21,23.71,23.21,23.4,23.4,3356242
2009-04-21,23.24,23.87,23.04,23.83,23.83,2922497
