Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,24.18,25.64,24.18,25.55,19.3527,3442221
2009-01-05,25.08,25.34,24.34,25.08,18.9968,5064818
2009-01-06,25.52,25.76,25.04,25.22,19.1029,4524418
2009-01-07,24.5,24.79,23.82,24.21,18.338,3478750
2009-01-08,24.03,24.18,23.32,24.13,18.2773,3263067
2009-01-09,24.71,24.86,23.21,23.61,17.8836,4282775
2009-01-12,23.42,23.48,22.28,22.49,17.0348,3326519
2009-01-13,22.09,22.85,22.05,22.7,17.194,5321444
2009-01-14,22.22,22.27,21.34,21.72,16.4516,5528161
2009-01-15,21.05,21.47,20.11,20.95,15.8686,7470235
2009-01-16,21.26,21.55,20.3,21.11,15.9897,5485285
2009-01-20,20.39,20.74,19.09,19.11,14.4753,6941255
2009-01-21,19.61,19.96,18.92,19.88,15.058,7317656
2009-01-22,19.26,19.86,18.98,19.44,14.7248,8031042
2009-01-23,18.85,19.59,18.6,19.38,14.6795,7018393
2009-01-26,19.19,19.88,18.8,19.04,14.4221,6235768
2009-01-27,19.34,19.89,19.24,19.58,14.8308,3246048
2009-01-28,20.12,20.32,19.15,19.97,15.1266,8958724
2009-01-29,19.25,19.46,18.48,18.6,14.0885,11436728
2009-01-30,18.95,19.1,18.14,18.19,13.7782,9391654
2009-02-02,17.8,18.16,17.59,18.01,13.6417,4926288
2009-02-03,18.43,19.09,17.84,18.89,14.3086,6135367
2009-02-04,19.07,19.56,18.41,18.48,13.9979,5248619
2009-02-05,18.92,19.56,18.505,19.33,14.6415,5781583
2009-02-06,19.71,21.09,19.52,20.7,15.6794,6674955
2009-02-09,20.59,21.63,20.24,21.45,16.2475,7033169
2009-02-10,20.84,21.669,20.7875,21.21,16.0657,12068519
2009-02-11,21.2,21.99,21.11,21.64,16.3914,8124120
2009-02-12,21.13,21.3,20.2,21.2,16.058,7184964
2009-02-13,21.07,21.54,20.83,20.87,15.8079,6051424
2009-02-17,20,20.34,19.64,20.02,15.1645,6397807
2009-02-18,20,20.03,19.37,19.72,14.9369,6303078
2009-02-19,19.91,20.13,19.27,19.39,14.6871,4502106
2009-02-20,18.99,19.72,18.83,19.4,14.6945,6825636
2009-02-23,19.79,19.82,18.51,18.57,14.0656,7044483
2009-02-24,19.12,20.71,18.9,20.25,15.3382,9739544
2009-02-25,20.63,20.63,19.5,19.79,14.9902,9629601
