Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,54.94,56.6,53.64,56.49,28.245,3372984
2009-01-05,56.47,56.49,54.02,54.36,27.18,4803868
2009-01-06,54.05,54.25,50.18,50.47,25.235,11081532
2009-01-07,50.1,51.87,50.01,51.5,25.75,6529618
2009-01-08,49.87,51.11,48.51,51.11,25.555,6682660
2009-01-09,51.066,51.63,49.1,50.27,25.135,6429925
2009-01-12,50.29,51.39,48.39,49.67,24.835,9992510
2009-01-13,49.21,51.68,49.21,50.36,25.18,5658695
2009-01-14,50.11,50.39,48.37,48.62,24.31,5424887
2009-01-15,48.56,50.2,47.91,49.92,24.96,5308700
2009-01-16,50.7,50.71,49.15,50.25,25.125,5962080
2009-01-20,49.82,50.75,48.33,48.33,24.165,5394544
2009-01-21,48.82,49.9,47.58,49.8,24.9,5024316
2009-01-22,48.6,50.13,48.17,49.19,24.595,4576019
2009-01-23,48.5,50.14,48.07,49.55,24.775,4256357
2009-01-26,49.6,51.18,49.39,50.34,25.17,3394121
2009-01-27,51,51.65,50.01,51.25,25.625,3715992
2009-01-28,51.62,52.5,50.76,52.2,26.1,4393535
2009-01-29,51.59,53.37,51.46,52.13,26.065,3863624
2009-01-30,52.9,53.95,51.69,52.95,26.475,5704325
2009-02-02,52.84,53.88,52.46,53.47,26.735,3856240
2009-02-03,53.18,53.59,52.28,53.16,26.58,5098216
2009-02-04,53.18,54.25,52.5,53.51,26.755,4706562
2009-02-05,52.96,55.2,52.5,55.08,27.54,5245826
2009-02-06,55.19,56.05,54.46,55.35,27.675,5843779
2009-02-09,55.06,55.35,53.77,54.29,27.145,3537719
2009-02-10,54,54.84,52.18,52.48,26.24,5071077
2009-02-11,52.86,53.35,51.63,52.48,26.24,3619609
2009-02-12,52.12,53.3,51.52,53.3,26.65,4222955
2009-02-13,52.86,53.5,52.05,52.31,26.155,2484066
2009-02-17,51.49,52.67,50.12,51.87,25.935,5225535
2009-02-18,52.38,53.24,51.8,52.94,26.47,4549031
2009-02-19,53.44,54.24,53.09,53.48,26.74,4229423
2009-02-20,53.34,54.5,52.96,53.99,26.995,6731690
2009-02-23,54.26,54.61,52.44,52.75,26.375,5255438
2009-02-24,52.8,54,51.37,52.79,26.395,7122520
