Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,56.15,56.15,54.87,55.59,11.8351,518688
2009-01-05,55.28,55.83,54.97,55.35,11.784,454639
2009-01-06,55.37,56,54.69,55.12,11.735,426235
2009-01-07,54.34,55.54,54,54.19,11.5371,483072
2009-01-08,53.88,54.44,53.82,54.2,11.5392,512292
2009-01-09,54.12,54.12,53.05,53.35,11.3582,379861
2009-01-12,53.27,53.27,52.45,53.09,11.3029,470740
2009-01-13,53.09,53.53,52.23,52.73,11.2262,293731
2009-01-14,52.12,52.36,51.39,52.03,11.0772,471266
2009-01-15,52.05,53.58,51.86,52.76,11.2326,653874
2009-01-16,53.18,53.98,52.26,53.64,11.4199,507529
2009-01-20,53.64,54.36,52.72,52.84,11.2496,475755
2009-01-21,53.2,53.35,52.12,53.35,11.3582,618705
2009-01-22,52.75,53.25,51.79,52.99,11.2815,510410
2009-01-23,52.32,53.48,51.92,53.23,11.3327,698019
2009-01-26,53.16,54.18,53.12,53.48,11.3859,452953
2009-01-27,53.85,54.2,53.08,53.84,11.4625,510431
2009-01-28,54.5,55.26,54.33,55.14,11.7394,481487
2009-01-29,54.8,55.54,54.1,54.5,11.6031,437613
2009-01-30,54.73,54.97,52.98,53.23,11.3327,705489
2009-02-02,52.97,54.19,52.91,53.99,11.4945,597144
2009-02-03,54.25,54.45,53.15,54.27,11.554,608136
2009-02-04,54.5,54.84,53.66,53.95,11.486,741957
2009-02-05,53.51,53.86,51.89,52.5,11.1959,1341708
2009-02-06,52.37,53.5,51.89,53.36,11.3794,718660
2009-02-09,53.36,53.42,52.3,52.57,11.2108,433805
2009-02-10,52.12,52.45,51.08,51.82,11.051,940091
2009-02-11,52.31,52.47,51.49,52.3,11.1533,413736
2009-02-12,51.51,52.28,50.94,52.28,11.149,709302
2009-02-13,52.17,52.34,51.22,51.44,10.9699,594506
2009-02-17,50.61,51.71,49.92,51.08,10.8931,804705
2009-02-18,51.08,51.27,50.4,50.93,10.8611,562407
2009-02-19,51.22,51.25,50.55,50.9,10.8547,414564
2009-02-20,50.25,50.95,49.67,50.02,10.6671,509703
2009-02-23,50.46,50.72,48.89,48.93,10.4346,502856
2009-02-24,49.3,50.35,49.11,50.14,10.6926,725066
2009-02-25,50.06,50.43,48.55,49.05,10.4602,636446
2009-02-26,49.51,49.55,48.27,48.52,10.3471,520951
2009-02-27,48,49.52,47.76,48.92,10.4325,615144
2009-03-02,48.23,48.61,47.01,47.1,10.0444,686677
2009-03-03,47.5,47.95,46.53,47.05,10.0337,582579
2009-03-04,47.35,48.51,47.02,47.8,10.1936,475197
2009-03-05,47.16,47.59,46.26,46.9,10.0015,578488
2009-03-06,47.06,47.2,45.41,46.86,9.9931,773118
2009-03-09,46.39,47.09,45.9701,46.28,9.8694,530712
2009-03-10,46.15,46.95,45.85,46.82,9.9847,608794
2009-03-11,47,48.34,46.82,47.46,10.1212,767393
2009-03-12,47.5,49.06,47.3401,48.97,10.4431,827365
2009-03-13,49.28,50.04,49,49.85,10.6307,480929
2009-03-16,50.36,51.57,50.34,50.78,10.8292,618466
2009-03-17,50.61,51.25,50.05,51.25,10.9294,611609
2009-03-18,51,51.97,50.13,51.36,10.9529,709384
2009-03-19,51.48,51.65,50.06,50.53,10.7757,642804
2009-03-20,50.67,51.12,50.15,50.44,10.7566,627157
2009-03-23,51.13,51.55,50.6,51.55,10.9933,668401
2009-03-24,50.98,52.1,50.98,51.81,11.0487,1094741
2009-03-25,52.25,52.3225,49.73,50.83,10.8398,1511891
2009-03-26,51.08,51.2,49.25,50.85,10.8441,1016879
2009-03-27,50.59,52.4295,50.59,51.43,10.9678,619804
2009-03-30,52.52,52.71,51.51,52.11,11.1128,882235
2009-03-31,52.63,52.84,52.09,52.23,11.1383,740839
2009-04-01,51.65,52.23,51.22,52.1,11.1106,764277
2009-04-02,52.93,54.58,52.31,53.76,11.4646,1150881
