Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,16.24,17.36,16.09,17.27,14.8955,14065097
2009-01-05,17.6,18.67,17.26,18.13,15.6373,21072848
2009-01-06,19.05,19.78,18.75,19.09,16.4653,24805378
2009-01-07,18.43,19.2,17.85,18.29,15.7755,18745448
2009-01-08,17.81,18.25,17.43,17.61,15.1889,20258479
2009-01-09,17.75,17.76,16.539,16.68,14.3867,17807397
2009-01-12,16.28,16.44,15.82,16.05,13.8434,13348239
2009-01-13,15.99,16.73,15.75,16.25,14.0161,17369277
2009-01-14,15.87,15.96,15.13,15.41,13.2913,17366736
2009-01-15,15.21,15.55,13.585,15.33,13.2221,23427109
2009-01-16,15.91,16.08,14.9,15.26,13.162,14770058
2009-01-20,14.99,15.41,13.7,13.74,11.8511,21614415
2009-01-21,14.28,15.21,13.82,15.13,13.0496,18596705
2009-01-22,14.77,14.77,13.76,14.2,12.2475,17502730
2009-01-23,13.69,14.98,13.5,14.9,12.8515,17847971
2009-01-26,14.8,16.24,14.75,15.8,13.6276,22406500
2009-01-27,15.84,16.14,15.1654,15.64,13.4895,15070210
2009-01-28,15.67,17.13,15.58,16.75,14.4471,23498818
2009-01-29,16.18,17.17,16.05,16.7,14.4042,17172965
2009-01-30,17.16,17.16,15.67,15.81,13.6363,18322323
2009-02-02,15.5,15.99,15.07,15.76,13.5932,12035638
2009-02-03,15.96,16.58,15.75,16.48,14.2142,14462408
2009-02-04,16.74,17.34,16.55,17.09,14.7403,16331272
2009-02-05,16.98,17.97,16.6,17.89,15.4303,17316911
2009-02-06,17.65,18.36,17.46,18.11,15.6201,15443555
2009-02-09,18.74,19.3,18.6,18.87,16.2756,16119613
2009-02-10,18.89,19.5,17.75,17.99,15.5166,20816486
2009-02-11,18.13,18.52,17.44,18.03,15.5509,15634122
2009-02-12,17.63,18.52,17.34,18.43,15.8961,15273404
2009-02-13,18.3,19.02,18.25,18.6,16.0425,13794494
2009-02-17,17.73,17.85,16.97,17.12,14.7661,15653419
2009-02-18,16.91,17.2,15.8,16.38,14.1278,20595425
2009-02-19,16.95,17.18,16.25,16.72,14.4212,16343496
2009-02-20,16.21,16.58,15.39,15.7,13.5413,20368109
2009-02-23,16.31,16.34,14.77,14.84,12.7995,17033317
2009-02-24,15.18,15.81,14.71,15.59,13.4465,19970681
2009-02-25,15.71,16.5,15,16.04,13.8344,16789760
2009-02-26,16.49,16.9,14.89,15.44,13.317,27644197
2009-02-27,15.16,16.1,14.81,15.64,13.4895,19271220
2009-03-02,15.14,15.46,13.39,13.5,11.644,20245300
2009-03-03,13.81,14.51,13.27,13.98,12.0578,17585135
2009-03-04,14.6,15.02,14.41,14.76,12.7307,14278762
2009-03-05,14.31,15.32,14.11,14.46,12.472,17097561
2009-03-06,14.56,15.15,13.48,14.06,12.1271,14877852
2009-03-09,13.92,14.85,13.7,14.06,12.1271,12263822
