Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,16.91,17.91,16.78,17.79,17.64,3099613
2009-01-05,17.7,18.78,17.28,18.15,17.997,4649136
2009-01-06,17.66,18.27,17.52,18.17,18.0167,4733196
2009-01-07,17.87,18.05,17,17.09,16.946,3870642
2009-01-08,17.04,17.52,16.72,17.39,17.2435,2715367
2009-01-09,17.61,17.68,16.53,16.71,16.5691,3113468
2009-01-12,16.67,17.16,15.83,16.03,15.8949,3213788
2009-01-13,14.77,16.51,14.77,15.42,15.29,8594453
2009-01-14,15.04,15.04,14.31,14.66,14.5363,3612046
2009-01-15,14.64,14.97,14.01,14.72,14.5959,5585351
2009-01-16,14.81,15.67,14.72,15.27,15.1413,6182457
2009-01-20,15.23,15.97,14.04,14.11,13.991,5366948
2009-01-21,14.97,15.06,14.04,14.85,14.7249,4305048
2009-01-22,14.52,15.45,14.1,14.95,14.824,7596324
2009-01-23,14.13,15.78,14.12,15.52,15.389,3050810
2009-01-26,15.64,16.11,15.34,15.6,15.4685,2971365
2009-01-27,15.73,16.63,15.65,16.55,16.4104,4231177
2009-01-28,16.01,18.82,16.01,18.29,18.1357,9245581
2009-01-29,18.12,18.25,17.29,17.6,17.4515,4551336
2009-01-30,17.62,17.78,16.66,17.36,17.2136,5034058
2009-02-02,17.01,18.05,16.79,17.66,17.5112,6082406
2009-02-03,17.87,18.58,17.6,18.37,18.2151,5254692
2009-02-04,18.36,18.63,17.57,18.02,17.8678,5236138
2009-02-05,18.44,21.78,18.44,21.39,21.2096,12772530
2009-02-06,21.46,22.5,20.69,21.73,21.5467,5681673
2009-02-09,22,23.06,21.37,22.25,22.0625,4128757
2009-02-10,21.88,22.25,20.07,20.53,20.357,6667725
2009-02-11,20.69,21.24,20.32,21.14,20.9618,4292360
2009-02-12,20.41,21.83,20,21.49,21.3088,4641753
2009-02-13,21.48,21.96,20.98,21.3,21.1204,3719995
2009-02-17,20.5,20.93,19.75,19.92,19.7521,5119478
2009-02-18,20.08,20.89,19.595,20.6,20.4263,8543472
2009-02-19,20.98,21.39,19.19,19.22,19.0578,6834248
2009-02-20,18.8,19.33,18.05,18.67,18.5125,7490193
2009-02-23,18.23,18.99,16.86,17.72,17.5706,9185489
2009-02-24,18.02,18.89,17.86,18.8,18.6415,8281149
2009-02-25,18.71,18.75,17.46,17.92,17.769,6033421
2009-02-26,18.19,18.19,15.76,16.39,16.2516,9547543
2009-02-27,15.94,17.14,15.58,15.76,15.6272,7636062
2009-03-02,15.65,15.65,13.58,14.03,13.9116,9813356
2009-03-03,14.45,14.98,13.02,13.33,13.2176,9368982
2009-03-04,13.69,14.75,13.29,14.34,14.2191,6897214
2009-03-05,13.96,14.14,12.68,12.87,12.7614,5878158
2009-03-06,13.01,13.62,12.74,13.44,13.3266,7622917
2009-03-09,13.4,14.18,12.91,13.61,13.5351,4825718
2009-03-10,14.26,15.55,13.84,15.32,15.2356,6469028
2009-03-11,15.46,15.86,14.975,15.29,15.2058,6078459
2009-03-12,15.28,17,15.18,16.54,16.449,6663619
2009-03-13,16.65,17.52,16.65,17.24,17.1451,5121733
2009-03-16,17.36,17.95,16.62,16.67,16.5782,5365236
2009-03-17,16.74,17.26,16.4,17.25,17.155,4366557
2009-03-18,17.13,19.33,16.78,18.5,18.398,8644801
2009-03-19,18.82,19.2,17.51,17.82,17.7218,5758930
2009-03-20,17.87,17.9,16.85,17.26,17.165,4736164
2009-03-23,17.83,18.87,17.56,18.72,18.617,5680598
2009-03-24,18.03,18.71,17.73,17.76,17.6621,4004057
2009-03-25,18.35,18.48,17.37,17.75,17.6521,4591306
2009-03-26,17.99,18.71,17.8001,18.64,18.5374,3121038
2009-03-27,18.44,18.52,17.82,17.9,17.8014,3154866
2009-03-30,17.35,17.6,16.7,17.13,17.0355,4724526
2009-03-31,17.51,18.21,17.06,17.59,17.4931,4140378
2009-04-01,17.2,18.29,16.84,17.89,17.7915,4763083
2009-04-02,18.43,19.25,18.28,18.6,18.4975,4855052
2009-04-03,18.59,19.01,17.77,18.34,18.2389,4245513
2009-04-06,18.13,18.99,17.71,17.9,17.8014,3980457
2009-04-07,17.49,18.36,16.89,17.85,17.7518,5223112
2009-04-08,18.28,19.26,17.98,19.03,18.9252,4902811
2009-04-09,19.41,20.63,19.32,20.45,20.3374,5146646
2009-04-13,20.51,21.31,20.3,20.43,20.3174,4430767
2009-04-14,19.84,20.38,19.47,19.56,19.4522,3570482
2009-04-15,19.53,20.79,19.51,20.75,20.6357,5960195
2009-04-16,20.62,21.64,20.1,21.22,21.1031,7099787
2009-04-17,21.38,21.8,20.83,21.41,21.292,3742989
2009-04-20,21.07,21.35,19.97,20.05,19.9396,3251233
2009-04-21,20.35,20.86,19.42,20.12,20.0091,2938467
2009-04-22,19.73,20.52,19.51,20.02,19.9099,2389309
2009-04-23,20.12,20.52,18.95,19.57,19.4622,2880673
2009-04-24,19.46,20.14,19.16,19.58,19.4722,2716609
2009-04-27,20.09,20.79,19.49,19.5,19.3926,3711821
2009-04-28,19.33,21.18,19.33,20.39,20.2777,4424055
2009-04-29,20.34,21.32,19.83,20.77,20.6556,3807026
2009-04-30,19.8,21.13,19.35,19.71,19.6013,5735041
2009-05-01,19.75,20,19.32,19.49,19.3826,2920870
2009-05-04,19.94,19.94,18.55,19.31,19.2035,4898841
2009-05-05,19.5,19.98,19.02,19.23,19.1241,5709771
2009-05-06,19.5,20.155,19.02,20.07,19.9594,5152857
2009-05-07,20.28,23.49,20.15,22.34,22.2168,10635033
2009-05-08,23.51,24.63,23.47,23.68,23.5496,7163031
2009-05-11,23.77,23.77,21.37,21.43,21.312,5669398
2009-05-12,21.63,22,20.9,21.5,21.3816,3101319
2009-05-13,21.22,22.26,20.8,21.21,21.0931,4902352
2009-05-14,21.74,22.23,21.02,21.86,21.7397,5318648
2009-05-15,21.81,22.98,21.48,21.66,21.5406,4481800
2009-05-18,21.9,21.91,20.76,21.47,21.3518,5471653
2009-05-19,21.47,21.92,20.94,21,20.8843,3601368
2009-05-20,21.28,21.98,20.85,20.94,20.8246,3236595
2009-05-21,20.61,21.74,20.455,20.74,20.6258,4399608
2009-05-22,20.65,20.97,19.89,19.93,19.8202,3205586
2009-05-26,19.78,20.67,19.32,20.47,20.3573,3735719
2009-05-27,20.31,21.04,20.19,20.33,20.218,3652030
2009-05-28,20.535,22.2,20.535,21.89,21.7694,7796358
2009-05-29,21.85,22.3,21.2,22.17,22.0479,4728186
