Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,34.235,34.855,33.85,34.66,13.4293,6090600
2009-01-05,34.545,34.62,33.77,34.015,13.1794,7160800
2009-01-06,34.01,34.38,33.16,33.25,12.8831,9178400
2009-01-07,32.925,33.23,32.79,32.96,12.7705,6319000
2009-01-08,32.885,33.105,32.4,32.77,12.6971,7237800
2009-01-09,32.69,32.99,32.375,32.45,12.573,6939800
2009-01-12,32.59,32.93,32.4,32.795,12.7068,6264000
2009-01-13,32.825,33.035,31.995,32.225,12.486,7967000
2009-01-14,32.06,32.125,31.1,31.41,12.1702,7007600
2009-01-15,31.37,31.625,30.835,31.53,12.2166,6604400
2009-01-16,31.86,31.94,31.22,31.77,12.3095,8621800
2009-01-20,31.73,32.155,31.25,31.28,12.1196,8358400
2009-01-21,31.505,31.785,30.98,31.715,12.2883,6846800
2009-01-22,31.275,31.495,30.67,31.285,12.1987,7801600
2009-01-23,30.945,31.07,30.3,30.84,12.025,7613200
2009-01-26,30.84,31.16,30.585,30.89,12.0445,4914200
2009-01-27,30.99,31.45,30.975,31.11,12.1303,6133200
2009-01-28,31.315,32.17,31.095,31.925,12.4483,8023400
2009-01-29,32.25,33.5,32.215,32.61,12.7152,10304400
2009-01-30,32.77,32.98,32.345,32.52,12.6802,9636600
2009-02-02,32.26,32.6,31.705,32.17,12.5437,6558400
2009-02-03,32.32,33.125,32.15,32.88,12.8205,7202600
2009-02-04,33.04,33.44,31.865,32.03,12.4889,8991200
2009-02-05,31.895,32.385,31.465,32.21,12.5593,8184200
2009-02-06,32.295,32.955,32.21,32.83,12.801,5313600
2009-02-09,32.71,32.995,31.81,32.075,12.5065,7440800
2009-02-10,31.965,32.33,31.095,31.32,12.2121,6832000
2009-02-11,31.51,31.635,31.135,31.45,12.263,4242200
2009-02-12,31.345,31.655,30.845,31.655,12.3428,4379200
2009-02-13,31.615,32.08,31.43,31.565,12.3075,5013600
2009-02-17,31.2,31.24,30.3,30.55,11.9118,6260400
2009-02-18,30.76,30.875,30.25,30.445,11.8708,5025200
2009-02-19,30.64,30.87,30.23,30.36,11.8379,4831800
2009-02-20,30.055,30.37,29.62,29.74,11.5962,9235600
2009-02-23,29.755,30.045,29.175,29.2,11.3854,6735800
2009-02-24,29.38,29.89,29.165,29.76,11.604,6594200
2009-02-25,29.665,29.83,29.26,29.43,11.4752,6509000
2009-02-26,29.56,30,29.375,29.67,11.5688,8933000
2009-02-27,29.435,30.49,29.135,30.09,11.7325,9568400
2009-03-02,29.745,29.77,29.02,29.07,11.3349,8626600
2009-03-03,29.205,29.4,28.5,28.66,11.1751,7474400
2009-03-04,28.94,29.715,28.56,29.3,11.4245,7195200
2009-03-05,28.77,29,27.78,28.015,10.9236,7896400
2009-03-06,28.11,28.655,27.4,28.025,10.9275,9560000
2009-03-09,27.735,27.905,27.255,27.525,10.7326,8615000
2009-03-10,27.895,27.95,27.455,27.92,10.8865,9061200
2009-03-11,28.05,28.5,27.93,28.19,10.9918,5569200
2009-03-12,28.115,28.31,27.66,28.255,11.0171,9433400
2009-03-13,28.435,28.9,28.13,28.81,11.2336,6373400
2009-03-16,29.07,29.265,28.595,28.66,11.1751,6898400
2009-03-17,28.63,29.515,28.61,29.455,11.485,5401000
2009-03-18,29.335,29.36,28.695,28.87,11.2569,7761400
2009-03-19,29,29.115,28.555,28.655,11.173,6654200
2009-03-20,28.685,29.275,28.675,28.685,11.1846,7520800
2009-03-23,29.085,29.66,28.87,29.655,11.563,5760000
2009-03-24,29.39,29.775,29.225,29.235,11.3991,6087800
2009-03-25,29.505,29.87,29.25,29.615,11.5474,6344000
2009-03-26,29.8,30.175,29.41,30.145,11.754,8249600
2009-03-27,29.79,30.11,29.55,29.755,11.602,4654600
2009-03-30,29.5,29.555,28.95,29.395,11.4616,5664200
2009-03-31,29.53,29.895,29.29,29.49,11.4987,5539200
2009-04-01,29.065,29.53,28.5,29.4,11.4637,10762400
2009-04-02,29.575,30.925,29.575,30.615,11.9373,11422400
2009-04-03,30.715,30.755,29.9,30.22,11.7831,7900400
2009-04-06,30.105,30.605,30.01,30.555,11.9138,5404600
2009-04-07,30.23,30.43,29.97,30.165,11.762,5179600
2009-04-08,30.195,30.46,29.875,30.31,11.8184,6959600
2009-04-09,30.42,30.64,29.43,29.9,11.6586,8280600
2009-04-13,29.895,29.895,29.125,29.245,11.4032,7106400
2009-04-14,29.225,29.23,28.585,28.645,11.1693,7471600
2009-04-15,28.575,29.025,28.575,29.015,11.3133,7496000
2009-04-16,29.195,29.76,29.08,29.61,11.5455,8947600
2009-04-17,29.72,30.66,29.46,30.41,11.8573,9646600
2009-04-20,30.3,30.565,30.115,30.24,11.7909,6097000
2009-04-21,30.08,30.665,30.05,30.3,11.8145,5864000
2009-04-22,30.03,30.105,29.565,29.615,11.6316,7943800
2009-04-23,29.53,29.735,29.185,29.485,11.5806,6511000
2009-04-24,29.645,29.785,29.205,29.58,11.6182,5394600
2009-04-27,29.54,30.1,29.395,29.685,11.6593,6155200
2009-04-28,29.62,29.845,29.315,29.49,11.5828,4782200
2009-04-29,29.655,30.03,29.465,29.855,11.7261,7450200
2009-04-30,30.22,30.22,29.09,29.5,11.5866,11936200
2009-05-01,29.56,30.99,29.415,30.7,12.058,14063000
2009-05-04,30.905,31.25,30.745,31.135,12.2288,8247400
2009-05-05,31.29,31.29,30.51,30.78,12.0895,8345800
2009-05-06,31.065,31.15,30.425,30.675,12.0483,8936400
2009-05-07,30.85,31.075,30.605,30.935,12.1502,9419400
2009-05-08,31.17,31.225,30.555,30.91,12.1407,6750400
2009-05-11,30.61,31.195,30.5,31.095,12.2132,7236000
2009-05-12,31.17,31.795,31,31.73,12.4625,9083000
2009-05-13,31.525,32.205,31.25,32.07,12.5962,12716800
2009-05-14,32.125,32.205,31.575,31.72,12.4586,8056600
2009-05-15,31.715,32.01,31.595,31.745,12.4684,6349600
