Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,55.9,56.5,55.35,56.37,40.75,870278
2009-01-05,56.36,56.6,55.81,56.23,40.6487,1109147
2009-01-06,56.36,56.38,54.98,55.53,40.1424,1707968
2009-01-07,55,55.85,54.22,54.62,39.4849,1748180
2009-01-08,54.36,54.44,53.27,54.44,39.3548,1745744
2009-01-09,54.34,54.5,52.86,52.9,38.2413,1190774
2009-01-12,53.02,53.14,52.37,52.67,38.0751,1264132
2009-01-13,52.81,53.3,52,52.53,37.9737,1474870
2009-01-14,52.05,52.24,50.76,51.41,37.1641,1962532
2009-01-15,51.38,51.75,50.25,50.93,36.8172,1882290
2009-01-16,51.48,51.96,51.11,51.36,37.1283,2118482
2009-01-20,51.21,51.7875,50.22,50.3,36.362,1647972
2009-01-21,50.89,51.11,49.7,51.03,36.8894,2279249
2009-01-22,50.57,51.69,50.1,51.52,37.2439,1734914
2009-01-23,50.91,50.91,49.11,49.57,35.834,2550297
2009-01-26,49.01,49.24,47.82,48.51,35.4036,4314353
2009-01-27,48.8,49.23,48.54,48.91,35.6957,2983506
2009-01-28,49.79,50.1,49.28,49.83,36.3668,3101287
2009-01-29,49.63,51.12,49.56,50.45,36.8195,2264577
2009-01-30,50.7,50.85,49.65,50.15,36.6005,3262366
2009-02-02,51.41,51.41,49.79,50.43,36.8047,3139808
2009-02-03,50.78,52.19,50.35,51.82,37.8192,2489495
2009-02-04,53,54.91,52.29,52.7,38.4614,3986544
2009-02-05,52.5,53.62,52.05,53.13,38.7754,2293809
2009-02-06,53.23,54.52,52.95,54.07,39.4611,1904922
2009-02-09,54.01,54.17,53.56,53.82,39.2791,1306190
2009-02-10,53.51,53.82,51.5703,51.94,37.9073,2280587
2009-02-11,52.15,52.72,51.99,52.43,38.2643,2127349
2009-02-12,52.07,52.4,50.97,52.01,37.9578,1996989
2009-02-13,52.25,52.664,51.8,51.98,37.9363,1945872
2009-02-17,50.96,51.18,49.452,49.87,36.3959,2505583
2009-02-18,50.24,50.56,49.54,49.99,36.4836,1842289
2009-02-19,50.44,50.68,49.95,50.27,36.6884,2701396
2009-02-20,49.6,50.5,48.91,49.71,36.2795,2560287
2009-02-23,49.95,49.95,48.33,48.47,35.3745,1555542
2009-02-24,48.36,49.59,48.16,49.41,36.0604,1922935
2009-02-25,49.39,49.86,48.65,49.15,35.8705,1910710
2009-02-26,49.28,49.55,48.22,48.22,35.192,2285352
2009-02-27,48,49.25,47.62,48.6,35.4693,2112202
2009-03-02,47.99,49.31,47.25,47.34,34.5497,2379817
2009-03-03,48.04,48.07,46.81,47.2,34.4476,1814918
2009-03-04,47.46,48.29,47.31,47.51,34.6736,4308122
2009-03-05,46.77,47.06,45.71,46.04,33.6009,2277689
2009-03-06,46.31,47.12,45.8,46.78,34.1408,2375918
2009-03-09,46.46,46.64,45.67,45.9,33.4984,1823150
2009-03-10,47.28,47.85,46.35,47.79,34.8782,2060370
2009-03-11,48.01,48.65,47.81,48.14,35.1334,1414479
2009-03-12,47.93,49.65,47.78,49.58,36.1844,1445207
2009-03-13,49.75,50.72,49.35,50.45,36.8195,1547678
2009-03-16,50.69,51.41,50.45,50.76,37.0457,1541439
2009-03-17,50.69,51.43,50.61,51.42,37.5273,1385898
2009-03-18,51.24,52.27,50.5,51.62,37.6735,2055546
