Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,16.72,18.1,16.67,17.99,7.9062,18011411
2009-01-05,17.8,17.86,16.91,17.03,7.4983,34965794
2009-01-06,17.14,17.61,16.98,17.23,7.5863,17476848
2009-01-07,16.955,16.99,16.32,16.64,7.3266,20080633
2009-01-08,16.53,17.05,16.47,16.91,7.4455,16932757
2009-01-09,17.02,17.04,16.27,16.33,7.1902,19763477
2009-01-12,16.28,16.39,15.5,15.7,6.9128,20897242
2009-01-13,15.69,15.8,15.19,15.33,6.75,23925883
2009-01-14,15.13,15.28,14.64,14.81,6.5208,19372732
2009-01-15,14.7,15.275,14.25,15.01,6.6089,21562207
2009-01-16,15.16,15.54,14.76,15.33,6.75,23853519
2009-01-20,15.29,15.38,14.01,14.02,6.173,23559803
2009-01-21,14.15,15.07,14.05,15.07,6.6353,22045488
2009-01-22,14.69,15.08,14.23,14.79,6.5118,22643258
2009-01-23,14.39,15.15,14,14.99,6.5999,24056788
2009-01-26,14.97,15.5,14.75,15.05,6.6265,16646321
2009-01-27,15.07,15.355,14.8,14.92,6.5693,17309051
2009-01-28,15.15,15.98,15.145,15.96,7.0271,22525475
2009-01-29,15.72,16.11,15.27,15.33,6.75,20325160
2009-01-30,15.35,15.63,14.57,14.65,6.4503,20455768
2009-02-02,14.55,14.85,14.41,14.7,6.4723,14473910
2009-02-03,14.7,14.82,14.31,14.68,6.4635,20510976
2009-02-04,13.835,14.89,13.59,14.16,6.2347,30505566
2009-02-05,14,14.16,13.57,13.83,6.0893,35906890
2009-02-06,13.77,14.5,13.74,14.17,6.2389,25832246
2009-02-09,14.34,14.5,13.88,14.41,6.3447,22723294
2009-02-10,14.2,14.57,13.43,13.54,5.9618,30992532
2009-02-11,13.66,13.87,13.29,13.57,5.9749,16456870
2009-02-12,13.35,13.83,13.18,13.78,6.0673,24115386
2009-02-13,13.78,13.95,13.35,13.66,6.0147,18957978
2009-02-17,12.95,13.18,12.58,12.89,5.6756,30276190
2009-02-18,12.98,12.99,11.95,12.36,5.4421,44451450
2009-02-19,12.68,13.39,12.58,12.99,5.7195,40231126
2009-02-20,12.93,13.15,12.58,12.84,5.6535,30338476
2009-02-23,12.87,13.4,12.64,12.69,5.5874,25534149
2009-02-24,12.65,13.93,12.62,13.88,6.1112,28918894
2009-02-25,13.75,14.43,13.56,14.05,6.1862,33928565
2009-02-26,14.03,14.2,13.34,13.34,5.8737,45950087
2009-02-27,13.285,13.55,12.99,13.06,5.7504,25703170
2009-03-02,12.81,12.87,12.32,12.59,5.5433,28611865
2009-03-03,12.8,13.12,12.39,12.5,5.5038,31012058
2009-03-04,12.62,12.94,12.37,12.74,5.6094,28634344
2009-03-05,12.41,12.56,11.9,12,5.2834,26001508
2009-03-06,11.91,12.31,11.27,11.63,5.1207,34520020
2009-03-09,11.47,11.96,11.1,11.22,4.9403,22550568
2009-03-10,11.5,12.25,11.34,12.21,5.376,28480275
2009-03-11,12.23,12.68,12.21,12.37,5.4465,17346248
2009-03-12,12.22,12.98,12.115,12.92,5.6887,14785169
