Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,204.5,213.69,197.53,212.58,30.0999,1868105
2009-01-05,210.39,219.64,205.32,210.34,29.7827,1587934
2009-01-06,211.32,212.1999,197.6,203,28.7435,1959559
2009-01-07,194,202.24,192.73,198.69,28.1332,1347081
2009-01-08,196,198,186,192.22,27.2171,1414538
2009-01-09,193.475,194.5,188,188.23,26.6522,968355
2009-01-12,187.87,191.4246,185,189.18,26.7866,1264450
2009-01-13,186.49,192.55,181.16,185.02,26.1976,1264064
2009-01-14,179.9901,181.56,175,175.8,24.8921,1255004
2009-01-15,172.7,175.78,160.7,167.75,23.7523,2147608
2009-01-16,172.61,175.9,165.24,174.5,24.708,1553076
2009-01-20,172.14,172.27,159.07,159.07,22.5232,1397588
2009-01-21,162.94,180.59,157.738,180.58,25.5689,2348341
2009-01-22,169,177.5599,157.1,168.37,23.8401,1415638
2009-01-23,159.14,171,155.06,168.74,23.8924,1362713
2009-01-26,171.08,176,162.77,166.58,23.5866,1274769
2009-01-27,171.32,172.55,164.7,168.64,23.8783,1381691
2009-01-28,176.42,188.1664,176.0001,185.12,26.2117,1966267
2009-01-29,179.25,180.89,172.8,173.65,24.5876,1296415
2009-01-30,175,177.17,170.27,173.91,24.6245,1469894
2009-02-02,168.5,171.03,164.39,168.26,23.8245,1512594
2009-02-03,173.5,180.78,161.5,171.52,24.2861,2177739
2009-02-04,173.1,178,170,172.57,24.4348,1271553
2009-02-05,170.96,182.35,169.13,178.05,25.2107,1708144
2009-02-06,178.15,192.53,178.14,189,26.7612,1798608
2009-02-09,186.0001,192.51,184.32,187.98,26.6167,1117563
2009-02-10,185.9,191.97,175.86,179.09,25.3579,1547454
2009-02-11,178.98,186,178.28,185.28,26.2344,1182207
2009-02-12,181.27,194.33,181.27,193.06,27.336,1528847
2009-02-13,192.55,195.98,188.5,190.63,26.992,997769
2009-02-17,185.6,185.6,178.45,178.48,25.2715,1475093
2009-02-18,183.44,183.67,175,177.61,25.1484,1089295
2009-02-19,182,187.095,178.19,178.75,25.3098,1261604
2009-02-20,174.72,184.41,171.64,181.83,25.7459,1646173
2009-02-23,184.72,186.46,172.45,172.95,24.4886,996181
2009-02-24,172.02,184.48,167.25,184.25,26.0886,1788841
2009-02-25,178.56,189.57,174.95,181.99,25.7686,1715741
2009-02-26,185.53,189.97,182.2,184.04,26.0588,1425810
2009-02-27,178.24,186.5799,178,182.4,25.8266,1357835
2009-03-02,177.5,181.67,172.03,173.29,24.5367,1397606
2009-03-03,175.65,181.1,173.34,177.87,25.1851,1426123
2009-03-04,182.4,191.57,180.6,188.19,26.6464,1530321
2009-03-05,186.7,188.99,180.9,182.43,25.8308,1316365
2009-03-06,184.79,184.92,176.11,182.45,25.8664,1140628
2009-03-09,178.11,185,177.61,183.86,26.0662,1229119
2009-03-10,186.86,194.72,185.18,194.25,27.5392,1637292
2009-03-11,197.49,199.52,184.28,193.2,27.3903,2278497
