Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,36.8,38.16,36.61,37.93,15.2947,1201799
2009-01-05,38.24,39.51,37.44,39.2,15.8067,2524378
2009-01-06,39.74,41.23,39.72,40.92,16.5003,2485519
2009-01-07,40.57,40.64,39,39.33,15.8591,2289125
2009-01-08,38.82,40.04,38.82,39.89,16.0851,1601550
2009-01-09,40.31,40.31,38.4,38.74,15.6212,1614659
2009-01-12,38.92,38.92,36.05,36.54,14.7341,2043025
2009-01-13,36.41,37.09,35.19,35.65,14.3753,2017323
2009-01-14,35.49,35.49,33.65,34.05,13.7302,1861504
2009-01-15,33.41,34.73,32.5,34.45,13.8915,2113524
2009-01-16,35.3,36.05,34.11,34.35,13.8511,2741202
2009-01-20,32.68,32.97,30.71,30.74,12.3954,3658105
2009-01-21,30.94,32.27,30.91,32.22,12.9921,2770592
2009-01-22,31.95,32.38,31.1,31.93,12.8751,2465396
2009-01-23,32.32,34.07,31.81,33.69,13.5849,4258479
2009-01-26,34.14,34.9,33.57,34.17,13.7785,2036685
2009-01-27,34.16,35.75,34.16,35.58,14.347,2135276
2009-01-28,36.53,37.05,35.97,36.64,14.7745,2473642
2009-01-29,36.62,36.64,35.53,35.69,14.3912,1386563
2009-01-30,35.8,35.89,34.552,35,14.1131,2264502
2009-02-02,34.13,34.97,33.91,34.37,13.8592,1263501
2009-02-03,34.6,35.62,34.2,35.44,14.2905,1377283
2009-02-04,35.3,36.68,35.26,35.88,14.4678,1587806
2009-02-05,35.67,36.78,35.18,36.6,14.7582,1641111
2009-02-06,36.38,38.5,36,37.88,15.2745,2456653
2009-02-09,37.83,38.25,36.83,38.06,15.347,1446594
2009-02-10,37.35,37.85,35.37,36.1,14.5567,2236432
2009-02-11,36.49,36.49,35.24,35.68,14.3874,1771171
2009-02-12,35.25,35.76,34.3,35.76,14.4196,2526324
2009-02-13,35.98,36.496,35.57,35.74,14.4115,1150575
2009-02-17,34.3,34.3,33.24,33.49,13.5042,2188074
2009-02-18,33.98,34.13,33,33.4,13.4679,1690966
2009-02-19,33.5,33.69,32.45,32.64,13.1615,1841950
2009-02-20,32.38,33.3,32.08,32.81,13.2301,2299375
2009-02-23,33.1,33.38,31.17,31.31,12.6251,1997345
2009-02-24,31.51,33.94,31.51,33.55,13.5284,2203581
2009-02-25,33.17,33.27,31.87,32.66,13.1696,3056753
2009-02-26,32.76,33.42,32.3,32.5,13.105,2145400
2009-02-27,31.97,32.98,31.43,32.34,13.0404,2054732
2009-03-02,31.39,32.19,30.47,30.67,12.3672,3022616
2009-03-03,30.93,31.15,30.14,30.56,12.323,2495590
2009-03-04,31.3,32.84,30.77,32.05,12.9236,3770650
2009-03-05,31.69,31.69,29.65,30.12,12.1455,2898432
2009-03-06,30.17,31.18,29.39,30.54,12.419,2837690
2009-03-09,29.96,30.86,29.57,29.82,12.126,3195655
2009-03-10,29.95,31.82,29.95,31.77,12.9191,3934508
