Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,16.56,18.86,16.5,18.67,18.5124,711937
2009-01-05,18.36,19.13,17.89,19,18.8396,762370
2009-01-06,19.5,19.94,19.23,19.65,19.484,575832
2009-01-07,19.4,19.59,19.04,19.21,19.0479,725625
2009-01-08,19.07,19.38,18.79,19.3,19.1373,546496
2009-01-09,19.24,19.35,18.53,18.9,18.7405,475041
2009-01-12,19,20.96,19,20.47,20.2972,1533772
2009-01-13,20.21,20.25,18.72,19.01,18.8495,1369065
2009-01-14,18.76,19.79,18.66,19.52,19.3859,788173
2009-01-15,19.56,20.88,19.53,20.74,20.5973,784127
2009-01-16,21,21,19.94,20.44,20.2995,586167
2009-01-20,20.69,20.69,18.9,19.03,18.8992,595410
2009-01-21,19.43,20.29,19.21,20.27,20.1306,550131
2009-01-22,19.91,20.23,19.26,19.55,19.4158,522242
2009-01-23,19.27,19.52,18.8,19.18,19.0482,630866
2009-01-26,19.42,19.72,18.91,19.3,19.1672,416778
2009-01-27,19.49,19.79,19.22,19.5,19.366,426522
2009-01-28,19.8,19.99,19.47,19.6,19.4652,428271
2009-01-29,18.99,19.51,18.77,18.85,18.7205,371541
2009-01-30,18.84,19.3,18.66,18.97,18.8396,466653
2009-02-02,18.73,19.075,18.03,18.95,18.8198,385086
2009-02-03,19.07,19.19,18.53,19.06,18.9289,455852
2009-02-04,19.26,19.5875,18.93,19.17,19.0382,561099
2009-02-05,18.95,19.59,18.69,19.31,19.177,566515
2009-02-06,19.45,19.7,19.24,19.67,19.5346,725854
2009-02-09,19.67,19.85,19.1,19.33,19.1969,375788
2009-02-10,19.09,19.28,18.58,18.78,18.6508,450123
2009-02-11,19.01,21.14,18.89,20.86,20.7164,2084671
2009-02-12,20.92,21.68,20.4,21.58,21.4317,856778
2009-02-13,21.66,23.69,21.6,22.76,22.6037,1776746
2009-02-17,22.03,22.46,21.45,21.8,21.65,880735
2009-02-18,22,22.09,21.05,22.01,21.8586,1002816
2009-02-19,21.9,22.7,21.9,22.36,22.2062,1262821
2009-02-20,22.05,22.06,21.32,21.43,21.2828,1277513
2009-02-23,21.73,21.79,20.78,21,20.8558,978615
2009-02-24,21.32,22.08,21.01,21.99,21.8388,1017352
2009-02-25,21.89,22.75,21.62,22.35,22.1962,1174229
2009-02-26,22.5,23.28,22.3,22.81,22.6534,1736548
2009-02-27,22.75,23.23,21.86,21.99,21.8388,1754423
2009-03-02,21.59,21.59,19.04,19.13,18.9984,1689169
2009-03-03,19.31,19.69,18.66,19.21,19.0781,1147362
2009-03-04,19.66,20.61,19.02,20.16,20.0212,817312
2009-03-05,19.51,19.86,18.87,19.21,19.0781,975481
2009-03-06,21,21.05,17.58,18.33,18.2039,3189728
2009-03-09,18.53,20.18,18.25,19.75,19.6141,1902630
2009-03-10,19.77,21.11,19.77,21.04,20.8955,1167501
2009-03-11,21.2,21.81,20.62,20.67,20.5277,755501
2009-03-12,20.56,21.13,19.94,20.9,20.7563,1638804
2009-03-13,20.85,21.75,20.7,21.63,21.4814,751879
2009-03-16,21.84,22.09,21.305,21.44,21.2928,918710
2009-03-17,21.44,22.08,21.01,22.08,21.9283,666522
2009-03-18,21.8,23.65,21.55,23.21,23.0503,1129474
2009-03-19,23.27,24.26,23.03,23.84,23.6762,1108482
2009-03-20,23.93,24.24,23.82,24.07,23.9044,993676
2009-03-23,24.3,25.42,23.98,25.21,25.0368,1176163
2009-03-24,25.11,25.16,24.32,24.64,24.4708,700383
2009-03-25,24.64,25.8,24.64,25.74,25.5632,1061612
2009-03-26,25.86,27.05,25.79,26.82,26.6356,1329499
2009-03-27,26.8,27.12,26.43,26.43,26.2484,901970
2009-03-30,25.84,25.98,24.83,25.95,25.7716,949021
2009-03-31,26.24,26.85,25.94,26.44,26.2583,594838
2009-04-01,26.08,26.61,25.45,26.44,26.2583,854943
2009-04-02,27,27.57,26.73,27.28,27.0925,846833
2009-04-03,27.28,27.73,26.55,26.75,26.5662,679147
2009-04-06,26.49,26.95,26.01,26.49,26.3078,959884
2009-04-07,26.13,26.57,25.48,25.54,25.3643,845932
2009-04-08,25.51,26.11,25.31,25.95,25.7716,625082
2009-04-09,26.4,26.99,26.33,26.74,26.5563,783077
2009-04-13,26.3,26.87,25.93,26.67,26.4866,667708
2009-04-14,26.49,26.9,25.94,26.31,26.1291,676535
2009-04-15,26.21,26.6,25.55,25.98,25.8015,404787
2009-04-16,26.03,26.45,25.8275,26.32,26.139,408426
2009-04-17,26.33,27.38,26.19,27.29,27.1023,520422
2009-04-20,27.04,27.68,26.65,27.26,27.0726,634129
2009-04-21,27.21,28.22,27.2,28.2,28.0061,1213185
2009-04-22,27.81,29.82,27.56,29.14,28.9398,1821968
2009-04-23,29.12,29.36,28.42,29.03,28.8305,773216
2009-04-24,29.16,29.25,28.51,29.01,28.8106,544206
2009-04-27,28.66,29.78,28.6,29.51,29.3071,603759
2009-04-28,29.29,29.68,29.13,29.17,28.9696,338860
2009-04-29,29.11,30.1,28.89,29.96,29.7542,661573
2009-04-30,30.16,30.52,28.75,28.75,28.5524,869954
2009-05-01,28.9,30.08,28.42,29.72,29.5158,800145
2009-05-04,29.81,30.3,28.79,29.68,29.476,753528
