Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,33.81,34.65,33.48,34.35,29.9247,771747
2009-01-05,34.77,37.65,34.36,36.89,32.1378,1132383
2009-01-06,37.46,39,37.33,38.93,33.9146,1052457
2009-01-07,38.43,38.71,36.6624,37.12,32.3381,732021
2009-01-08,36.55,37.19,36.19,36.84,32.0939,806644
2009-01-09,36.91,37.21,35.21,35.4,30.8396,809184
2009-01-12,34.93,35.11,33.95,34.61,30.1514,1243727
2009-01-13,34.31,35.07,32.29,33.01,28.7574,1336907
2009-01-14,32.51,32.51,30.74,30.97,26.9803,969397
2009-01-15,31.12,31.68,29.72,31.44,27.3897,1200179
2009-01-16,32.65,32.74,30.48,31.14,27.1283,668414
2009-01-20,31.4,31.4,28.14,28.18,24.5495,1530846
2009-01-21,28.99,30.13,28.38,30.11,26.2306,895336
2009-01-22,29.32,30.48,28.87,29.93,26.0746,1108676
2009-01-23,29.59,30.75,28.96,30.36,26.4488,1281121
2009-01-26,31.06,31.8199,30.15,30.57,26.632,1237538
2009-01-27,31.26,33.37,30.75,32.81,28.5831,1418312
2009-01-28,31.78,32.62,31.18,31.78,27.6861,3899886
2009-01-29,31.71,31.91,30.6,30.8,26.832,1465229
2009-01-30,30.84,30.94,29.55,30.26,26.3619,2287740
2009-02-02,29.92,30.45,29.4,30.04,26.1699,1247965
2009-02-03,30.21,31.01,29.88,30.89,26.9102,1059208
2009-02-04,31,31.81,30.76,30.98,26.9889,953173
2009-02-05,30.76,32.02,30.59,31.79,27.6945,1448881
2009-02-06,31.46,33.19,31.28,32.55,28.3568,1664058
2009-02-09,32.95,33.07,31.86,32.97,28.7223,1486053
2009-02-10,32.2,32.77,30.34,30.8,26.832,2314559
2009-02-11,30.5,30.86,30.07,30.49,26.5622,1934829
2009-02-12,30.24,30.61,29.31,30.4,26.4837,1527512
2009-02-13,30.51,31.07,30.24,30.61,26.6665,1192536
2009-02-17,29.54,29.66,28.54,28.78,25.0722,1439661
2009-02-18,29.08,29.1825,28.19,28.74,25.0372,1010089
2009-02-19,28.49,28.86,27.99,28.14,24.5148,1100590
2009-02-20,27.26,28.85,27.26,28.35,24.6975,1230590
2009-02-23,28.47,28.96,27.02,27.15,23.6526,1290403
2009-02-24,27.55,29.19,27.35,28.84,25.1249,909654
2009-02-25,28.63,29.32,27.79,28.72,25.0203,1549269
2009-02-26,29,29.39,28.62,28.87,25.1509,1003750
2009-02-27,27.9,28.84,27.77,28.21,24.5756,1525040
2009-03-02,27.76,27.97,26.28,26.56,23.1383,1217524
2009-03-03,26.66,27.1,25.85,26.47,23.0599,961209
2009-03-04,27.12,28,26.71,27.67,24.1055,1100846
2009-03-05,26.93,27.37,25.11,25.8,22.4765,1235052
2009-03-06,25.9,26.59,25.21,25.87,22.5374,1026519
2009-03-09,25.3,26.35,25.14,25.53,22.2412,1192580
2009-03-10,25.91,28.1799,25.91,27.95,24.3495,1479360
2009-03-11,28.22,28.45,27.58,27.93,24.3319,1297706
2009-03-12,27.93,29.46,27.43,29.31,25.5341,1204483
2009-03-13,29.61,29.85,28.69,28.97,25.2381,999845
2009-03-16,29.37,31.12,29.35,30.09,26.2139,1160996
2009-03-17,30.32,30.69,29.35,30.69,26.7364,1046257
2009-03-18,30.51,31.11,29.21,30.59,26.6492,1364573
2009-03-19,31.38,31.75,30.37,30.5,26.5706,1385881
2009-03-20,30.64,30.91,29.28,29.75,25.9177,816284
2009-03-23,30.49,32.33,30.49,32.31,28.1476,839715
2009-03-24,31.88,32.51,31.2,31.7,27.6165,914351
2009-03-25,31.96,32.68,30.29,31.13,27.2934,833516
2009-03-26,31.75,33.1,31.44,32.8,28.7577,1088627
2009-03-27,32.09,32.61,31.53,32.22,28.2496,1454512
2009-03-30,30.89,31.07,29.16,29.63,25.9785,922509
2009-03-31,29.74,30.12,29.57,29.63,25.9785,883752
2009-04-01,29.28,29.9,29.07,29.59,25.9435,1074951
2009-04-02,30.78,31.85,30.53,31.37,27.5038,1764571
2009-04-03,31.27,32.28,31.15,31.96,28.0211,835046
2009-04-06,31.57,31.69,30.39,31.23,27.3811,597018
2009-04-07,30.71,30.71,29.9,29.99,26.2941,656110
2009-04-08,30.36,30.86,30.05,30.64,26.8641,800751
2009-04-09,31.6,32.24,31.51,32.1,28.1442,642264
2009-04-13,31.75,32.33,31.37,32.11,28.1529,466486
2009-04-14,32.08,32.36,31.28,31.79,27.872,505231
2009-04-15,32.1,32.59,31.42,32.5,28.4947,548567
2009-04-16,32.88,32.9,32.05,32.53,28.5209,855530
2009-04-17,32.19,35.04,32.19,34.58,30.3186,1111584
2009-04-20,33.79,33.84,31.98,32.5,28.4947,948066
2009-04-21,31.76,34.03,31.76,33.67,29.5205,1061222
2009-04-22,32.86,34.79,32.86,33.08,29.0033,1273857
2009-04-23,33.63,34.67,32.32,34.46,30.2133,1163062
2009-04-24,34.82,35.49,34.43,35.2,30.8623,1267500
2009-04-27,34.13,35.27,34.02,34.46,30.2133,1497589
2009-04-28,33.84,34.86,33.54,34.37,30.1341,984731
2009-04-29,34.83,35.81,34.79,35.37,31.0113,1145612
2009-04-30,36.02,37.29,35.8,35.86,31.4406,963834
2009-05-01,35.95,37.89,35.47,37.47,32.8523,1371435
2009-05-04,37.74,39.61,37.45,39.32,34.4742,1022666
2009-05-05,39.42,39.81,38.26,38.48,33.7376,1487632
2009-05-06,38.92,39.17,38.36,39.03,34.2198,993422
2009-05-07,39.24,39.39,37.07,37.53,32.9048,1200059
2009-05-08,38.25,39.07,37.73,39.01,34.2025,1260146
2009-05-11,38,38.23,36.88,36.97,32.414,1219494
2009-05-12,36.97,37.23,36.08,36.67,32.1507,1364755
2009-05-13,35.71,35.79,34.52,34.52,30.2657,1691814
2009-05-14,34.77,35.52,34.1,34.82,30.5291,944859
2009-05-15,34.51,36.04,34.5,34.99,30.6781,974975
2009-05-18,35.17,37,35.12,36.76,32.2297,779192
2009-05-19,36.68,37.57,36.62,36.83,32.2909,856120
2009-05-20,37.02,39.61,37.02,38.63,33.8692,1494889
2009-05-21,37.67,37.7,36.72,37.49,32.8696,1144025
2009-05-22,37.74,38.1,37.31,37.63,32.9927,560355
2009-05-26,37.17,39.33,37.17,39.03,34.2198,833154
2009-05-27,39.22,39.42,37.71,37.86,33.1943,620223
2009-05-28,38.22,38.92,37.66,38.72,33.9478,672588
2009-05-29,39.25,41.13,39.13,40.94,35.8947,950391
2009-06-01,41.5,43.27,41.14,42.57,37.3234,966805
2009-06-02,42.79,43.91,42.29,42.7,37.4377,931262
2009-06-03,41.85,41.96,40.18,40.74,35.7193,906546
2009-06-04,40.78,42.14,40.52,41.56,36.4383,906298
2009-06-05,42.12,42.43,41.2,42.19,36.9907,839675
2009-06-08,42.09,43.44,41.56,42.97,37.6742,636988
2009-06-09,43.21,43.8,42.7,43.1,37.7883,454343
2009-06-10,43.52,43.66,41.59,42.28,37.0695,769391
2009-06-11,42.47,42.61,41.1,41.19,36.1138,1585723
2009-06-12,40.55,42.44,40.48,42.32,37.1049,1475030
2009-06-15,41.7,41.7,39.52,39.77,34.8689,1035335
2009-06-16,40.32,40.65,39.11,39.14,34.3165,683343
2009-06-17,38.99,38.99,37.83,38.48,33.7376,647783
2009-06-18,38.41,39.12,37.5604,38.79,34.0095,763948
2009-06-19,39.19,39.82,39.05,39.49,34.6238,610214
2009-06-22,38.64,39.12,37.5,37.95,33.2731,762167
2009-06-23,38.05,38.44,37.27,38,33.3169,548972
2009-06-24,38.23,39.24,37.99,38.2,33.6825,622522
2009-06-25,37.8,40.77,37.72,40.54,35.7462,1051288
2009-06-26,40.46,40.89,39.64,40.06,35.3228,758420
2009-06-29,40.22,40.62,39.76,40.25,35.4905,449233
2009-06-30,40.14,40.64,39.24,39.8,35.0937,467954
2009-07-01,40.33,41.21,40.24,40.28,35.5169,508762
2009-07-02,39.11,39.9,38.66,38.66,34.0884,431213
2009-07-06,37.42,37.5,36.03,37.14,32.7484,1721198
2009-07-07,36.98,36.98,34.8,34.89,30.7641,1249806
2009-07-08,35.1,35.3,33.69,34.36,30.2969,852084
2009-07-09,35.38,35.38,33.6,33.73,29.7411,1042891
2009-07-10,33.2,33.79,32.92,33.65,29.6705,906900
2009-07-13,33.82,34.55,33,34.45,30.3763,852794
2009-07-14,35.07,35.76,35,35.44,31.2492,679671
2009-07-15,36.15,37.18,36.15,36.94,32.572,643332
2009-07-16,36.76,37.64,36.64,37.36,32.9423,436499
2009-07-17,37.38,37.47,36.65,36.93,32.563,657606
2009-07-20,37.17,37.99,36.85,37.8,33.3302,629917
2009-07-21,38.58,39.97,38.53,39.18,34.5472,935791
2009-07-22,39.32,40.16,39.04,39.28,34.6348,593508
2009-07-23,39.16,41.25,39.16,40.51,35.7198,829744
2009-07-24,40.55,41.06,39.89,40.35,35.5785,447538
2009-07-27,40.58,40.71,39.57,40.07,35.3316,536856
2009-07-28,39.78,40.24,39.44,39.84,35.1293,525014
2009-07-29,39.35,39.85,39.07,39.82,35.1115,494258
2009-07-30,41.26,45.11,40.94,44.68,39.3967,1839300
2009-07-31,44.1,45.03,44.07,44.49,39.2291,673881
2009-08-03,45.32,47.69,45.32,46.78,41.2484,593452
2009-08-04,46.5,47.88,45.6,47.63,41.9979,588493
2009-08-05,47.94,47.94,46.35,47.38,41.7773,423725
2009-08-06,47.23,47.65,46.27,46.49,40.9928,475297
2009-08-07,47.01,47.62,46.6,46.98,41.4245,852371
2009-08-10,46.6,47.07,46,46.32,40.8428,426875
2009-08-11,44.84,46.17,44.46,45.95,40.5166,661949
2009-08-12,46.05,47.13,45.6701,46.61,41.0986,641176
2009-08-13,47.08,48.14,46.22,48.04,42.3593,461744
2009-08-14,48.59,48.62,47.55,48.02,42.3416,656742
2009-08-17,46.64,46.64,44.83,45.3,39.9433,557313
2009-08-18,45.45,46.84,45.29,46.75,41.2218,534928
2009-08-19,45.29,46.87,45.19,46.63,41.1158,621713
2009-08-20,46.13,46.98,46.11,46.73,41.2041,415558
2009-08-21,47.19,47.94,46.91,47.85,42.192,675060
2009-08-24,48.24,48.65,47.97,48.28,42.5711,1519603
2009-08-25,48.44,49.37,48.37,48.63,42.8799,988917
2009-08-26,49.24,49.65,48.67,49.23,43.4087,996008
2009-08-27,49.42,50.01,48.52,49.88,43.9815,1036824
2009-08-28,50.53,51.65,49.85,50.07,44.1492,1141647
2009-08-31,48.84,48.94,47.53,47.86,42.2004,1410613
2009-09-01,47.53,47.96,45.62,45.8,40.3843,1528270
2009-09-02,45.18,45.44,44.52,45.04,39.7141,1394966
2009-09-03,45.41,47.41,45.36,47.32,41.7245,970943
2009-09-04,47.58,48.81,47.4,48.57,42.8265,963586
2009-09-08,49.48,50.13,48.98,49.16,43.3464,984088
2009-09-09,49.25,49.49,48.09,48.78,43.0118,1169440
2009-09-10,48.84,49.56,48.59,49.21,43.3907,976662
2009-09-11,49.47,49.92,48.71,49.02,43.2237,894226
2009-09-14,48.15,49.36,48.15,48.93,43.1439,662263
2009-09-15,49.47,50.27,48.62,50.14,44.2107,1153142
2009-09-16,50.25,50.97,50.05,50.19,44.2553,759918
2009-09-17,50.34,51.02,49.86,50.06,44.1408,759990
2009-09-18,49.42,49.77,48.61,49.03,43.2324,1056459
2009-09-21,48.25,48.48,47.62,48.07,42.3857,775554
2009-09-22,48.85,49.6,48.63,48.98,43.1882,595695
