Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,27.14,28.15,27,28.03,7.0075,511886
2009-01-05,28.02,28.17,27.56,27.9,6.975,604720
2009-01-06,28.14,28.38,27.65,28.18,7.045,557281
2009-01-07,28.02,28.16,26.89,27.27,6.8175,552034
2009-01-08,27.29,27.76,27.18,27.64,6.91,822760
2009-01-09,27.71,27.93,27.08,27.21,6.8025,601943
2009-01-12,27.25,27.52,26.15,26.47,6.6175,474828
2009-01-13,26.36,27.05,26.07,26.4,6.6,591475
2009-01-14,26.2,26.68,25.69,26.04,6.51,892818
2009-01-15,25.85,26.55,24.74,26.31,6.5775,958587
2009-01-16,26.49,26.49,25.65,26.27,6.5675,491536
2009-01-20,26.01,26.28,24.69,24.82,6.205,675618
2009-01-21,25.03,25.83,24.28,25.83,6.4575,762331
2009-01-22,25.46,25.87,25.12,25.37,6.3425,794908
2009-01-23,24.93,25.14,24.41,24.62,6.155,652855
2009-01-26,24.67,25.01,24.45,24.75,6.1875,693726
2009-01-27,24.94,25.28,24.755,24.98,6.245,586389
2009-01-28,25.32,26.16,25.14,25.68,6.42,479334
2009-01-29,25.54,25.8,25.16,25.25,6.3125,403859
2009-01-30,25.08,25.33,23.94,24.09,6.0225,1246250
2009-02-02,23.77,24.76,23.48,24.6,6.15,1011303
2009-02-03,24.8,24.94,24.29,24.5,6.125,1001925
2009-02-04,24.58,25.03,24.09,24.71,6.1775,749825
2009-02-05,24.63,25.75,24.33,25.63,6.4075,872890
2009-02-06,25.63,26.72,25.38,26.64,6.66,1277191
2009-02-09,26.94,26.99,26.29,26.89,6.7225,717179
2009-02-10,26.79,26.89,26.09,26.2,6.55,861708
2009-02-11,26.2,26.67,25.99,26.13,6.5325,585283
2009-02-12,25.91,26.23,25.32,26.13,6.5325,696936
2009-02-13,26.07,26.54,26.07,26.35,6.5875,433849
2009-02-17,25.79,26.1,25.22,25.36,6.34,865773
2009-02-18,27,27.06,25.92,26.04,6.51,1221442
2009-02-19,26.14,28.07,26.03,27.7,6.925,2124398
2009-02-20,27.46,27.79,27.04,27.17,6.7925,1107934
2009-02-23,27.39,27.67,26.4701,26.52,6.63,677439
2009-02-24,26.76,27.31,26.2588,27.21,6.8025,859698
2009-02-25,27.25,27.78,26.25,26.93,6.7325,939814
2009-02-26,27.19,27.45,26.67,26.75,6.6875,832832
2009-02-27,26.33,27.46,26.25,27.02,6.755,782314
2009-03-02,26.31,27.33,25.89,25.91,6.4775,1074298
2009-03-03,26.43,26.73,25.71,25.78,6.445,1225221
2009-03-04,26,26.23,24.99,25.25,6.3125,2600786
2009-03-05,25.2,27.54,24.75,26.4,6.6,3202831
2009-03-06,26.36,27.18,26.08,26.98,6.745,1720962
2009-03-09,26.78,27.31,26.21,26.32,6.58,926696
2009-03-10,26.47,27.71,26.16,27.71,6.9275,904828
2009-03-11,27.98,28.55,27.76,28.19,7.0475,1063389
2009-03-12,28.09,29.61,27.78,29.51,7.3775,1053852
2009-03-13,29.67,30.25,29.12,29.51,7.3775,1753698
2009-03-16,29.88,29.88,28.33,28.41,7.1025,1748343
2009-03-17,28.58,28.68,28.05,28.5,7.125,1243722
2009-03-18,28.26,29.63,28.26,29.37,7.3425,1088759
2009-03-19,29.65,30.2,29.31,30,7.5,1548847
2009-03-20,30,30.15,29.15,29.53,7.3825,1026420
2009-03-23,29.81,30.74,29.44,30.74,7.685,885742
2009-03-24,30.53,31.01,30.26,30.7,7.675,876610
2009-03-25,30.74,31.25,30.23,30.92,7.73,1557798
2009-03-26,31.23,32.04,30.89,32.03,8.0075,1011115
2009-03-27,31.82,32.02,31,31.15,7.7875,535308
2009-03-30,30.72,31.02,29.75,29.88,7.47,866891
2009-03-31,30.17,30.47,29.41,29.66,7.415,778204
2009-04-01,29.45,29.74,28.66,29.29,7.3225,830054
2009-04-02,29.6,31.025,29.54,30.71,7.6775,1005524
2009-04-03,30.61,30.88,29.6812,30.02,7.505,543988
2009-04-06,29.76,30.09,29.22,29.56,7.39,671682
2009-04-07,29.36,29.69,29.04,29.35,7.3375,473105
2009-04-08,29.49,29.9,29.23,29.55,7.3875,585306
2009-04-09,29.89,30.15,29.5,30.09,7.5225,695321
2009-04-13,29.98,30.38,29.91,30.33,7.5825,440963
2009-04-14,29.98,30.43,29.57,30.21,7.5525,356871
2009-04-15,30.59,30.6,29.79,30.18,7.545,361236
2009-04-16,30.32,31.49,30.12,31.34,7.835,453888
2009-04-17,31.42,31.55,30.94,31.39,7.8475,335048
2009-04-20,30.92,31.46,30.68,31.06,7.765,650340
2009-04-21,30.84,31.55,30.46,31.41,7.8525,448068
2009-04-22,30.94,32.78,30.88,31.67,7.9175,590166
2009-04-23,31.65,31.65,30.56,30.98,7.745,333230
2009-04-24,31.22,31.58,30.95,31.02,7.755,442495
2009-04-27,30.54,31.21,30.36,30.97,7.7425,396504
2009-04-28,30.86,31.48,30.51,30.97,7.7425,255929
2009-04-29,31.24,31.94,30.89,31.55,7.8875,293051
2009-04-30,31.74,32.11,31.18,31.39,7.8475,301529
2009-05-01,31.15,31.67,30.84,31.43,7.8575,442313
2009-05-04,31.58,31.85,31.25,31.47,7.8675,351331
2009-05-05,31.48,31.87,31.002,31.25,7.8125,433118
2009-05-06,31.63,31.636,30.63,31.25,7.8125,368144
2009-05-07,31.6,31.67,30.63,30.91,7.7275,420967
2009-05-08,31.25,31.67,30.95,31.57,7.8925,345053
2009-05-11,31.11,31.98,30.955,31.61,7.9025,378783
2009-05-12,32.01,32.01,30.91,31.34,7.835,384457
2009-05-13,30.91,31.07,30,30.32,7.58,897457
2009-05-14,30.23,30.7,30,30.24,7.56,837453
2009-05-15,30.09,30.46,29.09,29.19,7.2975,1589749
