Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,32.1,34.2,31.65,34.02,8.505,1017287
2009-01-05,33.53,34.34,33.01,33.35,8.3375,1861164
2009-01-06,34.13,35.23,33.14,34.6,8.65,1485086
2009-01-07,33.75,33.95,31.74,32,8,1411830
2009-01-08,32.29,33,31.45,32.91,8.2275,1195224
2009-01-09,32.64,32.79,30.72,31.53,7.8825,1596405
2009-01-12,31.4,31.49,30.47,30.85,7.7125,928486
2009-01-13,30.24,31.22,28.98,29.63,7.4075,2999385
2009-01-14,29.37,29.37,27.29,27.86,6.965,2835037
2009-01-15,28.14,28.74,27.07,27.69,6.9225,2899916
2009-01-16,28.39,28.43,26.28,28.13,7.0325,3254126
2009-01-20,27.88,28.36,25.9,26.07,6.5175,2859779
2009-01-21,27.09,27.67,25.83,27.57,6.8925,2310298
2009-01-22,26.85,26.93,26.03,26.48,6.62,1843020
2009-01-23,25.91,27.57,25.91,27.09,6.7725,1519774
2009-01-26,27.2,28.56,26.93,27.5,6.875,2318315
2009-01-27,27.52,27.85,26.7,27.4,6.85,1831462
2009-01-28,28.11,29.93,28.1,29.39,7.3475,3011936
2009-01-29,29.14,29.14,27.43,27.6,6.9,2014599
2009-01-30,27.84,28.08,26.5,26.61,6.6525,1542278
2009-02-02,26.5,26.86,25.95,26.64,6.66,2317889
2009-02-03,27.19,30.2,27.19,30,7.5,4720035
2009-02-04,30.02,30.33,28.93,29.33,7.3325,2263953
2009-02-05,28.79,31.14,28.52,30.72,7.68,2635032
2009-02-06,29.93,30,27.66,29.04,7.26,7426638
2009-02-09,28.8,29.96,28.75,28.92,7.23,2318089
2009-02-10,28.91,29.09,26.49,26.85,6.7125,5375406
2009-02-11,27.17,28,26.51,27.23,6.8075,3342951
2009-02-12,26.92,27.14,26.23,27.08,6.77,2357470
2009-02-13,27.01,27.32,26.51,26.86,6.715,2820523
2009-02-17,26.59,26.59,25.64,25.94,6.485,2717958
2009-02-18,26.38,26.38,25.71,25.77,6.4425,3077820
2009-02-19,26.29,26.48,25.68,25.93,6.4825,3567217
2009-02-20,25.55,26.18,25.19,26.05,6.5125,4207282
2009-02-23,26.55,26.61,25.51,26,6.5,4013363
2009-02-24,25.73,27.78,25.44,27.47,6.8675,3544325
2009-02-25,27.47,28.22,27.12,28.1,7.025,7024208
2009-02-26,28.2,28.68,26.1,28.55,7.1375,8238375
2009-02-27,27.95,29.32,27.59,28,7,3900623
2009-03-02,27.52,27.96,27.03,27.32,6.83,2303359
2009-03-03,27.55,28.7,27.4,28.16,7.04,2668294
2009-03-04,28.73,30.61,28.63,30.02,7.505,3194115
2009-03-05,29.48,30.97,29.37,30.13,7.5325,2894154
2009-03-06,30.21,30.7,28.88,30.07,7.5175,2858565
2009-03-09,29.75,31.52,29.7,30.89,7.7225,3215272
2009-03-10,31.4,32.58,31.07,32.49,8.1225,4251929
2009-03-11,32.8,33.86,32.64,33.33,8.3325,3987469
2009-03-12,33.73,33.97,32.11,33.86,8.465,2949071
2009-03-13,33.86,33.88,32.08,32.79,8.1975,3442599
2009-03-16,32.88,33.15,31.77,32.27,8.0675,2638879
2009-03-17,32.68,33.96,32.17,33.96,8.49,1900245
2009-03-18,33.56,35.42,33.45,34.98,8.745,3063466
2009-03-19,35.49,36.03,35.09,35.54,8.885,2349201
2009-03-20,35.8,36,34.39,34.76,8.69,4028199
2009-03-23,35.87,37.03,35,37.03,9.2575,2490450
2009-03-24,36.54,36.57,34.51,34.92,8.73,3033728
2009-03-25,33.44,34.12,32.01,34.12,8.53,3584880
2009-03-26,34.45,35.88,34.25,35.71,8.9275,2346008
2009-03-27,35.19,35.25,33.66,34.08,8.52,1867165
2009-03-30,33.61,33.73,32.28,32.57,8.1425,1733965
2009-03-31,32.65,33.52,32.27,32.73,8.1825,2060612
2009-04-01,31.26,32.9,30,32.69,8.1725,3441407
2009-04-02,33.18,34.96,33.18,34.15,8.5375,2267998
2009-04-03,34.13,37.28,34.13,37.27,9.3175,3559002
2009-04-06,36.64,37.07,35.68,36.48,9.12,1532863
2009-04-07,36.72,37.52,36.23,36.62,9.155,2027203
2009-04-08,37.12,37.85,36.86,37.38,9.345,1730298
2009-04-09,36.36,37.49,35.75,37.4,9.35,2350502
2009-04-13,38.6,38.94,37.85,38.25,9.5625,2700989
2009-04-14,37.86,38.98,37.67,37.92,9.48,2042673
2009-04-15,37.63,37.66,36.73,37.36,9.34,926662
2009-04-16,37.83,38.08,36.53,37.82,9.455,1399140
2009-04-17,37.76,38.79,37.74,38.33,9.5825,1395365
2009-04-20,37.5,37.5,36.11,36.96,9.24,2030477
2009-04-21,36.77,38.84,36.75,38.79,9.6975,2001777
2009-04-22,38.67,40.75,38.18,40,10,2468200
2009-04-23,39.61,39.67,38.05,39.28,9.82,2541430
2009-04-24,39.62,40.48,39.16,40.17,10.0425,2069721
2009-04-27,39.49,41.15,39.06,40.65,10.1625,1958423
2009-04-28,40.15,40.91,39.84,40.58,10.145,1215342
2009-04-29,40.7,41.95,40.49,41.47,10.3675,1377248
2009-04-30,41.97,43.08,41.68,42.81,10.7025,2700497
2009-05-01,42.16,42.75,41.16,41.41,10.3525,1402590
2009-05-04,41.97,43.63,41.97,43.63,10.9075,2207987
2009-05-05,43.61,45,43.12,44.9,11.225,2905313
2009-05-06,45.11,45.49,43.53,43.87,10.9675,2045378
2009-05-07,44.33,44.33,40.9716,41.18,10.295,2546037
