Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,16.41,17,16.25,16.96,13.214,40983122
2009-01-05,16.85,17.3,16.75,17.11,13.3306,45480551
2009-01-06,17.33,17.98,17.26,17.79,13.8605,58276394
2009-01-07,17.37,17.58,17.11,17.32,13.4942,50263537
2009-01-08,17.23,17.57,17,17.54,13.666,46489622
2009-01-09,17.24,17.26,16.61,16.7,13.0114,68240432
2009-01-12,16.68,16.78,16.03,16.4,12.7776,54975603
2009-01-13,16.29,16.54,16.1124,16.45,12.8166,51936878
2009-01-14,16.1,16.22,15.6,15.74,12.2633,50175827
2009-01-15,15.62,15.95,15.19,15.81,12.318,61826648
2009-01-16,16.22,16.33,15.5,15.82,12.3256,66935323
2009-01-20,15.81,15.93,15.01,15.01,11.6942,57814652
2009-01-21,15.32,15.76,15.05,15.7,12.2323,56241601
2009-01-22,15.38,15.59,15,15.37,11.9755,56676908
2009-01-23,15.04,16.02,15,15.89,12.3803,56556867
2009-01-26,15.85,16.5,15.78,16.3,12.6995,44640243
2009-01-27,16.43,17,16.29,16.73,13.0349,50351536
2009-01-28,17.06,17.19,16.69,16.88,13.1517,60150939
2009-01-29,16.7,16.7,15.8,15.93,12.4114,53240926
2009-01-30,15.91,16.09,14.91,14.97,11.6633,75295497
2009-02-02,14.86,15.46,14.83,15.31,11.9285,55291653
2009-02-03,15.48,15.75,15.01,15.62,12.1702,65941509
2009-02-04,15.72,16.16,15.38,15.84,12.3415,95750520
2009-02-05,15.54,16.65,15.45,16.35,12.7386,115570196
2009-02-06,16.42,17.09,16.21,17.04,13.2761,62909898
2009-02-09,16.99,17.05,16.62,16.85,13.128,37633485
2009-02-10,16.59,16.93,15.92,16.05,12.505,69148864
2009-02-11,16.18,16.27,15.85,16.17,12.5985,46280125
2009-02-12,15.97,16.22,15.63,16.2,12.6218,57651617
2009-02-13,16.2,16.46,15.95,16.1,12.5439,43643260
2009-02-17,15.68,15.76,15.28,15.29,11.9129,47981089
2009-02-18,15.45,15.73,15.15,15.37,11.9755,40633586
2009-02-19,15.46,15.52,15.01,15.04,11.7179,42983526
2009-02-20,14.96,15.34,14.88,15.08,11.7493,59382991
2009-02-23,15.2,15.35,14.31,14.36,11.1886,51689452
2009-02-24,14.39,15.05,14.38,14.99,11.6791,55486802
2009-02-25,14.92,15.13,14.37,14.77,11.5073,56286282
2009-02-26,15.05,15.21,14.49,14.49,11.2894,51015815
2009-02-27,14.3,14.82,14.3,14.57,11.3518,76737766
2009-03-02,14.33,14.78,14.27,14.32,11.157,59924533
2009-03-03,14.49,14.73,14.36,14.39,11.2118,62326519
2009-03-04,14.64,15.52,14.63,15.25,11.8813,69582246
2009-03-05,14.94,15.09,14.51,14.55,11.3362,67034454
2009-03-06,14.58,14.93,13.98,14.18,11.0479,113692164
2009-03-09,14,14.43,13.61,13.62,10.6118,78305971
2009-03-10,14.04,14.79,13.92,14.635,11.4024,71743253
2009-03-11,14.79,15.2,14.52,15.02,11.7024,55007392
2009-03-12,15,15.51,14.77,15.51,12.0841,49618488
2009-03-13,15.46,15.69,15.25,15.51,12.0841,43124501
2009-03-16,15.79,15.88,15.35,15.45,12.0375,50267705
2009-03-17,15.7228,16.15,15.57,16.14,12.5752,52248877
2009-03-18,16.03,16.94,16.02,16.5,12.8554,85030630
2009-03-19,16.68,16.68,16.06,16.23,12.6453,56673233
2009-03-20,16.37,16.57,15.75,15.91,12.3958,66078961
2009-03-23,16.31,17,15.9,16.98,13.2295,64336343
2009-03-24,16.7,17.0425,16.58,16.68,12.996,44614408
2009-03-25,16.5,17.05,16.28,16.57,12.91,64207766
2009-03-26,16.8,17.39,16.76,17.31,13.4866,58051616
2009-03-27,17,17.17,16.85,16.95,13.206,37833604
2009-03-30,16.57,16.57,16.08,16.31,12.7076,45060454
2009-03-31,16.53,17.01,16.37,16.77,13.0661,59050133
2009-04-01,16.51,17.54,16.3,17.46,13.6037,73415210
2009-04-02,17.83,18.61,17.79,18.14,14.1332,88346092
2009-04-03,18.3,18.54,17.95,18.16,14.1488,59474243
2009-04-06,17.56,17.64,17.07,17.53,13.6582,63363139
2009-04-07,17.2,17.25,16.58,16.85,13.128,59902590
2009-04-08,17.29,17.33,16.94,17.13,13.3464,45389036
2009-04-09,17.67,18.08,17.58,17.82,13.8841,53098137
2009-04-13,17.85,18.05,17.76,17.89,13.9385,33973122
2009-04-14,17.8,18.18,17.61,17.93,13.9697,42821461
2009-04-15,17.75,18,17.34,17.56,13.6813,51890519
2009-04-16,17.82,18.18,17.65,18.08,14.0865,51388170
2009-04-17,18.1,18.17,17.83,17.99,14.0167,55985073
2009-04-20,17.71,17.79,17.2,17.31,13.4866,55170924
2009-04-21,17.2,17.79,17.135,17.69,13.7827,45752146
2009-04-22,17.45,18.02,17.43,17.44,13.588,54731375
2009-04-23,17.52,17.64,17.13,17.62,13.7281,44000231
2009-04-24,18.12,18.5,17.97,18.42,14.3511,55667021
2009-04-27,18.1,18.59,18.01,18.37,14.3125,42312865
2009-04-28,18.3,18.96,18.15,18.67,14.546,47826175
2009-04-29,18.83,19.53,18.73,19.25,14.998,48502092
2009-04-30,19.69,19.93,19.1,19.32,15.0527,60350794
2009-05-01,19.24,19.78,19.06,19.58,15.255,40342351
2009-05-04,19.82,19.87,19.26,19.5,15.1929,63902242
2009-05-05,19.5,19.63,19.28,19.63,15.2942,46395411
2009-05-06,19.76,19.85,19.03,19.61,15.2786,93198816
2009-05-07,20,20,18.6,18.95,14.7647,92373283
2009-05-08,19,19.22,18.55,18.73,14.5931,65450933
2009-05-11,18.45,18.83,18.27,18.61,14.4994,44324800
2009-05-12,18.67,18.82,18.55,18.72,14.5852,39761786
2009-05-13,18.49,18.6,18.03,18.05,14.0632,50714941
2009-05-14,18.07,18.29,18.05,18.09,14.0945,43087893
