Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,33,33.66,32.36,33.51,33.51,171996
2009-01-05,33.62,33.73,32.7,33.23,33.23,152949
2009-01-06,33.6,35.02,33.4,34.48,34.48,180762
2009-01-07,33.99,35.27,33.53,34.62,34.62,211343
2009-01-08,34.4,36.42,34.39,35.93,35.93,270585
2009-01-09,36.04,36.04,33.33,33.39,33.39,114261
2009-01-12,33.24,33.47,31.81,32.62,32.62,219692
2009-01-13,32.53,33.31,31.99,32.31,32.31,165147
2009-01-14,31.81,32.75,30.28,30.38,30.38,145353
2009-01-15,30.35,31.57,29.69,31.42,31.42,122473
2009-01-16,31.8,32.33,29.92,31.01,31.01,173664
2009-01-20,30.52,31.39,29.86,29.94,29.94,191329
2009-01-21,29.95,31.55,29.85,31.28,31.28,141630
2009-01-22,30.82,31.3,30.21,30.47,30.47,102572
2009-01-23,29.82,30.47,29.56,29.98,29.98,112626
2009-01-26,30.11,30.74,29.26,29.79,29.79,127328
2009-01-27,29.98,30.45,29.58,30.31,30.31,90629
2009-01-28,30.68,32.16,30.68,32.07,32.07,156098
2009-01-29,31.8,31.8,30.28,30.28,30.28,110370
2009-01-30,30.66,30.87,29.47,29.62,29.62,139338
2009-02-02,29.39,30.39,29.39,30.18,30.18,132216
2009-02-03,30.32,30.46,29.26,29.76,29.76,192620
2009-02-04,29.86,30.04,29.21,29.71,29.71,236617
2009-02-05,29.42,30.23,28.96,29.56,29.56,135511
2009-02-06,29.46,31.41,29.25,30.9,30.9,150240
2009-02-09,30.76,31.46,30.13,30.52,30.52,88399
2009-02-10,30.26,30.77,29.46,29.48,29.48,320523
2009-02-11,29.53,30.04,29.23,29.8,29.8,121704
2009-02-12,29.43,29.97,28.9785,29.54,29.54,126660
2009-02-13,29.65,30.48,28.985,29.55,29.55,88792
2009-02-17,28.76,29.33,27.71,28.65,28.65,199210
2009-02-18,28.78,29.16,27.6,28.75,28.75,323049
2009-02-19,27.95,28.64,26.115,27.98,27.98,480523
2009-02-20,26.95,27.45,25.015,25.95,25.95,1267698
2009-02-23,26.08,26.225,25.36,25.44,25.44,408615
2009-02-24,25.7,26.76,25.01,26.38,26.38,428969
2009-02-25,26.24,26.77,25.47,26.16,26.16,274674
2009-02-26,26.3,26.81,25.42,25.53,25.53,219289
2009-02-27,25.29,26.37,25.25,25.5,25.5,264549
2009-03-02,25.18,25.58,24.83,25,25,469162
2009-03-03,25.4,26.69,24.7101,24.95,24.95,465587
2009-03-04,25.3,26.3,25.1,25.89,25.89,304086
2009-03-05,25.46,25.76,24.92,24.99,24.99,507813
2009-03-06,25.19,25.59,24.54,25.32,25.32,344802
2009-03-09,25.15,25.25,24.11,24.23,24.23,258214
2009-03-10,24.87,25.96,24.38,25.66,25.66,303075
2009-03-11,25.74,26.45,25.56,25.94,25.94,136255
2009-03-12,25.79,26.54,25.37,26.5,26.5,295368
2009-03-13,26.55,26.88,26.03,26.32,26.32,234322
2009-03-16,26.48,26.93,25.88,25.95,25.95,117973
2009-03-17,25.86,26.44,25.33,26.44,26.44,291651
2009-03-18,25.49,28.46,25.49,28.26,28.26,330666
2009-03-19,28.34,28.86,27.98,28.22,28.22,203470
2009-03-20,28.99,28.99,27.37,27.91,27.91,301646
2009-03-23,28.54,29.85,28.17,29.85,29.85,382912
2009-03-24,29.53,30.13,29,29.26,29.26,179450
2009-03-25,29.4,30.74,29.06,30.05,30.05,131284
2009-03-26,30.54,31.02,30.28,30.94,30.94,219798
2009-03-27,30.48,31.22,29.99,30.08,30.08,200522
2009-03-30,29.43,30.32,28.6907,29.69,29.69,175073
2009-03-31,29.95,30.6,29.56,30.25,30.25,358898
2009-04-01,29.95,31.52,29.57,31.1,31.1,252974
2009-04-02,31.68,33.24,31.68,32.4,32.4,386646
2009-04-03,32.42,32.89,32.23,32.75,32.75,148903
2009-04-06,32.1,32.65,31.79,32.55,32.55,121478
2009-04-07,32.04,32.43,31.51,31.58,31.58,128788
2009-04-08,31.6,31.6,31.06,31.3,31.3,412301
2009-04-09,32.03,33.02,31.48,32.98,32.98,277666
2009-04-13,32.7,33.33,32.35,32.67,32.67,347952
2009-04-14,32.28,33.01,31.95,32.16,32.16,92008
2009-04-15,32.04,32.79,31.63,32.73,32.73,100013
2009-04-16,32.93,33.5,32.75,33.34,33.34,177017
2009-04-17,33.45,34.0395,33.07,33.81,33.81,156942
2009-04-20,33.01,33.77,32.62,33.04,33.04,492506
2009-04-21,33.01,33.67,32.89,33.6,33.6,128801
2009-04-22,33,34.37,33,33.39,33.39,139119
2009-04-23,33.52,35.15,33.01,35,35,276400
2009-04-24,35.22,36.31,34.31,35.75,35.75,307846
2009-04-27,35.06,36.08,34.91,35.81,35.81,333649
2009-04-28,35.37,37.29,34.95,36.83,36.83,278724
2009-04-29,36.95,37.95,36.47,37.45,37.45,266147
2009-04-30,37.68,38.19,37.01,37.05,37.05,192693
2009-05-01,37.25,37.73,36.75,37.31,37.31,113547
2009-05-04,37.53,38.05,36.24,36.82,36.82,148403
2009-05-05,36.72,37.3,35.51,36.36,36.36,176529
2009-05-06,36.79,37.03,35.46,36.05,36.05,171420
2009-05-07,36.48,36.64,34.55,34.69,34.69,289854
2009-05-08,35.09,35.67,34.6,35.66,35.66,237390
2009-05-11,35.08,36.88,35.08,36.28,36.28,154749
2009-05-12,36.38,36.67,36.09,36.5,36.5,123652
2009-05-13,35.85,36.35,35.65,36,36,225228
2009-05-14,36.27,36.82,36.19,36.45,36.45,184949
2009-05-15,36.36,36.54,35.3209,35.76,35.76,149789
2009-05-18,36.1,37.02,34.89,36.81,36.81,107978
2009-05-19,36.49,36.94,36.23,36.53,36.53,109763
2009-05-20,36.92,37.51,36.61,36.76,36.76,181541
2009-05-21,36.51,36.86,35.79,36.22,36.22,108521
2009-05-22,36.33,36.83,35.55,36.19,36.19,129925
2009-05-26,35.88,38.08,35.8,37.73,37.73,130811
2009-05-27,37.42,37.48,36.13,36.25,36.25,205894
2009-05-28,36.82,37.33,35.62,35.92,35.92,144635
2009-05-29,36.06,36.06,35.2,35.65,35.65,108396
2009-06-01,36.19,37.45,36.1,37.15,37.15,120075
2009-06-02,36.87,37.91,36.87,37.49,37.49,117856
2009-06-03,37.2,38.69,37.01,38.69,38.69,217891
2009-06-04,38.79,39.02,38.3,38.93,38.93,78676
2009-06-05,39.07,39.79,38.57,38.95,38.95,166726
2009-06-08,38.69,39.34,38.21,38.83,38.83,132965
2009-06-09,39.14,39.71,38.88,39.39,39.39,74097
2009-06-10,39.59,39.75,38.81,39.65,39.65,172826
2009-06-11,39.64,40.44,39.64,40.09,40.09,79656
2009-06-12,39.73,40.12,39.37,40.07,40.07,103682
2009-06-15,39.66,40.28,38.87,39.45,39.45,84596
2009-06-16,39.59,39.94,38.08,38.08,38.08,89182
2009-06-17,38.2,39.4,38.0901,38.53,38.53,160555
2009-06-18,38.58,38.58,37.9,38.14,38.14,117084
2009-06-19,38.25,38.83,38,38.28,38.28,318347
2009-06-22,38.05,38.14,36.98,37.16,37.16,183439
2009-06-23,37.54,38.2,37.54,37.82,37.82,114218
2009-06-24,38.22,38.69,37.55,38.27,38.27,136161
2009-06-25,38.37,38.72,37.99,38.68,38.68,112620
2009-06-26,38.51,39.31,37.79,39.13,39.13,428155
2009-06-29,38.95,39.79,38.8,39.52,39.52,140607
2009-06-30,39.66,40.5,39.62,39.87,39.87,230380
2009-07-01,40.24,40.98,40,40.68,40.68,227499
2009-07-02,40.17,40.17,38.27,38.59,38.59,252158
2009-07-06,38.55,39.02,38.3,38.89,38.89,189121
2009-07-07,38.95,38.95,37.6,37.7,37.7,237331
2009-07-08,37.97,38.37,37.81,37.81,37.81,720146
2009-07-09,38.15,38.15,37.29,37.35,37.35,116452
2009-07-10,37.25,37.54,36.56,37.24,37.24,60034
2009-07-13,37.06,37.06,35.6,36.58,36.58,217984
2009-07-14,36.45,36.73,35.82,36.12,36.12,153523
2009-07-15,36.48,37.39,36.27,37.25,37.25,179221
2009-07-16,37.13,37.59,36.92,37.42,37.42,99526
2009-07-17,37.52,37.52,36.24,36.48,36.48,143593
2009-07-20,36.77,37.975,36.34,36.51,36.51,185833
2009-07-21,36.8,36.8,36.21,36.56,36.56,100249
2009-07-22,36.5,36.88,35.79,35.99,35.99,210700
2009-07-23,35.86,35.86,33.73,33.97,33.97,886601
2009-07-24,33.69,34.72,33.69,34.64,34.64,248041
2009-07-27,34.49,35.51,33.78,35.35,35.35,280187
2009-07-28,35.3,36.4,34.75,36.18,36.18,194815
2009-07-29,36.18,36.9,36,36.64,36.64,503524
2009-07-30,36.96,37.53,36.45,37.08,37.08,227630
2009-07-31,36.83,37.45,36.63,36.73,36.73,234542
2009-08-03,36.81,36.92,36.03,36.9,36.9,189750
2009-08-04,36.55,37.14,36.55,37,37,215737
2009-08-05,37.13,37.13,35.91,36.32,36.32,56121
2009-08-06,36.36,36.76,35.97,36.03,36.03,84714
2009-08-07,36.63,37.08,35.99,36.77,36.77,122767
2009-08-10,36.44,37.37,36.44,37.05,37.05,58664
2009-08-11,36.76,37.01,36.19,36.45,36.45,87850
2009-08-12,36.37,37.2606,36.32,36.81,36.81,72706
2009-08-13,36.89,36.89,36.11,36.37,36.37,86142
2009-08-14,36.21,36.28,35.75,36.13,36.13,217740
2009-08-17,35.54,36.95,35.39,35.9,35.9,104350
2009-08-18,36.14,36.554,35.82,36.25,36.25,81646
2009-08-19,35.93,37.53,35.93,37.11,37.11,222953
2009-08-20,37.14,37.65,36.935,37.5,37.5,183536
2009-08-21,37.93,39.55,37.55,39.36,39.36,176950
2009-08-24,39.47,39.99,39.25,39.53,39.53,135888
2009-08-25,39.73,39.95,39.14,39.25,39.25,88066
2009-08-26,39.02,39.23,38.77,39.11,39.11,59848
2009-08-27,39.1,39.13,38.14,38.69,38.69,231142
2009-08-28,39.08,39.3,38.19,38.36,38.36,46979
2009-08-31,38.15,38.22,37.63,37.93,37.93,85014
2009-09-01,37.6,38.66,37.1,37.39,37.39,155481
2009-09-02,37.41,37.55,36.77,36.79,36.79,100434
2009-09-03,36.84,37.55,35.77,36.73,36.73,114210
2009-09-04,36.38,37.11,36.23,37,37,40927
2009-09-08,37.37,37.71,36.9,37.69,37.69,91371
2009-09-09,37.78,38.45,37.7,38.38,38.38,58877
2009-09-10,38.23,38.64,37.86,38.63,38.63,31050
2009-09-11,38.56,38.82,38.31,38.65,38.65,38326
2009-09-14,38.27,39.34,38.23,39.31,39.31,43019
2009-09-15,39.12,39.31,38.69,39.14,39.14,31026
2009-09-16,38.93,40.31,38.83,40.31,40.31,110964
2009-09-17,40.35,41.42,40.33,41.36,41.36,109236
2009-09-18,41.32,41.32,40.46,41.11,41.11,117389
2009-09-21,40.84,41.14,40.4954,40.61,40.61,46014
2009-09-22,40.49,41.1448,40.49,40.75,40.75,49155
2009-09-23,40.93,41.065,40.13,40.55,40.55,71333
2009-09-24,40.83,40.83,39.71,39.99,39.99,45078
2009-09-25,39.95,40.55,39.72,40.15,40.15,61406
2009-09-28,40.25,41.67,40.17,40.99,40.99,76440
2009-09-29,40.9,41.69,40.9,41.57,41.57,63735
2009-09-30,41.61,41.8,40.73,41.22,41.22,176692
2009-10-01,41.12,41.12,39.32,39.33,39.33,219914
2009-10-02,39.1,39.92,38.13,39.45,39.45,86232
2009-10-05,39.68,40.4,38.86,40.38,40.38,133412
2009-10-06,40.73,41.66,39.91,41.66,41.66,96974
2009-10-07,41.63,42.16,41.42,41.66,41.66,119058
2009-10-08,41.81,42.35,41.55,42.06,42.06,192386
2009-10-09,41.99,43.29,41.87,43.28,43.28,81529
2009-10-12,43.31,43.96,42.8,42.99,42.99,120383
2009-10-13,43,43.06,42.57,42.99,42.99,121332
2009-10-14,43.35,44.48,43,44.43,44.43,149352
2009-10-15,44.27,44.27,43.49,43.61,43.61,110906
2009-10-16,43.48,43.52,42.74,43.1,43.1,154028
2009-10-19,43.38,43.63,42.92,43.41,43.41,172683
2009-10-20,43.49,43.659,41.97,42.01,42.01,263910
2009-10-21,41.78,42.43,40.99,41.65,41.65,299986
2009-10-22,41.58,41.58,38.97,39.93,39.93,550636
2009-10-23,40,41.36,39.87,41.03,41.03,325225
2009-10-26,40.95,41.43,40.42,41.04,41.04,290061
2009-10-27,41.3,41.96,40.43,40.52,40.52,305824
2009-10-28,40.25,40.9,39.34,39.35,39.35,206793
2009-10-29,39.84,39.84,39.27,39.4,39.4,99763
2009-10-30,38.99,39.93,38.29,38.82,38.82,191095
2009-11-02,38.94,38.94,37.77,38.35,38.35,203590
2009-11-03,37.97,38.78,37.89,38.78,38.78,133462
2009-11-04,38.87,39.41,38.29,38.99,38.99,198601
2009-11-05,39.44,39.71,39.11,39.66,39.66,118517
2009-11-06,39.35,39.95,39.27,39.64,39.64,47959
2009-11-09,40.01,40.95,39.35,40.92,40.92,103403
2009-11-10,40.59,41.51,40.52,40.75,40.75,106645
2009-11-11,41.23,41.33,40.69,41.02,41.02,37844
2009-11-12,41.07,41.23,40.14,40.21,40.21,53356
2009-11-13,40.45,41.38,40.06,41.03,41.03,69048
2009-11-16,41.36,42.4,41.36,41.98,41.98,159458
2009-11-17,41.71,42.09,41.53,42.06,42.06,93532
2009-11-18,42.14,42.14,41,41.31,41.31,51292
2009-11-19,40.9,41.13,40.24,40.6,40.6,133712
2009-11-20,40.21,40.61,40.18,40.47,40.47,77401
2009-11-23,41,41.66,40.56,41.64,41.64,223746
2009-11-24,41.54,41.54,40.71,41.03,41.03,123589
2009-11-25,41.09,41.41,40.85,40.91,40.91,41485
2009-11-27,39.43,40.15,39.22,39.32,39.32,42463
2009-11-30,39.37,39.83,38.62,39.73,39.73,104350
2009-12-01,40.18,40.42,39.76,40.11,40.11,123057
2009-12-02,40.02,42.34,40.02,42.04,42.04,349026
2009-12-03,42.11,42.42,40.8,40.81,40.81,96246
2009-12-04,41.65,42.5,41.57,42.15,42.15,206711
2009-12-07,42.02,42.35,41.55,41.85,41.85,139085
2009-12-08,41.66,41.66,40.74,40.9,40.9,178761
2009-12-09,41.01,41.02,40.43,40.6,40.6,46485
2009-12-10,40.88,40.88,39.9,40.08,40.08,98415
2009-12-11,40.4,40.515,39.95,40,40,42872
2009-12-14,40.13,40.44,39.66,40.44,40.44,128834
2009-12-15,39.54,40.71,39.54,40,40,130944
2009-12-16,40.32,40.38,39.63,40.13,40.13,69090
2009-12-17,40,40.32,40,40.02,40.02,148369
2009-12-18,40.47,40.82,40.05,40.79,40.79,265401
2009-12-21,40.89,41.45,40.78,41.12,41.12,57720
2009-12-22,41.12,41.78,40.9,41.66,41.66,97945
2009-12-23,41.8,42.49,41.505,42.28,42.28,50425
2009-12-24,42.31,42.48,42.2,42.38,42.38,22676
2009-12-28,42.5,42.9,42.11,42.81,42.81,140687
2009-12-29,43,43.14,42.57,43.1,43.1,85235
2009-12-30,42.85,43.16,42.21,42.93,42.93,95211
2009-12-31,42.97,43.46,41.71,41.77,41.77,146354
2010-01-04,42.38,42.73,41.87,42.25,42.25,70976
2010-01-05,42.29,42.55,41.885,42.45,42.45,93212
2010-01-06,42.85,43.33,42.36,42.5,42.5,123158
2010-01-07,42.59,42.59,41.64,42.42,42.42,39552
2010-01-08,42.23,42.57,42.04,42.34,42.34,41421
2010-01-11,42.46,42.47,41.92,42.36,42.36,34805
2010-01-12,42.08,42.39,41.63,41.72,41.72,51981
2010-01-13,41.83,42.18,41.26,41.52,41.52,80820
2010-01-14,41.51,42.52,41.47,42.49,42.49,75156
2010-01-15,42.64,42.69,41.19,41.42,41.42,130777
2010-01-19,41.62,42,41.26,41.95,41.95,87682
2010-01-20,41.61,41.72,40.11,40.93,40.93,77566
2010-01-21,40.93,41.54,40.09,41.02,41.02,113000
2010-01-22,41.11,41.47,40.51,40.61,40.61,133676
2010-01-25,40.84,41.5,40.1575,41.04,41.04,122716
2010-01-26,40.99,41.03,40.47,40.66,40.66,108713
2010-01-27,40.34,41.2,40.28,41,41,92307
2010-01-28,40.97,41.53,40.56,40.62,40.62,89564
2010-01-29,40.69,41.339,40.36,40.38,40.38,60260
2010-02-01,40.65,40.92,39.81,40.02,40.02,267699
2010-02-02,40.17,40.17,39.04,39.04,39.04,196218
2010-02-03,38.77,40,38.47,39.05,39.05,104615
2010-02-04,38.82,38.94,38.11,38.22,38.22,123342
2010-02-05,38.28,38.6,37.45,38.5,38.5,82788
2010-02-08,38.59,38.63,38.1,38.45,38.45,52294
2010-02-09,38.78,39,38.13,38.65,38.65,54168
2010-02-10,38.46,38.92,38.18,38.77,38.77,43581
2010-02-11,38.53,39.51,38.13,39.45,39.45,71599
2010-02-12,38.98,39.28,38.725,39.02,39.02,126755
2010-02-16,39.3,39.5,38.89,39.5,39.5,92737
2010-02-17,39.74,39.86,39.47,39.85,39.85,123130
2010-02-18,38.45,40.36,38.45,40.06,40.06,146806
2010-02-19,40.07,40.33,40,40.18,40.18,79170
2010-02-22,42.11,42.11,40.11,40.65,40.65,134006
2010-02-23,40.46,40.92,39.7,39.83,39.83,285699
2010-02-24,39.85,39.87,39.46,39.82,39.82,86902
2010-02-25,39.11,39.49,38.63,39.47,39.47,192528
2010-02-26,39.51,40.22,39.21,39.35,39.35,341436
2010-03-01,39.44,40.14,39.26,39.63,39.63,165567
2010-03-02,39.66,40.125,39.66,39.96,39.96,129225
2010-03-03,40.15,41.11,39.98,41.05,41.05,269749
2010-03-04,41,41.38,40.68,41.11,41.11,65294
2010-03-05,41.51,42.3,41.51,41.91,41.91,171062
2010-03-08,42.02,42.15,41.24,41.31,41.31,89772
2010-03-09,41.12,41.86,41.12,41.37,41.37,153805
2010-03-10,41.29,41.87,41.29,41.8,41.8,117739
2010-03-11,41.51,42.01,41.5,41.99,41.99,67975
2010-03-12,42,42.58,41.78,42.29,42.29,232881
2010-03-15,42.34,43.48,42.34,42.87,42.87,249071
2010-03-16,43.09,43.09,42.38,42.73,42.73,56953
2010-03-17,42.7,42.9,42.49,42.5,42.5,60931
2010-03-18,42.22,42.75,42.22,42.58,42.58,76996
2010-03-19,42.82,42.82,41.77,42,42,136617
2010-03-22,41.72,42.93,41.72,42.62,42.62,42179
2010-03-23,42.57,43.25,42.43,42.97,42.97,57326
2010-03-24,42.76,43.24,42.02,42.05,42.05,68780
2010-03-25,42.19,42.54,41.55,41.56,41.56,51550
2010-03-26,41.84,41.84,40.79,41.09,41.09,74983
2010-03-29,41.1,41.43,41.04,41.31,41.31,37902
2010-03-30,41.24,42.32,41.24,42.03,42.03,124155
2010-03-31,41.73,42.66,41.5,41.52,41.52,160040
2010-04-01,41.53,42.4,41.08,41.78,41.78,134611
2010-04-05,41.79,42.79,41.79,42.79,42.79,86402
