Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,20.67,21.38,20.35,21.31,18.1534,442658
2009-01-05,21.23,21.46,20.69,21.32,18.1617,421111
2009-01-06,21.52,21.78,21.33,21.62,18.4175,491604
2009-01-07,21.4,22.01,21.3845,21.75,18.5285,753720
2009-01-08,21.74,21.78,21.21,21.61,18.4087,342739
2009-01-09,21.46,21.58,20.64,20.97,17.8638,273943
2009-01-12,21,21.1,20.41,20.64,17.5827,355340
2009-01-13,20.49,20.99,20.33,20.78,17.7016,374378
2009-01-14,20.41,20.57,19.74,20,17.0372,293512
2009-01-15,19.67,20.28,19.13,20.13,17.1483,326989
2009-01-16,20.44,20.81,19.52,19.94,16.9861,563769
2009-01-20,19.87,20.04,18.865,18.92,16.1176,315454
2009-01-21,18.94,19.03,18.04,18.58,15.8276,1042187
2009-01-22,18.25,18.61,17.93,18.43,15.7001,617029
2009-01-23,17.93,18.58,17.92,18.23,15.5296,572573
2009-01-26,18.31,18.82,18.0911,18.59,15.8365,398571
2009-01-27,18.77,19.24,18.77,19.04,16.2196,388571
2009-01-28,19.27,19.8,19.27,19.67,16.7564,339328
2009-01-29,19.47,19.6,18.94,19.18,16.3389,356989
2009-01-30,19.07,19.3,18.41,18.67,15.9043,352187
2009-02-02,18.32,18.61,18.13,18.51,15.7682,540862
2009-02-03,18.46,18.86,18.38,18.66,15.8959,513671
2009-02-04,18.71,19.04,18.464,18.57,15.8192,394824
2009-02-05,18.49,19.91,18.16,19.57,16.6709,442554
2009-02-06,20.07,22.12,20.07,21.87,18.6302,1014966
2009-02-09,22.02,22.02,21.34,21.64,18.4343,617626
2009-02-10,21.55,22.06,20.99,21.2,18.0597,632042
2009-02-11,21.23,21.62,21.14,21.43,18.2556,400780
2009-02-12,21.16,21.55,20.885,21.52,18.3322,540097
2009-02-13,21.63,21.91,21.35,21.41,18.2386,354577
2009-02-17,20.78,21.19,20.45,20.86,17.7697,414011
2009-02-18,20.87,21.29,20.51,21.01,18.0321,469701
2009-02-19,21.14,21.33,20.96,21.01,18.0321,509365
2009-02-20,20.74,21.37,19.99,20.42,17.5256,632758
2009-02-23,20.6,20.73,19.33,19.35,16.6071,333860
2009-02-24,19.61,20.47,19.11,20.25,17.3796,464152
2009-02-25,20.08,20.2,19.3,19.69,16.8989,418845
2009-02-26,19.94,20.01,19.2,19.3,16.5642,436142
2009-02-27,18.94,20.33,18.83,19.82,17.0102,643726
2009-03-02,19.53,19.58,18.63,19.09,16.3841,740625
2009-03-03,19.3,19.35,18.37,18.72,16.0663,604200
2009-03-04,18.73,19.53,18.62,19.24,16.5129,648825
2009-03-05,18.88,19.2,18.14,18.27,15.6802,340605
2009-03-06,18.62,18.76,17.76,18.11,15.5427,762558
2009-03-09,18.07,18.7793,18.07,18.34,15.7401,393517
2009-03-10,18.57,19.63,18.46,19.56,16.7872,655801
2009-03-11,19.69,20.24,19.45,19.98,17.1479,426622
2009-03-12,19.86,20.62,19.34,20.51,17.6023,504917
2009-03-13,20.69,20.94,20.32,20.84,17.8855,293424
2009-03-16,21,21.41,20.7,20.76,17.8174,293038
2009-03-17,20.81,20.96,20.53,20.72,17.783,586935
2009-03-18,20.7,21.41,20.36,21.26,18.2464,480749
2009-03-19,21.5,21.67,21.09,21.23,18.2206,295116
2009-03-20,21.34,21.47,20.4,20.54,17.6282,357541
2009-03-23,20.93,21.96,20.41,21.96,18.8466,489362
2009-03-24,21.61,22.44,21.61,21.92,18.8129,387198
2009-03-25,21.99,22.68,21.4105,22.1,18.9673,241104
2009-03-26,21.11,21.48,20.44,20.64,17.7143,1132397
2009-03-27,20.35,20.87,20.14,20.45,17.5514,654596
2009-03-30,19.96,20.08,19.22,19.38,16.6327,496038
2009-03-31,19.5,20.22,19.14,19.63,16.8471,635446
2009-04-01,19.31,20.13,18.88,20.07,17.2252,633405
2009-04-02,20.52,20.92,20.48,20.7,17.7659,682000
2009-04-03,20.76,21.15,20.48,20.86,17.9029,412718
2009-04-06,20.77,21.07,20.56,20.81,17.8599,628306
2009-04-07,20.25,20.32,19.69,19.74,16.942,504758
2009-04-08,19.9,20.09,19.74,20.08,17.2334,322578
2009-04-09,20.44,21.11,20.43,21.01,18.0321,431257
2009-04-13,20.89,21.05,20.39,20.96,17.9887,439010
2009-04-14,20.78,21.02,20.4,20.69,17.757,369205
2009-04-15,20.67,21.12,20.62,21.08,18.0919,431095
2009-04-16,21.29,21.41,20.93,21.23,18.2206,539132
2009-04-17,21.3,21.43,20.93,21.2,18.1947,548725
2009-04-20,20.79,20.99,20.18,20.26,17.3881,353979
2009-04-21,20.25,20.48,19.75,20,17.1649,832139
2009-04-22,19.85,21.28,19.81,20.87,17.9113,1259987
2009-04-23,20.87,21,20.48,20.81,17.8599,391516
2009-04-24,20.8,21.06,20.42,20.83,17.8776,825369
2009-04-27,20.66,21.33,20.32,21.22,18.2122,508555
2009-04-28,21.11,21.82,20.95,21.47,18.4267,560777
2009-04-29,21.59,22.51,21.53,22.44,19.2588,943002
2009-04-30,22.55,23.31,22.44,22.75,19.525,783815
2009-05-01,22.66,23.92,22.5,23.53,20.1943,866865
2009-05-04,23.52,24.15,23.34,24.13,20.7095,740652
2009-05-05,24.32,24.3399,23.72,23.95,20.5553,429104
2009-05-06,24.03,24.24,23.23,23.77,20.4006,529289
2009-05-07,24.02,24.08,23.1,23.35,20.0405,436879
2009-05-08,23.7,23.8,22.93,23.19,19.9031,1137393
2009-05-11,23.12,23.39,22.67,23.17,19.8853,358565
2009-05-12,23.21,23.39,22.41,22.7,19.4823,317742
2009-05-13,22.48,22.48,21.52,21.75,18.6667,449899
2009-05-14,21.55,22.49,21.55,22.36,19.3281,566617
2009-05-15,22.22,22.76,22.09,22.64,19.5699,577503
2009-05-18,22.83,23.01,22.54,22.88,19.7778,398861
2009-05-19,22.92,23.51,22.66,23.37,20.2013,378713
2009-05-20,23.46,23.91,23.05,23.3,20.1403,546938
2009-05-21,23.14,23.14,22.38,22.68,19.6047,447321
2009-05-22,22.85,23.1697,22.56,22.86,19.7603,338541
2009-05-26,22.69,23.93,22.5,23.51,20.3222,361076
2009-05-27,23.44,23.54,22.96,23.15,20.0108,437096
2009-05-28,23.1,23.12,22.2324,22.63,19.5616,379319
2009-05-29,22.75,22.96,22.62,22.87,19.7691,408430
2009-06-01,23.27,23.63,23.07,23.37,20.2013,520313
2009-06-02,23.4,23.57,23.12,23.34,20.175,456691
2009-06-03,23.12,23.37,22.75,23.37,20.2013,590797
2009-06-04,23.42,24.09,23.37,24.02,20.7629,783942
2009-06-05,24.13,24.87,23.98,24.86,21.4892,1156827
2009-06-08,24.52,24.98,24.25,24.64,21.299,487053
2009-06-09,24.63,25.3,24.5,25.2,21.7831,727383
2009-06-10,25.2,25.62,25.1,25.51,22.051,502193
2009-06-11,25.61,26.29,25.55,25.97,22.4484,462106
2009-06-12,25.9,26.17,25.4,26.05,22.5177,384100
2009-06-15,25.68,26.05,25.41,25.58,22.1118,485120
2009-06-16,25.66,25.86,24.79,24.82,21.4547,319618
2009-06-17,24.92,24.92,24.41,24.69,21.3422,250444
2009-06-18,24.71,24.97,24.37,24.75,21.3937,329678
2009-06-19,25.05,25.18,24.59,24.68,21.3339,299236
2009-06-22,24.5,24.5,23.8,24,20.7456,295323
2009-06-23,24.03,24.14,23.44,24,20.7456,426137
2009-06-24,24.08,24.25,23.91,23.99,20.7373,264274
2009-06-25,23.99,24.74,23.77,24.74,21.3853,218721
2009-06-26,24.53,24.71,24.35,24.65,21.3077,679920
2009-06-29,24.72,24.99,24.25,24.4,21.0914,250894
2009-06-30,24.4,24.54,23.98,24.04,20.7804,496652
2009-07-01,24.25,24.97,24.16,24.79,21.4287,433871
2009-07-02,24.54,24.79,24.03,24.06,20.7974,183203
2009-07-06,24,24.16,23.37,24.09,20.8234,567504
2009-07-07,24.02,24.05,23.14,23.2,20.0539,528259
2009-07-08,23.2,23.48,22.64,22.85,19.7515,455215
2009-07-09,22.88,22.99,22.31,22.6,19.5356,325828
2009-07-10,22.4,22.89,22.225,22.79,19.6999,255745
2009-07-13,22.85,23.03,22.29,23,19.8813,179489
2009-07-14,22.96,23.39,22.87,23.33,20.1665,379800
2009-07-15,23.71,24.13,23.71,24.05,20.789,589868
2009-07-16,23.88,24.1,23.85,24.02,20.7629,401622
2009-07-17,23.95,24.2,23.81,24.05,20.789,321569
2009-07-20,24.05,24.59,24,24.57,21.2384,312173
2009-07-21,24.8,25.39,24.8,25.28,21.852,1023428
2009-07-22,26.07,29.17,26.07,28.65,24.7653,2948967
2009-07-23,28.71,31.08,28.71,30.91,26.7189,2441997
2009-07-24,30.71,31.06,30.32,30.8,26.6237,665177
2009-07-27,30.67,31.13,30.53,30.73,26.5634,761875
2009-07-28,30.43,31.67,30.43,31.27,27.0301,711535
2009-07-29,31.33,31.7,30.87,30.92,26.7273,927918
2009-07-30,31.48,31.85,31.05,31.39,27.1337,608696
2009-07-31,31.39,31.87,31.29,31.33,27.0822,587749
2009-08-03,31.5,32.25,31.12,32.2,27.8341,732468
2009-08-04,32.16,32.86,32,32.85,28.3958,611623
2009-08-05,32.89,32.89,32.09,32.59,28.1708,609211
2009-08-06,32.61,32.74,31.98,32.44,28.0416,487626
2009-08-07,32.9,33.25,32.21,33.24,28.7329,740442
2009-08-10,33.24,33.29,32.44,32.68,28.2486,525158
2009-08-11,32.66,32.66,32,32.6,28.1797,564354
2009-08-12,32.65,32.73,32.17,32.54,28.2663,528895
2009-08-13,32.58,33.19,32.49,33.15,28.7962,447543
2009-08-14,33.05,33.18,32.19,32.47,28.2058,431549
2009-08-17,31.87,32.01,31.57,31.62,27.4672,250241
2009-08-18,31.87,32.4,31.74,32.36,28.1099,315609
2009-08-19,32.1,32.84,32,32.72,28.4224,314579
2009-08-20,32.66,32.85,32.47,32.63,28.3447,266535
2009-08-21,32.94,33.56,32.75,33.5,29.1003,419910
2009-08-24,33.44,33.85,33.32,33.55,29.144,298239
2009-08-25,33.6,33.84,33.43,33.65,29.2309,393615
2009-08-26,33.7,33.75,33.3,33.47,29.0744,344882
2009-08-27,33.52,33.8175,32.6,33.36,28.9789,239042
2009-08-28,33.57,33.83,32.9102,33.21,28.8485,298631
2009-08-31,32.94,33.01,32.3,32.99,28.6574,435844
2009-09-01,32.92,33.7,32.11,32.24,28.0058,495370
2009-09-02,32.19,32.4299,31.9,32.01,27.806,305478
2009-09-03,32.19,32.3,31.82,32.24,28.0058,356513
2009-09-04,32.15,32.49,31.63,32.46,28.1969,200863
2009-09-08,32.58,33,32.05,32.3,28.0578,779173
2009-09-09,32.45,32.78,32.24,32.56,28.2841,416867
2009-09-10,32.64,33.51,32.34,33.51,29.109,634746
2009-09-11,33.65,33.9,33.1,33.39,29.0051,493756
2009-09-14,33.26,33.43,32.88,33.27,28.9006,379180
2009-09-15,33.35,33.42,33.03,33.3,28.9269,443021
2009-09-16,33.48,33.87,33.25,33.76,29.3263,503296
2009-09-17,33.81,34.033,33.54,33.83,29.387,406403
2009-09-18,33.78,34.21,33.67,33.83,29.387,351968
2009-09-21,33.49,34.66,33.41,34.6,30.0557,566666
2009-09-22,34.87,34.87,34.01,34.47,29.943,370833
2009-09-23,34.44,34.88,34.21,34.57,30.0296,414618
2009-09-24,34.63,34.76,33.33,33.83,29.387,389563
2009-09-25,33.88,34,33.3,33.38,28.9962,242820
2009-09-28,33.52,34.59,33.33,34.18,29.6911,174809
2009-09-29,34.18,35,34.09,34.63,30.082,541683
2009-09-30,34.5,34.74,33.46,33.91,29.4564,527266
2009-10-01,33.97,34.1,33.3,33.34,28.9615,324598
2009-10-02,33.02,33.4,32.2,32.48,28.2147,486307
2009-10-05,32.49,33.46,32.28,33.46,29.0656,289170
2009-10-06,33.58,34.5,33.45,34.41,29.8909,407200
2009-10-07,34.22,34.55,34.18,34.42,29.8997,371372
2009-10-08,34.65,34.96,34.42,34.78,30.2121,263067
2009-10-09,34.73,34.97,34.55,34.93,30.3425,205409
2009-10-12,34.91,36.17,34.91,35.83,31.1246,572689
2009-10-13,35.84,36.47,35.51,35.74,31.0462,389329
2009-10-14,36.18,36.39,35.92,36.28,31.5155,162828
2009-10-15,35.96,36.32,35.74,36.13,31.3847,396153
2009-10-16,35.8,35.8,35.32,35.58,30.9074,289027
2009-10-19,35.72,36.655,35.495,36.19,31.437,605439
2009-10-20,35.9,36,32.24,34.05,29.5783,1732764
2009-10-21,34.16,34.67,33.02,33.16,28.8052,620501
2009-10-22,33.12,33.86,32.8,33.71,29.283,421816
2009-10-23,33.66,33.68,32.84,33.06,28.7184,389141
2009-10-26,33,33.7,32.32,32.87,28.5532,569109
2009-10-27,33.05,33.25,32.51,32.6,28.3189,389890
2009-10-28,32.64,32.69,31.31,31.54,27.3977,522114
2009-10-29,31.8,32.04,31.54,31.82,27.6412,349334
2009-10-30,31.72,31.79,30.58,31.04,26.9637,457805
2009-11-02,31.03,31.78,30.56,31.05,26.9721,361467
2009-11-03,30.96,31.83,30.68,31.68,27.5192,416427
2009-11-04,31.88,31.93,31.03,31.17,27.0762,431118
2009-11-05,31.46,32.2,31.17,32.19,27.9625,264499
2009-11-06,31.81,32.35,31.64,32.04,27.8321,351025
2009-11-09,32.25,32.62,32.11,32.42,28.1623,227694
2009-11-10,32.19,33.19,32.19,33.09,28.7441,488337
2009-11-11,33.29,33.86,32.92,33.79,29.3526,377384
2009-11-12,33.67,33.88,32.62,32.72,28.5578,228220
2009-11-13,32.92,33.33,32.52,33.27,29.0379,320068
2009-11-16,33.49,34.16,33.28,33.72,29.4309,224670
2009-11-17,33.5,33.71,33.09,33.6,29.3263,301902
2009-11-18,33.64,33.74,33.2,33.35,29.108,180676
2009-11-19,33.11,33.11,32.48,32.77,28.6019,209890
2009-11-20,32.54,32.76,32.24,32.68,28.5234,165603
2009-11-23,33.05,33.43,32.76,32.9,28.7153,297240
2009-11-24,32.99,33.11,32.51,32.86,28.6804,231175
2009-11-25,32.82,33.01,32.59,32.68,28.5234,245579
2009-11-27,31.94,32.54,31.77,32.11,28.0256,86981
2009-11-30,32.17,32.25,31.76,32.11,28.0256,292660
2009-12-01,32.38,32.64,32.23,32.3,28.1913,266728
2009-12-02,32.25,33.15,32.18,33.08,28.8723,290174
2009-12-03,33.22,33.54,32.57,32.61,28.4622,225931
2009-12-04,33.24,33.79,32.98,33.53,29.2647,319848
2009-12-07,33.4,33.62,32.68,32.87,28.6892,964985
2009-12-08,32.73,32.915,32.24,32.48,28.349,1769804
2009-12-09,32.37,33.13,32.18,33.02,28.82,368942
2009-12-10,33.27,33.44,32.75,32.83,28.6541,189145
2009-12-11,32.9,33.31,32.87,33.2,28.9773,166401
2009-12-14,33.35,33.54,32.99,33.53,29.2647,205534
2009-12-15,33.34,33.82,33.13,33.69,29.4048,279939
2009-12-16,33.78,34.08,33.67,33.92,29.6052,194367
2009-12-17,33.72,34.16,33.48,33.94,29.6232,427267
2009-12-18,34.11,34.35,33.86,34,29.6753,529444
2009-12-21,34.05,34.45,34.03,34.17,29.8237,397963
2009-12-22,34.35,34.82,34.35,34.6,30.1991,323732
2009-12-23,34.53,34.97,34.52,34.73,30.3125,236942
2009-12-24,34.86,34.97,34.6901,34.87,30.4346,82233
2009-12-28,34.99,35.14,34.74,34.92,30.4781,246497
2009-12-29,35.06,35.18,34.87,35.01,30.5569,306771
2009-12-30,34.97,35.32,34.85,35.02,30.5657,155124
2009-12-31,34.99,35.02,34.26,34.26,29.9026,235707
2010-01-04,34.41,35.23,34.41,35.11,30.6438,286600
2010-01-05,35.1,35.68,35,35.17,30.6963,463689
2010-01-06,35.19,35.51,35,35.05,30.5915,268001
2010-01-07,34.91,35.73,34.685,35.63,31.0982,256710
2010-01-08,35.32,35.53,34.98,35.4,30.8973,242659
2010-01-11,35.44,35.99,35.13,35.95,31.3774,201678
2010-01-12,35.78,36.54,35.78,36.28,31.6654,400491
2010-01-13,36.47,36.55,35.9375,36.55,31.901,314764
2010-01-14,36.41,37,36.41,36.87,32.18,205652
2010-01-15,36.71,36.81,35.69,35.9,31.3338,281758
2010-01-19,35.83,36.47,35.76,36.41,31.7792,189739
2010-01-20,36.15,36.63,35.695,36.57,31.9183,247636
2010-01-21,36.5,36.8,35.73,35.88,31.316,193368
2010-01-22,35.95,36.05,34.82,34.92,30.4781,227530
2010-01-25,35.24,35.4,34.73,34.77,30.3476,166877
2010-01-26,34.63,35.02,34.22,34.61,30.2073,286019
2010-01-27,34.53,34.63,33.86,34.14,29.7976,344549
2010-01-28,34.14,34.29,33.51,33.9,29.5877,237118
2010-01-29,33.88,34.2,33.43,33.52,29.2567,454135
2010-02-01,33.69,34.19,33.65,34.04,29.7103,183485
2010-02-02,34.03,34.53,33.8,34.21,29.8584,526524
2010-02-03,34.91,36.73,34.5,35.68,31.1415,1060460
2010-02-04,35.53,36.18,35.15,35.63,31.0982,540170
2010-02-05,35.78,35.81,33.68,34.25,29.8934,1227210
2010-02-08,34.26,34.57,33.49,34.21,29.8584,336623
2010-02-09,34.61,34.92,34.29,34.4,30.0247,259649
2010-02-10,34.22,34.35,33.8,33.89,29.5793,160711
2010-02-11,33.93,34.54,33.5,34.45,30.0683,400771
2010-02-12,34.07,34.57,33.89,34.51,30.1204,374948
2010-02-16,34.86,35.04,34.69,35,30.5477,205976
2010-02-17,34.91,35.05,34.39,34.49,30.2409,246956
2010-02-18,34.63,34.8,34.23,34.75,30.4692,244302
2010-02-19,34.66,34.91,34.44,34.7,30.4253,154508
2010-02-22,34.83,34.83,34.39,34.49,30.2409,98636
2010-02-23,34.44,34.68,34.19,34.33,30.1012,190735
2010-02-24,34.5,34.99,34.44,34.77,30.4867,370982
2010-02-25,34.32,34.86,34.07,34.74,30.4604,436265
2010-02-26,34.67,34.67,34.23,34.3,30.0747,363394
2010-03-01,34.43,35.34,34.19,35.32,30.9691,381158
2010-03-02,35.31,35.87,35.19,35.78,31.3724,408767
2010-03-03,35.75,36.03,35.41,35.69,31.2932,258388
2010-03-04,35.82,36.06,35.61,35.76,31.3548,233817
2010-03-05,35.79,36.09,35.79,36.03,31.5915,196927
2010-03-08,36.18,36.47,36.16,36.35,31.8723,283440
2010-03-09,36.3,37.27,36.25,37.18,32.5996,669458
2010-03-10,37.11,37.1525,36.67,37.08,32.5123,366579
2010-03-11,36.87,37.24,36.41,37.05,32.4861,247985
2010-03-12,36.98,37.43,36.8,37.28,32.6875,223151
2010-03-15,37.33,37.68,37.03,37.61,32.9771,251885
2010-03-16,37.56,37.96,37.39,37.93,33.2573,245960
2010-03-17,38.11,38.57,37.96,38.19,33.4855,227430
2010-03-18,38.09,38.21,37.74,37.93,33.2573,162557
2010-03-19,37.9,38.17,37.27,37.58,32.9505,481488
2010-03-22,37.27,38.12,37.03,38.07,33.38,120587
2010-03-23,37.95,38.76,37.95,38.68,33.9149,256164
2010-03-24,38.63,38.82,38.44,38.55,33.8012,321782
2010-03-25,38.82,39.22,38.55,38.63,33.8713,601724
2010-03-26,38.72,38.82,38.2175,38.3,33.582,527550
2010-03-29,38.46,38.6,38.3,38.46,33.7223,411306
2010-03-30,38.42,38.7,38.1375,38.43,33.6959,196775
2010-03-31,38.27,38.53,38.08,38.1,33.4065,231488
2010-04-01,38.34,38.53,38.09,38.38,33.6521,171296
2010-04-05,38.5,38.82,38.38,38.55,33.8012,272836
2010-04-06,38.29,38.88,38.29,38.67,33.9064,291801
2010-04-07,38.56,39.21,38.405,38.83,34.0468,286296
2010-04-08,38.66,38.66,37.87,38.39,33.6608,223026
2010-04-09,38.38,38.525,37.93,38.16,33.4593,308525
2010-04-12,38.28,38.39,37.76,38.04,33.354,367547
2010-04-13,37.89,38.47,37.78,38.41,33.6785,266958
2010-04-14,38.45,39.18,38.25,39.18,34.3532,220372
2010-04-15,38.91,39.34,38.91,39.12,34.3008,227546
2010-04-16,38.9,39.13,38.19,38.76,33.9853,274199
2010-04-19,38.55,38.96,38.2499,38.82,34.038,170641
2010-04-20,38.95,39.59,38.79,39.39,34.5378,197706
2010-04-21,39.49,39.68,39.1,39.6,34.7215,215654
2010-04-22,39.4,40.85,39.235,40.75,35.7298,407193
2010-04-23,40.86,41.14,40.74,41.08,36.0196,195457
2010-04-26,41.13,41.74,41.1,41.63,36.5019,330096
2010-04-27,41.34,41.63,39.57,39.79,34.8882,1559337
2010-04-28,40.05,40.1,39.31,39.4,34.5465,775042
2010-04-29,39.55,39.55,38.58,38.87,34.0817,719310
2010-04-30,38.81,38.98,37.71,37.73,33.0821,484655
2010-05-03,37.9,39,37.77,38.9,34.1082,397494
2010-05-04,38.54,38.84,37.92,38.75,33.9765,480932
2010-05-05,38.61,38.7,37.86,38.13,33.4331,642620
2010-05-06,38.06,38.67,36.05,37.43,32.8189,602662
2010-05-07,37.48,37.56,36.42,36.5,32.0037,551349
2010-05-10,37.36,39,37.36,38.99,34.1868,432866
2010-05-11,38.56,39.35,38.32,38.95,34.1517,296428
2010-05-12,39,40.59,38.94,40.47,35.4848,391967
2010-05-13,40.21,40.77,39.923,40.47,35.4848,444701
2010-05-14,40.16,40.64,40.09,40.35,35.3793,888541
2010-05-17,40.4,41.15,39.85,40.52,35.5283,709224
2010-05-18,40.76,40.88,39.72,40,35.0724,913538
2010-05-19,39.71,40.11,38.62,39,34.3328,359912
2010-05-20,38.24,38.24,37.03,37.64,33.1356,946155
2010-05-21,37.17,38.2,37.01,38.13,33.567,646508
2010-05-24,37.9,38.61,37.77,38.2,33.6284,765295
2010-05-25,37.36,37.8,36.73,37.69,33.1797,700445
2010-05-26,37.88,38.846,37.57,38.04,33.4878,540057
2010-05-27,38.5,39.49,38.49,39.49,34.7643,299253
2010-05-28,39.4,39.44,38.43,38.89,34.236,345960
2010-06-01,38.66,39.54,38.51,39.02,34.3504,613079
2010-06-02,39.31,39.7806,38.75,39.78,35.0197,432530
2010-06-03,39.63,40.39,39.39,40.01,35.222,311524
