Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,27.3,28.47,27.11,28.42,11.7896,1316099
2009-01-05,28.26,28.67,27.61,28.15,11.6774,2449813
2009-01-06,28.26,28.77,27.75,28.26,11.7229,2537664
2009-01-07,27.79,28.24,27.26,27.78,11.5239,2558956
2009-01-08,27.7,28.7,27.6,28.69,11.9013,1868547
2009-01-09,28.69,28.69,27.56,27.79,11.528,1798046
2009-01-12,27.92,27.99,26.47,26.75,11.0968,1999106
2009-01-13,26.55,27.28,26.45,27.13,11.2542,2075363
2009-01-14,27.09,27.09,25.95,26.49,10.9889,4143015
2009-01-15,26.4,26.7,25.83,26.53,11.0055,3392372
2009-01-16,26.91,27.41,26.74,27.16,11.2667,2304083
2009-01-20,27.02,27.1,26.46,26.54,11.0098,2803472
2009-01-21,26.88,27.8,26.57,27.8,11.5324,2723902
2009-01-22,27.33,27.99,27.14,27.66,11.474,2465478
2009-01-23,27.09,28.39,26.91,28.26,11.7229,2560143
2009-01-26,28.36,29.03,27.99,28.82,11.9553,2013675
2009-01-27,28.74,29.22,28.54,28.75,11.9265,1704272
2009-01-28,29.02,29.2,28.04,28.31,11.7437,3595081
2009-01-29,28.28,28.28,27.22,27.31,11.3289,2206391
2009-01-30,27.49,27.7603,26.93,27.14,11.2585,2836919
2009-02-02,26.8,27.64,26.77,27.51,11.4118,2153422
2009-02-03,27.59,27.79,27.13,27.66,11.474,1694563
2009-02-04,27.73,27.86,27.1,27.25,11.3042,1540223
2009-02-05,26.98,27.7,26.85,27,11.2003,3141671
2009-02-06,27.17,27.8,27.08,27.75,11.5113,1951056
2009-02-09,27.41,28.14,27.41,27.7,11.4909,1574227
2009-02-10,27.55,27.98,26.62,26.78,11.1091,2113479
2009-02-11,26.85,27.14,26.4812,26.8,11.1176,2015530
2009-02-12,26.3,26.75,26.04,26.74,11.0926,2146654
2009-02-13,27.1,27.87,26.89,26.92,11.1672,2384529
2009-02-17,26.53,26.53,24.84,25.13,10.4245,3216881
2009-02-18,25.23,25.45,24.85,25.27,10.4827,2650211
2009-02-19,25.82,26.02,25.05,25.12,10.4207,3377696
2009-02-20,24.59,26.26,24.59,26.17,10.8561,4846859
2009-02-23,26.16,26.55,25.57,25.67,10.6487,3297052
2009-02-24,25.91,26.81,25.52,26.69,11.0717,3429421
2009-02-25,26.54,27.28,25.88,26.89,11.1545,2854449
2009-02-26,26.92,27.04,25.79,26.06,10.8104,5106099
2009-02-27,25.75,26.8309,25.57,26.33,10.9225,3691950
2009-03-02,25.99,26.14,25.06,25.23,10.4662,2990701
2009-03-03,25.58,25.58,23.82,23.83,9.8855,4318239
2009-03-04,24.38,25.95,24.11,25.45,10.5574,3200093
2009-03-05,25.15,25.445,24.72,25.15,10.433,3724544
2009-03-06,25.41,25.47,23.62,24.09,9.993,3085745
2009-03-09,24.1,24.26,23.41,23.56,9.7735,2308510
2009-03-10,23.89,25.32,23.73,25.32,10.5034,3595401
2009-03-11,25.55,25.86,24.86,25.22,10.4621,2298318
2009-03-12,25.35,26.32,25.12,26.13,10.8395,2124165
2009-03-13,25.33,25.78,24.39,25.04,10.6732,2607884
2009-03-16,25.17,25.53,25.06,25.13,10.7115,1416876
2009-03-17,24.91,26.38,24.91,26.37,11.2402,2116023
2009-03-18,26.28,27.17,26.01,26.78,11.415,2538164
2009-03-19,26.79,26.99,26.17,26.46,11.2786,1447447
2009-03-20,26.56,26.99,26.46,26.5,11.2955,1652107
2009-03-23,26.93,27.3,26.46,27.29,11.6323,2604393
2009-03-24,27.06,27.6,26.97,27.38,11.6704,2496232
2009-03-25,27.7,28.13,27.18,27.88,11.8838,2394930
2009-03-26,28.07,28.28,27.24,28.27,12.05,1936704
2009-03-27,28.01,28.49,27.67,28.29,12.0586,1235961
2009-03-30,27.75,28.05,27.05,27.31,11.641,1691687
2009-03-31,27.46,28.61,27.46,28.12,11.9863,2208739
2009-04-01,27.9,28.48,27.5,28.38,12.0969,2159658
2009-04-02,28.49,28.99,27.71,27.83,11.8624,2744325
2009-04-03,27.74,27.84,27.33,27.82,11.8583,2256003
2009-04-06,27.81,28.41,27.48,28.28,12.0542,1742630
2009-04-07,28.2,28.35,27.6,27.91,11.8965,1651959
2009-04-08,28.06,28.16,26.64,26.91,11.4705,3460843
2009-04-09,27.32,27.67,27.03,27.67,11.7942,1283803
2009-04-13,27.64,27.67,26.65,27.04,11.5257,1718773
2009-04-14,27.1,27.1,26.2,26.32,11.2186,1690111
2009-04-15,26.19,26.48,26.1,26.48,11.287,1007145
2009-04-16,26.635,27.02,26.26,26.9,11.466,1294987
2009-04-17,27.06,27.28,26.57,26.67,11.3682,1634903
2009-04-20,26.25,26.48,25.48,25.65,10.9334,1920913
2009-04-21,25.32,25.8796,25.32,25.84,11.0142,1027056
2009-04-22,25.75,26.31,25.54,25.79,10.9929,1119544
2009-04-23,25.76,25.84,25.26,25.76,10.9799,1459009
2009-04-24,25.97,26.69,25.84,26.45,11.2744,1885345
2009-04-27,26.25,26.82,26,26.38,11.2444,1728760
2009-04-28,26.17,26.89,26.05,26.65,11.3598,1031568
2009-04-29,26.86,27.34,26.72,26.95,11.4873,1769755
2009-04-30,27.84,27.84,26.82,27.15,11.5725,2444653
2009-05-01,27.18,28.18,26.95,28.11,11.9819,1881774
2009-05-04,28.07,28.56,28.01,28.51,12.1523,1278346
2009-05-05,28.67,28.86,28.535,28.78,12.2673,2218443
2009-05-06,29.19,29.41,28.57,29.15,12.425,2324043
2009-05-07,29.41,30.36,29.18,30.2,12.8728,2538336
2009-05-08,30.47,30.67,29.92,30.52,13.0091,2931751
2009-05-11,30.54,31.17,30.22,30.98,13.2052,2466050
2009-05-12,30.98,31.42,30.5,30.71,13.0901,2511514
2009-05-13,30.4,31.18,30.22,30.87,13.1583,1983237
2009-05-14,30.91,31.07,30.45,30.79,13.1239,1530585
2009-05-15,30.79,30.79,30.01,30.19,12.8683,1609032
2009-05-18,30.33,30.97,30.33,30.97,13.201,1530929
2009-05-19,31.04,31.17,30.6,30.63,13.0561,1685306
2009-05-20,30.89,31.25,30.56,30.59,13.039,1445910
2009-05-21,30.22,30.65,29.36,29.66,12.6427,2239937
2009-05-22,29.75,29.79,29.31,29.4,12.5318,1313804
2009-05-26,29.6,30.58,29.41,30.46,12.9836,2276153
2009-05-27,30.55,30.859,29.89,29.97,12.7745,2128362
2009-05-28,30.23,30.92,29.835,30.63,13.0561,1714659
2009-05-29,30.8,30.96,30.12,30.85,13.1499,3212498
2009-06-01,31.22,32.04,31.07,31.29,13.3373,3211797
2009-06-02,31.29,32.09,31.26,31.87,13.5848,3582277
2009-06-03,31.84,31.84,31,31.15,13.2776,3249699
2009-06-04,31.96,32.25,31.68,32.05,13.6612,3328795
2009-06-05,32.26,32.4,31.61,31.69,13.5079,3070866
2009-06-08,31.67,32.19,31.54,31.89,13.5926,2313520
2009-06-09,32.1,32.25,31.9,32.1,13.6825,2155203
2009-06-10,32.32,32.86,32,32.76,13.964,2978737
2009-06-11,32.82,33.62,32.5,33.21,14.1557,2647995
2009-06-12,32.38,32.38,31.4,32.06,13.9598,2082026
2009-06-15,31.93,32.1976,31.7,32.15,13.999,2317998
2009-06-16,32.3,32.3,31.45,31.57,13.7465,2984153
2009-06-17,31.48,31.78,31.37,31.52,13.7246,2876309
2009-06-18,31.52,32.17,31.52,31.87,13.8772,2469046
2009-06-19,32.03,32.03,31.03,31.03,13.5113,3326956
2009-06-22,30.99,31.42,30.66,31.23,13.5984,2436014
2009-06-23,31.34,31.75,31.07,31.49,13.7116,2368658
2009-06-24,31.7,31.83,31.32,31.51,13.7202,2134816
2009-06-25,31.45,32.25,31.35,32.16,14.0034,3144741
2009-06-26,32.09,32.1,31.29,31.39,13.6683,3343297
2009-06-29,31.45,31.91,31.39,31.77,13.8334,1914840
2009-06-30,31.86,31.86,30.63,30.7,13.3675,5833077
2009-07-01,31.25,31.25,30.4,30.94,13.4721,3672919
2009-07-02,30.55,30.78,29.65,29.65,12.9104,3910352
2009-07-06,29.66,30.19,29.3,30.06,13.0889,4358026
2009-07-07,30.73,31.74,30.22,30.23,13.1631,5592926
2009-07-08,30.22,30.22,29.13,29.65,12.9104,5087707
2009-07-09,29.77,29.93,29.53,29.75,12.9541,2996965
2009-07-10,29.7,30.08,29.01,29.2,12.7144,4323562
2009-07-13,29.2,29.39,28.9,29.34,12.7752,3534848
2009-07-14,29.35,29.62,28.92,29.25,12.7363,3830980
2009-07-15,29.4,29.74,29.25,29.69,12.928,2600821
2009-07-16,29.7,29.92,29.25,29.83,12.9888,3565545
2009-07-17,29.91,29.96,29.54,29.8,12.9759,3122773
2009-07-20,29.95,30.11,29.34,29.6,12.8885,3824885
2009-07-21,29.54,30.04,29.54,29.97,13.0498,2953998
2009-07-22,29.92,30.025,29.6,29.72,12.9409,3239474
2009-07-23,29.73,30.55,29.73,30.49,13.2762,2850981
2009-07-24,30.29,30.63,30.04,30.58,13.3153,2128273
2009-07-27,30.64,31.1,30.49,31.1,13.5417,2806395
2009-07-28,30.9,31.33,30.72,31.24,13.6027,2615808
2009-07-29,30.98,31.58,30.98,31.52,13.7246,2301966
2009-07-30,31.64,32.12,31.45,31.83,13.8596,2421326
2009-07-31,31.87,31.91,31.38,31.39,13.6683,2828268
2009-08-03,31.49,31.839,31.12,31.47,13.7028,3244189
2009-08-04,31.4,31.666,31.05,31.51,13.7202,2897981
2009-08-05,31.59,31.83,31.29,31.6,13.7595,2915097
2009-08-06,32.05,32.2,31.2,32.2,14.021,6009496
2009-08-07,32.2,32.48,31.73,31.92,13.8989,2832836
2009-08-10,31.92,32.08,31.67,32,13.9337,2904762
2009-08-11,31.84,32.08,31.61,31.65,13.7813,2614031
2009-08-12,31.7,32.03,31.42,31.81,13.8507,2516806
2009-08-13,31.93,32,31.46,31.8,13.8464,2582331
2009-08-14,31.86,31.97,31.27,31.53,13.7291,1749645
2009-08-17,31.42,31.42,30.6,30.82,13.4199,7586615
2009-08-18,30.87,31.26,30.82,31.05,13.52,3403085
2009-08-19,30.8,31.05,30.47,31.01,13.5023,3188171
2009-08-20,30.98,31.21,30.8,31.18,13.5768,1998889
2009-08-21,31.39,31.83,31.18,31.73,13.8162,1883561
2009-08-24,31.87,31.95,31.46,31.8,13.8464,2555363
2009-08-25,31.98,32.61,31.82,32.2,14.021,3239268
2009-08-26,32.24,32.61,32.12,32.48,14.1425,3030791
2009-08-27,32.49,32.63,32.18,32.38,14.0991,2035294
2009-08-28,32.61,32.61,32.045,32.4,14.1079,2416674
2009-08-31,32.32,32.72,32.12,32.23,14.034,4060598
2009-09-01,32.2,32.28,31.63,31.78,13.8377,3692848
2009-09-02,31.7,32.04,31.59,31.87,13.8772,2747840
2009-09-03,31.5,31.5,30.66,31.01,13.8057,2870507
2009-09-04,31.03,31.18,30.7,31.18,13.8817,2433511
2009-09-08,31.42,31.55,31.25,31.54,14.0418,2352287
2009-09-09,31.55,31.6,31.26,31.37,13.9661,1972153
2009-09-10,31.36,31.63,31.26,31.53,14.0373,2126800
2009-09-11,31.53,31.59,31.26,31.51,14.0283,1633528
2009-09-14,31.48,31.51,31.28,31.48,14.015,2021573
2009-09-15,31.56,31.81,31.31,31.68,14.104,1875975
2009-09-16,31.78,32.42,31.66,32.32,14.389,2421356
2009-09-17,32.32,32.7,31.73,31.75,14.1353,2687110
2009-09-18,31.93,32.01,31.55,31.61,14.0729,3856308
2009-09-21,31.55,31.69,31.15,31.46,14.0061,2859689
2009-09-22,31.58,32.15,31.29,31.29,13.9305,3198391
2009-09-23,32.49,33.23,32,32.57,14.5005,5132438
2009-09-24,32.77,32.98,32.52,32.69,14.5537,2847718
2009-09-25,32.69,33.12,32.6,32.95,14.6695,3517303
2009-09-28,33.1,33.67,33.06,33.6,14.9589,2665674
2009-09-29,33.69,34,33.44,33.78,15.0392,3823466
2009-09-30,33.84,33.91,33.12,33.6,14.9589,4715119
2009-10-01,33.6,33.73,33.27,33.48,14.9055,3082753
2009-10-02,33.3,33.36,32.5,32.62,14.5226,3024375
2009-10-05,32.81,33.41,32.67,33.4,14.8698,4153061
2009-10-06,33.61,33.92,33.32,33.58,14.9498,2877921
2009-10-07,33.63,33.66,32.7,32.96,14.6738,1996724
2009-10-08,33.15,33.26,32.71,32.86,14.6294,2221472
2009-10-09,32.86,32.96,32.42,32.58,14.5048,1540826
2009-10-12,32.78,32.98,32.6,32.8,14.6027,1756626
2009-10-13,32.7,33.43,32.55,33.34,14.8432,2461835
2009-10-14,33.66,33.78,33.37,33.44,14.8876,2492416
2009-10-15,33.37,34,33.2,33.98,15.1282,2579378
2009-10-16,33.74,34,33.55,33.62,14.9677,3745389
2009-10-19,34.21,34.36,33.82,34.34,15.2882,2453144
2009-10-20,34.35,34.37,33.51,33.93,15.1057,2529059
2009-10-21,33.88,34.23,33.53,33.56,14.9411,2148141
2009-10-22,33.69,34.07,33.62,33.75,15.0258,2351064
2009-10-23,33.95,33.95,33.05,33.12,14.7451,2284323
2009-10-26,33.2,33.53,32.61,32.7,14.558,2398247
2009-10-27,32.71,33.0265,32.52,32.62,14.5226,1798369
2009-10-28,32.61,32.85,32.28,32.29,14.3755,2055482
2009-10-29,32.42,33.03,32.25,32.98,14.6829,2197841
2009-10-30,32.91,33.11,32.41,32.46,14.4514,2521910
2009-11-02,32.56,32.93,32.27,32.74,14.576,1610125
2009-11-03,32.56,32.79,32.3,32.77,14.5895,1827418
2009-11-04,32.97,33.38,32.91,33.18,14.7719,2258023
2009-11-05,33.5,34.55,33.49,34.27,15.2572,3360948
2009-11-06,34.09,34.6555,33.75,34.54,15.3774,1921830
2009-11-09,34.78,34.99,34.35,34.99,15.5777,2336393
2009-11-10,34.8,35,34.66,34.74,15.4664,6346643
2009-11-11,34.95,35,34.41,34.59,15.3996,2729978
2009-11-12,34.49,34.81,34.06,34.21,15.2304,2775885
2009-11-13,34.28,34.78,34.1,34.65,15.4264,1988067
2009-11-16,34.84,34.99,34.66,34.78,15.4841,2369649
2009-11-17,34.8,34.94,34.66,34.78,15.4841,1552567
2009-11-18,34.83,34.94,34.52,34.65,15.4264,1981255
2009-11-19,34.71,34.98,34.55,34.79,15.4887,3062498
2009-11-20,34.85,35.75,34.8,35.61,15.8536,4544019
2009-11-23,36.09,36.09,35.42,35.54,15.8227,3808555
2009-11-24,35.64,35.8,35.31,35.67,15.8805,3392184
2009-11-25,35.69,36.59,35.68,36.22,16.1252,3508129
2009-11-27,35.63,36.48,35.6,36.31,16.1654,1786794
2009-11-30,35.99,36.14,35.26,35.59,16.1629,4702105
2009-12-01,35.86,36.09,35.7,35.95,16.3262,3016525
2009-12-02,35.96,36.73,35.96,36.55,16.5986,3005434
2009-12-03,36.63,36.63,36.09,36.22,16.449,3225340
2009-12-04,36.54,36.65,36,36.34,16.5032,2767046
2009-12-07,36.41,37.155,36.36,36.7,16.667,2876224
2009-12-08,36.66,36.66,36.24,36.53,16.5896,2187674
2009-12-09,36.44,36.44,35.61,35.87,16.2899,3103805
2009-12-10,36.12,36.36,35.96,36.24,16.4578,2382284
2009-12-11,36.3,36.93,36.14,36.82,16.721,10821995
2009-12-14,37.09,37.09,36.37,36.43,16.5443,1915117
2009-12-15,36.42,36.42,35.75,35.96,16.3308,2974846
2009-12-16,36.15,36.43,35.65,35.75,16.2353,3041344
2009-12-17,35.63,35.71,34.9,35.15,15.9632,5470176
2009-12-18,35.12,35.5,35,35.09,15.9356,3267118
2009-12-21,35.26,35.79,35.16,35.53,16.1353,1608317
2009-12-22,35.71,36.07,35.52,35.91,16.308,1752499
2009-12-23,35.97,36.14,35.75,36.11,16.3989,1744904
2009-12-24,36.05,36.38,36.05,36.13,16.408,530431
2009-12-28,36.3,36.53,36.25,36.49,16.5715,1197868
