Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,17.78,19.25,17.78,19.12,9.3104,4831754
2009-01-05,18.96,19.11,18.67,19.03,9.2666,3766452
2009-01-06,19.08,19.7,19.01,19.44,9.4663,3696793
2009-01-07,18.39,20.41,18.13,19.8,9.6416,11309962
2009-01-08,19.83,20.69,19.66,20.64,10.0506,6592782
2009-01-09,20.76,20.91,19.79,20.08,9.778,5048393
2009-01-12,20.4261,20.4261,19.47,19.71,9.5978,4731537
2009-01-13,20.02,21.65,19.76,21.08,10.2649,10337862
2009-01-14,20.34,20.65,19.41,19.69,9.588,10090099
2009-01-15,19.89,20.47,18.99,20.11,9.7926,9226042
2009-01-16,20.41,20.83,19.67,20.36,9.9144,5718815
2009-01-20,20.52,20.59,19.09,19.1,9.3008,5673986
2009-01-21,19.58,19.69,18.7,19.36,9.4273,7598654
2009-01-22,18.79,18.93,18.35,18.46,8.9891,8899290
2009-01-23,18.46,19.39,18.25,18.94,9.2228,7576186
2009-01-26,18.94,19.97,18.9,19.42,9.4565,6110916
2009-01-27,19.79,19.79,18.86,19.06,9.2813,6031535
2009-01-28,19.67,20.62,19.44,20.29,9.8803,6400656
2009-01-29,19.92,20.11,19.39,19.55,9.5199,4778692
2009-01-30,19.56,19.86,18.63,18.73,9.1206,5951667
2009-02-02,18.74,19.1,18.4,18.7,9.106,5805218
2009-02-03,19.04,19.6,18.39,19.55,9.5199,4862381
2009-02-04,19.51,20,19.16,19.26,9.3787,5678688
2009-02-05,19,19.84,18.65,19.66,9.5735,9454071
2009-02-06,19.69,20.25,19.46,20.17,9.8217,5985483
2009-02-09,20.1,20.6,19.98,20.35,9.9094,3613878
2009-02-10,20.19,20.39,19.31,19.31,9.4029,9283926
2009-02-11,19.94,19.99,19.36,19.83,9.6562,8349352
2009-02-12,19.53,21.02,19.08,20.76,10.1091,14264113
2009-02-13,21.57,21.95,20.92,21.17,10.3087,13784601
2009-02-17,19.88,20.32,17.82,19.75,9.6173,7133954
2009-02-18,19.93,20.17,19.45,19.93,9.7049,6221438
2009-02-19,20.43,20.43,19.6,19.7,9.5929,5413630
2009-02-20,19.67,19.91,19.2097,19.4,9.4468,8541912
2009-02-23,19.99,19.99,18.54,18.6,9.0573,5083741
2009-02-24,19,19.08,18.4,19.01,9.2569,6941323
2009-02-25,18.79,19.4,18.47,19,9.2521,6142184
2009-02-26,19.22,19.2826,18.4,18.54,9.0281,5984189
2009-02-27,18.3,18.91,18.23,18.4,8.9599,7371265
2009-03-02,17.59,18.32,17.26,17.38,8.4631,8331459
2009-03-03,17.5,18.12,17.26,17.98,8.7553,9721240
2009-03-04,18.28,19.2,18.01,18.86,9.1838,6926106
2009-03-05,18.4,18.77,18.375,18.43,8.9745,8188405
2009-03-06,18.404,18.78,17.82,18.29,8.9063,6255586
2009-03-09,18.22,18.615,17.5,18.06,8.7943,5245811
2009-03-10,18.41,19.21,18.06,19.11,9.3057,8374421
2009-03-11,19.42,19.99,19.17,19.65,9.5685,6379659
2009-03-12,19.66,20.94,19.53,20.8,10.1285,6644751
2009-03-13,20.61,21.2,20.52,20.97,10.2114,5834597
2009-03-16,21.24,21.45,20.77,20.79,10.1237,4841481
2009-03-17,20.85,21.78,20.74,21.77,10.6008,4919623
2009-03-18,21.7,22.18,21.2,21.82,10.6253,7309102
2009-03-19,22.14,22.14,21.5,21.59,10.5132,5869421
2009-03-20,21.7,21.9,20.41,20.53,9.9971,6877700
2009-03-23,21.01,21.54,20.76,21.5,10.4694,7297334
2009-03-24,21.2,21.39,20.29,20.36,9.9144,7750153
2009-03-25,20.73,21.01,20.25,20.77,10.1139,8380612
2009-03-26,21,21.82,20.68,21.79,10.6107,5582391
2009-03-27,20.42,20.66,19.97,20.12,9.7974,9025435
2009-03-30,19.8,20.255,19.42,20.08,9.778,5225927
2009-03-31,20.32,21.27,20.18,20.79,10.1237,6531943
2009-04-01,20.75,21.31,20.35,21.25,10.3477,6729420
2009-04-02,21.5,22.79,21.5,22.17,10.7956,6873913
2009-04-03,22.03,22.88,21.93,22.76,11.083,5332606
2009-04-06,22.79,23.18,22.21,23.1,11.2485,5923954
2009-04-07,22.5,22.93,22.02,22.29,10.8541,5202199
2009-04-08,22.465,22.72,22.04,22.65,11.0293,3263550
2009-04-09,22.64,23.82,22.57,23.62,11.5017,4754609
2009-04-13,23.54,23.75,23.09,23.52,11.4531,3963583
2009-04-14,23.38,23.5,22.74,23.1,11.2485,5013541
2009-04-15,22.61,22.62,21.99,22.48,10.9467,9489722
2009-04-16,22.98,23.6,22.74,23.37,11.3799,4804200
2009-04-17,23.37,23.54,23,23.38,11.3849,4130361
