Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,23.57,24.48,23.05,24.36,19.1274,2617907
2009-01-05,24.15,24.51,23.39,23.68,18.5936,3106827
2009-01-06,23.74,24.14,23.46,23.96,18.8133,2224798
2009-01-07,23.63,23.74,22.85,23.04,18.0909,2237748
2009-01-08,23.09,23.26,22.64,23.24,18.248,1828831
2009-01-09,23.2,23.2,22.25,22.56,17.714,2212026
2009-01-12,22.48,22.71,22.08,22.34,17.5413,2003144
2009-01-13,22.34,22.75,22.05,22.32,17.5256,2711613
2009-01-14,22.1,22.81,22.03,22.42,17.6041,3678007
2009-01-15,22.35,23.02,22.03,22.73,17.8475,3858127
2009-01-16,22.94,23.39,22.53,23.23,18.2401,3053858
2009-01-20,23.17,23.45,22.37,22.37,17.5649,2599629
2009-01-21,22.89,23.35,22.54,23.31,18.3029,2740222
2009-01-22,22.89,23.2,22.26,22.89,17.9732,3268193
2009-01-23,22.4,23.25,21.95,22.99,18.0517,3795222
2009-01-26,22.99,23.95,22.8,23.55,18.4913,3374139
2009-01-27,23.2,23.61,22.82,23.4,18.3736,3066057
2009-01-28,23.56,24.48,23.56,24.19,18.994,4683507
2009-01-29,21.77,23.54,20.82,22.1,17.3528,11416871
2009-01-30,21.96,22.13,20.97,21.04,16.5205,5584759
2009-02-02,20.89,22,20.74,21.65,16.9995,3713164
2009-02-03,21.61,22.17,21.23,22.06,17.3215,3864638
2009-02-04,22.07,22.51,21.75,22.2,17.4314,2761551
2009-02-05,21.91,22.82,21.77,22.69,17.8161,2510912
2009-02-06,22.72,23.95,22.54,23.86,18.7348,3607687
2009-02-09,23.8,24,23.43,23.75,18.6484,1847940
2009-02-10,23.46,24.35,22.88,22.88,17.9653,4065048
2009-02-11,23.29,23.64,22.9075,23.36,18.3422,2821113
2009-02-12,23.03,23.48,22.52,23.46,18.4208,3689762
2009-02-13,23.44,23.73,23.16,23.28,18.2793,1770159
2009-02-17,22.27,23,22.27,22.6,17.7454,2323329
